model_run,1.5_rcp26,2_rcp26,3_rcp26,4_rcp26,1.5_rcp45,2_rcp45,3_rcp45,4_rcp45,1.5_rcp85,2_rcp85,3_rcp85,4_rcp85
ACCESS1-0_r1i1p1,9999,9999,9999,9999,2033,2054,NA,NA,2028,2040,2061,2081
ACCESS1-3_r1i1p1,9999,9999,9999,9999,2038,2057,NA,NA,2031,2042,2061,2082
bcc-csm1-1_r1i1p1,2022,NA,NA,NA,2020,2043,NA,NA,2018,2036,2059,2083
bcc-csm1-1-m_r1i1p1,2012,NA,NA,NA,2012,2036,NA,NA,2011,2028,2059,2084
BNU-ESM_r1i1p1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CanESM2_r1i1p1,2014,2033,NA,NA,2016,2032,2074,NA,2013,2027,2049,2068
CCSM4_r1i1p1,2016,NA,NA,NA,2016,2040,NA,NA,2013,2030,2057,2077
CESM1-BGC_r1i1p1,9999,9999,9999,9999,2019,2043,NA,NA,2016,2033,2059,2080
CMCC-CM_r1i1p1,9999,9999,9999,9999,2033,2050,NA,NA,2029,2041,2061,2078
CMCC-CMS_r1i1p1,9999,9999,9999,9999,2037,2056,NA,NA,2030,2041,2061,2077
CNRM-CM5_r1i1p1,2042,NA,NA,NA,2036,2058,NA,NA,2030,2044,2067,NA
CSIRO-Mk3-6-0_r1i1p1,2035,NA,NA,NA,2035,2048,NA,NA,2032,2045,2065,2082
EC-EARTH_r12i1p1,2024,NA,NA,NA,2023,2044,NA,NA,2018,2034,2060,2081
GFDL-CM3_r1i1p1,2023,2050,NA,NA,9999,9999,9999,9999,2022,2035,2054,2071
GFDL-ESM2G_r1i1p1,NA,NA,NA,NA,2053,NA,NA,NA,2037,2054,2080,NA
GFDL-ESM2M_r1i1p1,NA,NA,NA,NA,2047,NA,NA,NA,2035,2052,2081,NA
HadGEM2-CC_r1i1p1,9999,9999,9999,9999,2035,2052,NA,NA,2027,2039,2056,2073
HadGEM2-ES_r1i1p1,2025,NA,NA,NA,2028,2043,2084,NA,2022,2034,2054,2071
inmcm4_r1i1p1,9999,9999,9999,9999,2060,NA,NA,NA,2043,2057,2083,NA
IPSL-CM5A-LR_r1i1p1,2010,2032,NA,NA,2012,2030,2071,NA,2010,2026,2047,2065
IPSL-CM5A-MR_r1i1p1,2017,2049,NA,NA,2016,2034,2078,NA,2016,2030,2050,2066
IPSL-CM5B-LR_r1i1p1,9999,9999,9999,9999,2026,2048,NA,NA,2022,2036,2061,NA
MIROC-ESM_r1i1p1,2022,2041,NA,NA,2020,2034,2071,NA,2020,2030,2051,2069
MIROC-ESM-CHEM_r1i1p1,2019,2036,NA,NA,2022,2036,2072,NA,2019,2030,2050,2067
MIROC5_r1i1p1,2050,NA,NA,NA,2040,2071,NA,NA,2033,2048,2071,NA
MPI-ESM-LR_r1i1p1,2024,NA,NA,NA,2021,2045,NA,NA,2018,2036,2061,2081
MPI-ESM-MR_r1i1p1,2024,NA,NA,NA,2024,2046,NA,NA,2020,2038,2060,2082
MRI-CGCM3_r1i1p1,NA,NA,NA,NA,2055,NA,NA,NA,2040,2052,2075,NA
NorESM1-M_r1i1p1,NA,NA,NA,NA,2040,2074,NA,NA,2033,2048,2073,NA
