,date,temperature,gcm,scenario
0,1850,NaN,MPI-ESM-LR_r1i1p1,rcp85
1,1851,NaN,MPI-ESM-LR_r1i1p1,rcp85
2,1852,NaN,MPI-ESM-LR_r1i1p1,rcp85
3,1853,NaN,MPI-ESM-LR_r1i1p1,rcp85
4,1854,NaN,MPI-ESM-LR_r1i1p1,rcp85
5,1855,NaN,MPI-ESM-LR_r1i1p1,rcp85
6,1856,NaN,MPI-ESM-LR_r1i1p1,rcp85
7,1857,NaN,MPI-ESM-LR_r1i1p1,rcp85
8,1858,NaN,MPI-ESM-LR_r1i1p1,rcp85
9,1859,NaN,MPI-ESM-LR_r1i1p1,rcp85
10,1860,NaN,MPI-ESM-LR_r1i1p1,rcp85
11,1861,NaN,MPI-ESM-LR_r1i1p1,rcp85
12,1862,NaN,MPI-ESM-LR_r1i1p1,rcp85
13,1863,NaN,MPI-ESM-LR_r1i1p1,rcp85
14,1864,NaN,MPI-ESM-LR_r1i1p1,rcp85
15,1865,0.07106993464052304,MPI-ESM-LR_r1i1p1,rcp85
16,1866,0.07798382352941194,MPI-ESM-LR_r1i1p1,rcp85
17,1867,0.07851993464052302,MPI-ESM-LR_r1i1p1,rcp85
18,1868,0.07287271241830075,MPI-ESM-LR_r1i1p1,rcp85
19,1869,0.06001160130718966,MPI-ESM-LR_r1i1p1,rcp85
20,1870,0.034489379084967395,MPI-ESM-LR_r1i1p1,rcp85
21,1871,0.009014379084967376,MPI-ESM-LR_r1i1p1,rcp85
22,1872,-0.007438398692810407,MPI-ESM-LR_r1i1p1,rcp85
23,1873,-0.015460620915032664,MPI-ESM-LR_r1i1p1,rcp85
24,1874,-0.020591176470588123,MPI-ESM-LR_r1i1p1,rcp85
25,1875,-0.025249509803921436,MPI-ESM-LR_r1i1p1,rcp85
26,1876,-0.027527287581699214,MPI-ESM-LR_r1i1p1,rcp85
27,1877,-0.03608839869281031,MPI-ESM-LR_r1i1p1,rcp85
28,1878,-0.03454950980392137,MPI-ESM-LR_r1i1p1,rcp85
29,1879,-0.02628284313725473,MPI-ESM-LR_r1i1p1,rcp85
30,1880,-0.018971732026143565,MPI-ESM-LR_r1i1p1,rcp85
31,1881,-0.01821062091503247,MPI-ESM-LR_r1i1p1,rcp85
32,1882,-0.015435620915032484,MPI-ESM-LR_r1i1p1,rcp85
33,1883,-0.016057843137254637,MPI-ESM-LR_r1i1p1,rcp85
34,1884,-0.02036895424836575,MPI-ESM-LR_r1i1p1,rcp85
35,1885,-0.020638398692810197,MPI-ESM-LR_r1i1p1,rcp85
36,1886,-0.017446732026143566,MPI-ESM-LR_r1i1p1,rcp85
37,1887,-0.017677287581699137,MPI-ESM-LR_r1i1p1,rcp85
38,1888,-0.024324509803921344,MPI-ESM-LR_r1i1p1,rcp85
39,1889,-0.034935620915032516,MPI-ESM-LR_r1i1p1,rcp85
40,1890,-0.04085506535947688,MPI-ESM-LR_r1i1p1,rcp85
41,1891,-0.04966339869281023,MPI-ESM-LR_r1i1p1,rcp85
42,1892,-0.05932728758169912,MPI-ESM-LR_r1i1p1,rcp85
43,1893,-0.0672217320261435,MPI-ESM-LR_r1i1p1,rcp85
44,1894,-0.07305784313725461,MPI-ESM-LR_r1i1p1,rcp85
45,1895,-0.07554950980392133,MPI-ESM-LR_r1i1p1,rcp85
46,1896,-0.07431617647058791,MPI-ESM-LR_r1i1p1,rcp85
47,1897,-0.07437450980392123,MPI-ESM-LR_r1i1p1,rcp85
48,1898,-0.06381339869281005,MPI-ESM-LR_r1i1p1,rcp85
49,1899,-0.04984950980392119,MPI-ESM-LR_r1i1p1,rcp85
50,1900,-0.026530065359476693,MPI-ESM-LR_r1i1p1,rcp85
51,1901,-0.0018522875816988935,MPI-ESM-LR_r1i1p1,rcp85
52,1902,0.024767156862745547,MPI-ESM-LR_r1i1p1,rcp85
53,1903,0.04113937908496782,MPI-ESM-LR_r1i1p1,rcp85
54,1904,0.05006993464052337,MPI-ESM-LR_r1i1p1,rcp85
55,1905,0.05973382352941232,MPI-ESM-LR_r1i1p1,rcp85
56,1906,0.07004493464052342,MPI-ESM-LR_r1i1p1,rcp85
57,1907,0.07748660130719008,MPI-ESM-LR_r1i1p1,rcp85
58,1908,0.08338937908496782,MPI-ESM-LR_r1i1p1,rcp85
59,1909,0.08381160130719009,MPI-ESM-LR_r1i1p1,rcp85
60,1910,0.08482826797385676,MPI-ESM-LR_r1i1p1,rcp85
61,1911,0.09091993464052338,MPI-ESM-LR_r1i1p1,rcp85
62,1912,0.09076993464052337,MPI-ESM-LR_r1i1p1,rcp85
63,1913,0.0865532679738567,MPI-ESM-LR_r1i1p1,rcp85
64,1914,0.09317271241830115,MPI-ESM-LR_r1i1p1,rcp85
65,1915,0.09868937908496787,MPI-ESM-LR_r1i1p1,rcp85
66,1916,0.10441715686274572,MPI-ESM-LR_r1i1p1,rcp85
67,1917,0.11030049019607903,MPI-ESM-LR_r1i1p1,rcp85
68,1918,0.11858382352941235,MPI-ESM-LR_r1i1p1,rcp85
69,1919,0.1195366013071902,MPI-ESM-LR_r1i1p1,rcp85
70,1920,0.12506715686274575,MPI-ESM-LR_r1i1p1,rcp85
71,1921,0.13789493464052355,MPI-ESM-LR_r1i1p1,rcp85
72,1922,0.1429616013071902,MPI-ESM-LR_r1i1p1,rcp85
73,1923,0.15051437908496795,MPI-ESM-LR_r1i1p1,rcp85
74,1924,0.15567271241830127,MPI-ESM-LR_r1i1p1,rcp85
75,1925,0.15473660130719016,MPI-ESM-LR_r1i1p1,rcp85
76,1926,0.1511643790849679,MPI-ESM-LR_r1i1p1,rcp85
77,1927,0.15721160130719014,MPI-ESM-LR_r1i1p1,rcp85
78,1928,0.16145049019607902,MPI-ESM-LR_r1i1p1,rcp85
79,1929,0.15873660130719014,MPI-ESM-LR_r1i1p1,rcp85
80,1930,0.154775490196079,MPI-ESM-LR_r1i1p1,rcp85
81,1931,0.15369771241830119,MPI-ESM-LR_r1i1p1,rcp85
82,1932,0.14551437908496787,MPI-ESM-LR_r1i1p1,rcp85
83,1933,0.1451171568627456,MPI-ESM-LR_r1i1p1,rcp85
84,1934,0.14720604575163446,MPI-ESM-LR_r1i1p1,rcp85
85,1935,0.14456437908496772,MPI-ESM-LR_r1i1p1,rcp85
86,1936,0.1471754901960788,MPI-ESM-LR_r1i1p1,rcp85
87,1937,0.1520699346405232,MPI-ESM-LR_r1i1p1,rcp85
88,1938,0.1585393790849677,MPI-ESM-LR_r1i1p1,rcp85
89,1939,0.16448660130718995,MPI-ESM-LR_r1i1p1,rcp85
90,1940,0.17024493464052323,MPI-ESM-LR_r1i1p1,rcp85
91,1941,0.17598937908496773,MPI-ESM-LR_r1i1p1,rcp85
92,1942,0.18049771241830104,MPI-ESM-LR_r1i1p1,rcp85
93,1943,0.18529771241830104,MPI-ESM-LR_r1i1p1,rcp85
94,1944,0.18399215686274548,MPI-ESM-LR_r1i1p1,rcp85
95,1945,0.1828310457516343,MPI-ESM-LR_r1i1p1,rcp85
96,1946,0.17886993464052317,MPI-ESM-LR_r1i1p1,rcp85
97,1947,0.1827366013071898,MPI-ESM-LR_r1i1p1,rcp85
98,1948,0.1881143790849676,MPI-ESM-LR_r1i1p1,rcp85
99,1949,0.20374771241830084,MPI-ESM-LR_r1i1p1,rcp85
100,1950,0.21112826797385645,MPI-ESM-LR_r1i1p1,rcp85
101,1951,0.2058921568627453,MPI-ESM-LR_r1i1p1,rcp85
102,1952,0.20436993464052305,MPI-ESM-LR_r1i1p1,rcp85
103,1953,0.2073727124183008,MPI-ESM-LR_r1i1p1,rcp85
104,1954,0.21603104575163415,MPI-ESM-LR_r1i1p1,rcp85
105,1955,0.21860604575163414,MPI-ESM-LR_r1i1p1,rcp85
106,1956,0.2239421568627452,MPI-ESM-LR_r1i1p1,rcp85
107,1957,0.23139493464052296,MPI-ESM-LR_r1i1p1,rcp85
108,1958,0.23885882352941187,MPI-ESM-LR_r1i1p1,rcp85
109,1959,0.252894934640523,MPI-ESM-LR_r1i1p1,rcp85
110,1960,0.26336437908496746,MPI-ESM-LR_r1i1p1,rcp85
111,1961,0.27516437908496744,MPI-ESM-LR_r1i1p1,rcp85
112,1962,0.292533823529412,MPI-ESM-LR_r1i1p1,rcp85
113,1963,0.3062282679738564,MPI-ESM-LR_r1i1p1,rcp85
114,1964,0.3181504901960786,MPI-ESM-LR_r1i1p1,rcp85
115,1965,0.33580882352941194,MPI-ESM-LR_r1i1p1,rcp85
116,1966,0.3552310457516342,MPI-ESM-LR_r1i1p1,rcp85
117,1967,0.376483823529412,MPI-ESM-LR_r1i1p1,rcp85
