,date,temperature,gcm,scenario
0,1950,NaN,BNU-ESM_r1i1p1,rcp85
1,1951,NaN,BNU-ESM_r1i1p1,rcp85
2,1952,NaN,BNU-ESM_r1i1p1,rcp85
3,1953,NaN,BNU-ESM_r1i1p1,rcp85
4,1954,NaN,BNU-ESM_r1i1p1,rcp85
5,1955,NaN,BNU-ESM_r1i1p1,rcp85
6,1956,NaN,BNU-ESM_r1i1p1,rcp85
7,1957,NaN,BNU-ESM_r1i1p1,rcp85
8,1958,NaN,BNU-ESM_r1i1p1,rcp85
9,1959,NaN,BNU-ESM_r1i1p1,rcp85
10,1960,NaN,BNU-ESM_r1i1p1,rcp85
11,1961,NaN,BNU-ESM_r1i1p1,rcp85
12,1962,NaN,BNU-ESM_r1i1p1,rcp85
13,1963,NaN,BNU-ESM_r1i1p1,rcp85
14,1964,NaN,BNU-ESM_r1i1p1,rcp85
15,1965,NaN,BNU-ESM_r1i1p1,rcp85
16,1966,NaN,BNU-ESM_r1i1p1,rcp85
17,1967,NaN,BNU-ESM_r1i1p1,rcp85
18,1968,NaN,BNU-ESM_r1i1p1,rcp85
19,1969,NaN,BNU-ESM_r1i1p1,rcp85
20,1970,NaN,BNU-ESM_r1i1p1,rcp85
21,1971,NaN,BNU-ESM_r1i1p1,rcp85
22,1972,NaN,BNU-ESM_r1i1p1,rcp85
23,1973,NaN,BNU-ESM_r1i1p1,rcp85
24,1974,NaN,BNU-ESM_r1i1p1,rcp85
25,1975,NaN,BNU-ESM_r1i1p1,rcp85
26,1976,NaN,BNU-ESM_r1i1p1,rcp85
27,1977,NaN,BNU-ESM_r1i1p1,rcp85
28,1978,NaN,BNU-ESM_r1i1p1,rcp85
29,1979,NaN,BNU-ESM_r1i1p1,rcp85
30,1980,NaN,BNU-ESM_r1i1p1,rcp85
31,1981,NaN,BNU-ESM_r1i1p1,rcp85
32,1982,NaN,BNU-ESM_r1i1p1,rcp85
33,1983,NaN,BNU-ESM_r1i1p1,rcp85
34,1984,NaN,BNU-ESM_r1i1p1,rcp85
35,1985,NaN,BNU-ESM_r1i1p1,rcp85
36,1986,NaN,BNU-ESM_r1i1p1,rcp85
37,1987,NaN,BNU-ESM_r1i1p1,rcp85
38,1988,NaN,BNU-ESM_r1i1p1,rcp85
39,1989,NaN,BNU-ESM_r1i1p1,rcp85
40,1990,NaN,BNU-ESM_r1i1p1,rcp85
41,1991,NaN,BNU-ESM_r1i1p1,rcp85
42,1992,NaN,BNU-ESM_r1i1p1,rcp85
43,1993,NaN,BNU-ESM_r1i1p1,rcp85
44,1994,NaN,BNU-ESM_r1i1p1,rcp85
45,1995,NaN,BNU-ESM_r1i1p1,rcp85
46,1996,NaN,BNU-ESM_r1i1p1,rcp85
47,1997,NaN,BNU-ESM_r1i1p1,rcp85
48,1998,NaN,BNU-ESM_r1i1p1,rcp85
49,1999,NaN,BNU-ESM_r1i1p1,rcp85
50,2000,NaN,BNU-ESM_r1i1p1,rcp85
51,2001,NaN,BNU-ESM_r1i1p1,rcp85
52,2002,NaN,BNU-ESM_r1i1p1,rcp85
53,2003,NaN,BNU-ESM_r1i1p1,rcp85
54,2004,NaN,BNU-ESM_r1i1p1,rcp85
55,2005,NaN,BNU-ESM_r1i1p1,rcp85
56,2006,NaN,BNU-ESM_r1i1p1,rcp85
57,2007,NaN,BNU-ESM_r1i1p1,rcp85
58,2008,NaN,BNU-ESM_r1i1p1,rcp85
59,2009,NaN,BNU-ESM_r1i1p1,rcp85
60,2010,NaN,BNU-ESM_r1i1p1,rcp85
61,2011,NaN,BNU-ESM_r1i1p1,rcp85
62,2012,NaN,BNU-ESM_r1i1p1,rcp85
63,2013,NaN,BNU-ESM_r1i1p1,rcp85
64,2014,NaN,BNU-ESM_r1i1p1,rcp85
65,2015,NaN,BNU-ESM_r1i1p1,rcp85
66,2016,NaN,BNU-ESM_r1i1p1,rcp85
67,2017,NaN,BNU-ESM_r1i1p1,rcp85
68,2018,NaN,BNU-ESM_r1i1p1,rcp85
69,2019,NaN,BNU-ESM_r1i1p1,rcp85
70,2020,NaN,BNU-ESM_r1i1p1,rcp85
71,2021,NaN,BNU-ESM_r1i1p1,rcp85
72,2022,NaN,BNU-ESM_r1i1p1,rcp85
73,2023,NaN,BNU-ESM_r1i1p1,rcp85
74,2024,NaN,BNU-ESM_r1i1p1,rcp85
75,2025,NaN,BNU-ESM_r1i1p1,rcp85
76,2026,NaN,BNU-ESM_r1i1p1,rcp85
77,2027,NaN,BNU-ESM_r1i1p1,rcp85
78,2028,NaN,BNU-ESM_r1i1p1,rcp85
79,2029,NaN,BNU-ESM_r1i1p1,rcp85
80,2030,NaN,BNU-ESM_r1i1p1,rcp85
81,2031,NaN,BNU-ESM_r1i1p1,rcp85
82,2032,NaN,BNU-ESM_r1i1p1,rcp85
83,2033,NaN,BNU-ESM_r1i1p1,rcp85
84,2034,NaN,BNU-ESM_r1i1p1,rcp85
85,2035,NaN,BNU-ESM_r1i1p1,rcp85
86,2036,NaN,BNU-ESM_r1i1p1,rcp85
87,2037,NaN,BNU-ESM_r1i1p1,rcp85
88,2038,NaN,BNU-ESM_r1i1p1,rcp85
89,2039,NaN,BNU-ESM_r1i1p1,rcp85
90,2040,NaN,BNU-ESM_r1i1p1,rcp85
91,2041,NaN,BNU-ESM_r1i1p1,rcp85
92,2042,NaN,BNU-ESM_r1i1p1,rcp85
93,2043,NaN,BNU-ESM_r1i1p1,rcp85
94,2044,NaN,BNU-ESM_r1i1p1,rcp85
95,2045,NaN,BNU-ESM_r1i1p1,rcp85
96,2046,NaN,BNU-ESM_r1i1p1,rcp85
97,2047,NaN,BNU-ESM_r1i1p1,rcp85
98,2048,NaN,BNU-ESM_r1i1p1,rcp85
99,2049,NaN,BNU-ESM_r1i1p1,rcp85
100,2050,NaN,BNU-ESM_r1i1p1,rcp85
101,2051,NaN,BNU-ESM_r1i1p1,rcp85
102,2052,NaN,BNU-ESM_r1i1p1,rcp85
103,2053,NaN,BNU-ESM_r1i1p1,rcp85
104,2054,NaN,BNU-ESM_r1i1p1,rcp85
105,2055,NaN,BNU-ESM_r1i1p1,rcp85
106,2056,NaN,BNU-ESM_r1i1p1,rcp85
107,2057,NaN,BNU-ESM_r1i1p1,rcp85
108,2058,NaN,BNU-ESM_r1i1p1,rcp85
109,2059,NaN,BNU-ESM_r1i1p1,rcp85
110,2060,NaN,BNU-ESM_r1i1p1,rcp85
111,2061,NaN,BNU-ESM_r1i1p1,rcp85
112,2062,NaN,BNU-ESM_r1i1p1,rcp85
113,2063,NaN,BNU-ESM_r1i1p1,rcp85
114,2064,NaN,BNU-ESM_r1i1p1,rcp85
115,2065,NaN,BNU-ESM_r1i1p1,rcp85
116,2066,NaN,BNU-ESM_r1i1p1,rcp85
117,2067,NaN,BNU-ESM_r1i1p1,rcp85
118,2068,NaN,BNU-ESM_r1i1p1,rcp85
119,2069,NaN,BNU-ESM_r1i1p1,rcp85
120,2070,NaN,BNU-ESM_r1i1p1,rcp85
121,2071,NaN,BNU-ESM_r1i1p1,rcp85
122,2072,NaN,BNU-ESM_r1i1p1,rcp85
123,2073,NaN,BNU-ESM_r1i1p1,rcp85
124,2074,NaN,BNU-ESM_r1i1p1,rcp85
125,2075,NaN,BNU-ESM_r1i1p1,rcp85
126,2076,NaN,BNU-ESM_r1i1p1,rcp85
127,2077,NaN,BNU-ESM_r1i1p1,rcp85
128,2078,NaN,BNU-ESM_r1i1p1,rcp85
129,2079,NaN,BNU-ESM_r1i1p1,rcp85
130,2080,NaN,BNU-ESM_r1i1p1,rcp85
131,2081,NaN,BNU-ESM_r1i1p1,rcp85
132,2082,NaN,BNU-ESM_r1i1p1,rcp85
133,2083,NaN,BNU-ESM_r1i1p1,rcp85
134,2084,NaN,BNU-ESM_r1i1p1,rcp85
135,2085,NaN,BNU-ESM_r1i1p1,rcp85
136,2086,NaN,BNU-ESM_r1i1p1,rcp85
137,2087,NaN,BNU-ESM_r1i1p1,rcp85
138,2088,NaN,BNU-ESM_r1i1p1,rcp85
139,2089,NaN,BNU-ESM_r1i1p1,rcp85
140,2090,NaN,BNU-ESM_r1i1p1,rcp85
141,2091,NaN,BNU-ESM_r1i1p1,rcp85
142,2092,NaN,BNU-ESM_r1i1p1,rcp85
143,2093,NaN,BNU-ESM_r1i1p1,rcp85
144,2094,NaN,BNU-ESM_r1i1p1,rcp85
145,2095,NaN,BNU-ESM_r1i1p1,rcp85
146,2096,NaN,BNU-ESM_r1i1p1,rcp85
147,2097,NaN,BNU-ESM_r1i1p1,rcp85
148,2098,NaN,BNU-ESM_r1i1p1,rcp85
149,2099,NaN,BNU-ESM_r1i1p1,rcp85
150,2100,NaN,BNU-ESM_r1i1p1,rcp85
151,1850,NaN,CCSM4_r1i1p1,rcp85
152,1851,NaN,CCSM4_r1i1p1,rcp85
153,1852,NaN,CCSM4_r1i1p1,rcp85
154,1853,NaN,CCSM4_r1i1p1,rcp85
155,1854,NaN,CCSM4_r1i1p1,rcp85
156,1855,NaN,CCSM4_r1i1p1,rcp85
157,1856,NaN,CCSM4_r1i1p1,rcp85
158,1857,NaN,CCSM4_r1i1p1,rcp85
159,1858,NaN,CCSM4_r1i1p1,rcp85
160,1859,NaN,CCSM4_r1i1p1,rcp85
161,1860,NaN,CCSM4_r1i1p1,rcp85
162,1861,NaN,CCSM4_r1i1p1,rcp85
163,1862,NaN,CCSM4_r1i1p1,rcp85
164,1863,NaN,CCSM4_r1i1p1,rcp85
165,1864,NaN,CCSM4_r1i1p1,rcp85
