region,DD_sem_1.5C_rcp85_time-mean_ensemble-diff-max,ci_name,ci_frequency,standard_name,units,mid_month
01001_Flensburg,6.400321960449219,DD,sem,days_with_precipitation_amount_below_threshold,days,1
01002_Kiel,6.038005828857422,DD,sem,days_with_precipitation_amount_below_threshold,days,1
01003_Lübeck,6.551361083984375,DD,sem,days_with_precipitation_amount_below_threshold,days,1
01004_Neumünster,7.668964385986328,DD,sem,days_with_precipitation_amount_below_threshold,days,1
01051_Dithmarschen,7.703090667724609,DD,sem,days_with_precipitation_amount_below_threshold,days,1
01053_Herzogtum Lauenburg,7.365135192871094,DD,sem,days_with_precipitation_amount_below_threshold,days,1
01054_Nordfriesland,6.4931793212890625,DD,sem,days_with_precipitation_amount_below_threshold,days,1
01055_Ostholstein,6.2776336669921875,DD,sem,days_with_precipitation_amount_below_threshold,days,1
01057_Plön,6.261253356933594,DD,sem,days_with_precipitation_amount_below_threshold,days,1
01058_Rendsburg-Eckernförde,6.404872894287109,DD,sem,days_with_precipitation_amount_below_threshold,days,1
01059_Schleswig-Flensburg,6.499855041503906,DD,sem,days_with_precipitation_amount_below_threshold,days,1
01060_Segeberg,7.176959991455078,DD,sem,days_with_precipitation_amount_below_threshold,days,1
01061_Steinburg,7.260463714599609,DD,sem,days_with_precipitation_amount_below_threshold,days,1
01062_Stormarn,7.164730072021484,DD,sem,days_with_precipitation_amount_below_threshold,days,1
02000_Hamburg,7.812339782714844,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03101_Braunschweig,7.658069610595703,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03102_Salzgitter,6.53253173828125,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03103_Wolfsburg,7.419750213623047,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03151_Gifhorn,7.299064636230469,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03159_Göttingen,7.150276184082031,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03153_Goslar,6.665931701660156,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03154_Helmstedt,6.417896270751953,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03155_Northeim,7.277912139892578,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03157_Peine,7.483650207519531,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03158_Wolfenbüttel,6.247074127197266,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03241_Region Hannover,7.643993377685547,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03251_Diepholz,7.518764495849609,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03252_Hameln-Pyrmont,6.893959045410156,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03254_Hildesheim,6.707210540771484,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03255_Holzminden,7.130420684814453,DD,sem,days_with_precipitation_amount_below_threshold,days,1
01056_Pinneberg,7.394805908203125,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03256_Nienburg (Weser),7.8027496337890625,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03257_Schaumburg,7.350471496582031,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03351_Celle,8.065837860107422,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03352_Cuxhaven,7.315914154052734,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03353_Harburg,7.682929992675781,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03354_Lüchow-Dannenberg,6.056800842285156,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03355_Lüneburg,7.344512939453125,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03356_Osterholz,7.2616119384765625,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03357_Rotenburg (Wümme),7.257366180419922,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03358_Heidekreis,7.693550109863281,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03359_Stade,7.347198486328125,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03360_Uelzen,7.4910888671875,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03361_Verden,7.622631072998047,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03401_Delmenhorst,6.866302490234375,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03402_Emden,7.084095001220703,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03403_Oldenburg (Oldb),6.790882110595703,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03404_Osnabrück,7.5705718994140625,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03405_Wilhelmshaven,7.663154602050781,DD,sem,days_with_precipitation_amount_below_threshold,days,1
