region,DD_sem_1.5C_rcp85_time-mean_ensemble-diff-mean,ci_name,ci_frequency,standard_name,units,mid_month
01001_Flensburg,0.62339365,DD,sem,days_with_precipitation_amount_below_threshold,days,1
01002_Kiel,0.4158037,DD,sem,days_with_precipitation_amount_below_threshold,days,1
01003_Lübeck,0.66474736,DD,sem,days_with_precipitation_amount_below_threshold,days,1
01004_Neumünster,0.70931727,DD,sem,days_with_precipitation_amount_below_threshold,days,1
01051_Dithmarschen,0.6426021,DD,sem,days_with_precipitation_amount_below_threshold,days,1
01053_Herzogtum Lauenburg,0.6243908,DD,sem,days_with_precipitation_amount_below_threshold,days,1
01054_Nordfriesland,0.65631235,DD,sem,days_with_precipitation_amount_below_threshold,days,1
01055_Ostholstein,0.45354068,DD,sem,days_with_precipitation_amount_below_threshold,days,1
01057_Plön,0.5241145,DD,sem,days_with_precipitation_amount_below_threshold,days,1
01058_Rendsburg-Eckernförde,0.52009845,DD,sem,days_with_precipitation_amount_below_threshold,days,1
01059_Schleswig-Flensburg,0.5068342,DD,sem,days_with_precipitation_amount_below_threshold,days,1
01060_Segeberg,0.71275866,DD,sem,days_with_precipitation_amount_below_threshold,days,1
01061_Steinburg,0.5704324,DD,sem,days_with_precipitation_amount_below_threshold,days,1
01062_Stormarn,0.69908917,DD,sem,days_with_precipitation_amount_below_threshold,days,1
02000_Hamburg,0.58472115,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03101_Braunschweig,0.17526533,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03102_Salzgitter,0.15430993,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03103_Wolfsburg,0.21856944,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03151_Gifhorn,0.35215873,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03159_Göttingen,0.30869514,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03153_Goslar,0.66807085,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03154_Helmstedt,0.047898408,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03155_Northeim,0.25531915,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03157_Peine,0.1913155,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03158_Wolfenbüttel,0.06850494,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03241_Region Hannover,0.34919444,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03251_Diepholz,0.6557325,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03252_Hameln-Pyrmont,0.48890883,DD,sem,days_with_precipitation_amount_below_threshold,days,1
