region,DD_sem_1.5C_rcp85_time-mean_ensemble-diff-median,ci_name,ci_frequency,standard_name,units,mid_month
01001_Flensburg,0.26761627197265625,DD,sem,days_with_precipitation_amount_below_threshold,days,1
01002_Kiel,0.16861343383789062,DD,sem,days_with_precipitation_amount_below_threshold,days,1
01003_Lübeck,0.02275848388671875,DD,sem,days_with_precipitation_amount_below_threshold,days,1
01004_Neumünster,0.5474395751953125,DD,sem,days_with_precipitation_amount_below_threshold,days,1
01051_Dithmarschen,0.03106689453125,DD,sem,days_with_precipitation_amount_below_threshold,days,1
01053_Herzogtum Lauenburg,0.06756591796875,DD,sem,days_with_precipitation_amount_below_threshold,days,1
01054_Nordfriesland,0.07860565185546875,DD,sem,days_with_precipitation_amount_below_threshold,days,1
01055_Ostholstein,-0.034549713134765625,DD,sem,days_with_precipitation_amount_below_threshold,days,1
01057_Plön,0.11920166015625,DD,sem,days_with_precipitation_amount_below_threshold,days,1
01058_Rendsburg-Eckernförde,0.19212722778320312,DD,sem,days_with_precipitation_amount_below_threshold,days,1
01059_Schleswig-Flensburg,0.09341049194335938,DD,sem,days_with_precipitation_amount_below_threshold,days,1
01060_Segeberg,0.3667716979980469,DD,sem,days_with_precipitation_amount_below_threshold,days,1
01061_Steinburg,0.16039657592773438,DD,sem,days_with_precipitation_amount_below_threshold,days,1
01062_Stormarn,0.3550567626953125,DD,sem,days_with_precipitation_amount_below_threshold,days,1
02000_Hamburg,0.22179412841796875,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03101_Braunschweig,-0.2060699462890625,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03102_Salzgitter,-0.31557464599609375,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03103_Wolfsburg,-0.26270294189453125,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03151_Gifhorn,-0.09557723999023438,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03159_Göttingen,-0.5853729248046875,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03153_Goslar,0.15129852294921875,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03154_Helmstedt,-0.349456787109375,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03155_Northeim,-0.6258087158203125,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03157_Peine,-0.43495941162109375,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03158_Wolfenbüttel,-0.3280525207519531,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03241_Region Hannover,-0.22425079345703125,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03251_Diepholz,0.13248825073242188,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03252_Hameln-Pyrmont,-0.1419219970703125,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03254_Hildesheim,-0.44626617431640625,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03255_Holzminden,-0.2481536865234375,DD,sem,days_with_precipitation_amount_below_threshold,days,1
01056_Pinneberg,0.19617843627929688,DD,sem,days_with_precipitation_amount_below_threshold,days,1
