region,DD_sem_1.5C_rcp85_time-mean_ensemble-diff-min,ci_name,ci_frequency,standard_name,units,mid_month
01001_Flensburg,-5.554935455322266,DD,sem,days_with_precipitation_amount_below_threshold,days,1
01002_Kiel,-4.905738830566406,DD,sem,days_with_precipitation_amount_below_threshold,days,1
01003_Lübeck,-3.986865997314453,DD,sem,days_with_precipitation_amount_below_threshold,days,1
01004_Neumünster,-5.301731109619141,DD,sem,days_with_precipitation_amount_below_threshold,days,1
01051_Dithmarschen,-5.235637664794922,DD,sem,days_with_precipitation_amount_below_threshold,days,1
01053_Herzogtum Lauenburg,-4.394447326660156,DD,sem,days_with_precipitation_amount_below_threshold,days,1
01054_Nordfriesland,-5.290615081787109,DD,sem,days_with_precipitation_amount_below_threshold,days,1
01055_Ostholstein,-3.518718719482422,DD,sem,days_with_precipitation_amount_below_threshold,days,1
01057_Plön,-4.270992279052734,DD,sem,days_with_precipitation_amount_below_threshold,days,1
01058_Rendsburg-Eckernförde,-5.457660675048828,DD,sem,days_with_precipitation_amount_below_threshold,days,1
01059_Schleswig-Flensburg,-5.629047393798828,DD,sem,days_with_precipitation_amount_below_threshold,days,1
01060_Segeberg,-4.408546447753906,DD,sem,days_with_precipitation_amount_below_threshold,days,1
01061_Steinburg,-5.906089782714844,DD,sem,days_with_precipitation_amount_below_threshold,days,1
01062_Stormarn,-4.964412689208984,DD,sem,days_with_precipitation_amount_below_threshold,days,1
02000_Hamburg,-4.553321838378906,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03101_Braunschweig,-4.035869598388672,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03102_Salzgitter,-3.6625099182128906,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03103_Wolfsburg,-3.338287353515625,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03151_Gifhorn,-4.394599914550781,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03159_Göttingen,-3.8987159729003906,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03153_Goslar,-3.129871368408203,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03154_Helmstedt,-3.543323516845703,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03155_Northeim,-3.8770980834960938,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03157_Peine,-3.6041946411132812,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03158_Wolfenbüttel,-4.183631896972656,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03241_Region Hannover,-4.245353698730469,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03251_Diepholz,-4.875759124755859,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03252_Hameln-Pyrmont,-3.8420753479003906,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03254_Hildesheim,-3.8070755004882812,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03255_Holzminden,-3.309375762939453,DD,sem,days_with_precipitation_amount_below_threshold,days,1
01056_Pinneberg,-5.106910705566406,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03256_Nienburg (Weser),-4.694187164306641,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03257_Schaumburg,-4.589382171630859,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03351_Celle,-4.2356414794921875,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03352_Cuxhaven,-5.426914215087891,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03353_Harburg,-4.498933792114258,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03354_Lüchow-Dannenberg,-5.298942565917969,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03355_Lüneburg,-4.524742126464844,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03356_Osterholz,-4.304351806640625,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03357_Rotenburg (Wümme),-4.732349395751953,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03358_Heidekreis,-4.182735443115234,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03359_Stade,-5.004940032958984,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03360_Uelzen,-5.0918731689453125,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03361_Verden,-5.171527862548828,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03401_Delmenhorst,-4.403778076171875,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03402_Emden,-6.0223846435546875,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03403_Oldenburg (Oldb),-4.647411346435547,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03404_Osnabrück,-5.559146881103516,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03405_Wilhelmshaven,-5.910366058349609,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03451_Ammerland,-4.886425018310547,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03452_Aurich,-5.236927032470703,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03453_Cloppenburg,-4.315559387207031,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03454_Emsland,-4.536640167236328,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03455_Friesland,-5.403755187988281,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03456_Grafschaft Bentheim,-5.020668029785156,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03457_Leer,-4.920085906982422,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03458_Oldenburg,-4.2213897705078125,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03459_Osnabrück,-4.8426513671875,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03460_Vechta,-4.096096038818359,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03461_Wesermarsch,-4.942295074462891,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03462_Wittmund,-5.2576751708984375,DD,sem,days_with_precipitation_amount_below_threshold,days,1
04011_Bremen,-4.899944305419922,DD,sem,days_with_precipitation_amount_below_threshold,days,1
04012_Bremerhaven,-5.046695709228516,DD,sem,days_with_precipitation_amount_below_threshold,days,1
05111_Düsseldorf,-4.920673370361328,DD,sem,days_with_precipitation_amount_below_threshold,days,1
05112_Duisburg,-5.223297119140625,DD,sem,days_with_precipitation_amount_below_threshold,days,1
05113_Essen,-5.2729644775390625,DD,sem,days_with_precipitation_amount_below_threshold,days,1
