region,ci_name,ci_frequency,standard_name,units,mid_month,DD_sem_3C_rcp85_ensemble-robustness
01001_Flensburg,DD,sem,days_with_precipitation_amount_below_threshold,days,1,
01002_Kiel,DD,sem,days_with_precipitation_amount_below_threshold,days,1,-1.0
01003_Lübeck,DD,sem,days_with_precipitation_amount_below_threshold,days,1,-1.0
01004_Neumünster,DD,sem,days_with_precipitation_amount_below_threshold,days,1,
01051_Dithmarschen,DD,sem,days_with_precipitation_amount_below_threshold,days,1,
01053_Herzogtum Lauenburg,DD,sem,days_with_precipitation_amount_below_threshold,days,1,
01054_Nordfriesland,DD,sem,days_with_precipitation_amount_below_threshold,days,1,-1.0
01055_Ostholstein,DD,sem,days_with_precipitation_amount_below_threshold,days,1,-1.0
01057_Plön,DD,sem,days_with_precipitation_amount_below_threshold,days,1,
01058_Rendsburg-Eckernförde,DD,sem,days_with_precipitation_amount_below_threshold,days,1,
01059_Schleswig-Flensburg,DD,sem,days_with_precipitation_amount_below_threshold,days,1,
01060_Segeberg,DD,sem,days_with_precipitation_amount_below_threshold,days,1,
01061_Steinburg,DD,sem,days_with_precipitation_amount_below_threshold,days,1,
01062_Stormarn,DD,sem,days_with_precipitation_amount_below_threshold,days,1,
02000_Hamburg,DD,sem,days_with_precipitation_amount_below_threshold,days,1,
03101_Braunschweig,DD,sem,days_with_precipitation_amount_below_threshold,days,1,-1.0
03102_Salzgitter,DD,sem,days_with_precipitation_amount_below_threshold,days,1,-1.0
03103_Wolfsburg,DD,sem,days_with_precipitation_amount_below_threshold,days,1,-1.0
03151_Gifhorn,DD,sem,days_with_precipitation_amount_below_threshold,days,1,-1.0
03159_Göttingen,DD,sem,days_with_precipitation_amount_below_threshold,days,1,-1.0
03153_Goslar,DD,sem,days_with_precipitation_amount_below_threshold,days,1,-1.0
03154_Helmstedt,DD,sem,days_with_precipitation_amount_below_threshold,days,1,-1.0
03155_Northeim,DD,sem,days_with_precipitation_amount_below_threshold,days,1,-1.0
03157_Peine,DD,sem,days_with_precipitation_amount_below_threshold,days,1,-1.0
03158_Wolfenbüttel,DD,sem,days_with_precipitation_amount_below_threshold,days,1,-1.0
03241_Region Hannover,DD,sem,days_with_precipitation_amount_below_threshold,days,1,-1.0
03251_Diepholz,DD,sem,days_with_precipitation_amount_below_threshold,days,1,
03252_Hameln-Pyrmont,DD,sem,days_with_precipitation_amount_below_threshold,days,1,-1.0
03254_Hildesheim,DD,sem,days_with_precipitation_amount_below_threshold,days,1,-1.0
03255_Holzminden,DD,sem,days_with_precipitation_amount_below_threshold,days,1,-1.0
01056_Pinneberg,DD,sem,days_with_precipitation_amount_below_threshold,days,1,
03256_Nienburg (Weser),DD,sem,days_with_precipitation_amount_below_threshold,days,1,-1.0
03257_Schaumburg,DD,sem,days_with_precipitation_amount_below_threshold,days,1,-1.0
03351_Celle,DD,sem,days_with_precipitation_amount_below_threshold,days,1,-1.0
03352_Cuxhaven,DD,sem,days_with_precipitation_amount_below_threshold,days,1,-1.0
