region,DD_sem_3C_rcp85_time-mean_ensemble-diff-max,ci_name,ci_frequency,standard_name,units,mid_month
01001_Flensburg,3.7957687377929688,DD,sem,days_with_precipitation_amount_below_threshold,days,1
01002_Kiel,3.2351837158203125,DD,sem,days_with_precipitation_amount_below_threshold,days,1
01003_Lübeck,3.278247833251953,DD,sem,days_with_precipitation_amount_below_threshold,days,1
01004_Neumünster,3.344135284423828,DD,sem,days_with_precipitation_amount_below_threshold,days,1
01051_Dithmarschen,3.1538124084472656,DD,sem,days_with_precipitation_amount_below_threshold,days,1
01053_Herzogtum Lauenburg,3.1564254760742188,DD,sem,days_with_precipitation_amount_below_threshold,days,1
01054_Nordfriesland,2.307567596435547,DD,sem,days_with_precipitation_amount_below_threshold,days,1
01055_Ostholstein,3.1539154052734375,DD,sem,days_with_precipitation_amount_below_threshold,days,1
01057_Plön,2.881542205810547,DD,sem,days_with_precipitation_amount_below_threshold,days,1
01058_Rendsburg-Eckernförde,2.8426971435546875,DD,sem,days_with_precipitation_amount_below_threshold,days,1
01059_Schleswig-Flensburg,3.5712432861328125,DD,sem,days_with_precipitation_amount_below_threshold,days,1
01060_Segeberg,3.039043426513672,DD,sem,days_with_precipitation_amount_below_threshold,days,1
01061_Steinburg,4.008945465087891,DD,sem,days_with_precipitation_amount_below_threshold,days,1
01062_Stormarn,3.1307945251464844,DD,sem,days_with_precipitation_amount_below_threshold,days,1
02000_Hamburg,2.9246139526367188,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03101_Braunschweig,2.6558876037597656,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03102_Salzgitter,3.3337554931640625,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03103_Wolfsburg,3.2073936462402344,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03151_Gifhorn,3.3162193298339844,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03159_Göttingen,3.4136886596679688,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03153_Goslar,5.710716247558594,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03154_Helmstedt,3.4020843505859375,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03155_Northeim,3.658893585205078,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03157_Peine,3.175617218017578,DD,sem,days_with_precipitation_amount_below_threshold,days,1
