region,DD_sem_3C_rcp85_time-mean_ensemble-diff-median,ci_name,ci_frequency,standard_name,units,mid_month
01001_Flensburg,-0.16034698486328125,DD,sem,days_with_precipitation_amount_below_threshold,days,1
01002_Kiel,-0.8242149353027344,DD,sem,days_with_precipitation_amount_below_threshold,days,1
01003_Lübeck,-0.5964736938476562,DD,sem,days_with_precipitation_amount_below_threshold,days,1
01004_Neumünster,-0.2958183288574219,DD,sem,days_with_precipitation_amount_below_threshold,days,1
01051_Dithmarschen,-0.9972152709960938,DD,sem,days_with_precipitation_amount_below_threshold,days,1
01053_Herzogtum Lauenburg,-0.7571830749511719,DD,sem,days_with_precipitation_amount_below_threshold,days,1
01054_Nordfriesland,-0.9158935546875,DD,sem,days_with_precipitation_amount_below_threshold,days,1
01055_Ostholstein,-0.6817169189453125,DD,sem,days_with_precipitation_amount_below_threshold,days,1
01057_Plön,-0.3900604248046875,DD,sem,days_with_precipitation_amount_below_threshold,days,1
01058_Rendsburg-Eckernförde,-0.6104850769042969,DD,sem,days_with_precipitation_amount_below_threshold,days,1
01059_Schleswig-Flensburg,-0.3568000793457031,DD,sem,days_with_precipitation_amount_below_threshold,days,1
01060_Segeberg,-0.4124412536621094,DD,sem,days_with_precipitation_amount_below_threshold,days,1
01061_Steinburg,-1.067138671875,DD,sem,days_with_precipitation_amount_below_threshold,days,1
01062_Stormarn,-0.5298194885253906,DD,sem,days_with_precipitation_amount_below_threshold,days,1
02000_Hamburg,-0.7273101806640625,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03101_Braunschweig,-1.7320556640625,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03102_Salzgitter,-1.6592979431152344,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03103_Wolfsburg,-1.6978416442871094,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03151_Gifhorn,-1.5030860900878906,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03159_Göttingen,-2.055278778076172,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03153_Goslar,-1.3233184814453125,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03154_Helmstedt,-1.8003730773925781,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03155_Northeim,-1.7593193054199219,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03157_Peine,-1.7773628234863281,DD,sem,days_with_precipitation_amount_below_threshold,days,1
