region,DD_sem_4C_rcp85_time-mean_ensemble-diff-mean,ci_name,ci_frequency,standard_name,units,mid_month
01001_Flensburg,-0.5120196,DD,sem,days_with_precipitation_amount_below_threshold,days,1
01002_Kiel,-0.7147093,DD,sem,days_with_precipitation_amount_below_threshold,days,1
01003_Lübeck,-0.5999231,DD,sem,days_with_precipitation_amount_below_threshold,days,1
01004_Neumünster,-0.5661924,DD,sem,days_with_precipitation_amount_below_threshold,days,1
01051_Dithmarschen,-0.94741195,DD,sem,days_with_precipitation_amount_below_threshold,days,1
01053_Herzogtum Lauenburg,-0.4951875,DD,sem,days_with_precipitation_amount_below_threshold,days,1
01054_Nordfriesland,-1.0364223,DD,sem,days_with_precipitation_amount_below_threshold,days,1
01055_Ostholstein,-0.65022093,DD,sem,days_with_precipitation_amount_below_threshold,days,1
01057_Plön,-0.5757264,DD,sem,days_with_precipitation_amount_below_threshold,days,1
01058_Rendsburg-Eckernförde,-0.7592086,DD,sem,days_with_precipitation_amount_below_threshold,days,1
01059_Schleswig-Flensburg,-0.7378396,DD,sem,days_with_precipitation_amount_below_threshold,days,1
01060_Segeberg,-0.5003099,DD,sem,days_with_precipitation_amount_below_threshold,days,1
01061_Steinburg,-0.9337959,DD,sem,days_with_precipitation_amount_below_threshold,days,1
01062_Stormarn,-0.43960026,DD,sem,days_with_precipitation_amount_below_threshold,days,1
02000_Hamburg,-0.60187215,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03101_Braunschweig,-1.0651088,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03102_Salzgitter,-1.1497092,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03103_Wolfsburg,-0.83321446,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03151_Gifhorn,-0.6942039,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03159_Göttingen,-0.87644494,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03153_Goslar,-0.021475367,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03154_Helmstedt,-1.0444741,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03155_Northeim,-0.90191865,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03157_Peine,-1.0204911,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03158_Wolfenbüttel,-1.1781516,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03241_Region Hannover,-0.6210574,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03251_Diepholz,-0.5216987,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03252_Hameln-Pyrmont,-0.5772166,DD,sem,days_with_precipitation_amount_below_threshold,days,1
