region,DD_sem_4C_rcp85_time-mean_ensemble-diff-min,ci_name,ci_frequency,standard_name,units,mid_month
01001_Flensburg,-6.867088317871094,DD,sem,days_with_precipitation_amount_below_threshold,days,1
01002_Kiel,-5.466682434082031,DD,sem,days_with_precipitation_amount_below_threshold,days,1
01003_Lübeck,-5.3054046630859375,DD,sem,days_with_precipitation_amount_below_threshold,days,1
01004_Neumünster,-5.975271224975586,DD,sem,days_with_precipitation_amount_below_threshold,days,1
01051_Dithmarschen,-5.699827194213867,DD,sem,days_with_precipitation_amount_below_threshold,days,1
01053_Herzogtum Lauenburg,-5.4918365478515625,DD,sem,days_with_precipitation_amount_below_threshold,days,1
01054_Nordfriesland,-5.409343719482422,DD,sem,days_with_precipitation_amount_below_threshold,days,1
01055_Ostholstein,-5.6622772216796875,DD,sem,days_with_precipitation_amount_below_threshold,days,1
01057_Plön,-4.920499801635742,DD,sem,days_with_precipitation_amount_below_threshold,days,1
01058_Rendsburg-Eckernförde,-5.694341659545898,DD,sem,days_with_precipitation_amount_below_threshold,days,1
01059_Schleswig-Flensburg,-6.070934295654297,DD,sem,days_with_precipitation_amount_below_threshold,days,1
01060_Segeberg,-5.576835632324219,DD,sem,days_with_precipitation_amount_below_threshold,days,1
01061_Steinburg,-5.7206573486328125,DD,sem,days_with_precipitation_amount_below_threshold,days,1
01062_Stormarn,-5.447216033935547,DD,sem,days_with_precipitation_amount_below_threshold,days,1
02000_Hamburg,-5.6750030517578125,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03101_Braunschweig,-8.874237060546875,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03102_Salzgitter,-9.564502716064453,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03103_Wolfsburg,-7.879070281982422,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03151_Gifhorn,-6.992496490478516,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03159_Göttingen,-5.674839019775391,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03153_Goslar,-4.005939483642578,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03154_Helmstedt,-7.920108795166016,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03155_Northeim,-5.6414794921875,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03157_Peine,-8.806892395019531,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03158_Wolfenbüttel,-9.295600891113281,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03241_Region Hannover,-6.348876953125,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03251_Diepholz,-5.8020172119140625,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03252_Hameln-Pyrmont,-6.754230499267578,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03254_Hildesheim,-6.856056213378906,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03255_Holzminden,-5.746952056884766,DD,sem,days_with_precipitation_amount_below_threshold,days,1
01056_Pinneberg,-5.315303802490234,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03256_Nienburg (Weser),-5.371063232421875,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03257_Schaumburg,-5.065944671630859,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03351_Celle,-5.983753204345703,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03352_Cuxhaven,-5.724967956542969,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03353_Harburg,-5.6164703369140625,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03354_Lüchow-Dannenberg,-6.459758758544922,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03355_Lüneburg,-5.774028778076172,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03356_Osterholz,-6.0222930908203125,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03357_Rotenburg (Wümme),-5.190145492553711,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03358_Heidekreis,-5.202964782714844,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03359_Stade,-5.229766845703125,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03360_Uelzen,-6.643863677978516,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03361_Verden,-5.317668914794922,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03401_Delmenhorst,-6.210437774658203,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03402_Emden,-6.383602142333984,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03403_Oldenburg (Oldb),-5.731006622314453,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03404_Osnabrück,-5.507936477661133,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03405_Wilhelmshaven,-6.999320983886719,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03451_Ammerland,-5.352287292480469,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03452_Aurich,-6.249580383300781,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03453_Cloppenburg,-5.018741607666016,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03454_Emsland,-4.687229156494141,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03455_Friesland,-6.541496276855469,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03456_Grafschaft Bentheim,-5.325935363769531,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03457_Leer,-4.964286804199219,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03458_Oldenburg,-5.580226898193359,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03459_Osnabrück,-5.546049118041992,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03460_Vechta,-5.599224090576172,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03461_Wesermarsch,-6.052513122558594,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03462_Wittmund,-7.372928619384766,DD,sem,days_with_precipitation_amount_below_threshold,days,1
04011_Bremen,-5.797641754150391,DD,sem,days_with_precipitation_amount_below_threshold,days,1
04012_Bremerhaven,-5.4859771728515625,DD,sem,days_with_precipitation_amount_below_threshold,days,1
05111_Düsseldorf,-4.155673980712891,DD,sem,days_with_precipitation_amount_below_threshold,days,1
05112_Duisburg,-4.794399261474609,DD,sem,days_with_precipitation_amount_below_threshold,days,1
05113_Essen,-4.828168869018555,DD,sem,days_with_precipitation_amount_below_threshold,days,1
05114_Krefeld,-4.772943496704102,DD,sem,days_with_precipitation_amount_below_threshold,days,1
05116_Mönchengladbach,-5.4324188232421875,DD,sem,days_with_precipitation_amount_below_threshold,days,1
05117_Mülheim an der Ruhr,-4.686214447021484,DD,sem,days_with_precipitation_amount_below_threshold,days,1
