region,RRm_sem_1.5C_rcp85_time-mean_ensemble-diff-max,ci_name,ci_frequency,standard_name,units,mid_month
01001_01059_Region_um_Flensburg,0.4612858295440674,RRm,sem,precipitation,mm day-1,1
01001_01059_Region_um_Flensburg,0.5034096240997314,RRm,sem,precipitation,mm day-1,4
01001_01059_Region_um_Flensburg,0.6316115856170654,RRm,sem,precipitation,mm day-1,7
01001_01059_Region_um_Flensburg,0.40819334983825684,RRm,sem,precipitation,mm day-1,10
01001_Flensburg,0.5139021873474121,RRm,sem,precipitation,mm day-1,1
01001_Flensburg,0.5640888214111328,RRm,sem,precipitation,mm day-1,4
01001_Flensburg,0.6596033573150635,RRm,sem,precipitation,mm day-1,7
01001_Flensburg,0.38386964797973633,RRm,sem,precipitation,mm day-1,10
01002_01057_01058_Region_um_Kiel,0.4175527095794678,RRm,sem,precipitation,mm day-1,1
01002_01057_01058_Region_um_Kiel,0.4599454402923584,RRm,sem,precipitation,mm day-1,4
01002_01057_01058_Region_um_Kiel,0.5470256805419922,RRm,sem,precipitation,mm day-1,7
01002_01057_01058_Region_um_Kiel,0.4666478633880615,RRm,sem,precipitation,mm day-1,10
01002_Kiel,0.4326350688934326,RRm,sem,precipitation,mm day-1,1
01002_Kiel,0.5062665939331055,RRm,sem,precipitation,mm day-1,4
01002_Kiel,0.5501666069030762,RRm,sem,precipitation,mm day-1,7
01002_Kiel,0.4217362403869629,RRm,sem,precipitation,mm day-1,10
01003_13074_01055_01053_01062_Region_um_Lübeck,0.383408784866333,RRm,sem,precipitation,mm day-1,1
01003_13074_01055_01053_01062_Region_um_Lübeck,0.39216065406799316,RRm,sem,precipitation,mm day-1,4
01003_13074_01055_01053_01062_Region_um_Lübeck,0.5515353679656982,RRm,sem,precipitation,mm day-1,7
01003_13074_01055_01053_01062_Region_um_Lübeck,0.3538733720779419,RRm,sem,precipitation,mm day-1,10
01003_Lübeck,0.38593292236328125,RRm,sem,precipitation,mm day-1,1
01003_Lübeck,0.340948224067688,RRm,sem,precipitation,mm day-1,4
01003_Lübeck,0.5609853267669678,RRm,sem,precipitation,mm day-1,7
01003_Lübeck,0.3643909692764282,RRm,sem,precipitation,mm day-1,10
01004_01058_01060_01057_01002_Region_um_Neumünster,0.40863823890686035,RRm,sem,precipitation,mm day-1,1
01004_01058_01060_01057_01002_Region_um_Neumünster,0.43895840644836426,RRm,sem,precipitation,mm day-1,4
01004_01058_01060_01057_01002_Region_um_Neumünster,0.5465500354766846,RRm,sem,precipitation,mm day-1,7
01004_01058_01060_01057_01002_Region_um_Neumünster,0.4565277099609375,RRm,sem,precipitation,mm day-1,10
01004_Neumünster,0.4090406894683838,RRm,sem,precipitation,mm day-1,1
01004_Neumünster,0.413379430770874,RRm,sem,precipitation,mm day-1,4
01004_Neumünster,0.5938448905944824,RRm,sem,precipitation,mm day-1,7
01004_Neumünster,0.4919705390930176,RRm,sem,precipitation,mm day-1,10
01051_Dithmarschen,0.7079224586486816,RRm,sem,precipitation,mm day-1,1
01051_Dithmarschen,0.4961128234863281,RRm,sem,precipitation,mm day-1,4
01051_Dithmarschen,0.6037702560424805,RRm,sem,precipitation,mm day-1,7
01051_Dithmarschen,1.6610326766967773,RRm,sem,precipitation,mm day-1,10
01053_Herzogtum Lauenburg,0.3375513553619385,RRm,sem,precipitation,mm day-1,1
01053_Herzogtum Lauenburg,0.3953514099121094,RRm,sem,precipitation,mm day-1,4
