region,RRm_sem_1.5C_rcp85_time-mean_ensemble-diff-mean,ci_name,ci_frequency,standard_name,units,mid_month
01001_01059_Region_um_Flensburg,0.071882546,RRm,sem,precipitation,mm day-1,1
01001_01059_Region_um_Flensburg,0.1178802,RRm,sem,precipitation,mm day-1,4
01001_01059_Region_um_Flensburg,0.061268978,RRm,sem,precipitation,mm day-1,7
01001_01059_Region_um_Flensburg,0.06674068,RRm,sem,precipitation,mm day-1,10
01001_Flensburg,0.06548465,RRm,sem,precipitation,mm day-1,1
01001_Flensburg,0.113952,RRm,sem,precipitation,mm day-1,4
01001_Flensburg,0.053274225,RRm,sem,precipitation,mm day-1,7
01001_Flensburg,0.044759475,RRm,sem,precipitation,mm day-1,10
01002_01057_01058_Region_um_Kiel,0.07147242,RRm,sem,precipitation,mm day-1,1
01002_01057_01058_Region_um_Kiel,0.12908146,RRm,sem,precipitation,mm day-1,4
01002_01057_01058_Region_um_Kiel,0.07641846,RRm,sem,precipitation,mm day-1,7
01002_01057_01058_Region_um_Kiel,0.06636849,RRm,sem,precipitation,mm day-1,10
01002_Kiel,0.06922445,RRm,sem,precipitation,mm day-1,1
01002_Kiel,0.12548882,RRm,sem,precipitation,mm day-1,4
01002_Kiel,0.07006283,RRm,sem,precipitation,mm day-1,7
01002_Kiel,0.04745338,RRm,sem,precipitation,mm day-1,10
01003_13074_01055_01053_01062_Region_um_Lübeck,0.059307598,RRm,sem,precipitation,mm day-1,1
01003_13074_01055_01053_01062_Region_um_Lübeck,0.13785537,RRm,sem,precipitation,mm day-1,4
01003_13074_01055_01053_01062_Region_um_Lübeck,0.08193125,RRm,sem,precipitation,mm day-1,7
01003_13074_01055_01053_01062_Region_um_Lübeck,0.047037803,RRm,sem,precipitation,mm day-1,10
01003_Lübeck,0.055289548,RRm,sem,precipitation,mm day-1,1
01003_Lübeck,0.13689066,RRm,sem,precipitation,mm day-1,4
01003_Lübeck,0.081894375,RRm,sem,precipitation,mm day-1,7
01003_Lübeck,0.044191316,RRm,sem,precipitation,mm day-1,10
01004_01058_01060_01057_01002_Region_um_Neumünster,0.06529875,RRm,sem,precipitation,mm day-1,1
01004_01058_01060_01057_01002_Region_um_Neumünster,0.13019395,RRm,sem,precipitation,mm day-1,4
01004_01058_01060_01057_01002_Region_um_Neumünster,0.07375412,RRm,sem,precipitation,mm day-1,7
01004_01058_01060_01057_01002_Region_um_Neumünster,0.06515136,RRm,sem,precipitation,mm day-1,10
01004_Neumünster,0.055818148,RRm,sem,precipitation,mm day-1,1
01004_Neumünster,0.13516407,RRm,sem,precipitation,mm day-1,4
01004_Neumünster,0.07590098,RRm,sem,precipitation,mm day-1,7
01004_Neumünster,0.07110334,RRm,sem,precipitation,mm day-1,10
01051_Dithmarschen,0.09936921,RRm,sem,precipitation,mm day-1,1
01051_Dithmarschen,0.13356395,RRm,sem,precipitation,mm day-1,4
01051_Dithmarschen,0.11487989,RRm,sem,precipitation,mm day-1,7
01051_Dithmarschen,0.22212926,RRm,sem,precipitation,mm day-1,10
01053_Herzogtum Lauenburg,0.049850143,RRm,sem,precipitation,mm day-1,1
01053_Herzogtum Lauenburg,0.13376945,RRm,sem,precipitation,mm day-1,4
01053_Herzogtum Lauenburg,0.06873482,RRm,sem,precipitation,mm day-1,7
01053_Herzogtum Lauenburg,0.04713199,RRm,sem,precipitation,mm day-1,10
01054_Nordfriesland,0.08582494,RRm,sem,precipitation,mm day-1,1
01054_Nordfriesland,0.12421248,RRm,sem,precipitation,mm day-1,4
01054_Nordfriesland,0.08365481,RRm,sem,precipitation,mm day-1,7
01054_Nordfriesland,0.16158496,RRm,sem,precipitation,mm day-1,10
01055_Ostholstein,0.083175406,RRm,sem,precipitation,mm day-1,1
01055_Ostholstein,0.1424236,RRm,sem,precipitation,mm day-1,4
01055_Ostholstein,0.091372445,RRm,sem,precipitation,mm day-1,7
01055_Ostholstein,0.04240816,RRm,sem,precipitation,mm day-1,10
01056_Pinneberg,0.05716897,RRm,sem,precipitation,mm day-1,1
01056_Pinneberg,0.13691458,RRm,sem,precipitation,mm day-1,4
01056_Pinneberg,0.07283073,RRm,sem,precipitation,mm day-1,7
01056_Pinneberg,0.08857837,RRm,sem,precipitation,mm day-1,10
01057_Plön,0.070928544,RRm,sem,precipitation,mm day-1,1
01057_Plön,0.13637379,RRm,sem,precipitation,mm day-1,4
01057_Plön,0.07904852,RRm,sem,precipitation,mm day-1,7
01057_Plön,0.049766574,RRm,sem,precipitation,mm day-1,10
01058_Rendsburg-Eckernförde,0.07186911,RRm,sem,precipitation,mm day-1,1
01058_Rendsburg-Eckernförde,0.1256501,RRm,sem,precipitation,mm day-1,4
01058_Rendsburg-Eckernförde,0.07546398,RRm,sem,precipitation,mm day-1,7
01058_Rendsburg-Eckernförde,0.075695254,RRm,sem,precipitation,mm day-1,10
01059_Schleswig-Flensburg,0.07205039,RRm,sem,precipitation,mm day-1,1
01059_Schleswig-Flensburg,0.117983215,RRm,sem,precipitation,mm day-1,4
01059_Schleswig-Flensburg,0.06147865,RRm,sem,precipitation,mm day-1,7
01059_Schleswig-Flensburg,0.06731714,RRm,sem,precipitation,mm day-1,10
01060_Segeberg,0.05028432,RRm,sem,precipitation,mm day-1,1
01060_Segeberg,0.13270259,RRm,sem,precipitation,mm day-1,4
01060_Segeberg,0.06689768,RRm,sem,precipitation,mm day-1,7
01060_Segeberg,0.061719272,RRm,sem,precipitation,mm day-1,10
01061_Steinburg,0.06968169,RRm,sem,precipitation,mm day-1,1
01061_Steinburg,0.13103305,RRm,sem,precipitation,mm day-1,4
01061_Steinburg,0.08555141,RRm,sem,precipitation,mm day-1,7
01061_Steinburg,0.12942863,RRm,sem,precipitation,mm day-1,10
01062_Stormarn,0.047361236,RRm,sem,precipitation,mm day-1,1
01062_Stormarn,0.12971143,RRm,sem,precipitation,mm day-1,4
01062_Stormarn,0.07039814,RRm,sem,precipitation,mm day-1,7
01062_Stormarn,0.04996143,RRm,sem,precipitation,mm day-1,10
02000_Hamburg,0.05346621,RRm,sem,precipitation,mm day-1,1
02000_Hamburg,0.13997385,RRm,sem,precipitation,mm day-1,4
02000_Hamburg,0.067077294,RRm,sem,precipitation,mm day-1,7
02000_Hamburg,0.063503176,RRm,sem,precipitation,mm day-1,10
03101_03157_03154_03151_03102_03158_03103_Region_um_Braunschweig,0.064432845,RRm,sem,precipitation,mm day-1,1
03101_03157_03154_03151_03102_03158_03103_Region_um_Braunschweig,0.13966657,RRm,sem,precipitation,mm day-1,4
03101_03157_03154_03151_03102_03158_03103_Region_um_Braunschweig,0.04973758,RRm,sem,precipitation,mm day-1,7
03101_03157_03154_03151_03102_03158_03103_Region_um_Braunschweig,0.04197466,RRm,sem,precipitation,mm day-1,10
03101_Braunschweig,0.06474862,RRm,sem,precipitation,mm day-1,1
03101_Braunschweig,0.14982648,RRm,sem,precipitation,mm day-1,4
03101_Braunschweig,0.045535333,RRm,sem,precipitation,mm day-1,7
03101_Braunschweig,0.05178493,RRm,sem,precipitation,mm day-1,10
03102_03254_03157_03158_03153_03101_Region_um_Salzgitter,0.043848284,RRm,sem,precipitation,mm day-1,1
03102_03254_03157_03158_03153_03101_Region_um_Salzgitter,0.14968254,RRm,sem,precipitation,mm day-1,4
03102_03254_03157_03158_03153_03101_Region_um_Salzgitter,0.04701079,RRm,sem,precipitation,mm day-1,7
03102_03254_03157_03158_03153_03101_Region_um_Salzgitter,0.03721731,RRm,sem,precipitation,mm day-1,10
03102_Salzgitter,0.059758976,RRm,sem,precipitation,mm day-1,1
03102_Salzgitter,0.15013438,RRm,sem,precipitation,mm day-1,4
03102_Salzgitter,0.047426414,RRm,sem,precipitation,mm day-1,7
03102_Salzgitter,0.037275728,RRm,sem,precipitation,mm day-1,10
03103_03154_03151_Region_um_Wolfsburg,0.065511584,RRm,sem,precipitation,mm day-1,1
03103_03154_03151_Region_um_Wolfsburg,0.13523489,RRm,sem,precipitation,mm day-1,4
03103_03154_03151_Region_um_Wolfsburg,0.05071294,RRm,sem,precipitation,mm day-1,7
03103_03154_03151_Region_um_Wolfsburg,0.041911162,RRm,sem,precipitation,mm day-1,10
03103_Wolfsburg,0.06718072,RRm,sem,precipitation,mm day-1,1
03103_Wolfsburg,0.13860065,RRm,sem,precipitation,mm day-1,4
03103_Wolfsburg,0.0415192,RRm,sem,precipitation,mm day-1,7
