region,RRm_sem_1.5C_rcp85_time-mean_ensemble-diff-median,ci_name,ci_frequency,standard_name,units,mid_month
01001_01059_Region_um_Flensburg,0.10410010814666748,RRm,sem,precipitation,mm day-1,1
01001_01059_Region_um_Flensburg,0.1017146110534668,RRm,sem,precipitation,mm day-1,4
01001_01059_Region_um_Flensburg,0.04845893383026123,RRm,sem,precipitation,mm day-1,7
01001_01059_Region_um_Flensburg,0.10118687152862549,RRm,sem,precipitation,mm day-1,10
01001_Flensburg,0.10350346565246582,RRm,sem,precipitation,mm day-1,1
01001_Flensburg,0.10487306118011475,RRm,sem,precipitation,mm day-1,4
01001_Flensburg,0.03170132637023926,RRm,sem,precipitation,mm day-1,7
01001_Flensburg,0.060582637786865234,RRm,sem,precipitation,mm day-1,10
01002_01057_01058_Region_um_Kiel,0.10007953643798828,RRm,sem,precipitation,mm day-1,1
01002_01057_01058_Region_um_Kiel,0.13641357421875,RRm,sem,precipitation,mm day-1,4
01002_01057_01058_Region_um_Kiel,0.08606696128845215,RRm,sem,precipitation,mm day-1,7
01002_01057_01058_Region_um_Kiel,0.09210491180419922,RRm,sem,precipitation,mm day-1,10
01002_Kiel,0.1085519790649414,RRm,sem,precipitation,mm day-1,1
01002_Kiel,0.13311982154846191,RRm,sem,precipitation,mm day-1,4
01002_Kiel,0.0879666805267334,RRm,sem,precipitation,mm day-1,7
01002_Kiel,0.0693504810333252,RRm,sem,precipitation,mm day-1,10
01003_13074_01055_01053_01062_Region_um_Lübeck,0.09088325500488281,RRm,sem,precipitation,mm day-1,1
01003_13074_01055_01053_01062_Region_um_Lübeck,0.12414813041687012,RRm,sem,precipitation,mm day-1,4
01003_13074_01055_01053_01062_Region_um_Lübeck,0.09565329551696777,RRm,sem,precipitation,mm day-1,7
01003_13074_01055_01053_01062_Region_um_Lübeck,0.04833531379699707,RRm,sem,precipitation,mm day-1,10
01003_Lübeck,0.098175048828125,RRm,sem,precipitation,mm day-1,1
01003_Lübeck,0.12932229042053223,RRm,sem,precipitation,mm day-1,4
01003_Lübeck,0.07400631904602051,RRm,sem,precipitation,mm day-1,7
01003_Lübeck,0.05706191062927246,RRm,sem,precipitation,mm day-1,10
01004_01058_01060_01057_01002_Region_um_Neumünster,0.09578609466552734,RRm,sem,precipitation,mm day-1,1
01004_01058_01060_01057_01002_Region_um_Neumünster,0.12524700164794922,RRm,sem,precipitation,mm day-1,4
01004_01058_01060_01057_01002_Region_um_Neumünster,0.07655787467956543,RRm,sem,precipitation,mm day-1,7
01004_01058_01060_01057_01002_Region_um_Neumünster,0.0789787769317627,RRm,sem,precipitation,mm day-1,10
01004_Neumünster,0.09655952453613281,RRm,sem,precipitation,mm day-1,1
01004_Neumünster,0.12595617771148682,RRm,sem,precipitation,mm day-1,4
01004_Neumünster,0.04795265197753906,RRm,sem,precipitation,mm day-1,7
01004_Neumünster,0.05079340934753418,RRm,sem,precipitation,mm day-1,10
01051_Dithmarschen,0.1465620994567871,RRm,sem,precipitation,mm day-1,1
01051_Dithmarschen,0.14653968811035156,RRm,sem,precipitation,mm day-1,4
01051_Dithmarschen,0.11179327964782715,RRm,sem,precipitation,mm day-1,7
01051_Dithmarschen,0.1993885040283203,RRm,sem,precipitation,mm day-1,10
01053_Herzogtum Lauenburg,0.09532856941223145,RRm,sem,precipitation,mm day-1,1
01053_Herzogtum Lauenburg,0.12906455993652344,RRm,sem,precipitation,mm day-1,4
01053_Herzogtum Lauenburg,0.10015511512756348,RRm,sem,precipitation,mm day-1,7
01053_Herzogtum Lauenburg,0.06956696510314941,RRm,sem,precipitation,mm day-1,10
01054_Nordfriesland,0.14284992218017578,RRm,sem,precipitation,mm day-1,1
01054_Nordfriesland,0.11080789566040039,RRm,sem,precipitation,mm day-1,4
01054_Nordfriesland,0.10860371589660645,RRm,sem,precipitation,mm day-1,7
01054_Nordfriesland,0.14123106002807617,RRm,sem,precipitation,mm day-1,10
01055_Ostholstein,0.10083317756652832,RRm,sem,precipitation,mm day-1,1
01055_Ostholstein,0.14588618278503418,RRm,sem,precipitation,mm day-1,4
01055_Ostholstein,0.09194469451904297,RRm,sem,precipitation,mm day-1,7
01055_Ostholstein,0.06327342987060547,RRm,sem,precipitation,mm day-1,10
01056_Pinneberg,0.10324716567993164,RRm,sem,precipitation,mm day-1,1
01056_Pinneberg,0.1281731128692627,RRm,sem,precipitation,mm day-1,4
01056_Pinneberg,0.020556926727294922,RRm,sem,precipitation,mm day-1,7
01056_Pinneberg,0.08240795135498047,RRm,sem,precipitation,mm day-1,10
01057_Plön,0.10179400444030762,RRm,sem,precipitation,mm day-1,1
01057_Plön,0.13475680351257324,RRm,sem,precipitation,mm day-1,4
01057_Plön,0.08824944496154785,RRm,sem,precipitation,mm day-1,7
01057_Plön,0.0649271011352539,RRm,sem,precipitation,mm day-1,10
01058_Rendsburg-Eckernförde,0.09904789924621582,RRm,sem,precipitation,mm day-1,1
01058_Rendsburg-Eckernförde,0.12354183197021484,RRm,sem,precipitation,mm day-1,4
