region,RRm_sem_1.5C_rcp85_time-mean_ensemble-diff-min,ci_name,ci_frequency,standard_name,units,mid_month
01001_01059_Region_um_Flensburg,-0.4480915069580078,RRm,sem,precipitation,mm day-1,1
01001_01059_Region_um_Flensburg,-0.1973181962966919,RRm,sem,precipitation,mm day-1,4
01001_01059_Region_um_Flensburg,-0.39958834648132324,RRm,sem,precipitation,mm day-1,7
01001_01059_Region_um_Flensburg,-0.5214457511901855,RRm,sem,precipitation,mm day-1,10
01001_Flensburg,-0.485628604888916,RRm,sem,precipitation,mm day-1,1
01001_Flensburg,-0.18650007247924805,RRm,sem,precipitation,mm day-1,4
01001_Flensburg,-0.39612841606140137,RRm,sem,precipitation,mm day-1,7
01001_Flensburg,-0.5206403732299805,RRm,sem,precipitation,mm day-1,10
01002_01057_01058_Region_um_Kiel,-0.3148202896118164,RRm,sem,precipitation,mm day-1,1
01002_01057_01058_Region_um_Kiel,-0.22091162204742432,RRm,sem,precipitation,mm day-1,4
01002_01057_01058_Region_um_Kiel,-0.3802473545074463,RRm,sem,precipitation,mm day-1,7
01002_01057_01058_Region_um_Kiel,-0.39195990562438965,RRm,sem,precipitation,mm day-1,10
01002_Kiel,-0.2913179397583008,RRm,sem,precipitation,mm day-1,1
01002_Kiel,-0.2374403476715088,RRm,sem,precipitation,mm day-1,4
01002_Kiel,-0.4166231155395508,RRm,sem,precipitation,mm day-1,7
01002_Kiel,-0.36201632022857666,RRm,sem,precipitation,mm day-1,10
01003_13074_01055_01053_01062_Region_um_Lübeck,-0.28863072395324707,RRm,sem,precipitation,mm day-1,1
01003_13074_01055_01053_01062_Region_um_Lübeck,-0.14139437675476074,RRm,sem,precipitation,mm day-1,4
01003_13074_01055_01053_01062_Region_um_Lübeck,-0.2541027069091797,RRm,sem,precipitation,mm day-1,7
01003_13074_01055_01053_01062_Region_um_Lübeck,-0.30227577686309814,RRm,sem,precipitation,mm day-1,10
01003_Lübeck,-0.28893589973449707,RRm,sem,precipitation,mm day-1,1
01003_Lübeck,-0.16692757606506348,RRm,sem,precipitation,mm day-1,4
01003_Lübeck,-0.22936630249023438,RRm,sem,precipitation,mm day-1,7
01003_Lübeck,-0.3129088878631592,RRm,sem,precipitation,mm day-1,10
