region,ci_name,ci_frequency,standard_name,units,mid_month,RRm_sem_2C_rcp85_ensemble-robustness
01001_01059_Region_um_Flensburg,RRm,sem,precipitation,mm day-1,1,1.0
01001_01059_Region_um_Flensburg,RRm,sem,precipitation,mm day-1,4,1.0
01001_01059_Region_um_Flensburg,RRm,sem,precipitation,mm day-1,7,
01001_01059_Region_um_Flensburg,RRm,sem,precipitation,mm day-1,10,1.0
01001_Flensburg,RRm,sem,precipitation,mm day-1,1,1.0
01001_Flensburg,RRm,sem,precipitation,mm day-1,4,1.0
01001_Flensburg,RRm,sem,precipitation,mm day-1,7,
01001_Flensburg,RRm,sem,precipitation,mm day-1,10,1.0
01002_01057_01058_Region_um_Kiel,RRm,sem,precipitation,mm day-1,1,1.0
01002_01057_01058_Region_um_Kiel,RRm,sem,precipitation,mm day-1,4,1.0
01002_01057_01058_Region_um_Kiel,RRm,sem,precipitation,mm day-1,7,
01002_01057_01058_Region_um_Kiel,RRm,sem,precipitation,mm day-1,10,1.0
01002_Kiel,RRm,sem,precipitation,mm day-1,1,1.0
01002_Kiel,RRm,sem,precipitation,mm day-1,4,1.0
01002_Kiel,RRm,sem,precipitation,mm day-1,7,
01002_Kiel,RRm,sem,precipitation,mm day-1,10,1.0
01003_13074_01055_01053_01062_Region_um_Lübeck,RRm,sem,precipitation,mm day-1,1,1.0
01003_13074_01055_01053_01062_Region_um_Lübeck,RRm,sem,precipitation,mm day-1,4,1.0
01003_13074_01055_01053_01062_Region_um_Lübeck,RRm,sem,precipitation,mm day-1,7,
01003_13074_01055_01053_01062_Region_um_Lübeck,RRm,sem,precipitation,mm day-1,10,1.0
01003_Lübeck,RRm,sem,precipitation,mm day-1,1,1.0
01003_Lübeck,RRm,sem,precipitation,mm day-1,4,1.0
01003_Lübeck,RRm,sem,precipitation,mm day-1,7,
01003_Lübeck,RRm,sem,precipitation,mm day-1,10,1.0
01004_01058_01060_01057_01002_Region_um_Neumünster,RRm,sem,precipitation,mm day-1,1,1.0
01004_01058_01060_01057_01002_Region_um_Neumünster,RRm,sem,precipitation,mm day-1,4,1.0
01004_01058_01060_01057_01002_Region_um_Neumünster,RRm,sem,precipitation,mm day-1,7,
01004_01058_01060_01057_01002_Region_um_Neumünster,RRm,sem,precipitation,mm day-1,10,1.0
01004_Neumünster,RRm,sem,precipitation,mm day-1,1,1.0
01004_Neumünster,RRm,sem,precipitation,mm day-1,4,1.0
01004_Neumünster,RRm,sem,precipitation,mm day-1,7,
01004_Neumünster,RRm,sem,precipitation,mm day-1,10,1.0
01051_Dithmarschen,RRm,sem,precipitation,mm day-1,1,1.0
01051_Dithmarschen,RRm,sem,precipitation,mm day-1,4,1.0
01051_Dithmarschen,RRm,sem,precipitation,mm day-1,7,
