region,RRm_sem_2C_rcp85_time-mean_ensemble-diff-max,ci_name,ci_frequency,standard_name,units,mid_month
01001_01059_Region_um_Flensburg,0.5575366020202637,RRm,sem,precipitation,mm day-1,1
01001_01059_Region_um_Flensburg,0.5425939559936523,RRm,sem,precipitation,mm day-1,4
01001_01059_Region_um_Flensburg,0.5277309417724609,RRm,sem,precipitation,mm day-1,7
01001_01059_Region_um_Flensburg,0.5529718399047852,RRm,sem,precipitation,mm day-1,10
01001_Flensburg,0.6203854084014893,RRm,sem,precipitation,mm day-1,1
01001_Flensburg,0.5850918292999268,RRm,sem,precipitation,mm day-1,4
01001_Flensburg,0.5033366680145264,RRm,sem,precipitation,mm day-1,7
01001_Flensburg,0.5703716278076172,RRm,sem,precipitation,mm day-1,10
01002_01057_01058_Region_um_Kiel,0.5403749942779541,RRm,sem,precipitation,mm day-1,1
01002_01057_01058_Region_um_Kiel,0.4434623718261719,RRm,sem,precipitation,mm day-1,4
01002_01057_01058_Region_um_Kiel,0.560168981552124,RRm,sem,precipitation,mm day-1,7
01002_01057_01058_Region_um_Kiel,0.5831871032714844,RRm,sem,precipitation,mm day-1,10
01002_Kiel,0.5063996315002441,RRm,sem,precipitation,mm day-1,1
01002_Kiel,0.4494290351867676,RRm,sem,precipitation,mm day-1,4
01002_Kiel,0.4993436336517334,RRm,sem,precipitation,mm day-1,7
01002_Kiel,0.5632832050323486,RRm,sem,precipitation,mm day-1,10
01003_13074_01055_01053_01062_Region_um_Lübeck,0.5010919570922852,RRm,sem,precipitation,mm day-1,1
01003_13074_01055_01053_01062_Region_um_Lübeck,0.4314696788787842,RRm,sem,precipitation,mm day-1,4
01003_13074_01055_01053_01062_Region_um_Lübeck,0.5228838920593262,RRm,sem,precipitation,mm day-1,7
01003_13074_01055_01053_01062_Region_um_Lübeck,0.43589162826538086,RRm,sem,precipitation,mm day-1,10
01003_Lübeck,0.5147020816802979,RRm,sem,precipitation,mm day-1,1
01003_Lübeck,0.39940571784973145,RRm,sem,precipitation,mm day-1,4
01003_Lübeck,0.5103013515472412,RRm,sem,precipitation,mm day-1,7
01003_Lübeck,0.45962023735046387,RRm,sem,precipitation,mm day-1,10
01004_01058_01060_01057_01002_Region_um_Neumünster,0.551802396774292,RRm,sem,precipitation,mm day-1,1
01004_01058_01060_01057_01002_Region_um_Neumünster,0.4597182273864746,RRm,sem,precipitation,mm day-1,4
01004_01058_01060_01057_01002_Region_um_Neumünster,0.5869903564453125,RRm,sem,precipitation,mm day-1,7
01004_01058_01060_01057_01002_Region_um_Neumünster,0.584420919418335,RRm,sem,precipitation,mm day-1,10
01004_Neumünster,0.6358933448791504,RRm,sem,precipitation,mm day-1,1
01004_Neumünster,0.4720895290374756,RRm,sem,precipitation,mm day-1,4
01004_Neumünster,0.6768312454223633,RRm,sem,precipitation,mm day-1,7
01004_Neumünster,0.632774829864502,RRm,sem,precipitation,mm day-1,10
01051_Dithmarschen,0.8681018352508545,RRm,sem,precipitation,mm day-1,1
01051_Dithmarschen,0.48923587799072266,RRm,sem,precipitation,mm day-1,4
01051_Dithmarschen,0.9420278072357178,RRm,sem,precipitation,mm day-1,7
01051_Dithmarschen,2.4626331329345703,RRm,sem,precipitation,mm day-1,10
01053_Herzogtum Lauenburg,0.491626501083374,RRm,sem,precipitation,mm day-1,1
01053_Herzogtum Lauenburg,0.4315488338470459,RRm,sem,precipitation,mm day-1,4
01053_Herzogtum Lauenburg,0.5639102458953857,RRm,sem,precipitation,mm day-1,7
01053_Herzogtum Lauenburg,0.48389315605163574,RRm,sem,precipitation,mm day-1,10
01054_Nordfriesland,0.8071835041046143,RRm,sem,precipitation,mm day-1,1
01054_Nordfriesland,0.5084209442138672,RRm,sem,precipitation,mm day-1,4
01054_Nordfriesland,0.8746078014373779,RRm,sem,precipitation,mm day-1,7
01054_Nordfriesland,1.5120725631713867,RRm,sem,precipitation,mm day-1,10
01055_Ostholstein,0.5000410079956055,RRm,sem,precipitation,mm day-1,1
01055_Ostholstein,0.4377903938293457,RRm,sem,precipitation,mm day-1,4
