region,RRm_sem_2C_rcp85_time-mean_ensemble-diff-median,ci_name,ci_frequency,standard_name,units,mid_month
01001_01059_Region_um_Flensburg,0.22506952285766602,RRm,sem,precipitation,mm day-1,1
01001_01059_Region_um_Flensburg,0.12528109550476074,RRm,sem,precipitation,mm day-1,4
01001_01059_Region_um_Flensburg,0.08292603492736816,RRm,sem,precipitation,mm day-1,7
01001_01059_Region_um_Flensburg,0.13741374015808105,RRm,sem,precipitation,mm day-1,10
01001_Flensburg,0.2093675136566162,RRm,sem,precipitation,mm day-1,1
01001_Flensburg,0.09468197822570801,RRm,sem,precipitation,mm day-1,4
01001_Flensburg,0.08058547973632812,RRm,sem,precipitation,mm day-1,7
01001_Flensburg,0.11607527732849121,RRm,sem,precipitation,mm day-1,10
01002_01057_01058_Region_um_Kiel,0.21623945236206055,RRm,sem,precipitation,mm day-1,1
01002_01057_01058_Region_um_Kiel,0.12444686889648438,RRm,sem,precipitation,mm day-1,4
01002_01057_01058_Region_um_Kiel,0.06260919570922852,RRm,sem,precipitation,mm day-1,7
01002_01057_01058_Region_um_Kiel,0.13456487655639648,RRm,sem,precipitation,mm day-1,10
01002_Kiel,0.2191002368927002,RRm,sem,precipitation,mm day-1,1
01002_Kiel,0.13441133499145508,RRm,sem,precipitation,mm day-1,4
01002_Kiel,0.08680939674377441,RRm,sem,precipitation,mm day-1,7
01002_Kiel,0.10312867164611816,RRm,sem,precipitation,mm day-1,10
01003_13074_01055_01053_01062_Region_um_Lübeck,0.19466614723205566,RRm,sem,precipitation,mm day-1,1
01003_13074_01055_01053_01062_Region_um_Lübeck,0.13981521129608154,RRm,sem,precipitation,mm day-1,4
01003_13074_01055_01053_01062_Region_um_Lübeck,0.095306396484375,RRm,sem,precipitation,mm day-1,7
01003_13074_01055_01053_01062_Region_um_Lübeck,0.08020830154418945,RRm,sem,precipitation,mm day-1,10
01003_Lübeck,0.18689560890197754,RRm,sem,precipitation,mm day-1,1
01003_Lübeck,0.13901138305664062,RRm,sem,precipitation,mm day-1,4
01003_Lübeck,0.08865189552307129,RRm,sem,precipitation,mm day-1,7
