region,RRm_sem_3C_rcp85_time-mean_ensemble-diff-mean,ci_name,ci_frequency,standard_name,units,mid_month
01001_01059_Region_um_Flensburg,0.33568084,RRm,sem,precipitation,mm day-1,1
01001_01059_Region_um_Flensburg,0.22977147,RRm,sem,precipitation,mm day-1,4
01001_01059_Region_um_Flensburg,-0.036461115,RRm,sem,precipitation,mm day-1,7
01001_01059_Region_um_Flensburg,0.15938771,RRm,sem,precipitation,mm day-1,10
01001_Flensburg,0.31971663,RRm,sem,precipitation,mm day-1,1
01001_Flensburg,0.228858,RRm,sem,precipitation,mm day-1,4
01001_Flensburg,-0.0451604,RRm,sem,precipitation,mm day-1,7
01001_Flensburg,0.11771651,RRm,sem,precipitation,mm day-1,10
01002_01057_01058_Region_um_Kiel,0.31271082,RRm,sem,precipitation,mm day-1,1
01002_01057_01058_Region_um_Kiel,0.2192188,RRm,sem,precipitation,mm day-1,4
01002_01057_01058_Region_um_Kiel,-0.014706959,RRm,sem,precipitation,mm day-1,7
01002_01057_01058_Region_um_Kiel,0.1639908,RRm,sem,precipitation,mm day-1,10
01002_Kiel,0.2888251,RRm,sem,precipitation,mm day-1,1
01002_Kiel,0.21421798,RRm,sem,precipitation,mm day-1,4
01002_Kiel,-0.02486665,RRm,sem,precipitation,mm day-1,7
01002_Kiel,0.13276318,RRm,sem,precipitation,mm day-1,10
01003_13074_01055_01053_01062_Region_um_Lübeck,0.2518893,RRm,sem,precipitation,mm day-1,1
01003_13074_01055_01053_01062_Region_um_Lübeck,0.21448137,RRm,sem,precipitation,mm day-1,4
01003_13074_01055_01053_01062_Region_um_Lübeck,0.012985832,RRm,sem,precipitation,mm day-1,7
01003_13074_01055_01053_01062_Region_um_Lübeck,0.12389821,RRm,sem,precipitation,mm day-1,10
01003_Lübeck,0.24362142,RRm,sem,precipitation,mm day-1,1
01003_Lübeck,0.20879869,RRm,sem,precipitation,mm day-1,4
01003_Lübeck,0.005862299,RRm,sem,precipitation,mm day-1,7
01003_Lübeck,0.12257272,RRm,sem,precipitation,mm day-1,10
01004_01058_01060_01057_01002_Region_um_Neumünster,0.30352128,RRm,sem,precipitation,mm day-1,1
01004_01058_01060_01057_01002_Region_um_Neumünster,0.2162249,RRm,sem,precipitation,mm day-1,4
01004_01058_01060_01057_01002_Region_um_Neumünster,-0.015443574,RRm,sem,precipitation,mm day-1,7
01004_01058_01060_01057_01002_Region_um_Neumünster,0.16254753,RRm,sem,precipitation,mm day-1,10
01004_Neumünster,0.31456783,RRm,sem,precipitation,mm day-1,1
01004_Neumünster,0.22139876,RRm,sem,precipitation,mm day-1,4
01004_Neumünster,-0.013079915,RRm,sem,precipitation,mm day-1,7
01004_Neumünster,0.18688037,RRm,sem,precipitation,mm day-1,10
01051_Dithmarschen,0.46975356,RRm,sem,precipitation,mm day-1,1
01051_Dithmarschen,0.23161764,RRm,sem,precipitation,mm day-1,4
01051_Dithmarschen,0.027087841,RRm,sem,precipitation,mm day-1,7
01051_Dithmarschen,0.40348917,RRm,sem,precipitation,mm day-1,10
01053_Herzogtum Lauenburg,0.2472044,RRm,sem,precipitation,mm day-1,1
01053_Herzogtum Lauenburg,0.20255837,RRm,sem,precipitation,mm day-1,4
01053_Herzogtum Lauenburg,-0.0059235934,RRm,sem,precipitation,mm day-1,7
01053_Herzogtum Lauenburg,0.11670666,RRm,sem,precipitation,mm day-1,10
01054_Nordfriesland,0.4598986,RRm,sem,precipitation,mm day-1,1
01054_Nordfriesland,0.24851209,RRm,sem,precipitation,mm day-1,4
01054_Nordfriesland,-0.0025363052,RRm,sem,precipitation,mm day-1,7
01054_Nordfriesland,0.3096364,RRm,sem,precipitation,mm day-1,10
01055_Ostholstein,0.27208975,RRm,sem,precipitation,mm day-1,1
01055_Ostholstein,0.22078009,RRm,sem,precipitation,mm day-1,4
01055_Ostholstein,0.026328322,RRm,sem,precipitation,mm day-1,7
01055_Ostholstein,0.12696834,RRm,sem,precipitation,mm day-1,10
01056_Pinneberg,0.30583304,RRm,sem,precipitation,mm day-1,1
01056_Pinneberg,0.21358398,RRm,sem,precipitation,mm day-1,4
01056_Pinneberg,-0.015773984,RRm,sem,precipitation,mm day-1,7
01056_Pinneberg,0.19383596,RRm,sem,precipitation,mm day-1,10
01057_Plön,0.2842417,RRm,sem,precipitation,mm day-1,1
