region,RRm_sem_4C_rcp85_time-mean_ensemble-diff-min,ci_name,ci_frequency,standard_name,units,mid_month
01001_01059_Region_um_Flensburg,-0.04479026794433594,RRm,sem,precipitation,mm day-1,1
01001_01059_Region_um_Flensburg,0.037311434745788574,RRm,sem,precipitation,mm day-1,4
01001_01059_Region_um_Flensburg,-0.948432207107544,RRm,sem,precipitation,mm day-1,7
01001_01059_Region_um_Flensburg,-0.3370325565338135,RRm,sem,precipitation,mm day-1,10
01001_Flensburg,-0.12125563621520996,RRm,sem,precipitation,mm day-1,1
01001_Flensburg,0.038118600845336914,RRm,sem,precipitation,mm day-1,4
01001_Flensburg,-1.075235366821289,RRm,sem,precipitation,mm day-1,7
01001_Flensburg,-0.3584482669830322,RRm,sem,precipitation,mm day-1,10
01002_01057_01058_Region_um_Kiel,-0.0312957763671875,RRm,sem,precipitation,mm day-1,1
01002_01057_01058_Region_um_Kiel,-0.02683091163635254,RRm,sem,precipitation,mm day-1,4
01002_01057_01058_Region_um_Kiel,-0.8755779266357422,RRm,sem,precipitation,mm day-1,7
01002_01057_01058_Region_um_Kiel,-0.2647620439529419,RRm,sem,precipitation,mm day-1,10
01002_Kiel,-0.05797624588012695,RRm,sem,precipitation,mm day-1,1
01002_Kiel,-0.04431450366973877,RRm,sem,precipitation,mm day-1,4
01002_Kiel,-0.8760361671447754,RRm,sem,precipitation,mm day-1,7
01002_Kiel,-0.26923584938049316,RRm,sem,precipitation,mm day-1,10
01003_13074_01055_01053_01062_Region_um_Lübeck,-0.021570801734924316,RRm,sem,precipitation,mm day-1,1
01003_13074_01055_01053_01062_Region_um_Lübeck,0.016716361045837402,RRm,sem,precipitation,mm day-1,4
01003_13074_01055_01053_01062_Region_um_Lübeck,-0.8233718872070312,RRm,sem,precipitation,mm day-1,7
01003_13074_01055_01053_01062_Region_um_Lübeck,-0.2095111608505249,RRm,sem,precipitation,mm day-1,10
01003_Lübeck,-0.026540517807006836,RRm,sem,precipitation,mm day-1,1
01003_Lübeck,0.012445449829101562,RRm,sem,precipitation,mm day-1,4
01003_Lübeck,-0.8083987236022949,RRm,sem,precipitation,mm day-1,7
01003_Lübeck,-0.19084179401397705,RRm,sem,precipitation,mm day-1,10
01004_01058_01060_01057_01002_Region_um_Neumünster,-0.028893709182739258,RRm,sem,precipitation,mm day-1,1
01004_01058_01060_01057_01002_Region_um_Neumünster,-0.021471500396728516,RRm,sem,precipitation,mm day-1,4
01004_01058_01060_01057_01002_Region_um_Neumünster,-0.9081921577453613,RRm,sem,precipitation,mm day-1,7
01004_01058_01060_01057_01002_Region_um_Neumünster,-0.2634265422821045,RRm,sem,precipitation,mm day-1,10
01004_Neumünster,-0.030472993850708008,RRm,sem,precipitation,mm day-1,1
01004_Neumünster,-0.05828380584716797,RRm,sem,precipitation,mm day-1,4
01004_Neumünster,-0.9441375732421875,RRm,sem,precipitation,mm day-1,7
01004_Neumünster,-0.3004709482192993,RRm,sem,precipitation,mm day-1,10
01051_Dithmarschen,0.07604813575744629,RRm,sem,precipitation,mm day-1,1
01051_Dithmarschen,-0.04960298538208008,RRm,sem,precipitation,mm day-1,4
01051_Dithmarschen,-0.9570930004119873,RRm,sem,precipitation,mm day-1,7
01051_Dithmarschen,-0.3982837200164795,RRm,sem,precipitation,mm day-1,10
