region,DD_year_1.5C_rcp85_time-mean_ensemble-diff-max,ci_name,ci_frequency,standard_name,units,mid_month
01001_Flensburg,8.327255249023438,DD,year,days_with_precipitation_amount_below_threshold,days,7
01002_Kiel,7.83819580078125,DD,year,days_with_precipitation_amount_below_threshold,days,7
01003_Lübeck,7.8134002685546875,DD,year,days_with_precipitation_amount_below_threshold,days,7
01004_Neumünster,8.425704956054688,DD,year,days_with_precipitation_amount_below_threshold,days,7
01051_Dithmarschen,8.843994140625,DD,year,days_with_precipitation_amount_below_threshold,days,7
01053_Herzogtum Lauenburg,8.192123413085938,DD,year,days_with_precipitation_amount_below_threshold,days,7
01054_Nordfriesland,9.233444213867188,DD,year,days_with_precipitation_amount_below_threshold,days,7
01055_Ostholstein,6.449310302734375,DD,year,days_with_precipitation_amount_below_threshold,days,7
01057_Plön,7.6559906005859375,DD,year,days_with_precipitation_amount_below_threshold,days,7
01058_Rendsburg-Eckernförde,7.266754150390625,DD,year,days_with_precipitation_amount_below_threshold,days,7
01059_Schleswig-Flensburg,7.3798980712890625,DD,year,days_with_precipitation_amount_below_threshold,days,7
01060_Segeberg,7.7208099365234375,DD,year,days_with_precipitation_amount_below_threshold,days,7
01061_Steinburg,9.878372192382812,DD,year,days_with_precipitation_amount_below_threshold,days,7
01062_Stormarn,8.274658203125,DD,year,days_with_precipitation_amount_below_threshold,days,7
02000_Hamburg,9.712051391601562,DD,year,days_with_precipitation_amount_below_threshold,days,7
03101_Braunschweig,12.493789672851562,DD,year,days_with_precipitation_amount_below_threshold,days,7
03102_Salzgitter,14.082717895507812,DD,year,days_with_precipitation_amount_below_threshold,days,7
03103_Wolfsburg,11.918319702148438,DD,year,days_with_precipitation_amount_below_threshold,days,7
03151_Gifhorn,11.274276733398438,DD,year,days_with_precipitation_amount_below_threshold,days,7
03159_Göttingen,14.171173095703125,DD,year,days_with_precipitation_amount_below_threshold,days,7
03153_Goslar,14.5633544921875,DD,year,days_with_precipitation_amount_below_threshold,days,7
03154_Helmstedt,11.93365478515625,DD,year,days_with_precipitation_amount_below_threshold,days,7
03155_Northeim,13.656570434570312,DD,year,days_with_precipitation_amount_below_threshold,days,7
03157_Peine,12.760894775390625,DD,year,days_with_precipitation_amount_below_threshold,days,7
03158_Wolfenbüttel,13.499755859375,DD,year,days_with_precipitation_amount_below_threshold,days,7
03241_Region Hannover,13.767059326171875,DD,year,days_with_precipitation_amount_below_threshold,days,7
03251_Diepholz,12.610626220703125,DD,year,days_with_precipitation_amount_below_threshold,days,7
03252_Hameln-Pyrmont,15.7916259765625,DD,year,days_with_precipitation_amount_below_threshold,days,7
03254_Hildesheim,14.21112060546875,DD,year,days_with_precipitation_amount_below_threshold,days,7
03255_Holzminden,14.238906860351562,DD,year,days_with_precipitation_amount_below_threshold,days,7
01056_Pinneberg,9.8289794921875,DD,year,days_with_precipitation_amount_below_threshold,days,7
03256_Nienburg (Weser),12.9310302734375,DD,year,days_with_precipitation_amount_below_threshold,days,7
03257_Schaumburg,15.434280395507812,DD,year,days_with_precipitation_amount_below_threshold,days,7
03351_Celle,11.40618896484375,DD,year,days_with_precipitation_amount_below_threshold,days,7
03352_Cuxhaven,12.63238525390625,DD,year,days_with_precipitation_amount_below_threshold,days,7
03353_Harburg,10.835067749023438,DD,year,days_with_precipitation_amount_below_threshold,days,7
03354_Lüchow-Dannenberg,9.717254638671875,DD,year,days_with_precipitation_amount_below_threshold,days,7
03355_Lüneburg,10.19580078125,DD,year,days_with_precipitation_amount_below_threshold,days,7
03356_Osterholz,13.16937255859375,DD,year,days_with_precipitation_amount_below_threshold,days,7
03357_Rotenburg (Wümme),12.402328491210938,DD,year,days_with_precipitation_amount_below_threshold,days,7
03358_Heidekreis,12.261627197265625,DD,year,days_with_precipitation_amount_below_threshold,days,7
03359_Stade,11.826431274414062,DD,year,days_with_precipitation_amount_below_threshold,days,7
03360_Uelzen,10.59808349609375,DD,year,days_with_precipitation_amount_below_threshold,days,7
03361_Verden,13.069412231445312,DD,year,days_with_precipitation_amount_below_threshold,days,7
03401_Delmenhorst,12.174072265625,DD,year,days_with_precipitation_amount_below_threshold,days,7
03402_Emden,11.741104125976562,DD,year,days_with_precipitation_amount_below_threshold,days,7
03403_Oldenburg (Oldb),12.564132690429688,DD,year,days_with_precipitation_amount_below_threshold,days,7
03404_Osnabrück,12.529815673828125,DD,year,days_with_precipitation_amount_below_threshold,days,7
03405_Wilhelmshaven,12.303237915039062,DD,year,days_with_precipitation_amount_below_threshold,days,7
03451_Ammerland,12.89544677734375,DD,year,days_with_precipitation_amount_below_threshold,days,7
03452_Aurich,12.00335693359375,DD,year,days_with_precipitation_amount_below_threshold,days,7
03453_Cloppenburg,11.521209716796875,DD,year,days_with_precipitation_amount_below_threshold,days,7
03454_Emsland,11.531234741210938,DD,year,days_with_precipitation_amount_below_threshold,days,7
03455_Friesland,13.365097045898438,DD,year,days_with_precipitation_amount_below_threshold,days,7
03456_Grafschaft Bentheim,12.8682861328125,DD,year,days_with_precipitation_amount_below_threshold,days,7
03457_Leer,13.118972778320312,DD,year,days_with_precipitation_amount_below_threshold,days,7
03458_Oldenburg,11.668106079101562,DD,year,days_with_precipitation_amount_below_threshold,days,7
03459_Osnabrück,12.64971923828125,DD,year,days_with_precipitation_amount_below_threshold,days,7
03460_Vechta,11.97821044921875,DD,year,days_with_precipitation_amount_below_threshold,days,7
03461_Wesermarsch,13.189285278320312,DD,year,days_with_precipitation_amount_below_threshold,days,7
03462_Wittmund,12.302978515625,DD,year,days_with_precipitation_amount_below_threshold,days,7
04011_Bremen,12.941574096679688,DD,year,days_with_precipitation_amount_below_threshold,days,7
04012_Bremerhaven,11.697830200195312,DD,year,days_with_precipitation_amount_below_threshold,days,7
05111_Düsseldorf,13.867691040039062,DD,year,days_with_precipitation_amount_below_threshold,days,7
05112_Duisburg,12.932144165039062,DD,year,days_with_precipitation_amount_below_threshold,days,7
05113_Essen,14.516937255859375,DD,year,days_with_precipitation_amount_below_threshold,days,7
05114_Krefeld,12.68646240234375,DD,year,days_with_precipitation_amount_below_threshold,days,7
05116_Mönchengladbach,13.084121704101562,DD,year,days_with_precipitation_amount_below_threshold,days,7
05117_Mülheim an der Ruhr,12.940277099609375,DD,year,days_with_precipitation_amount_below_threshold,days,7
05119_Oberhausen,13.041534423828125,DD,year,days_with_precipitation_amount_below_threshold,days,7
05120_Remscheid,15.487518310546875,DD,year,days_with_precipitation_amount_below_threshold,days,7
05122_Solingen,15.14276123046875,DD,year,days_with_precipitation_amount_below_threshold,days,7
05124_Wuppertal,15.006546020507812,DD,year,days_with_precipitation_amount_below_threshold,days,7
05154_Kleve,11.209213256835938,DD,year,days_with_precipitation_amount_below_threshold,days,7
05158_Mettmann,14.298202514648438,DD,year,days_with_precipitation_amount_below_threshold,days,7
05162_Rhein-Kreis Neuss,13.667984008789062,DD,year,days_with_precipitation_amount_below_threshold,days,7
05166_Viersen,12.518051147460938,DD,year,days_with_precipitation_amount_below_threshold,days,7
05170_Wesel,12.063018798828125,DD,year,days_with_precipitation_amount_below_threshold,days,7
05314_Bonn,13.36407470703125,DD,year,days_with_precipitation_amount_below_threshold,days,7
05315_Köln,13.408584594726562,DD,year,days_with_precipitation_amount_below_threshold,days,7
05316_Leverkusen,14.000244140625,DD,year,days_with_precipitation_amount_below_threshold,days,7
05334_Städteregion Aachen,15.794586181640625,DD,year,days_with_precipitation_amount_below_threshold,days,7
05358_Düren,15.753128051757812,DD,year,days_with_precipitation_amount_below_threshold,days,7
05362_Rhein-Erft-Kreis,13.407684326171875,DD,year,days_with_precipitation_amount_below_threshold,days,7
05366_Euskirchen,16.87420654296875,DD,year,days_with_precipitation_amount_below_threshold,days,7
05370_Heinsberg,13.047149658203125,DD,year,days_with_precipitation_amount_below_threshold,days,7
05374_Oberbergischer Kreis,13.4644775390625,DD,year,days_with_precipitation_amount_below_threshold,days,7
05378_Rheinisch-Bergischer Kreis,13.38812255859375,DD,year,days_with_precipitation_amount_below_threshold,days,7
05382_Rhein-Sieg-Kreis,13.301528930664062,DD,year,days_with_precipitation_amount_below_threshold,days,7
05512_Bottrop,13.357162475585938,DD,year,days_with_precipitation_amount_below_threshold,days,7
05513_Gelsenkirchen,14.298568725585938,DD,year,days_with_precipitation_amount_below_threshold,days,7
05515_Münster,13.227996826171875,DD,year,days_with_precipitation_amount_below_threshold,days,7
05554_Borken,12.442230224609375,DD,year,days_with_precipitation_amount_below_threshold,days,7
05558_Coesfeld,12.982315063476562,DD,year,days_with_precipitation_amount_below_threshold,days,7
05562_Recklinghausen,13.647491455078125,DD,year,days_with_precipitation_amount_below_threshold,days,7
05566_Steinfurt,13.02838134765625,DD,year,days_with_precipitation_amount_below_threshold,days,7
05570_Warendorf,12.954666137695312,DD,year,days_with_precipitation_amount_below_threshold,days,7
05711_Bielefeld,14.648727416992188,DD,year,days_with_precipitation_amount_below_threshold,days,7
05754_Gütersloh,12.588287353515625,DD,year,days_with_precipitation_amount_below_threshold,days,7
05758_Herford,14.850189208984375,DD,year,days_with_precipitation_amount_below_threshold,days,7
05762_Höxter,13.033660888671875,DD,year,days_with_precipitation_amount_below_threshold,days,7
05766_Lippe,14.45343017578125,DD,year,days_with_precipitation_amount_below_threshold,days,7
05770_Minden-Lübbecke,14.127120971679688,DD,year,days_with_precipitation_amount_below_threshold,days,7
05774_Paderborn,14.562362670898438,DD,year,days_with_precipitation_amount_below_threshold,days,7
05911_Bochum,15.4013671875,DD,year,days_with_precipitation_amount_below_threshold,days,7
05913_Dortmund,15.2374267578125,DD,year,days_with_precipitation_amount_below_threshold,days,7
05914_Hagen,15.550521850585938,DD,year,days_with_precipitation_amount_below_threshold,days,7
05915_Hamm,14.59686279296875,DD,year,days_with_precipitation_amount_below_threshold,days,7
05916_Herne,15.23236083984375,DD,year,days_with_precipitation_amount_below_threshold,days,7
05954_Ennepe-Ruhr-Kreis,15.257980346679688,DD,year,days_with_precipitation_amount_below_threshold,days,7
05958_Hochsauerlandkreis,15.685577392578125,DD,year,days_with_precipitation_amount_below_threshold,days,7
05962_Märkischer Kreis,14.522384643554688,DD,year,days_with_precipitation_amount_below_threshold,days,7
05966_Olpe,14.030517578125,DD,year,days_with_precipitation_amount_below_threshold,days,7
05970_Siegen-Wittgenstein,13.543045043945312,DD,year,days_with_precipitation_amount_below_threshold,days,7
05974_Soest,15.914291381835938,DD,year,days_with_precipitation_amount_below_threshold,days,7
05978_Unna,14.671829223632812,DD,year,days_with_precipitation_amount_below_threshold,days,7
06411_Darmstadt,11.629302978515625,DD,year,days_with_precipitation_amount_below_threshold,days,7
06412_Frankfurt am Main,9.807830810546875,DD,year,days_with_precipitation_amount_below_threshold,days,7
06413_Offenbach am Main,10.56695556640625,DD,year,days_with_precipitation_amount_below_threshold,days,7
06414_Wiesbaden,10.261154174804688,DD,year,days_with_precipitation_amount_below_threshold,days,7
06431_Bergstraße,12.509033203125,DD,year,days_with_precipitation_amount_below_threshold,days,7
06432_Darmstadt-Dieburg,12.221237182617188,DD,year,days_with_precipitation_amount_below_threshold,days,7
06433_Groß-Gerau,11.046920776367188,DD,year,days_with_precipitation_amount_below_threshold,days,7
06434_Hochtaunuskreis,11.681976318359375,DD,year,days_with_precipitation_amount_below_threshold,days,7
06435_Main-Kinzig-Kreis,11.914398193359375,DD,year,days_with_precipitation_amount_below_threshold,days,7
06436_Main-Taunus-Kreis,9.877487182617188,DD,year,days_with_precipitation_amount_below_threshold,days,7
06437_Odenwaldkreis,13.6041259765625,DD,year,days_with_precipitation_amount_below_threshold,days,7
06438_Offenbach,11.505325317382812,DD,year,days_with_precipitation_amount_below_threshold,days,7
