region,DD_year_1.5C_rcp85_time-mean_ensemble-diff-mean,ci_name,ci_frequency,standard_name,units,mid_month
01001_Flensburg,0.83500886,DD,year,days_with_precipitation_amount_below_threshold,days,7
01002_Kiel,-0.20564511,DD,year,days_with_precipitation_amount_below_threshold,days,7
01003_Lübeck,-0.12794548,DD,year,days_with_precipitation_amount_below_threshold,days,7
01004_Neumünster,-0.15637769,DD,year,days_with_precipitation_amount_below_threshold,days,7
01051_Dithmarschen,-0.19786099,DD,year,days_with_precipitation_amount_below_threshold,days,7
01053_Herzogtum Lauenburg,-0.21083765,DD,year,days_with_precipitation_amount_below_threshold,days,7
01054_Nordfriesland,0.00204441,DD,year,days_with_precipitation_amount_below_threshold,days,7
01055_Ostholstein,-0.35644343,DD,year,days_with_precipitation_amount_below_threshold,days,7
01057_Plön,-0.18489985,DD,year,days_with_precipitation_amount_below_threshold,days,7
01058_Rendsburg-Eckernförde,-0.10445685,DD,year,days_with_precipitation_amount_below_threshold,days,7
01059_Schleswig-Flensburg,0.23542036,DD,year,days_with_precipitation_amount_below_threshold,days,7
01060_Segeberg,0.013028329,DD,year,days_with_precipitation_amount_below_threshold,days,7
01061_Steinburg,-0.18855713,DD,year,days_with_precipitation_amount_below_threshold,days,7
01062_Stormarn,-0.051093385,DD,year,days_with_precipitation_amount_below_threshold,days,7
02000_Hamburg,-0.23201738,DD,year,days_with_precipitation_amount_below_threshold,days,7
03101_Braunschweig,-0.79144263,DD,year,days_with_precipitation_amount_below_threshold,days,7
03102_Salzgitter,-0.82308984,DD,year,days_with_precipitation_amount_below_threshold,days,7
03103_Wolfsburg,-0.56902194,DD,year,days_with_precipitation_amount_below_threshold,days,7
03151_Gifhorn,-0.40925223,DD,year,days_with_precipitation_amount_below_threshold,days,7
03159_Göttingen,0.3244538,DD,year,days_with_precipitation_amount_below_threshold,days,7
03153_Goslar,0.7837835,DD,year,days_with_precipitation_amount_below_threshold,days,7
03154_Helmstedt,-0.71201366,DD,year,days_with_precipitation_amount_below_threshold,days,7
03155_Northeim,0.2373949,DD,year,days_with_precipitation_amount_below_threshold,days,7
03157_Peine,-0.7070264,DD,year,days_with_precipitation_amount_below_threshold,days,7
03158_Wolfenbüttel,-0.88319266,DD,year,days_with_precipitation_amount_below_threshold,days,7
03241_Region Hannover,-0.25396568,DD,year,days_with_precipitation_amount_below_threshold,days,7
03251_Diepholz,0.33538577,DD,year,days_with_precipitation_amount_below_threshold,days,7
03252_Hameln-Pyrmont,0.28961208,DD,year,days_with_precipitation_amount_below_threshold,days,7
03254_Hildesheim,-0.28777006,DD,year,days_with_precipitation_amount_below_threshold,days,7
03255_Holzminden,0.48989224,DD,year,days_with_precipitation_amount_below_threshold,days,7
01056_Pinneberg,-0.23047276,DD,year,days_with_precipitation_amount_below_threshold,days,7
03256_Nienburg (Weser),0.05785303,DD,year,days_with_precipitation_amount_below_threshold,days,7
03257_Schaumburg,0.4237039,DD,year,days_with_precipitation_amount_below_threshold,days,7
03351_Celle,-0.12091493,DD,year,days_with_precipitation_amount_below_threshold,days,7
03352_Cuxhaven,-0.023180243,DD,year,days_with_precipitation_amount_below_threshold,days,7
03353_Harburg,0.06184869,DD,year,days_with_precipitation_amount_below_threshold,days,7
03354_Lüchow-Dannenberg,-0.5965084,DD,year,days_with_precipitation_amount_below_threshold,days,7
03355_Lüneburg,-0.25759163,DD,year,days_with_precipitation_amount_below_threshold,days,7
03356_Osterholz,0.40221632,DD,year,days_with_precipitation_amount_below_threshold,days,7
03357_Rotenburg (Wümme),0.24311748,DD,year,days_with_precipitation_amount_below_threshold,days,7
03358_Heidekreis,0.19213037,DD,year,days_with_precipitation_amount_below_threshold,days,7
03359_Stade,0.05014038,DD,year,days_with_precipitation_amount_below_threshold,days,7
03360_Uelzen,-0.118923254,DD,year,days_with_precipitation_amount_below_threshold,days,7
03361_Verden,0.22740039,DD,year,days_with_precipitation_amount_below_threshold,days,7
03401_Delmenhorst,0.56178206,DD,year,days_with_precipitation_amount_below_threshold,days,7
03402_Emden,-0.023988156,DD,year,days_with_precipitation_amount_below_threshold,days,7
03403_Oldenburg (Oldb),0.60758114,DD,year,days_with_precipitation_amount_below_threshold,days,7
03404_Osnabrück,1.318339,DD,year,days_with_precipitation_amount_below_threshold,days,7
03405_Wilhelmshaven,0.0984406,DD,year,days_with_precipitation_amount_below_threshold,days,7
03451_Ammerland,0.666521,DD,year,days_with_precipitation_amount_below_threshold,days,7
03452_Aurich,0.165647,DD,year,days_with_precipitation_amount_below_threshold,days,7
03453_Cloppenburg,0.73109037,DD,year,days_with_precipitation_amount_below_threshold,days,7
03454_Emsland,0.8543728,DD,year,days_with_precipitation_amount_below_threshold,days,7
03455_Friesland,0.48708785,DD,year,days_with_precipitation_amount_below_threshold,days,7
03456_Grafschaft Bentheim,0.89696544,DD,year,days_with_precipitation_amount_below_threshold,days,7
03457_Leer,0.55846876,DD,year,days_with_precipitation_amount_below_threshold,days,7
03458_Oldenburg,0.7285143,DD,year,days_with_precipitation_amount_below_threshold,days,7
