region,DD_year_1.5C_rcp85_time-mean_ensemble-diff-median,ci_name,ci_frequency,standard_name,units,mid_month
01001_Flensburg,1.1631622314453125,DD,year,days_with_precipitation_amount_below_threshold,days,7
01002_Kiel,-0.4568328857421875,DD,year,days_with_precipitation_amount_below_threshold,days,7
01003_Lübeck,0.00555419921875,DD,year,days_with_precipitation_amount_below_threshold,days,7
01004_Neumünster,0.3923492431640625,DD,year,days_with_precipitation_amount_below_threshold,days,7
01051_Dithmarschen,0.5590667724609375,DD,year,days_with_precipitation_amount_below_threshold,days,7
01053_Herzogtum Lauenburg,-0.169525146484375,DD,year,days_with_precipitation_amount_below_threshold,days,7
01054_Nordfriesland,0.106536865234375,DD,year,days_with_precipitation_amount_below_threshold,days,7
01055_Ostholstein,-0.3168487548828125,DD,year,days_with_precipitation_amount_below_threshold,days,7
01057_Plön,-0.131927490234375,DD,year,days_with_precipitation_amount_below_threshold,days,7
01058_Rendsburg-Eckernförde,-0.154449462890625,DD,year,days_with_precipitation_amount_below_threshold,days,7
01059_Schleswig-Flensburg,0.257904052734375,DD,year,days_with_precipitation_amount_below_threshold,days,7
01060_Segeberg,0.9019775390625,DD,year,days_with_precipitation_amount_below_threshold,days,7
01061_Steinburg,-0.2830810546875,DD,year,days_with_precipitation_amount_below_threshold,days,7
01062_Stormarn,0.3412017822265625,DD,year,days_with_precipitation_amount_below_threshold,days,7
02000_Hamburg,0.2061767578125,DD,year,days_with_precipitation_amount_below_threshold,days,7
03101_Braunschweig,-0.7499542236328125,DD,year,days_with_precipitation_amount_below_threshold,days,7
03102_Salzgitter,-0.45703125,DD,year,days_with_precipitation_amount_below_threshold,days,7
03103_Wolfsburg,-0.5938873291015625,DD,year,days_with_precipitation_amount_below_threshold,days,7
03151_Gifhorn,-0.2599639892578125,DD,year,days_with_precipitation_amount_below_threshold,days,7
03159_Göttingen,0.1391754150390625,DD,year,days_with_precipitation_amount_below_threshold,days,7
03153_Goslar,0.9539947509765625,DD,year,days_with_precipitation_amount_below_threshold,days,7
03154_Helmstedt,-0.8795318603515625,DD,year,days_with_precipitation_amount_below_threshold,days,7
03155_Northeim,0.0906829833984375,DD,year,days_with_precipitation_amount_below_threshold,days,7
03157_Peine,-0.80889892578125,DD,year,days_with_precipitation_amount_below_threshold,days,7
03158_Wolfenbüttel,-0.854583740234375,DD,year,days_with_precipitation_amount_below_threshold,days,7
03241_Region Hannover,-0.1785430908203125,DD,year,days_with_precipitation_amount_below_threshold,days,7
03251_Diepholz,0.5613250732421875,DD,year,days_with_precipitation_amount_below_threshold,days,7
03252_Hameln-Pyrmont,0.0692596435546875,DD,year,days_with_precipitation_amount_below_threshold,days,7
03254_Hildesheim,-0.1109466552734375,DD,year,days_with_precipitation_amount_below_threshold,days,7
03255_Holzminden,0.6072235107421875,DD,year,days_with_precipitation_amount_below_threshold,days,7
01056_Pinneberg,0.1306915283203125,DD,year,days_with_precipitation_amount_below_threshold,days,7
03256_Nienburg (Weser),0.7542724609375,DD,year,days_with_precipitation_amount_below_threshold,days,7
03257_Schaumburg,1.0650482177734375,DD,year,days_with_precipitation_amount_below_threshold,days,7
03351_Celle,0.053955078125,DD,year,days_with_precipitation_amount_below_threshold,days,7
03352_Cuxhaven,0.30169677734375,DD,year,days_with_precipitation_amount_below_threshold,days,7
03353_Harburg,0.213287353515625,DD,year,days_with_precipitation_amount_below_threshold,days,7
03354_Lüchow-Dannenberg,-0.1552581787109375,DD,year,days_with_precipitation_amount_below_threshold,days,7
03355_Lüneburg,-0.147247314453125,DD,year,days_with_precipitation_amount_below_threshold,days,7
03356_Osterholz,0.992218017578125,DD,year,days_with_precipitation_amount_below_threshold,days,7
03357_Rotenburg (Wümme),0.7392425537109375,DD,year,days_with_precipitation_amount_below_threshold,days,7
03358_Heidekreis,0.4052734375,DD,year,days_with_precipitation_amount_below_threshold,days,7
03359_Stade,0.5561676025390625,DD,year,days_with_precipitation_amount_below_threshold,days,7
03360_Uelzen,0.1343536376953125,DD,year,days_with_precipitation_amount_below_threshold,days,7
03361_Verden,0.602081298828125,DD,year,days_with_precipitation_amount_below_threshold,days,7
03401_Delmenhorst,0.624420166015625,DD,year,days_with_precipitation_amount_below_threshold,days,7
03402_Emden,0.83526611328125,DD,year,days_with_precipitation_amount_below_threshold,days,7
03403_Oldenburg (Oldb),0.4034576416015625,DD,year,days_with_precipitation_amount_below_threshold,days,7
03404_Osnabrück,1.30645751953125,DD,year,days_with_precipitation_amount_below_threshold,days,7
03405_Wilhelmshaven,0.5724639892578125,DD,year,days_with_precipitation_amount_below_threshold,days,7
03451_Ammerland,0.4561767578125,DD,year,days_with_precipitation_amount_below_threshold,days,7
03452_Aurich,0.6050567626953125,DD,year,days_with_precipitation_amount_below_threshold,days,7
03453_Cloppenburg,1.0531005859375,DD,year,days_with_precipitation_amount_below_threshold,days,7
03454_Emsland,1.0513763427734375,DD,year,days_with_precipitation_amount_below_threshold,days,7
03455_Friesland,0.665313720703125,DD,year,days_with_precipitation_amount_below_threshold,days,7
03456_Grafschaft Bentheim,0.611297607421875,DD,year,days_with_precipitation_amount_below_threshold,days,7
03457_Leer,1.0188751220703125,DD,year,days_with_precipitation_amount_below_threshold,days,7
03458_Oldenburg,0.830810546875,DD,year,days_with_precipitation_amount_below_threshold,days,7
03459_Osnabrück,1.0343017578125,DD,year,days_with_precipitation_amount_below_threshold,days,7
03460_Vechta,0.9703521728515625,DD,year,days_with_precipitation_amount_below_threshold,days,7
03461_Wesermarsch,0.8084564208984375,DD,year,days_with_precipitation_amount_below_threshold,days,7
03462_Wittmund,0.822662353515625,DD,year,days_with_precipitation_amount_below_threshold,days,7
04011_Bremen,0.931549072265625,DD,year,days_with_precipitation_amount_below_threshold,days,7
04012_Bremerhaven,0.468353271484375,DD,year,days_with_precipitation_amount_below_threshold,days,7
05111_Düsseldorf,1.5789337158203125,DD,year,days_with_precipitation_amount_below_threshold,days,7
05112_Duisburg,1.446868896484375,DD,year,days_with_precipitation_amount_below_threshold,days,7
05113_Essen,2.0664215087890625,DD,year,days_with_precipitation_amount_below_threshold,days,7
05114_Krefeld,1.763763427734375,DD,year,days_with_precipitation_amount_below_threshold,days,7
05116_Mönchengladbach,2.265289306640625,DD,year,days_with_precipitation_amount_below_threshold,days,7
05117_Mülheim an der Ruhr,2.4074859619140625,DD,year,days_with_precipitation_amount_below_threshold,days,7
05119_Oberhausen,1.7767333984375,DD,year,days_with_precipitation_amount_below_threshold,days,7
05120_Remscheid,2.7418060302734375,DD,year,days_with_precipitation_amount_below_threshold,days,7
05122_Solingen,2.148773193359375,DD,year,days_with_precipitation_amount_below_threshold,days,7
05124_Wuppertal,2.8125,DD,year,days_with_precipitation_amount_below_threshold,days,7
05154_Kleve,1.4583282470703125,DD,year,days_with_precipitation_amount_below_threshold,days,7
05158_Mettmann,1.94696044921875,DD,year,days_with_precipitation_amount_below_threshold,days,7
05162_Rhein-Kreis Neuss,1.6836395263671875,DD,year,days_with_precipitation_amount_below_threshold,days,7
05166_Viersen,1.80731201171875,DD,year,days_with_precipitation_amount_below_threshold,days,7
05170_Wesel,1.8184814453125,DD,year,days_with_precipitation_amount_below_threshold,days,7
05314_Bonn,0.8702392578125,DD,year,days_with_precipitation_amount_below_threshold,days,7
05315_Köln,1.1871185302734375,DD,year,days_with_precipitation_amount_below_threshold,days,7
05316_Leverkusen,1.938690185546875,DD,year,days_with_precipitation_amount_below_threshold,days,7
05334_Städteregion Aachen,1.6055908203125,DD,year,days_with_precipitation_amount_below_threshold,days,7
