region,DD_year_1.5C_rcp85_time-mean_ensemble-diff-min,ci_name,ci_frequency,standard_name,units,mid_month
01001_Flensburg,-8.275009155273438,DD,year,days_with_precipitation_amount_below_threshold,days,7
01002_Kiel,-8.64862060546875,DD,year,days_with_precipitation_amount_below_threshold,days,7
01003_Lübeck,-8.212539672851562,DD,year,days_with_precipitation_amount_below_threshold,days,7
01004_Neumünster,-9.712020874023438,DD,year,days_with_precipitation_amount_below_threshold,days,7
01051_Dithmarschen,-10.00518798828125,DD,year,days_with_precipitation_amount_below_threshold,days,7
01053_Herzogtum Lauenburg,-8.4627685546875,DD,year,days_with_precipitation_amount_below_threshold,days,7
01054_Nordfriesland,-8.902206420898438,DD,year,days_with_precipitation_amount_below_threshold,days,7
01055_Ostholstein,-7.694854736328125,DD,year,days_with_precipitation_amount_below_threshold,days,7
01057_Plön,-8.245742797851562,DD,year,days_with_precipitation_amount_below_threshold,days,7
01058_Rendsburg-Eckernförde,-8.609878540039062,DD,year,days_with_precipitation_amount_below_threshold,days,7
01059_Schleswig-Flensburg,-7.577423095703125,DD,year,days_with_precipitation_amount_below_threshold,days,7
01060_Segeberg,-7.938262939453125,DD,year,days_with_precipitation_amount_below_threshold,days,7
01061_Steinburg,-8.499313354492188,DD,year,days_with_precipitation_amount_below_threshold,days,7
01062_Stormarn,-8.061996459960938,DD,year,days_with_precipitation_amount_below_threshold,days,7
02000_Hamburg,-9.263473510742188,DD,year,days_with_precipitation_amount_below_threshold,days,7
03101_Braunschweig,-11.891021728515625,DD,year,days_with_precipitation_amount_below_threshold,days,7
03102_Salzgitter,-11.141067504882812,DD,year,days_with_precipitation_amount_below_threshold,days,7
03103_Wolfsburg,-11.128387451171875,DD,year,days_with_precipitation_amount_below_threshold,days,7
03151_Gifhorn,-10.463363647460938,DD,year,days_with_precipitation_amount_below_threshold,days,7
03159_Göttingen,-9.5716552734375,DD,year,days_with_precipitation_amount_below_threshold,days,7
03153_Goslar,-9.67791748046875,DD,year,days_with_precipitation_amount_below_threshold,days,7
03154_Helmstedt,-10.462158203125,DD,year,days_with_precipitation_amount_below_threshold,days,7
03155_Northeim,-9.548568725585938,DD,year,days_with_precipitation_amount_below_threshold,days,7
03157_Peine,-12.461273193359375,DD,year,days_with_precipitation_amount_below_threshold,days,7
03158_Wolfenbüttel,-10.76446533203125,DD,year,days_with_precipitation_amount_below_threshold,days,7
03241_Region Hannover,-11.919815063476562,DD,year,days_with_precipitation_amount_below_threshold,days,7
03251_Diepholz,-9.667434692382812,DD,year,days_with_precipitation_amount_below_threshold,days,7
03252_Hameln-Pyrmont,-9.406509399414062,DD,year,days_with_precipitation_amount_below_threshold,days,7
03254_Hildesheim,-11.849349975585938,DD,year,days_with_precipitation_amount_below_threshold,days,7
03255_Holzminden,-10.323806762695312,DD,year,days_with_precipitation_amount_below_threshold,days,7
01056_Pinneberg,-9.158935546875,DD,year,days_with_precipitation_amount_below_threshold,days,7
03256_Nienburg (Weser),-10.062423706054688,DD,year,days_with_precipitation_amount_below_threshold,days,7
03257_Schaumburg,-10.838363647460938,DD,year,days_with_precipitation_amount_below_threshold,days,7
03351_Celle,-12.374725341796875,DD,year,days_with_precipitation_amount_below_threshold,days,7
03352_Cuxhaven,-10.462600708007812,DD,year,days_with_precipitation_amount_below_threshold,days,7
