region,DD_year_2C_rcp85_time-mean_ensemble-diff-max,ci_name,ci_frequency,standard_name,units,mid_month
01001_Flensburg,10.710968017578125,DD,year,days_with_precipitation_amount_below_threshold,days,7
01002_Kiel,9.549484252929688,DD,year,days_with_precipitation_amount_below_threshold,days,7
01003_Lübeck,9.273895263671875,DD,year,days_with_precipitation_amount_below_threshold,days,7
01004_Neumünster,8.379562377929688,DD,year,days_with_precipitation_amount_below_threshold,days,7
01051_Dithmarschen,8.214584350585938,DD,year,days_with_precipitation_amount_below_threshold,days,7
01053_Herzogtum Lauenburg,8.055313110351562,DD,year,days_with_precipitation_amount_below_threshold,days,7
01054_Nordfriesland,8.61248779296875,DD,year,days_with_precipitation_amount_below_threshold,days,7
01055_Ostholstein,8.24127197265625,DD,year,days_with_precipitation_amount_below_threshold,days,7
01057_Plön,8.865615844726562,DD,year,days_with_precipitation_amount_below_threshold,days,7
01058_Rendsburg-Eckernförde,8.202590942382812,DD,year,days_with_precipitation_amount_below_threshold,days,7
01059_Schleswig-Flensburg,9.790206909179688,DD,year,days_with_precipitation_amount_below_threshold,days,7
01060_Segeberg,8.230316162109375,DD,year,days_with_precipitation_amount_below_threshold,days,7
01061_Steinburg,7.970245361328125,DD,year,days_with_precipitation_amount_below_threshold,days,7
01062_Stormarn,8.227630615234375,DD,year,days_with_precipitation_amount_below_threshold,days,7
02000_Hamburg,8.240036010742188,DD,year,days_with_precipitation_amount_below_threshold,days,7
03101_Braunschweig,10.208908081054688,DD,year,days_with_precipitation_amount_below_threshold,days,7
03102_Salzgitter,13.252029418945312,DD,year,days_with_precipitation_amount_below_threshold,days,7
03103_Wolfsburg,10.316497802734375,DD,year,days_with_precipitation_amount_below_threshold,days,7
03151_Gifhorn,8.962158203125,DD,year,days_with_precipitation_amount_below_threshold,days,7
03159_Göttingen,13.16375732421875,DD,year,days_with_precipitation_amount_below_threshold,days,7
03153_Goslar,13.344757080078125,DD,year,days_with_precipitation_amount_below_threshold,days,7
03154_Helmstedt,9.93255615234375,DD,year,days_with_precipitation_amount_below_threshold,days,7
03155_Northeim,12.453521728515625,DD,year,days_with_precipitation_amount_below_threshold,days,7
03157_Peine,10.877029418945312,DD,year,days_with_precipitation_amount_below_threshold,days,7
03158_Wolfenbüttel,11.957931518554688,DD,year,days_with_precipitation_amount_below_threshold,days,7
03241_Region Hannover,12.12445068359375,DD,year,days_with_precipitation_amount_below_threshold,days,7
03251_Diepholz,11.160385131835938,DD,year,days_with_precipitation_amount_below_threshold,days,7
