region,DD_year_2C_rcp85_time-mean_ensemble-diff-mean,ci_name,ci_frequency,standard_name,units,mid_month
01001_Flensburg,-0.4478377,DD,year,days_with_precipitation_amount_below_threshold,days,7
01002_Kiel,-1.5472208,DD,year,days_with_precipitation_amount_below_threshold,days,7
01003_Lübeck,-1.8448762,DD,year,days_with_precipitation_amount_below_threshold,days,7
01004_Neumünster,-1.8606608,DD,year,days_with_precipitation_amount_below_threshold,days,7
01051_Dithmarschen,-2.532194,DD,year,days_with_precipitation_amount_below_threshold,days,7
01053_Herzogtum Lauenburg,-1.9614054,DD,year,days_with_precipitation_amount_below_threshold,days,7
01054_Nordfriesland,-2.0894423,DD,year,days_with_precipitation_amount_below_threshold,days,7
01055_Ostholstein,-1.9649802,DD,year,days_with_precipitation_amount_below_threshold,days,7
01057_Plön,-1.6184002,DD,year,days_with_precipitation_amount_below_threshold,days,7
01058_Rendsburg-Eckernförde,-1.7624621,DD,year,days_with_precipitation_amount_below_threshold,days,7
01059_Schleswig-Flensburg,-1.2625208,DD,year,days_with_precipitation_amount_below_threshold,days,7
01060_Segeberg,-1.6941892,DD,year,days_with_precipitation_amount_below_threshold,days,7
01061_Steinburg,-2.1906202,DD,year,days_with_precipitation_amount_below_threshold,days,7
01062_Stormarn,-1.7971877,DD,year,days_with_precipitation_amount_below_threshold,days,7
02000_Hamburg,-2.132758,DD,year,days_with_precipitation_amount_below_threshold,days,7
03101_Braunschweig,-2.9645994,DD,year,days_with_precipitation_amount_below_threshold,days,7
03102_Salzgitter,-3.1131098,DD,year,days_with_precipitation_amount_below_threshold,days,7
03103_Wolfsburg,-2.5803697,DD,year,days_with_precipitation_amount_below_threshold,days,7
03151_Gifhorn,-2.4906414,DD,year,days_with_precipitation_amount_below_threshold,days,7
03159_Göttingen,-2.3647118,DD,year,days_with_precipitation_amount_below_threshold,days,7
03153_Goslar,-1.5369691,DD,year,days_with_precipitation_amount_below_threshold,days,7
03154_Helmstedt,-2.8545396,DD,year,days_with_precipitation_amount_below_threshold,days,7
03155_Northeim,-2.2718356,DD,year,days_with_precipitation_amount_below_threshold,days,7
03157_Peine,-2.8237834,DD,year,days_with_precipitation_amount_below_threshold,days,7
03158_Wolfenbüttel,-3.1918507,DD,year,days_with_precipitation_amount_below_threshold,days,7
03241_Region Hannover,-2.3940916,DD,year,days_with_precipitation_amount_below_threshold,days,7
03251_Diepholz,-1.6264827,DD,year,days_with_precipitation_amount_below_threshold,days,7
03252_Hameln-Pyrmont,-1.9020332,DD,year,days_with_precipitation_amount_below_threshold,days,7
03254_Hildesheim,-2.6206386,DD,year,days_with_precipitation_amount_below_threshold,days,7
03255_Holzminden,-1.7933451,DD,year,days_with_precipitation_amount_below_threshold,days,7
01056_Pinneberg,-2.2270093,DD,year,days_with_precipitation_amount_below_threshold,days,7
03256_Nienburg (Weser),-1.9061068,DD,year,days_with_precipitation_amount_below_threshold,days,7
03257_Schaumburg,-1.7131273,DD,year,days_with_precipitation_amount_below_threshold,days,7
03351_Celle,-2.3092225,DD,year,days_with_precipitation_amount_below_threshold,days,7
03352_Cuxhaven,-2.2543461,DD,year,days_with_precipitation_amount_below_threshold,days,7
03353_Harburg,-1.8606495,DD,year,days_with_precipitation_amount_below_threshold,days,7
03354_Lüchow-Dannenberg,-2.5361419,DD,year,days_with_precipitation_amount_below_threshold,days,7
03355_Lüneburg,-2.1426644,DD,year,days_with_precipitation_amount_below_threshold,days,7
03356_Osterholz,-1.66609,DD,year,days_with_precipitation_amount_below_threshold,days,7
03357_Rotenburg (Wümme),-1.8447644,DD,year,days_with_precipitation_amount_below_threshold,days,7
03358_Heidekreis,-1.9171836,DD,year,days_with_precipitation_amount_below_threshold,days,7
03359_Stade,-2.0256107,DD,year,days_with_precipitation_amount_below_threshold,days,7
03360_Uelzen,-2.156553,DD,year,days_with_precipitation_amount_below_threshold,days,7
03361_Verden,-1.908428,DD,year,days_with_precipitation_amount_below_threshold,days,7
03401_Delmenhorst,-1.5015364,DD,year,days_with_precipitation_amount_below_threshold,days,7
03402_Emden,-2.0490026,DD,year,days_with_precipitation_amount_below_threshold,days,7
03403_Oldenburg (Oldb),-1.2722131,DD,year,days_with_precipitation_amount_below_threshold,days,7
03404_Osnabrück,-0.85540795,DD,year,days_with_precipitation_amount_below_threshold,days,7
03405_Wilhelmshaven,-2.1320534,DD,year,days_with_precipitation_amount_below_threshold,days,7
03451_Ammerland,-1.1339331,DD,year,days_with_precipitation_amount_below_threshold,days,7
03452_Aurich,-1.8769606,DD,year,days_with_precipitation_amount_below_threshold,days,7
03453_Cloppenburg,-1.1907073,DD,year,days_with_precipitation_amount_below_threshold,days,7
03454_Emsland,-1.0998324,DD,year,days_with_precipitation_amount_below_threshold,days,7
03455_Friesland,-1.3939022,DD,year,days_with_precipitation_amount_below_threshold,days,7
03456_Grafschaft Bentheim,-0.9655681,DD,year,days_with_precipitation_amount_below_threshold,days,7
03457_Leer,-1.2895304,DD,year,days_with_precipitation_amount_below_threshold,days,7
03458_Oldenburg,-1.2755204,DD,year,days_with_precipitation_amount_below_threshold,days,7
03459_Osnabrück,-1.0617483,DD,year,days_with_precipitation_amount_below_threshold,days,7
03460_Vechta,-1.27895,DD,year,days_with_precipitation_amount_below_threshold,days,7
03461_Wesermarsch,-1.5988044,DD,year,days_with_precipitation_amount_below_threshold,days,7
03462_Wittmund,-1.6560516,DD,year,days_with_precipitation_amount_below_threshold,days,7
04011_Bremen,-1.5922847,DD,year,days_with_precipitation_amount_below_threshold,days,7
04012_Bremerhaven,-2.1390934,DD,year,days_with_precipitation_amount_below_threshold,days,7
05111_Düsseldorf,-0.5926198,DD,year,days_with_precipitation_amount_below_threshold,days,7
05112_Duisburg,-0.55272096,DD,year,days_with_precipitation_amount_below_threshold,days,7
05113_Essen,-0.42698535,DD,year,days_with_precipitation_amount_below_threshold,days,7
05114_Krefeld,-0.42510638,DD,year,days_with_precipitation_amount_below_threshold,days,7
05116_Mönchengladbach,-0.358573,DD,year,days_with_precipitation_amount_below_threshold,days,7
05117_Mülheim an der Ruhr,-0.5857809,DD,year,days_with_precipitation_amount_below_threshold,days,7
05119_Oberhausen,-0.53183436,DD,year,days_with_precipitation_amount_below_threshold,days,7
05120_Remscheid,0.41191784,DD,year,days_with_precipitation_amount_below_threshold,days,7
05122_Solingen,-0.1863663,DD,year,days_with_precipitation_amount_below_threshold,days,7
05124_Wuppertal,0.23997043,DD,year,days_with_precipitation_amount_below_threshold,days,7
05154_Kleve,-0.43990955,DD,year,days_with_precipitation_amount_below_threshold,days,7
05158_Mettmann,-0.36315516,DD,year,days_with_precipitation_amount_below_threshold,days,7
05162_Rhein-Kreis Neuss,-0.6582829,DD,year,days_with_precipitation_amount_below_threshold,days,7
05166_Viersen,-0.3284963,DD,year,days_with_precipitation_amount_below_threshold,days,7
05170_Wesel,-0.47248438,DD,year,days_with_precipitation_amount_below_threshold,days,7
05314_Bonn,-1.0383838,DD,year,days_with_precipitation_amount_below_threshold,days,7
05315_Köln,-0.9050151,DD,year,days_with_precipitation_amount_below_threshold,days,7
05316_Leverkusen,-0.64061964,DD,year,days_with_precipitation_amount_below_threshold,days,7
05334_Städteregion Aachen,0.21486597,DD,year,days_with_precipitation_amount_below_threshold,days,7
05358_Düren,-0.57107145,DD,year,days_with_precipitation_amount_below_threshold,days,7
05362_Rhein-Erft-Kreis,-0.87122303,DD,year,days_with_precipitation_amount_below_threshold,days,7
05366_Euskirchen,-0.065287806,DD,year,days_with_precipitation_amount_below_threshold,days,7
05370_Heinsberg,-0.35855076,DD,year,days_with_precipitation_amount_below_threshold,days,7
05374_Oberbergischer Kreis,0.08512129,DD,year,days_with_precipitation_amount_below_threshold,days,7
05378_Rheinisch-Bergischer Kreis,-0.23405296,DD,year,days_with_precipitation_amount_below_threshold,days,7
05382_Rhein-Sieg-Kreis,-0.7736051,DD,year,days_with_precipitation_amount_below_threshold,days,7
05512_Bottrop,-0.63146544,DD,year,days_with_precipitation_amount_below_threshold,days,7
05513_Gelsenkirchen,-0.7916447,DD,year,days_with_precipitation_amount_below_threshold,days,7
05515_Münster,-1.080753,DD,year,days_with_precipitation_amount_below_threshold,days,7
05554_Borken,-0.6725161,DD,year,days_with_precipitation_amount_below_threshold,days,7
05558_Coesfeld,-0.6893147,DD,year,days_with_precipitation_amount_below_threshold,days,7
05562_Recklinghausen,-0.71248776,DD,year,days_with_precipitation_amount_below_threshold,days,7
05566_Steinfurt,-0.98711836,DD,year,days_with_precipitation_amount_below_threshold,days,7
05570_Warendorf,-1.3015463,DD,year,days_with_precipitation_amount_below_threshold,days,7
05711_Bielefeld,-1.2592851,DD,year,days_with_precipitation_amount_below_threshold,days,7
05754_Gütersloh,-1.430171,DD,year,days_with_precipitation_amount_below_threshold,days,7
05758_Herford,-1.5094286,DD,year,days_with_precipitation_amount_below_threshold,days,7
05762_Höxter,-1.6520281,DD,year,days_with_precipitation_amount_below_threshold,days,7
05766_Lippe,-1.3512833,DD,year,days_with_precipitation_amount_below_threshold,days,7
05770_Minden-Lübbecke,-1.7556096,DD,year,days_with_precipitation_amount_below_threshold,days,7
05774_Paderborn,-1.450943,DD,year,days_with_precipitation_amount_below_threshold,days,7
05911_Bochum,-0.673762,DD,year,days_with_precipitation_amount_below_threshold,days,7
05913_Dortmund,-1.1167583,DD,year,days_with_precipitation_amount_below_threshold,days,7
05914_Hagen,-0.47369358,DD,year,days_with_precipitation_amount_below_threshold,days,7
05915_Hamm,-1.5262591,DD,year,days_with_precipitation_amount_below_threshold,days,7
05916_Herne,-0.87142223,DD,year,days_with_precipitation_amount_below_threshold,days,7
05954_Ennepe-Ruhr-Kreis,-0.1236417,DD,year,days_with_precipitation_amount_below_threshold,days,7
05958_Hochsauerlandkreis,-0.2071793,DD,year,days_with_precipitation_amount_below_threshold,days,7
05962_Märkischer Kreis,-0.073381394,DD,year,days_with_precipitation_amount_below_threshold,days,7
05966_Olpe,0.31069303,DD,year,days_with_precipitation_amount_below_threshold,days,7
05970_Siegen-Wittgenstein,0.60480887,DD,year,days_with_precipitation_amount_below_threshold,days,7
05974_Soest,-1.497443,DD,year,days_with_precipitation_amount_below_threshold,days,7
05978_Unna,-1.2986844,DD,year,days_with_precipitation_amount_below_threshold,days,7
06411_Darmstadt,-1.4399347,DD,year,days_with_precipitation_amount_below_threshold,days,7
06412_Frankfurt am Main,-1.5399307,DD,year,days_with_precipitation_amount_below_threshold,days,7
06413_Offenbach am Main,-1.6883805,DD,year,days_with_precipitation_amount_below_threshold,days,7
06414_Wiesbaden,-1.0703757,DD,year,days_with_precipitation_amount_below_threshold,days,7
06431_Bergstraße,-0.9886898,DD,year,days_with_precipitation_amount_below_threshold,days,7
06432_Darmstadt-Dieburg,-1.229418,DD,year,days_with_precipitation_amount_below_threshold,days,7
06433_Groß-Gerau,-2.03488,DD,year,days_with_precipitation_amount_below_threshold,days,7
06434_Hochtaunuskreis,-0.3789357,DD,year,days_with_precipitation_amount_below_threshold,days,7
06435_Main-Kinzig-Kreis,-0.7656657,DD,year,days_with_precipitation_amount_below_threshold,days,7
06436_Main-Taunus-Kreis,-1.1124699,DD,year,days_with_precipitation_amount_below_threshold,days,7
06437_Odenwaldkreis,-0.35926604,DD,year,days_with_precipitation_amount_below_threshold,days,7
06438_Offenbach,-1.6151991,DD,year,days_with_precipitation_amount_below_threshold,days,7
06439_Rheingau-Taunus-Kreis,-0.3868684,DD,year,days_with_precipitation_amount_below_threshold,days,7
06440_Wetteraukreis,-1.1440146,DD,year,days_with_precipitation_amount_below_threshold,days,7
06531_Gießen,-1.0212185,DD,year,days_with_precipitation_amount_below_threshold,days,7
06532_Lahn-Dill-Kreis,-0.15017861,DD,year,days_with_precipitation_amount_below_threshold,days,7
