region,DD_year_2C_rcp85_time-mean_ensemble-diff-min,ci_name,ci_frequency,standard_name,units,mid_month
01001_Flensburg,-11.878646850585938,DD,year,days_with_precipitation_amount_below_threshold,days,7
01002_Kiel,-15.414794921875,DD,year,days_with_precipitation_amount_below_threshold,days,7
01003_Lübeck,-12.148193359375,DD,year,days_with_precipitation_amount_below_threshold,days,7
01004_Neumünster,-13.886917114257812,DD,year,days_with_precipitation_amount_below_threshold,days,7
01051_Dithmarschen,-13.302642822265625,DD,year,days_with_precipitation_amount_below_threshold,days,7
01053_Herzogtum Lauenburg,-11.407089233398438,DD,year,days_with_precipitation_amount_below_threshold,days,7
01054_Nordfriesland,-12.799530029296875,DD,year,days_with_precipitation_amount_below_threshold,days,7
01055_Ostholstein,-12.638656616210938,DD,year,days_with_precipitation_amount_below_threshold,days,7
01057_Plön,-13.587677001953125,DD,year,days_with_precipitation_amount_below_threshold,days,7
01058_Rendsburg-Eckernförde,-14.54461669921875,DD,year,days_with_precipitation_amount_below_threshold,days,7
01059_Schleswig-Flensburg,-12.874908447265625,DD,year,days_with_precipitation_amount_below_threshold,days,7
01060_Segeberg,-11.435195922851562,DD,year,days_with_precipitation_amount_below_threshold,days,7
01061_Steinburg,-12.175704956054688,DD,year,days_with_precipitation_amount_below_threshold,days,7
01062_Stormarn,-10.708343505859375,DD,year,days_with_precipitation_amount_below_threshold,days,7
02000_Hamburg,-11.140670776367188,DD,year,days_with_precipitation_amount_below_threshold,days,7
03101_Braunschweig,-12.500396728515625,DD,year,days_with_precipitation_amount_below_threshold,days,7
03102_Salzgitter,-11.629150390625,DD,year,days_with_precipitation_amount_below_threshold,days,7
03103_Wolfsburg,-11.359420776367188,DD,year,days_with_precipitation_amount_below_threshold,days,7
03151_Gifhorn,-10.848251342773438,DD,year,days_with_precipitation_amount_below_threshold,days,7
03159_Göttingen,-12.359603881835938,DD,year,days_with_precipitation_amount_below_threshold,days,7
03153_Goslar,-12.8248291015625,DD,year,days_with_precipitation_amount_below_threshold,days,7
03154_Helmstedt,-10.974090576171875,DD,year,days_with_precipitation_amount_below_threshold,days,7
03155_Northeim,-11.30224609375,DD,year,days_with_precipitation_amount_below_threshold,days,7
03157_Peine,-12.70123291015625,DD,year,days_with_precipitation_amount_below_threshold,days,7
03158_Wolfenbüttel,-11.413589477539062,DD,year,days_with_precipitation_amount_below_threshold,days,7
03241_Region Hannover,-12.715347290039062,DD,year,days_with_precipitation_amount_below_threshold,days,7
03251_Diepholz,-10.037734985351562,DD,year,days_with_precipitation_amount_below_threshold,days,7
03252_Hameln-Pyrmont,-10.089035034179688,DD,year,days_with_precipitation_amount_below_threshold,days,7
03254_Hildesheim,-11.5361328125,DD,year,days_with_precipitation_amount_below_threshold,days,7
03255_Holzminden,-10.579437255859375,DD,year,days_with_precipitation_amount_below_threshold,days,7
01056_Pinneberg,-10.601577758789062,DD,year,days_with_precipitation_amount_below_threshold,days,7
03256_Nienburg (Weser),-11.220367431640625,DD,year,days_with_precipitation_amount_below_threshold,days,7
03257_Schaumburg,-11.930801391601562,DD,year,days_with_precipitation_amount_below_threshold,days,7
03351_Celle,-12.284866333007812,DD,year,days_with_precipitation_amount_below_threshold,days,7
03352_Cuxhaven,-11.7552490234375,DD,year,days_with_precipitation_amount_below_threshold,days,7
03353_Harburg,-11.767318725585938,DD,year,days_with_precipitation_amount_below_threshold,days,7
03354_Lüchow-Dannenberg,-10.656173706054688,DD,year,days_with_precipitation_amount_below_threshold,days,7
03355_Lüneburg,-11.370803833007812,DD,year,days_with_precipitation_amount_below_threshold,days,7
03356_Osterholz,-10.82684326171875,DD,year,days_with_precipitation_amount_below_threshold,days,7
03357_Rotenburg (Wümme),-11.289749145507812,DD,year,days_with_precipitation_amount_below_threshold,days,7
03358_Heidekreis,-12.426620483398438,DD,year,days_with_precipitation_amount_below_threshold,days,7
03359_Stade,-10.854141235351562,DD,year,days_with_precipitation_amount_below_threshold,days,7
03360_Uelzen,-12.274017333984375,DD,year,days_with_precipitation_amount_below_threshold,days,7
03361_Verden,-11.07916259765625,DD,year,days_with_precipitation_amount_below_threshold,days,7
03401_Delmenhorst,-10.197280883789062,DD,year,days_with_precipitation_amount_below_threshold,days,7
03402_Emden,-10.740585327148438,DD,year,days_with_precipitation_amount_below_threshold,days,7
03403_Oldenburg (Oldb),-10.469436645507812,DD,year,days_with_precipitation_amount_below_threshold,days,7
03404_Osnabrück,-10.018692016601562,DD,year,days_with_precipitation_amount_below_threshold,days,7
03405_Wilhelmshaven,-11.375778198242188,DD,year,days_with_precipitation_amount_below_threshold,days,7
03451_Ammerland,-10.568374633789062,DD,year,days_with_precipitation_amount_below_threshold,days,7
03452_Aurich,-11.558822631835938,DD,year,days_with_precipitation_amount_below_threshold,days,7
03453_Cloppenburg,-10.930313110351562,DD,year,days_with_precipitation_amount_below_threshold,days,7
03454_Emsland,-10.501907348632812,DD,year,days_with_precipitation_amount_below_threshold,days,7
03455_Friesland,-10.740646362304688,DD,year,days_with_precipitation_amount_below_threshold,days,7
03456_Grafschaft Bentheim,-10.195220947265625,DD,year,days_with_precipitation_amount_below_threshold,days,7
03457_Leer,-10.21240234375,DD,year,days_with_precipitation_amount_below_threshold,days,7
03458_Oldenburg,-10.454879760742188,DD,year,days_with_precipitation_amount_below_threshold,days,7
03459_Osnabrück,-9.742828369140625,DD,year,days_with_precipitation_amount_below_threshold,days,7
03460_Vechta,-10.498977661132812,DD,year,days_with_precipitation_amount_below_threshold,days,7
03461_Wesermarsch,-10.8017578125,DD,year,days_with_precipitation_amount_below_threshold,days,7
03462_Wittmund,-11.41766357421875,DD,year,days_with_precipitation_amount_below_threshold,days,7
04011_Bremen,-10.932464599609375,DD,year,days_with_precipitation_amount_below_threshold,days,7
04012_Bremerhaven,-12.433944702148438,DD,year,days_with_precipitation_amount_below_threshold,days,7
05111_Düsseldorf,-10.394393920898438,DD,year,days_with_precipitation_amount_below_threshold,days,7
05112_Duisburg,-10.500747680664062,DD,year,days_with_precipitation_amount_below_threshold,days,7
05113_Essen,-9.690383911132812,DD,year,days_with_precipitation_amount_below_threshold,days,7
