region,ci_name,ci_frequency,standard_name,units,mid_month,DD_year_3C_rcp85_ensemble-robustness
01001_Flensburg,DD,year,days_with_precipitation_amount_below_threshold,days,7,
01002_Kiel,DD,year,days_with_precipitation_amount_below_threshold,days,7,
01003_Lübeck,DD,year,days_with_precipitation_amount_below_threshold,days,7,
01004_Neumünster,DD,year,days_with_precipitation_amount_below_threshold,days,7,
01051_Dithmarschen,DD,year,days_with_precipitation_amount_below_threshold,days,7,
01053_Herzogtum Lauenburg,DD,year,days_with_precipitation_amount_below_threshold,days,7,
01054_Nordfriesland,DD,year,days_with_precipitation_amount_below_threshold,days,7,
01055_Ostholstein,DD,year,days_with_precipitation_amount_below_threshold,days,7,
01057_Plön,DD,year,days_with_precipitation_amount_below_threshold,days,7,
01058_Rendsburg-Eckernförde,DD,year,days_with_precipitation_amount_below_threshold,days,7,
01059_Schleswig-Flensburg,DD,year,days_with_precipitation_amount_below_threshold,days,7,
01060_Segeberg,DD,year,days_with_precipitation_amount_below_threshold,days,7,
01061_Steinburg,DD,year,days_with_precipitation_amount_below_threshold,days,7,
01062_Stormarn,DD,year,days_with_precipitation_amount_below_threshold,days,7,
02000_Hamburg,DD,year,days_with_precipitation_amount_below_threshold,days,7,
03101_Braunschweig,DD,year,days_with_precipitation_amount_below_threshold,days,7,
03102_Salzgitter,DD,year,days_with_precipitation_amount_below_threshold,days,7,
03103_Wolfsburg,DD,year,days_with_precipitation_amount_below_threshold,days,7,
03151_Gifhorn,DD,year,days_with_precipitation_amount_below_threshold,days,7,
03159_Göttingen,DD,year,days_with_precipitation_amount_below_threshold,days,7,
03153_Goslar,DD,year,days_with_precipitation_amount_below_threshold,days,7,
03154_Helmstedt,DD,year,days_with_precipitation_amount_below_threshold,days,7,
03155_Northeim,DD,year,days_with_precipitation_amount_below_threshold,days,7,
03157_Peine,DD,year,days_with_precipitation_amount_below_threshold,days,7,
03158_Wolfenbüttel,DD,year,days_with_precipitation_amount_below_threshold,days,7,
03241_Region Hannover,DD,year,days_with_precipitation_amount_below_threshold,days,7,
03251_Diepholz,DD,year,days_with_precipitation_amount_below_threshold,days,7,
03252_Hameln-Pyrmont,DD,year,days_with_precipitation_amount_below_threshold,days,7,
03254_Hildesheim,DD,year,days_with_precipitation_amount_below_threshold,days,7,
03255_Holzminden,DD,year,days_with_precipitation_amount_below_threshold,days,7,
01056_Pinneberg,DD,year,days_with_precipitation_amount_below_threshold,days,7,
03256_Nienburg (Weser),DD,year,days_with_precipitation_amount_below_threshold,days,7,
03257_Schaumburg,DD,year,days_with_precipitation_amount_below_threshold,days,7,
03351_Celle,DD,year,days_with_precipitation_amount_below_threshold,days,7,
03352_Cuxhaven,DD,year,days_with_precipitation_amount_below_threshold,days,7,
03353_Harburg,DD,year,days_with_precipitation_amount_below_threshold,days,7,
03354_Lüchow-Dannenberg,DD,year,days_with_precipitation_amount_below_threshold,days,7,
03355_Lüneburg,DD,year,days_with_precipitation_amount_below_threshold,days,7,
03356_Osterholz,DD,year,days_with_precipitation_amount_below_threshold,days,7,
03357_Rotenburg (Wümme),DD,year,days_with_precipitation_amount_below_threshold,days,7,
03358_Heidekreis,DD,year,days_with_precipitation_amount_below_threshold,days,7,
03359_Stade,DD,year,days_with_precipitation_amount_below_threshold,days,7,
03360_Uelzen,DD,year,days_with_precipitation_amount_below_threshold,days,7,
03361_Verden,DD,year,days_with_precipitation_amount_below_threshold,days,7,
03401_Delmenhorst,DD,year,days_with_precipitation_amount_below_threshold,days,7,
03402_Emden,DD,year,days_with_precipitation_amount_below_threshold,days,7,
03403_Oldenburg (Oldb),DD,year,days_with_precipitation_amount_below_threshold,days,7,
03404_Osnabrück,DD,year,days_with_precipitation_amount_below_threshold,days,7,1.0
03405_Wilhelmshaven,DD,year,days_with_precipitation_amount_below_threshold,days,7,
03451_Ammerland,DD,year,days_with_precipitation_amount_below_threshold,days,7,
03452_Aurich,DD,year,days_with_precipitation_amount_below_threshold,days,7,
03453_Cloppenburg,DD,year,days_with_precipitation_amount_below_threshold,days,7,
03454_Emsland,DD,year,days_with_precipitation_amount_below_threshold,days,7,
03455_Friesland,DD,year,days_with_precipitation_amount_below_threshold,days,7,
03456_Grafschaft Bentheim,DD,year,days_with_precipitation_amount_below_threshold,days,7,
03457_Leer,DD,year,days_with_precipitation_amount_below_threshold,days,7,
03458_Oldenburg,DD,year,days_with_precipitation_amount_below_threshold,days,7,
03459_Osnabrück,DD,year,days_with_precipitation_amount_below_threshold,days,7,
03460_Vechta,DD,year,days_with_precipitation_amount_below_threshold,days,7,
03461_Wesermarsch,DD,year,days_with_precipitation_amount_below_threshold,days,7,
03462_Wittmund,DD,year,days_with_precipitation_amount_below_threshold,days,7,
04011_Bremen,DD,year,days_with_precipitation_amount_below_threshold,days,7,
04012_Bremerhaven,DD,year,days_with_precipitation_amount_below_threshold,days,7,
05111_Düsseldorf,DD,year,days_with_precipitation_amount_below_threshold,days,7,1.0
05112_Duisburg,DD,year,days_with_precipitation_amount_below_threshold,days,7,1.0
05113_Essen,DD,year,days_with_precipitation_amount_below_threshold,days,7,1.0
05114_Krefeld,DD,year,days_with_precipitation_amount_below_threshold,days,7,1.0
05116_Mönchengladbach,DD,year,days_with_precipitation_amount_below_threshold,days,7,1.0
05117_Mülheim an der Ruhr,DD,year,days_with_precipitation_amount_below_threshold,days,7,1.0
05119_Oberhausen,DD,year,days_with_precipitation_amount_below_threshold,days,7,1.0
05120_Remscheid,DD,year,days_with_precipitation_amount_below_threshold,days,7,1.0
05122_Solingen,DD,year,days_with_precipitation_amount_below_threshold,days,7,1.0
05124_Wuppertal,DD,year,days_with_precipitation_amount_below_threshold,days,7,1.0
05154_Kleve,DD,year,days_with_precipitation_amount_below_threshold,days,7,1.0
05158_Mettmann,DD,year,days_with_precipitation_amount_below_threshold,days,7,1.0
05162_Rhein-Kreis Neuss,DD,year,days_with_precipitation_amount_below_threshold,days,7,1.0
05166_Viersen,DD,year,days_with_precipitation_amount_below_threshold,days,7,1.0
05170_Wesel,DD,year,days_with_precipitation_amount_below_threshold,days,7,1.0
05314_Bonn,DD,year,days_with_precipitation_amount_below_threshold,days,7,
05315_Köln,DD,year,days_with_precipitation_amount_below_threshold,days,7,1.0
05316_Leverkusen,DD,year,days_with_precipitation_amount_below_threshold,days,7,1.0
05334_Städteregion Aachen,DD,year,days_with_precipitation_amount_below_threshold,days,7,1.0
05358_Düren,DD,year,days_with_precipitation_amount_below_threshold,days,7,1.0
05362_Rhein-Erft-Kreis,DD,year,days_with_precipitation_amount_below_threshold,days,7,1.0
05366_Euskirchen,DD,year,days_with_precipitation_amount_below_threshold,days,7,1.0
05370_Heinsberg,DD,year,days_with_precipitation_amount_below_threshold,days,7,1.0
05374_Oberbergischer Kreis,DD,year,days_with_precipitation_amount_below_threshold,days,7,1.0
05378_Rheinisch-Bergischer Kreis,DD,year,days_with_precipitation_amount_below_threshold,days,7,1.0
05382_Rhein-Sieg-Kreis,DD,year,days_with_precipitation_amount_below_threshold,days,7,1.0
05512_Bottrop,DD,year,days_with_precipitation_amount_below_threshold,days,7,1.0
05513_Gelsenkirchen,DD,year,days_with_precipitation_amount_below_threshold,days,7,
05515_Münster,DD,year,days_with_precipitation_amount_below_threshold,days,7,
05554_Borken,DD,year,days_with_precipitation_amount_below_threshold,days,7,
05558_Coesfeld,DD,year,days_with_precipitation_amount_below_threshold,days,7,1.0
05562_Recklinghausen,DD,year,days_with_precipitation_amount_below_threshold,days,7,1.0
05566_Steinfurt,DD,year,days_with_precipitation_amount_below_threshold,days,7,
05570_Warendorf,DD,year,days_with_precipitation_amount_below_threshold,days,7,
05711_Bielefeld,DD,year,days_with_precipitation_amount_below_threshold,days,7,
05754_Gütersloh,DD,year,days_with_precipitation_amount_below_threshold,days,7,
05758_Herford,DD,year,days_with_precipitation_amount_below_threshold,days,7,
05762_Höxter,DD,year,days_with_precipitation_amount_below_threshold,days,7,
05766_Lippe,DD,year,days_with_precipitation_amount_below_threshold,days,7,
05770_Minden-Lübbecke,DD,year,days_with_precipitation_amount_below_threshold,days,7,
05774_Paderborn,DD,year,days_with_precipitation_amount_below_threshold,days,7,
05911_Bochum,DD,year,days_with_precipitation_amount_below_threshold,days,7,1.0
05913_Dortmund,DD,year,days_with_precipitation_amount_below_threshold,days,7,1.0
05914_Hagen,DD,year,days_with_precipitation_amount_below_threshold,days,7,1.0
05915_Hamm,DD,year,days_with_precipitation_amount_below_threshold,days,7,
05916_Herne,DD,year,days_with_precipitation_amount_below_threshold,days,7,1.0
05954_Ennepe-Ruhr-Kreis,DD,year,days_with_precipitation_amount_below_threshold,days,7,1.0
05958_Hochsauerlandkreis,DD,year,days_with_precipitation_amount_below_threshold,days,7,1.0
05962_Märkischer Kreis,DD,year,days_with_precipitation_amount_below_threshold,days,7,1.0
05966_Olpe,DD,year,days_with_precipitation_amount_below_threshold,days,7,1.0
05970_Siegen-Wittgenstein,DD,year,days_with_precipitation_amount_below_threshold,days,7,1.0
05974_Soest,DD,year,days_with_precipitation_amount_below_threshold,days,7,
05978_Unna,DD,year,days_with_precipitation_amount_below_threshold,days,7,
06411_Darmstadt,DD,year,days_with_precipitation_amount_below_threshold,days,7,1.0
06412_Frankfurt am Main,DD,year,days_with_precipitation_amount_below_threshold,days,7,1.0
06413_Offenbach am Main,DD,year,days_with_precipitation_amount_below_threshold,days,7,
06414_Wiesbaden,DD,year,days_with_precipitation_amount_below_threshold,days,7,1.0
06431_Bergstraße,DD,year,days_with_precipitation_amount_below_threshold,days,7,1.0
06432_Darmstadt-Dieburg,DD,year,days_with_precipitation_amount_below_threshold,days,7,1.0
06433_Groß-Gerau,DD,year,days_with_precipitation_amount_below_threshold,days,7,
06434_Hochtaunuskreis,DD,year,days_with_precipitation_amount_below_threshold,days,7,1.0
06435_Main-Kinzig-Kreis,DD,year,days_with_precipitation_amount_below_threshold,days,7,1.0
06436_Main-Taunus-Kreis,DD,year,days_with_precipitation_amount_below_threshold,days,7,1.0
06437_Odenwaldkreis,DD,year,days_with_precipitation_amount_below_threshold,days,7,1.0
06438_Offenbach,DD,year,days_with_precipitation_amount_below_threshold,days,7,1.0
06439_Rheingau-Taunus-Kreis,DD,year,days_with_precipitation_amount_below_threshold,days,7,1.0
