region,DD_year_3C_rcp85_time-mean_ensemble-diff-median,ci_name,ci_frequency,standard_name,units,mid_month
01001_Flensburg,2.402679443359375,DD,year,days_with_precipitation_amount_below_threshold,days,7
01002_Kiel,0.708740234375,DD,year,days_with_precipitation_amount_below_threshold,days,7
01003_Lübeck,1.403350830078125,DD,year,days_with_precipitation_amount_below_threshold,days,7
01004_Neumünster,1.1016998291015625,DD,year,days_with_precipitation_amount_below_threshold,days,7
01051_Dithmarschen,0.5210113525390625,DD,year,days_with_precipitation_amount_below_threshold,days,7
01053_Herzogtum Lauenburg,1.312591552734375,DD,year,days_with_precipitation_amount_below_threshold,days,7
01054_Nordfriesland,0.5739288330078125,DD,year,days_with_precipitation_amount_below_threshold,days,7
01055_Ostholstein,0.43896484375,DD,year,days_with_precipitation_amount_below_threshold,days,7
01057_Plön,1.0435028076171875,DD,year,days_with_precipitation_amount_below_threshold,days,7
01058_Rendsburg-Eckernförde,0.42437744140625,DD,year,days_with_precipitation_amount_below_threshold,days,7
01059_Schleswig-Flensburg,2.0245208740234375,DD,year,days_with_precipitation_amount_below_threshold,days,7
01060_Segeberg,1.66790771484375,DD,year,days_with_precipitation_amount_below_threshold,days,7
01061_Steinburg,0.1830291748046875,DD,year,days_with_precipitation_amount_below_threshold,days,7
01062_Stormarn,1.7440338134765625,DD,year,days_with_precipitation_amount_below_threshold,days,7
02000_Hamburg,1.0077362060546875,DD,year,days_with_precipitation_amount_below_threshold,days,7
03101_Braunschweig,-0.561859130859375,DD,year,days_with_precipitation_amount_below_threshold,days,7
03102_Salzgitter,-1.3956298828125,DD,year,days_with_precipitation_amount_below_threshold,days,7
03103_Wolfsburg,0.634857177734375,DD,year,days_with_precipitation_amount_below_threshold,days,7
03151_Gifhorn,1.0521087646484375,DD,year,days_with_precipitation_amount_below_threshold,days,7
03159_Göttingen,0.9488677978515625,DD,year,days_with_precipitation_amount_below_threshold,days,7
03153_Goslar,2.7953643798828125,DD,year,days_with_precipitation_amount_below_threshold,days,7
03154_Helmstedt,-0.3486480712890625,DD,year,days_with_precipitation_amount_below_threshold,days,7
03155_Northeim,1.053192138671875,DD,year,days_with_precipitation_amount_below_threshold,days,7
03157_Peine,-0.00335693359375,DD,year,days_with_precipitation_amount_below_threshold,days,7
03158_Wolfenbüttel,-1.0254364013671875,DD,year,days_with_precipitation_amount_below_threshold,days,7
03241_Region Hannover,0.6514739990234375,DD,year,days_with_precipitation_amount_below_threshold,days,7
03251_Diepholz,2.384002685546875,DD,year,days_with_precipitation_amount_below_threshold,days,7
03252_Hameln-Pyrmont,0.6121826171875,DD,year,days_with_precipitation_amount_below_threshold,days,7
03254_Hildesheim,-0.7607421875,DD,year,days_with_precipitation_amount_below_threshold,days,7
03255_Holzminden,1.8458404541015625,DD,year,days_with_precipitation_amount_below_threshold,days,7
01056_Pinneberg,0.69195556640625,DD,year,days_with_precipitation_amount_below_threshold,days,7
03256_Nienburg (Weser),1.37109375,DD,year,days_with_precipitation_amount_below_threshold,days,7
03257_Schaumburg,0.94500732421875,DD,year,days_with_precipitation_amount_below_threshold,days,7
03351_Celle,0.8495025634765625,DD,year,days_with_precipitation_amount_below_threshold,days,7
03352_Cuxhaven,-0.0959320068359375,DD,year,days_with_precipitation_amount_below_threshold,days,7
03353_Harburg,1.35003662109375,DD,year,days_with_precipitation_amount_below_threshold,days,7
03354_Lüchow-Dannenberg,0.6421051025390625,DD,year,days_with_precipitation_amount_below_threshold,days,7
03355_Lüneburg,0.3358306884765625,DD,year,days_with_precipitation_amount_below_threshold,days,7
03356_Osterholz,1.7656402587890625,DD,year,days_with_precipitation_amount_below_threshold,days,7
03357_Rotenburg (Wümme),1.6813812255859375,DD,year,days_with_precipitation_amount_below_threshold,days,7
03358_Heidekreis,1.86907958984375,DD,year,days_with_precipitation_amount_below_threshold,days,7
03359_Stade,0.9833526611328125,DD,year,days_with_precipitation_amount_below_threshold,days,7
03360_Uelzen,0.8847198486328125,DD,year,days_with_precipitation_amount_below_threshold,days,7
03361_Verden,1.7898406982421875,DD,year,days_with_precipitation_amount_below_threshold,days,7
03401_Delmenhorst,1.6466064453125,DD,year,days_with_precipitation_amount_below_threshold,days,7
03402_Emden,0.10760498046875,DD,year,days_with_precipitation_amount_below_threshold,days,7
03403_Oldenburg (Oldb),2.1278533935546875,DD,year,days_with_precipitation_amount_below_threshold,days,7
03404_Osnabrück,2.5854034423828125,DD,year,days_with_precipitation_amount_below_threshold,days,7
03405_Wilhelmshaven,-0.3634490966796875,DD,year,days_with_precipitation_amount_below_threshold,days,7
03451_Ammerland,1.6464691162109375,DD,year,days_with_precipitation_amount_below_threshold,days,7
03452_Aurich,1.199188232421875,DD,year,days_with_precipitation_amount_below_threshold,days,7
03453_Cloppenburg,2.048736572265625,DD,year,days_with_precipitation_amount_below_threshold,days,7
03454_Emsland,2.7041473388671875,DD,year,days_with_precipitation_amount_below_threshold,days,7
03455_Friesland,1.271514892578125,DD,year,days_with_precipitation_amount_below_threshold,days,7
03456_Grafschaft Bentheim,2.48797607421875,DD,year,days_with_precipitation_amount_below_threshold,days,7
03457_Leer,1.3295440673828125,DD,year,days_with_precipitation_amount_below_threshold,days,7
03458_Oldenburg,2.6055755615234375,DD,year,days_with_precipitation_amount_below_threshold,days,7
03459_Osnabrück,2.512542724609375,DD,year,days_with_precipitation_amount_below_threshold,days,7
03460_Vechta,2.692901611328125,DD,year,days_with_precipitation_amount_below_threshold,days,7
03461_Wesermarsch,0.9358978271484375,DD,year,days_with_precipitation_amount_below_threshold,days,7
03462_Wittmund,1.179412841796875,DD,year,days_with_precipitation_amount_below_threshold,days,7
04011_Bremen,1.628387451171875,DD,year,days_with_precipitation_amount_below_threshold,days,7
04012_Bremerhaven,0.6564788818359375,DD,year,days_with_precipitation_amount_below_threshold,days,7
05111_Düsseldorf,3.875518798828125,DD,year,days_with_precipitation_amount_below_threshold,days,7
