region,ci_name,ci_frequency,standard_name,units,mid_month,DSf_year_1.5C_rcp85_ensemble-robustness
01001_Flensburg,DSf,year,dry_spell_frequency,,7,
01002_Kiel,DSf,year,dry_spell_frequency,,7,
01003_Lübeck,DSf,year,dry_spell_frequency,,7,
01004_Neumünster,DSf,year,dry_spell_frequency,,7,
01051_Dithmarschen,DSf,year,dry_spell_frequency,,7,
01053_Herzogtum Lauenburg,DSf,year,dry_spell_frequency,,7,
01054_Nordfriesland,DSf,year,dry_spell_frequency,,7,
01055_Ostholstein,DSf,year,dry_spell_frequency,,7,
01057_Plön,DSf,year,dry_spell_frequency,,7,
01058_Rendsburg-Eckernförde,DSf,year,dry_spell_frequency,,7,
01059_Schleswig-Flensburg,DSf,year,dry_spell_frequency,,7,
01060_Segeberg,DSf,year,dry_spell_frequency,,7,
01061_Steinburg,DSf,year,dry_spell_frequency,,7,
01062_Stormarn,DSf,year,dry_spell_frequency,,7,
02000_Hamburg,DSf,year,dry_spell_frequency,,7,
03101_Braunschweig,DSf,year,dry_spell_frequency,,7,
03102_Salzgitter,DSf,year,dry_spell_frequency,,7,
03103_Wolfsburg,DSf,year,dry_spell_frequency,,7,
03151_Gifhorn,DSf,year,dry_spell_frequency,,7,
03159_Göttingen,DSf,year,dry_spell_frequency,,7,
03153_Goslar,DSf,year,dry_spell_frequency,,7,
03154_Helmstedt,DSf,year,dry_spell_frequency,,7,
03155_Northeim,DSf,year,dry_spell_frequency,,7,
03157_Peine,DSf,year,dry_spell_frequency,,7,
03158_Wolfenbüttel,DSf,year,dry_spell_frequency,,7,
03241_Region Hannover,DSf,year,dry_spell_frequency,,7,
03251_Diepholz,DSf,year,dry_spell_frequency,,7,
03252_Hameln-Pyrmont,DSf,year,dry_spell_frequency,,7,
03254_Hildesheim,DSf,year,dry_spell_frequency,,7,
03255_Holzminden,DSf,year,dry_spell_frequency,,7,
01056_Pinneberg,DSf,year,dry_spell_frequency,,7,
03256_Nienburg (Weser),DSf,year,dry_spell_frequency,,7,
03257_Schaumburg,DSf,year,dry_spell_frequency,,7,
03351_Celle,DSf,year,dry_spell_frequency,,7,
03352_Cuxhaven,DSf,year,dry_spell_frequency,,7,
03353_Harburg,DSf,year,dry_spell_frequency,,7,
03354_Lüchow-Dannenberg,DSf,year,dry_spell_frequency,,7,
03355_Lüneburg,DSf,year,dry_spell_frequency,,7,
03356_Osterholz,DSf,year,dry_spell_frequency,,7,
03357_Rotenburg (Wümme),DSf,year,dry_spell_frequency,,7,
03358_Heidekreis,DSf,year,dry_spell_frequency,,7,
03359_Stade,DSf,year,dry_spell_frequency,,7,
03360_Uelzen,DSf,year,dry_spell_frequency,,7,
03361_Verden,DSf,year,dry_spell_frequency,,7,
03401_Delmenhorst,DSf,year,dry_spell_frequency,,7,
03402_Emden,DSf,year,dry_spell_frequency,,7,
03403_Oldenburg (Oldb),DSf,year,dry_spell_frequency,,7,
03404_Osnabrück,DSf,year,dry_spell_frequency,,7,
03405_Wilhelmshaven,DSf,year,dry_spell_frequency,,7,
03451_Ammerland,DSf,year,dry_spell_frequency,,7,
03452_Aurich,DSf,year,dry_spell_frequency,,7,
03453_Cloppenburg,DSf,year,dry_spell_frequency,,7,
03454_Emsland,DSf,year,dry_spell_frequency,,7,
03455_Friesland,DSf,year,dry_spell_frequency,,7,
03456_Grafschaft Bentheim,DSf,year,dry_spell_frequency,,7,
03457_Leer,DSf,year,dry_spell_frequency,,7,
03458_Oldenburg,DSf,year,dry_spell_frequency,,7,
03459_Osnabrück,DSf,year,dry_spell_frequency,,7,
03460_Vechta,DSf,year,dry_spell_frequency,,7,
03461_Wesermarsch,DSf,year,dry_spell_frequency,,7,
03462_Wittmund,DSf,year,dry_spell_frequency,,7,
04011_Bremen,DSf,year,dry_spell_frequency,,7,
04012_Bremerhaven,DSf,year,dry_spell_frequency,,7,
05111_Düsseldorf,DSf,year,dry_spell_frequency,,7,1.0
05112_Duisburg,DSf,year,dry_spell_frequency,,7,1.0
05113_Essen,DSf,year,dry_spell_frequency,,7,1.0
05114_Krefeld,DSf,year,dry_spell_frequency,,7,1.0
05116_Mönchengladbach,DSf,year,dry_spell_frequency,,7,1.0
05117_Mülheim an der Ruhr,DSf,year,dry_spell_frequency,,7,1.0
05119_Oberhausen,DSf,year,dry_spell_frequency,,7,1.0
05120_Remscheid,DSf,year,dry_spell_frequency,,7,
05122_Solingen,DSf,year,dry_spell_frequency,,7,
05124_Wuppertal,DSf,year,dry_spell_frequency,,7,1.0
05154_Kleve,DSf,year,dry_spell_frequency,,7,1.0
05158_Mettmann,DSf,year,dry_spell_frequency,,7,1.0
05162_Rhein-Kreis Neuss,DSf,year,dry_spell_frequency,,7,1.0
05166_Viersen,DSf,year,dry_spell_frequency,,7,1.0
05170_Wesel,DSf,year,dry_spell_frequency,,7,1.0
05314_Bonn,DSf,year,dry_spell_frequency,,7,
05315_Köln,DSf,year,dry_spell_frequency,,7,1.0
05316_Leverkusen,DSf,year,dry_spell_frequency,,7,1.0
05334_Städteregion Aachen,DSf,year,dry_spell_frequency,,7,1.0
05358_Düren,DSf,year,dry_spell_frequency,,7,
05362_Rhein-Erft-Kreis,DSf,year,dry_spell_frequency,,7,1.0
05366_Euskirchen,DSf,year,dry_spell_frequency,,7,1.0
05370_Heinsberg,DSf,year,dry_spell_frequency,,7,1.0
05374_Oberbergischer Kreis,DSf,year,dry_spell_frequency,,7,1.0
05378_Rheinisch-Bergischer Kreis,DSf,year,dry_spell_frequency,,7,1.0
05382_Rhein-Sieg-Kreis,DSf,year,dry_spell_frequency,,7,1.0
05512_Bottrop,DSf,year,dry_spell_frequency,,7,1.0
05513_Gelsenkirchen,DSf,year,dry_spell_frequency,,7,1.0
05515_Münster,DSf,year,dry_spell_frequency,,7,1.0
05554_Borken,DSf,year,dry_spell_frequency,,7,1.0
05558_Coesfeld,DSf,year,dry_spell_frequency,,7,1.0
05562_Recklinghausen,DSf,year,dry_spell_frequency,,7,1.0
05566_Steinfurt,DSf,year,dry_spell_frequency,,7,
05570_Warendorf,DSf,year,dry_spell_frequency,,7,1.0
05711_Bielefeld,DSf,year,dry_spell_frequency,,7,
05754_Gütersloh,DSf,year,dry_spell_frequency,,7,
05758_Herford,DSf,year,dry_spell_frequency,,7,
05762_Höxter,DSf,year,dry_spell_frequency,,7,
05766_Lippe,DSf,year,dry_spell_frequency,,7,
05770_Minden-Lübbecke,DSf,year,dry_spell_frequency,,7,
05774_Paderborn,DSf,year,dry_spell_frequency,,7,
05911_Bochum,DSf,year,dry_spell_frequency,,7,1.0
05913_Dortmund,DSf,year,dry_spell_frequency,,7,1.0
05914_Hagen,DSf,year,dry_spell_frequency,,7,1.0
05915_Hamm,DSf,year,dry_spell_frequency,,7,
05916_Herne,DSf,year,dry_spell_frequency,,7,1.0
05954_Ennepe-Ruhr-Kreis,DSf,year,dry_spell_frequency,,7,1.0
05958_Hochsauerlandkreis,DSf,year,dry_spell_frequency,,7,
05962_Märkischer Kreis,DSf,year,dry_spell_frequency,,7,1.0
05966_Olpe,DSf,year,dry_spell_frequency,,7,1.0
05970_Siegen-Wittgenstein,DSf,year,dry_spell_frequency,,7,1.0
05974_Soest,DSf,year,dry_spell_frequency,,7,
05978_Unna,DSf,year,dry_spell_frequency,,7,
06411_Darmstadt,DSf,year,dry_spell_frequency,,7,1.0
06412_Frankfurt am Main,DSf,year,dry_spell_frequency,,7,1.0
06413_Offenbach am Main,DSf,year,dry_spell_frequency,,7,
06414_Wiesbaden,DSf,year,dry_spell_frequency,,7,1.0
06431_Bergstraße,DSf,year,dry_spell_frequency,,7,
06432_Darmstadt-Dieburg,DSf,year,dry_spell_frequency,,7,
06433_Groß-Gerau,DSf,year,dry_spell_frequency,,7,
06434_Hochtaunuskreis,DSf,year,dry_spell_frequency,,7,
06435_Main-Kinzig-Kreis,DSf,year,dry_spell_frequency,,7,1.0
06436_Main-Taunus-Kreis,DSf,year,dry_spell_frequency,,7,
