region,DSf_year_1.5C_rcp85_time-mean_ensemble-diff-max,ci_name,ci_frequency,standard_name,units,mid_month
01001_Flensburg,1.4323368072509766,DSf,year,dry_spell_frequency,,7
01002_Kiel,1.749441146850586,DSf,year,dry_spell_frequency,,7
01003_Lübeck,1.4082355499267578,DSf,year,dry_spell_frequency,,7
01004_Neumünster,1.3615684509277344,DSf,year,dry_spell_frequency,,7
01051_Dithmarschen,1.530782699584961,DSf,year,dry_spell_frequency,,7
01053_Herzogtum Lauenburg,1.2622852325439453,DSf,year,dry_spell_frequency,,7
01054_Nordfriesland,1.1229991912841797,DSf,year,dry_spell_frequency,,7
01055_Ostholstein,1.3506221771240234,DSf,year,dry_spell_frequency,,7
01057_Plön,1.194321632385254,DSf,year,dry_spell_frequency,,7
01058_Rendsburg-Eckernförde,1.4175405502319336,DSf,year,dry_spell_frequency,,7
01059_Schleswig-Flensburg,1.2730951309204102,DSf,year,dry_spell_frequency,,7
01060_Segeberg,1.3551874160766602,DSf,year,dry_spell_frequency,,7
01061_Steinburg,1.4466743469238281,DSf,year,dry_spell_frequency,,7
01062_Stormarn,1.4106969833374023,DSf,year,dry_spell_frequency,,7
02000_Hamburg,1.4702558517456055,DSf,year,dry_spell_frequency,,7
03101_Braunschweig,1.3167285919189453,DSf,year,dry_spell_frequency,,7
03102_Salzgitter,0.8588218688964844,DSf,year,dry_spell_frequency,,7
03103_Wolfsburg,1.3197050094604492,DSf,year,dry_spell_frequency,,7
03151_Gifhorn,1.2224435806274414,DSf,year,dry_spell_frequency,,7
03159_Göttingen,1.2258024215698242,DSf,year,dry_spell_frequency,,7
03153_Goslar,1.3497905731201172,DSf,year,dry_spell_frequency,,7
03154_Helmstedt,1.0705299377441406,DSf,year,dry_spell_frequency,,7
03155_Northeim,1.213334083557129,DSf,year,dry_spell_frequency,,7
03157_Peine,0.9510183334350586,DSf,year,dry_spell_frequency,,7
03158_Wolfenbüttel,0.9271831512451172,DSf,year,dry_spell_frequency,,7
03241_Region Hannover,1.1988039016723633,DSf,year,dry_spell_frequency,,7
03251_Diepholz,1.5012550354003906,DSf,year,dry_spell_frequency,,7
03252_Hameln-Pyrmont,1.564925193786621,DSf,year,dry_spell_frequency,,7
03254_Hildesheim,1.378666877746582,DSf,year,dry_spell_frequency,,7
03255_Holzminden,1.5518903732299805,DSf,year,dry_spell_frequency,,7
01056_Pinneberg,1.4361333847045898,DSf,year,dry_spell_frequency,,7
03256_Nienburg (Weser),1.647343635559082,DSf,year,dry_spell_frequency,,7
03257_Schaumburg,1.6201457977294922,DSf,year,dry_spell_frequency,,7
03351_Celle,1.3338088989257812,DSf,year,dry_spell_frequency,,7
03352_Cuxhaven,1.2172374725341797,DSf,year,dry_spell_frequency,,7
03353_Harburg,1.625809669494629,DSf,year,dry_spell_frequency,,7
03354_Lüchow-Dannenberg,1.5537586212158203,DSf,year,dry_spell_frequency,,7
03355_Lüneburg,1.2289190292358398,DSf,year,dry_spell_frequency,,7
03356_Osterholz,1.730647087097168,DSf,year,dry_spell_frequency,,7
03357_Rotenburg (Wümme),1.6740732192993164,DSf,year,dry_spell_frequency,,7
03358_Heidekreis,1.4008827209472656,DSf,year,dry_spell_frequency,,7
03359_Stade,1.3556194305419922,DSf,year,dry_spell_frequency,,7
03360_Uelzen,1.0087509155273438,DSf,year,dry_spell_frequency,,7
03361_Verden,1.3568172454833984,DSf,year,dry_spell_frequency,,7
03401_Delmenhorst,1.6875886917114258,DSf,year,dry_spell_frequency,,7
03402_Emden,1.6411495208740234,DSf,year,dry_spell_frequency,,7
03403_Oldenburg (Oldb),1.4188661575317383,DSf,year,dry_spell_frequency,,7
03404_Osnabrück,1.6117191314697266,DSf,year,dry_spell_frequency,,7
03405_Wilhelmshaven,1.5538396835327148,DSf,year,dry_spell_frequency,,7
03451_Ammerland,1.4516315460205078,DSf,year,dry_spell_frequency,,7
03452_Aurich,1.5679607391357422,DSf,year,dry_spell_frequency,,7
03453_Cloppenburg,1.379293441772461,DSf,year,dry_spell_frequency,,7
03454_Emsland,1.4700708389282227,DSf,year,dry_spell_frequency,,7
03455_Friesland,1.4191646575927734,DSf,year,dry_spell_frequency,,7
03456_Grafschaft Bentheim,1.7100238800048828,DSf,year,dry_spell_frequency,,7
03457_Leer,1.7569055557250977,DSf,year,dry_spell_frequency,,7
03458_Oldenburg,1.4974679946899414,DSf,year,dry_spell_frequency,,7
