region,DSf_year_1.5C_rcp85_time-mean_ensemble-diff-mean,ci_name,ci_frequency,standard_name,units,mid_month
01001_Flensburg,0.1744065,DSf,year,dry_spell_frequency,,7
01002_Kiel,0.091768384,DSf,year,dry_spell_frequency,,7
01003_Lübeck,0.02310859,DSf,year,dry_spell_frequency,,7
01004_Neumünster,0.011268908,DSf,year,dry_spell_frequency,,7
01051_Dithmarschen,0.080050536,DSf,year,dry_spell_frequency,,7
01053_Herzogtum Lauenburg,-0.019540912,DSf,year,dry_spell_frequency,,7
01054_Nordfriesland,0.09205739,DSf,year,dry_spell_frequency,,7
01055_Ostholstein,0.05938444,DSf,year,dry_spell_frequency,,7
01057_Plön,0.07355681,DSf,year,dry_spell_frequency,,7
01058_Rendsburg-Eckernförde,0.068907864,DSf,year,dry_spell_frequency,,7
01059_Schleswig-Flensburg,0.15040873,DSf,year,dry_spell_frequency,,7
01060_Segeberg,0.025304116,DSf,year,dry_spell_frequency,,7
01061_Steinburg,0.02834678,DSf,year,dry_spell_frequency,,7
01062_Stormarn,0.00986346,DSf,year,dry_spell_frequency,,7
02000_Hamburg,0.026927304,DSf,year,dry_spell_frequency,,7
03101_Braunschweig,-0.058760535,DSf,year,dry_spell_frequency,,7
03102_Salzgitter,-0.10741847,DSf,year,dry_spell_frequency,,7
03103_Wolfsburg,-0.085691065,DSf,year,dry_spell_frequency,,7
03151_Gifhorn,-0.041212317,DSf,year,dry_spell_frequency,,7
03159_Göttingen,0.14695823,DSf,year,dry_spell_frequency,,7
03153_Goslar,0.162788,DSf,year,dry_spell_frequency,,7
03154_Helmstedt,-0.117461935,DSf,year,dry_spell_frequency,,7
03155_Northeim,0.13508888,DSf,year,dry_spell_frequency,,7
03157_Peine,-0.10649357,DSf,year,dry_spell_frequency,,7
03158_Wolfenbüttel,-0.106260054,DSf,year,dry_spell_frequency,,7
03241_Region Hannover,-0.07367645,DSf,year,dry_spell_frequency,,7
03251_Diepholz,0.108157106,DSf,year,dry_spell_frequency,,7
03252_Hameln-Pyrmont,0.04056232,DSf,year,dry_spell_frequency,,7
03254_Hildesheim,-0.028692588,DSf,year,dry_spell_frequency,,7
03255_Holzminden,0.11997722,DSf,year,dry_spell_frequency,,7
01056_Pinneberg,0.023408262,DSf,year,dry_spell_frequency,,7
03256_Nienburg (Weser),0.03310554,DSf,year,dry_spell_frequency,,7
