region,DSf_year_1.5C_rcp85_time-mean_ensemble-diff-median,ci_name,ci_frequency,standard_name,units,mid_month
01001_Flensburg,0.2787036895751953,DSf,year,dry_spell_frequency,,7
01002_Kiel,0.12928009033203125,DSf,year,dry_spell_frequency,,7
01003_Lübeck,-0.033387184143066406,DSf,year,dry_spell_frequency,,7
01004_Neumünster,0.042738914489746094,DSf,year,dry_spell_frequency,,7
01051_Dithmarschen,0.05889701843261719,DSf,year,dry_spell_frequency,,7
01053_Herzogtum Lauenburg,0.008993148803710938,DSf,year,dry_spell_frequency,,7
01054_Nordfriesland,0.09464263916015625,DSf,year,dry_spell_frequency,,7
01055_Ostholstein,0.04028606414794922,DSf,year,dry_spell_frequency,,7
01057_Plön,0.179962158203125,DSf,year,dry_spell_frequency,,7
01058_Rendsburg-Eckernförde,0.15311336517333984,DSf,year,dry_spell_frequency,,7
01059_Schleswig-Flensburg,0.19299697875976562,DSf,year,dry_spell_frequency,,7
01060_Segeberg,0.043941497802734375,DSf,year,dry_spell_frequency,,7
01061_Steinburg,0.009752273559570312,DSf,year,dry_spell_frequency,,7
01062_Stormarn,0.003920555114746094,DSf,year,dry_spell_frequency,,7
02000_Hamburg,0.09153270721435547,DSf,year,dry_spell_frequency,,7
03101_Braunschweig,0.09225177764892578,DSf,year,dry_spell_frequency,,7
03102_Salzgitter,0.016641616821289062,DSf,year,dry_spell_frequency,,7
03103_Wolfsburg,0.01797008514404297,DSf,year,dry_spell_frequency,,7
03151_Gifhorn,0.07209014892578125,DSf,year,dry_spell_frequency,,7
03159_Göttingen,0.145355224609375,DSf,year,dry_spell_frequency,,7
03153_Goslar,0.2582674026489258,DSf,year,dry_spell_frequency,,7
03154_Helmstedt,0.02495098114013672,DSf,year,dry_spell_frequency,,7
03155_Northeim,0.24837875366210938,DSf,year,dry_spell_frequency,,7
03157_Peine,0.007233619689941406,DSf,year,dry_spell_frequency,,7
03158_Wolfenbüttel,-0.00159454345703125,DSf,year,dry_spell_frequency,,7
03241_Region Hannover,0.20355892181396484,DSf,year,dry_spell_frequency,,7
03251_Diepholz,0.1641674041748047,DSf,year,dry_spell_frequency,,7
03252_Hameln-Pyrmont,0.09368705749511719,DSf,year,dry_spell_frequency,,7
03254_Hildesheim,0.0880117416381836,DSf,year,dry_spell_frequency,,7
03255_Holzminden,0.29151153564453125,DSf,year,dry_spell_frequency,,7
01056_Pinneberg,0.0838918685913086,DSf,year,dry_spell_frequency,,7
03256_Nienburg (Weser),0.08150005340576172,DSf,year,dry_spell_frequency,,7
03257_Schaumburg,0.1571826934814453,DSf,year,dry_spell_frequency,,7
03351_Celle,0.15901756286621094,DSf,year,dry_spell_frequency,,7
03352_Cuxhaven,0.016562461853027344,DSf,year,dry_spell_frequency,,7
03353_Harburg,0.008606910705566406,DSf,year,dry_spell_frequency,,7
03354_Lüchow-Dannenberg,0.0754079818725586,DSf,year,dry_spell_frequency,,7
