region,DSf_year_1.5C_rcp85_time-mean_ensemble-diff-min,ci_name,ci_frequency,standard_name,units,mid_month
01001_Flensburg,-1.2615785598754883,DSf,year,dry_spell_frequency,,7
01002_Kiel,-1.5546941757202148,DSf,year,dry_spell_frequency,,7
01003_Lübeck,-1.5539216995239258,DSf,year,dry_spell_frequency,,7
01004_Neumünster,-1.4347753524780273,DSf,year,dry_spell_frequency,,7
01051_Dithmarschen,-1.081191062927246,DSf,year,dry_spell_frequency,,7
01053_Herzogtum Lauenburg,-1.6638517379760742,DSf,year,dry_spell_frequency,,7
01054_Nordfriesland,-1.3400168418884277,DSf,year,dry_spell_frequency,,7
01055_Ostholstein,-1.341700553894043,DSf,year,dry_spell_frequency,,7
01057_Plön,-1.3696022033691406,DSf,year,dry_spell_frequency,,7
01058_Rendsburg-Eckernförde,-1.2165603637695312,DSf,year,dry_spell_frequency,,7
01059_Schleswig-Flensburg,-1.0415277481079102,DSf,year,dry_spell_frequency,,7
01060_Segeberg,-1.1702237129211426,DSf,year,dry_spell_frequency,,7
01061_Steinburg,-1.3136510848999023,DSf,year,dry_spell_frequency,,7
01062_Stormarn,-1.3432698249816895,DSf,year,dry_spell_frequency,,7
02000_Hamburg,-1.0763182640075684,DSf,year,dry_spell_frequency,,7
03101_Braunschweig,-1.3594141006469727,DSf,year,dry_spell_frequency,,7
03102_Salzgitter,-1.2983331680297852,DSf,year,dry_spell_frequency,,7
03103_Wolfsburg,-1.2890725135803223,DSf,year,dry_spell_frequency,,7
03151_Gifhorn,-1.4939212799072266,DSf,year,dry_spell_frequency,,7
03159_Göttingen,-1.0257644653320312,DSf,year,dry_spell_frequency,,7
03153_Goslar,-0.8411130905151367,DSf,year,dry_spell_frequency,,7
03154_Helmstedt,-1.462498664855957,DSf,year,dry_spell_frequency,,7
03155_Northeim,-1.1388673782348633,DSf,year,dry_spell_frequency,,7
03157_Peine,-1.7154293060302734,DSf,year,dry_spell_frequency,,7
03158_Wolfenbüttel,-1.3722763061523438,DSf,year,dry_spell_frequency,,7
03241_Region Hannover,-1.3748102188110352,DSf,year,dry_spell_frequency,,7
03251_Diepholz,-1.3606867790222168,DSf,year,dry_spell_frequency,,7
03252_Hameln-Pyrmont,-1.3628005981445312,DSf,year,dry_spell_frequency,,7
03254_Hildesheim,-1.2568483352661133,DSf,year,dry_spell_frequency,,7
03255_Holzminden,-1.2403955459594727,DSf,year,dry_spell_frequency,,7
01056_Pinneberg,-1.060297966003418,DSf,year,dry_spell_frequency,,7
03256_Nienburg (Weser),-1.4372916221618652,DSf,year,dry_spell_frequency,,7
03257_Schaumburg,-1.363274097442627,DSf,year,dry_spell_frequency,,7
03351_Celle,-1.4982194900512695,DSf,year,dry_spell_frequency,,7
03352_Cuxhaven,-1.1375226974487305,DSf,year,dry_spell_frequency,,7
03353_Harburg,-1.496401309967041,DSf,year,dry_spell_frequency,,7
03354_Lüchow-Dannenberg,-1.5824565887451172,DSf,year,dry_spell_frequency,,7
03355_Lüneburg,-1.4046506881713867,DSf,year,dry_spell_frequency,,7
03356_Osterholz,-1.1937217712402344,DSf,year,dry_spell_frequency,,7
03357_Rotenburg (Wümme),-1.3977394104003906,DSf,year,dry_spell_frequency,,7
03358_Heidekreis,-1.4725446701049805,DSf,year,dry_spell_frequency,,7
03359_Stade,-1.123748779296875,DSf,year,dry_spell_frequency,,7
03360_Uelzen,-1.3240137100219727,DSf,year,dry_spell_frequency,,7
03361_Verden,-1.4009017944335938,DSf,year,dry_spell_frequency,,7
03401_Delmenhorst,-1.0708856582641602,DSf,year,dry_spell_frequency,,7
03402_Emden,-1.2703571319580078,DSf,year,dry_spell_frequency,,7
03403_Oldenburg (Oldb),-1.206254005432129,DSf,year,dry_spell_frequency,,7
03404_Osnabrück,-1.5501232147216797,DSf,year,dry_spell_frequency,,7
03405_Wilhelmshaven,-1.429955005645752,DSf,year,dry_spell_frequency,,7
03451_Ammerland,-1.147554874420166,DSf,year,dry_spell_frequency,,7
03452_Aurich,-1.5435123443603516,DSf,year,dry_spell_frequency,,7
03453_Cloppenburg,-1.333390712738037,DSf,year,dry_spell_frequency,,7
03454_Emsland,-1.2954092025756836,DSf,year,dry_spell_frequency,,7
