region,DSf_year_2C_rcp85_time-mean_ensemble-diff-mean,ci_name,ci_frequency,standard_name,units,mid_month
01001_Flensburg,0.0789883,DSf,year,dry_spell_frequency,,7
01002_Kiel,-0.055965416,DSf,year,dry_spell_frequency,,7
01003_Lübeck,-0.18051094,DSf,year,dry_spell_frequency,,7
01004_Neumünster,-0.14583947,DSf,year,dry_spell_frequency,,7
01051_Dithmarschen,-0.073862545,DSf,year,dry_spell_frequency,,7
01053_Herzogtum Lauenburg,-0.2211109,DSf,year,dry_spell_frequency,,7
01054_Nordfriesland,-0.040371712,DSf,year,dry_spell_frequency,,7
01055_Ostholstein,-0.09501327,DSf,year,dry_spell_frequency,,7
01057_Plön,-0.07465181,DSf,year,dry_spell_frequency,,7
01058_Rendsburg-Eckernförde,-0.061145272,DSf,year,dry_spell_frequency,,7
01059_Schleswig-Flensburg,0.034555394,DSf,year,dry_spell_frequency,,7
01060_Segeberg,-0.13147865,DSf,year,dry_spell_frequency,,7
01061_Steinburg,-0.16167761,DSf,year,dry_spell_frequency,,7
01062_Stormarn,-0.16394177,DSf,year,dry_spell_frequency,,7
02000_Hamburg,-0.20382227,DSf,year,dry_spell_frequency,,7
03101_Braunschweig,-0.39559415,DSf,year,dry_spell_frequency,,7
03102_Salzgitter,-0.47723055,DSf,year,dry_spell_frequency,,7
03103_Wolfsburg,-0.38618028,DSf,year,dry_spell_frequency,,7
03151_Gifhorn,-0.31467792,DSf,year,dry_spell_frequency,,7
03159_Göttingen,-0.15528356,DSf,year,dry_spell_frequency,,7
03153_Goslar,-0.12016829,DSf,year,dry_spell_frequency,,7
03154_Helmstedt,-0.41368207,DSf,year,dry_spell_frequency,,7
03155_Northeim,-0.17871362,DSf,year,dry_spell_frequency,,7
03157_Peine,-0.410475,DSf,year,dry_spell_frequency,,7
03158_Wolfenbüttel,-0.44853318,DSf,year,dry_spell_frequency,,7
03241_Region Hannover,-0.31136897,DSf,year,dry_spell_frequency,,7
03251_Diepholz,-0.05978771,DSf,year,dry_spell_frequency,,7
03252_Hameln-Pyrmont,-0.24685337,DSf,year,dry_spell_frequency,,7
03254_Hildesheim,-0.3498232,DSf,year,dry_spell_frequency,,7
03255_Holzminden,-0.20142682,DSf,year,dry_spell_frequency,,7
01056_Pinneberg,-0.1923383,DSf,year,dry_spell_frequency,,7
03256_Nienburg (Weser),-0.17088799,DSf,year,dry_spell_frequency,,7
03257_Schaumburg,-0.2047868,DSf,year,dry_spell_frequency,,7
03351_Celle,-0.22683237,DSf,year,dry_spell_frequency,,7
03352_Cuxhaven,-0.12981127,DSf,year,dry_spell_frequency,,7
03353_Harburg,-0.23165254,DSf,year,dry_spell_frequency,,7
03354_Lüchow-Dannenberg,-0.27685305,DSf,year,dry_spell_frequency,,7
03355_Lüneburg,-0.22104096,DSf,year,dry_spell_frequency,,7
03356_Osterholz,-0.1300975,DSf,year,dry_spell_frequency,,7
03357_Rotenburg (Wümme),-0.14575875,DSf,year,dry_spell_frequency,,7
03358_Heidekreis,-0.2094623,DSf,year,dry_spell_frequency,,7
03359_Stade,-0.13000534,DSf,year,dry_spell_frequency,,7
03360_Uelzen,-0.21763104,DSf,year,dry_spell_frequency,,7
03361_Verden,-0.099702455,DSf,year,dry_spell_frequency,,7
03401_Delmenhorst,-0.09870779,DSf,year,dry_spell_frequency,,7
03402_Emden,-0.019584186,DSf,year,dry_spell_frequency,,7
03403_Oldenburg (Oldb),-0.11369817,DSf,year,dry_spell_frequency,,7
03404_Osnabrück,-0.10798098,DSf,year,dry_spell_frequency,,7
03405_Wilhelmshaven,-0.082054555,DSf,year,dry_spell_frequency,,7
03451_Ammerland,-0.115991525,DSf,year,dry_spell_frequency,,7
03452_Aurich,0.0062782136,DSf,year,dry_spell_frequency,,7
03453_Cloppenburg,-0.08566225,DSf,year,dry_spell_frequency,,7
03454_Emsland,-0.07117096,DSf,year,dry_spell_frequency,,7
03455_Friesland,-0.06499463,DSf,year,dry_spell_frequency,,7
03456_Grafschaft Bentheim,-0.018894464,DSf,year,dry_spell_frequency,,7
03457_Leer,-0.050524108,DSf,year,dry_spell_frequency,,7
03458_Oldenburg,-0.062359627,DSf,year,dry_spell_frequency,,7
03459_Osnabrück,-0.06859693,DSf,year,dry_spell_frequency,,7
03460_Vechta,-0.06224747,DSf,year,dry_spell_frequency,,7
03461_Wesermarsch,-0.13826151,DSf,year,dry_spell_frequency,,7
03462_Wittmund,-0.02185793,DSf,year,dry_spell_frequency,,7
04011_Bremen,-0.08230956,DSf,year,dry_spell_frequency,,7
04012_Bremerhaven,-0.14949788,DSf,year,dry_spell_frequency,,7
05111_Düsseldorf,0.0938547,DSf,year,dry_spell_frequency,,7
05112_Duisburg,0.13861062,DSf,year,dry_spell_frequency,,7
05113_Essen,0.1183862,DSf,year,dry_spell_frequency,,7
05114_Krefeld,0.110257156,DSf,year,dry_spell_frequency,,7
05116_Mönchengladbach,0.10165898,DSf,year,dry_spell_frequency,,7
05117_Mülheim an der Ruhr,0.149298,DSf,year,dry_spell_frequency,,7
05119_Oberhausen,0.12409248,DSf,year,dry_spell_frequency,,7
05120_Remscheid,0.11639291,DSf,year,dry_spell_frequency,,7
05122_Solingen,0.12608713,DSf,year,dry_spell_frequency,,7
05124_Wuppertal,0.13423264,DSf,year,dry_spell_frequency,,7
05154_Kleve,0.07018635,DSf,year,dry_spell_frequency,,7
05158_Mettmann,0.11774474,DSf,year,dry_spell_frequency,,7
05162_Rhein-Kreis Neuss,0.062307343,DSf,year,dry_spell_frequency,,7
05166_Viersen,0.118944325,DSf,year,dry_spell_frequency,,7
05170_Wesel,0.12083066,DSf,year,dry_spell_frequency,,7
05314_Bonn,-0.018489143,DSf,year,dry_spell_frequency,,7
05315_Köln,0.050792392,DSf,year,dry_spell_frequency,,7
05316_Leverkusen,0.08214959,DSf,year,dry_spell_frequency,,7
05334_Städteregion Aachen,0.047334045,DSf,year,dry_spell_frequency,,7
05358_Düren,-0.042628806,DSf,year,dry_spell_frequency,,7
05362_Rhein-Erft-Kreis,-0.028697265,DSf,year,dry_spell_frequency,,7
05366_Euskirchen,-0.019238247,DSf,year,dry_spell_frequency,,7
05370_Heinsberg,0.10292038,DSf,year,dry_spell_frequency,,7
05374_Oberbergischer Kreis,0.07839384,DSf,year,dry_spell_frequency,,7
05378_Rheinisch-Bergischer Kreis,0.070378594,DSf,year,dry_spell_frequency,,7
05382_Rhein-Sieg-Kreis,-0.0135919675,DSf,year,dry_spell_frequency,,7
05512_Bottrop,0.11383333,DSf,year,dry_spell_frequency,,7
05513_Gelsenkirchen,0.09702959,DSf,year,dry_spell_frequency,,7
05515_Münster,0.01869103,DSf,year,dry_spell_frequency,,7
05554_Borken,0.07142373,DSf,year,dry_spell_frequency,,7
05558_Coesfeld,0.037281085,DSf,year,dry_spell_frequency,,7
05562_Recklinghausen,0.07412003,DSf,year,dry_spell_frequency,,7
05566_Steinfurt,-0.020913074,DSf,year,dry_spell_frequency,,7
05570_Warendorf,0.018655175,DSf,year,dry_spell_frequency,,7
05711_Bielefeld,-0.06729936,DSf,year,dry_spell_frequency,,7
05754_Gütersloh,-0.017288117,DSf,year,dry_spell_frequency,,7
05758_Herford,-0.07370848,DSf,year,dry_spell_frequency,,7
05762_Höxter,-0.17622824,DSf,year,dry_spell_frequency,,7
05766_Lippe,-0.16820559,DSf,year,dry_spell_frequency,,7
05770_Minden-Lübbecke,-0.104554154,DSf,year,dry_spell_frequency,,7
05774_Paderborn,-0.07548405,DSf,year,dry_spell_frequency,,7
05911_Bochum,0.054903165,DSf,year,dry_spell_frequency,,7
05913_Dortmund,-0.019752495,DSf,year,dry_spell_frequency,,7
05914_Hagen,0.008780253,DSf,year,dry_spell_frequency,,7
05915_Hamm,0.0043665566,DSf,year,dry_spell_frequency,,7
05916_Herne,0.0487719,DSf,year,dry_spell_frequency,,7
05954_Ennepe-Ruhr-Kreis,0.06605128,DSf,year,dry_spell_frequency,,7
05958_Hochsauerlandkreis,-0.0016169632,DSf,year,dry_spell_frequency,,7
05962_Märkischer Kreis,0.03949741,DSf,year,dry_spell_frequency,,7
05966_Olpe,0.091987066,DSf,year,dry_spell_frequency,,7
05970_Siegen-Wittgenstein,0.05111969,DSf,year,dry_spell_frequency,,7
05974_Soest,-0.056286745,DSf,year,dry_spell_frequency,,7
05978_Unna,-0.03709937,DSf,year,dry_spell_frequency,,7
06411_Darmstadt,-0.056463704,DSf,year,dry_spell_frequency,,7
06412_Frankfurt am Main,-0.04816912,DSf,year,dry_spell_frequency,,7
06413_Offenbach am Main,-0.11453679,DSf,year,dry_spell_frequency,,7
06414_Wiesbaden,0.04147563,DSf,year,dry_spell_frequency,,7
06431_Bergstraße,-0.023049062,DSf,year,dry_spell_frequency,,7
06432_Darmstadt-Dieburg,-0.047830265,DSf,year,dry_spell_frequency,,7
06433_Groß-Gerau,-0.07458493,DSf,year,dry_spell_frequency,,7
06434_Hochtaunuskreis,0.0043638465,DSf,year,dry_spell_frequency,,7
06435_Main-Kinzig-Kreis,0.011584826,DSf,year,dry_spell_frequency,,7
06436_Main-Taunus-Kreis,0.029531077,DSf,year,dry_spell_frequency,,7
06437_Odenwaldkreis,0.026169015,DSf,year,dry_spell_frequency,,7
06438_Offenbach,-0.066248596,DSf,year,dry_spell_frequency,,7
06439_Rheingau-Taunus-Kreis,0.05115135,DSf,year,dry_spell_frequency,,7
06440_Wetteraukreis,-0.0336025,DSf,year,dry_spell_frequency,,7
06531_Gießen,-0.0028163425,DSf,year,dry_spell_frequency,,7
06532_Lahn-Dill-Kreis,-0.06546682,DSf,year,dry_spell_frequency,,7
06533_Limburg-Weilburg,-0.05767203,DSf,year,dry_spell_frequency,,7
06534_Marburg-Biedenkopf,-0.07351519,DSf,year,dry_spell_frequency,,7
06535_Vogelsbergkreis,0.013183293,DSf,year,dry_spell_frequency,,7
06611_Kassel,-0.18368635,DSf,year,dry_spell_frequency,,7
06631_Fulda,-0.0327751,DSf,year,dry_spell_frequency,,7
06632_Hersfeld-Rotenburg,-0.13347404,DSf,year,dry_spell_frequency,,7
06633_Kassel,-0.17740306,DSf,year,dry_spell_frequency,,7
