region,DSf_year_3C_rcp85_time-mean_ensemble-diff-max,ci_name,ci_frequency,standard_name,units,mid_month
01001_Flensburg,1.7973957061767578,DSf,year,dry_spell_frequency,,7
01002_Kiel,1.897256851196289,DSf,year,dry_spell_frequency,,7
01003_Lübeck,1.3197011947631836,DSf,year,dry_spell_frequency,,7
01004_Neumünster,1.730703353881836,DSf,year,dry_spell_frequency,,7
01051_Dithmarschen,1.9650535583496094,DSf,year,dry_spell_frequency,,7
01053_Herzogtum Lauenburg,1.7034578323364258,DSf,year,dry_spell_frequency,,7
01054_Nordfriesland,1.4351081848144531,DSf,year,dry_spell_frequency,,7
01055_Ostholstein,1.5447683334350586,DSf,year,dry_spell_frequency,,7
01057_Plön,1.5062675476074219,DSf,year,dry_spell_frequency,,7
01058_Rendsburg-Eckernförde,1.9503765106201172,DSf,year,dry_spell_frequency,,7
01059_Schleswig-Flensburg,1.8684873580932617,DSf,year,dry_spell_frequency,,7
01060_Segeberg,1.4915342330932617,DSf,year,dry_spell_frequency,,7
01061_Steinburg,1.9578285217285156,DSf,year,dry_spell_frequency,,7
01062_Stormarn,1.6097002029418945,DSf,year,dry_spell_frequency,,7
02000_Hamburg,1.7022123336791992,DSf,year,dry_spell_frequency,,7
03101_Braunschweig,1.7862615585327148,DSf,year,dry_spell_frequency,,7
03102_Salzgitter,1.5542068481445312,DSf,year,dry_spell_frequency,,7
03103_Wolfsburg,1.6965265274047852,DSf,year,dry_spell_frequency,,7
03151_Gifhorn,1.8850994110107422,DSf,year,dry_spell_frequency,,7
03159_Göttingen,1.5183944702148438,DSf,year,dry_spell_frequency,,7
03153_Goslar,1.943389892578125,DSf,year,dry_spell_frequency,,7
03154_Helmstedt,1.5700798034667969,DSf,year,dry_spell_frequency,,7
03155_Northeim,1.4605283737182617,DSf,year,dry_spell_frequency,,7
03157_Peine,1.7454748153686523,DSf,year,dry_spell_frequency,,7
03158_Wolfenbüttel,1.5853605270385742,DSf,year,dry_spell_frequency,,7
03241_Region Hannover,1.5521326065063477,DSf,year,dry_spell_frequency,,7
03251_Diepholz,1.7976102828979492,DSf,year,dry_spell_frequency,,7
03252_Hameln-Pyrmont,1.9486522674560547,DSf,year,dry_spell_frequency,,7
03254_Hildesheim,1.7040777206420898,DSf,year,dry_spell_frequency,,7
03255_Holzminden,1.7679166793823242,DSf,year,dry_spell_frequency,,7
01056_Pinneberg,1.7827939987182617,DSf,year,dry_spell_frequency,,7
03256_Nienburg (Weser),2.0607385635375977,DSf,year,dry_spell_frequency,,7
03257_Schaumburg,2.000303268432617,DSf,year,dry_spell_frequency,,7
03351_Celle,1.8808002471923828,DSf,year,dry_spell_frequency,,7
03352_Cuxhaven,1.7830219268798828,DSf,year,dry_spell_frequency,,7
03353_Harburg,1.3883514404296875,DSf,year,dry_spell_frequency,,7
03354_Lüchow-Dannenberg,2.193577766418457,DSf,year,dry_spell_frequency,,7
03355_Lüneburg,1.5409069061279297,DSf,year,dry_spell_frequency,,7
03356_Osterholz,1.853902816772461,DSf,year,dry_spell_frequency,,7
03357_Rotenburg (Wümme),1.6259078979492188,DSf,year,dry_spell_frequency,,7
03358_Heidekreis,1.6765680313110352,DSf,year,dry_spell_frequency,,7
03359_Stade,1.7912139892578125,DSf,year,dry_spell_frequency,,7
03360_Uelzen,1.8872413635253906,DSf,year,dry_spell_frequency,,7
03361_Verden,1.9020013809204102,DSf,year,dry_spell_frequency,,7
03401_Delmenhorst,1.8451223373413086,DSf,year,dry_spell_frequency,,7
03402_Emden,2.4347658157348633,DSf,year,dry_spell_frequency,,7
03403_Oldenburg (Oldb),2.284902572631836,DSf,year,dry_spell_frequency,,7
03404_Osnabrück,2.29866886138916,DSf,year,dry_spell_frequency,,7
03405_Wilhelmshaven,1.9572725296020508,DSf,year,dry_spell_frequency,,7
03451_Ammerland,2.232142448425293,DSf,year,dry_spell_frequency,,7
03452_Aurich,2.0038185119628906,DSf,year,dry_spell_frequency,,7
03453_Cloppenburg,2.2843265533447266,DSf,year,dry_spell_frequency,,7
03454_Emsland,2.5357322692871094,DSf,year,dry_spell_frequency,,7
03455_Friesland,2.148488998413086,DSf,year,dry_spell_frequency,,7
03456_Grafschaft Bentheim,1.7533607482910156,DSf,year,dry_spell_frequency,,7
03457_Leer,2.3865251541137695,DSf,year,dry_spell_frequency,,7
03458_Oldenburg,2.1197357177734375,DSf,year,dry_spell_frequency,,7
03459_Osnabrück,1.9344701766967773,DSf,year,dry_spell_frequency,,7
03460_Vechta,2.0152673721313477,DSf,year,dry_spell_frequency,,7
03461_Wesermarsch,2.190898895263672,DSf,year,dry_spell_frequency,,7
03462_Wittmund,2.1342124938964844,DSf,year,dry_spell_frequency,,7
04011_Bremen,1.9000625610351562,DSf,year,dry_spell_frequency,,7
04012_Bremerhaven,1.9760866165161133,DSf,year,dry_spell_frequency,,7
05111_Düsseldorf,2.1071081161499023,DSf,year,dry_spell_frequency,,7
05112_Duisburg,1.7450370788574219,DSf,year,dry_spell_frequency,,7
05113_Essen,1.908982276916504,DSf,year,dry_spell_frequency,,7
05114_Krefeld,1.7203588485717773,DSf,year,dry_spell_frequency,,7
05116_Mönchengladbach,2.0569677352905273,DSf,year,dry_spell_frequency,,7
05117_Mülheim an der Ruhr,2.13590145111084,DSf,year,dry_spell_frequency,,7
05119_Oberhausen,1.8126773834228516,DSf,year,dry_spell_frequency,,7
05120_Remscheid,2.276656150817871,DSf,year,dry_spell_frequency,,7
05122_Solingen,2.5614213943481445,DSf,year,dry_spell_frequency,,7
05124_Wuppertal,2.1857080459594727,DSf,year,dry_spell_frequency,,7
05154_Kleve,1.7551603317260742,DSf,year,dry_spell_frequency,,7
05158_Mettmann,2.0946264266967773,DSf,year,dry_spell_frequency,,7
05162_Rhein-Kreis Neuss,2.1125564575195312,DSf,year,dry_spell_frequency,,7
05166_Viersen,1.8717851638793945,DSf,year,dry_spell_frequency,,7
05170_Wesel,1.6277055740356445,DSf,year,dry_spell_frequency,,7
05314_Bonn,1.819681167602539,DSf,year,dry_spell_frequency,,7
05315_Köln,1.815277099609375,DSf,year,dry_spell_frequency,,7
