region,DSf_year_3C_rcp85_time-mean_ensemble-diff-median,ci_name,ci_frequency,standard_name,units,mid_month
01001_Flensburg,0.20000076293945312,DSf,year,dry_spell_frequency,,7
01002_Kiel,0.038242340087890625,DSf,year,dry_spell_frequency,,7
01003_Lübeck,-0.07631683349609375,DSf,year,dry_spell_frequency,,7
01004_Neumünster,-0.07455158233642578,DSf,year,dry_spell_frequency,,7
01051_Dithmarschen,-0.0672454833984375,DSf,year,dry_spell_frequency,,7
01053_Herzogtum Lauenburg,0.000743865966796875,DSf,year,dry_spell_frequency,,7
01054_Nordfriesland,0.012760162353515625,DSf,year,dry_spell_frequency,,7
01055_Ostholstein,0.12189865112304688,DSf,year,dry_spell_frequency,,7
01057_Plön,-0.028237342834472656,DSf,year,dry_spell_frequency,,7
01058_Rendsburg-Eckernförde,0.0453948974609375,DSf,year,dry_spell_frequency,,7
01059_Schleswig-Flensburg,0.16177845001220703,DSf,year,dry_spell_frequency,,7
01060_Segeberg,-0.041823387145996094,DSf,year,dry_spell_frequency,,7
01061_Steinburg,0.009396553039550781,DSf,year,dry_spell_frequency,,7
01062_Stormarn,-0.036258697509765625,DSf,year,dry_spell_frequency,,7
02000_Hamburg,-0.1276845932006836,DSf,year,dry_spell_frequency,,7
03101_Braunschweig,-0.14429473876953125,DSf,year,dry_spell_frequency,,7
03102_Salzgitter,-0.1535167694091797,DSf,year,dry_spell_frequency,,7
03103_Wolfsburg,-0.024788856506347656,DSf,year,dry_spell_frequency,,7
03151_Gifhorn,-0.044281959533691406,DSf,year,dry_spell_frequency,,7
03159_Göttingen,0.10876941680908203,DSf,year,dry_spell_frequency,,7
03153_Goslar,0.2541923522949219,DSf,year,dry_spell_frequency,,7
03154_Helmstedt,0.013591766357421875,DSf,year,dry_spell_frequency,,7
03155_Northeim,0.17667388916015625,DSf,year,dry_spell_frequency,,7
03157_Peine,-0.06609916687011719,DSf,year,dry_spell_frequency,,7
03158_Wolfenbüttel,-0.14270782470703125,DSf,year,dry_spell_frequency,,7
03241_Region Hannover,0.005944252014160156,DSf,year,dry_spell_frequency,,7
03251_Diepholz,0.23866558074951172,DSf,year,dry_spell_frequency,,7
03252_Hameln-Pyrmont,0.10025596618652344,DSf,year,dry_spell_frequency,,7
03254_Hildesheim,-0.06315898895263672,DSf,year,dry_spell_frequency,,7
03255_Holzminden,0.19735145568847656,DSf,year,dry_spell_frequency,,7
01056_Pinneberg,0.0055484771728515625,DSf,year,dry_spell_frequency,,7
03256_Nienburg (Weser),0.04819965362548828,DSf,year,dry_spell_frequency,,7
03257_Schaumburg,0.15012168884277344,DSf,year,dry_spell_frequency,,7
03351_Celle,-0.048221588134765625,DSf,year,dry_spell_frequency,,7
03352_Cuxhaven,-0.15136051177978516,DSf,year,dry_spell_frequency,,7
03353_Harburg,-0.0259552001953125,DSf,year,dry_spell_frequency,,7
03354_Lüchow-Dannenberg,0.036773681640625,DSf,year,dry_spell_frequency,,7
03355_Lüneburg,-0.05469036102294922,DSf,year,dry_spell_frequency,,7
03356_Osterholz,0.11079120635986328,DSf,year,dry_spell_frequency,,7
03357_Rotenburg (Wümme),-0.00084686279296875,DSf,year,dry_spell_frequency,,7
03358_Heidekreis,-0.10017967224121094,DSf,year,dry_spell_frequency,,7
03359_Stade,-0.06865215301513672,DSf,year,dry_spell_frequency,,7
03360_Uelzen,0.004482269287109375,DSf,year,dry_spell_frequency,,7
03361_Verden,0.040619850158691406,DSf,year,dry_spell_frequency,,7
03401_Delmenhorst,0.09388160705566406,DSf,year,dry_spell_frequency,,7
03402_Emden,0.1752910614013672,DSf,year,dry_spell_frequency,,7
03403_Oldenburg (Oldb),0.13516616821289062,DSf,year,dry_spell_frequency,,7
03404_Osnabrück,0.10698413848876953,DSf,year,dry_spell_frequency,,7
03405_Wilhelmshaven,0.006977081298828125,DSf,year,dry_spell_frequency,,7
03451_Ammerland,0.09354305267333984,DSf,year,dry_spell_frequency,,7
03452_Aurich,0.13232135772705078,DSf,year,dry_spell_frequency,,7
03453_Cloppenburg,0.1902322769165039,DSf,year,dry_spell_frequency,,7
03454_Emsland,0.1317892074584961,DSf,year,dry_spell_frequency,,7
03455_Friesland,0.09194278717041016,DSf,year,dry_spell_frequency,,7
03456_Grafschaft Bentheim,0.2566537857055664,DSf,year,dry_spell_frequency,,7
03457_Leer,0.10178279876708984,DSf,year,dry_spell_frequency,,7
03458_Oldenburg,0.20850753784179688,DSf,year,dry_spell_frequency,,7
