region,DSf_year_3C_rcp85_time-mean_ensemble-diff-min,ci_name,ci_frequency,standard_name,units,mid_month
01001_Flensburg,-1.9951705932617188,DSf,year,dry_spell_frequency,,7
01002_Kiel,-1.7317562103271484,DSf,year,dry_spell_frequency,,7
01003_Lübeck,-1.6021537780761719,DSf,year,dry_spell_frequency,,7
01004_Neumünster,-1.6103191375732422,DSf,year,dry_spell_frequency,,7
01051_Dithmarschen,-2.7102246284484863,DSf,year,dry_spell_frequency,,7
01053_Herzogtum Lauenburg,-1.7425622940063477,DSf,year,dry_spell_frequency,,7
01054_Nordfriesland,-2.3783836364746094,DSf,year,dry_spell_frequency,,7
01055_Ostholstein,-1.5354557037353516,DSf,year,dry_spell_frequency,,7
01057_Plön,-1.6988153457641602,DSf,year,dry_spell_frequency,,7
01058_Rendsburg-Eckernförde,-2.0487966537475586,DSf,year,dry_spell_frequency,,7
01059_Schleswig-Flensburg,-2.121058464050293,DSf,year,dry_spell_frequency,,7
01060_Segeberg,-1.4634313583374023,DSf,year,dry_spell_frequency,,7
01061_Steinburg,-2.1466336250305176,DSf,year,dry_spell_frequency,,7
01062_Stormarn,-1.312631607055664,DSf,year,dry_spell_frequency,,7
02000_Hamburg,-1.671767234802246,DSf,year,dry_spell_frequency,,7
03101_Braunschweig,-2.297360897064209,DSf,year,dry_spell_frequency,,7
03102_Salzgitter,-2.31766414642334,DSf,year,dry_spell_frequency,,7
03103_Wolfsburg,-2.414785861968994,DSf,year,dry_spell_frequency,,7
03151_Gifhorn,-2.0086469650268555,DSf,year,dry_spell_frequency,,7
03159_Göttingen,-2.062957286834717,DSf,year,dry_spell_frequency,,7
03153_Goslar,-2.0196914672851562,DSf,year,dry_spell_frequency,,7
03154_Helmstedt,-2.303800582885742,DSf,year,dry_spell_frequency,,7
03155_Northeim,-2.0729427337646484,DSf,year,dry_spell_frequency,,7
03157_Peine,-2.3173937797546387,DSf,year,dry_spell_frequency,,7
03158_Wolfenbüttel,-2.359825611114502,DSf,year,dry_spell_frequency,,7
03241_Region Hannover,-2.0506935119628906,DSf,year,dry_spell_frequency,,7
03251_Diepholz,-2.1466007232666016,DSf,year,dry_spell_frequency,,7
03252_Hameln-Pyrmont,-2.0100674629211426,DSf,year,dry_spell_frequency,,7
03254_Hildesheim,-2.2976040840148926,DSf,year,dry_spell_frequency,,7
03255_Holzminden,-1.8908567428588867,DSf,year,dry_spell_frequency,,7
01056_Pinneberg,-1.9513607025146484,DSf,year,dry_spell_frequency,,7
03256_Nienburg (Weser),-2.1849966049194336,DSf,year,dry_spell_frequency,,7
03257_Schaumburg,-2.0595216751098633,DSf,year,dry_spell_frequency,,7
03351_Celle,-1.9490056037902832,DSf,year,dry_spell_frequency,,7
03352_Cuxhaven,-2.131075382232666,DSf,year,dry_spell_frequency,,7
03353_Harburg,-1.908487319946289,DSf,year,dry_spell_frequency,,7
03354_Lüchow-Dannenberg,-2.140936851501465,DSf,year,dry_spell_frequency,,7
03355_Lüneburg,-2.0640430450439453,DSf,year,dry_spell_frequency,,7
03356_Osterholz,-2.028566837310791,DSf,year,dry_spell_frequency,,7
03357_Rotenburg (Wümme),-2.198470115661621,DSf,year,dry_spell_frequency,,7
03358_Heidekreis,-2.019787311553955,DSf,year,dry_spell_frequency,,7
03359_Stade,-2.1428465843200684,DSf,year,dry_spell_frequency,,7
03360_Uelzen,-1.6352100372314453,DSf,year,dry_spell_frequency,,7
03361_Verden,-1.8112072944641113,DSf,year,dry_spell_frequency,,7
03401_Delmenhorst,-2.1657724380493164,DSf,year,dry_spell_frequency,,7
03402_Emden,-1.8091306686401367,DSf,year,dry_spell_frequency,,7
03403_Oldenburg (Oldb),-2.174882411956787,DSf,year,dry_spell_frequency,,7
03404_Osnabrück,-2.5790061950683594,DSf,year,dry_spell_frequency,,7
03405_Wilhelmshaven,-1.6912918090820312,DSf,year,dry_spell_frequency,,7
03451_Ammerland,-2.1106295585632324,DSf,year,dry_spell_frequency,,7
03452_Aurich,-1.6743249893188477,DSf,year,dry_spell_frequency,,7
03453_Cloppenburg,-1.980818271636963,DSf,year,dry_spell_frequency,,7
03454_Emsland,-2.330294132232666,DSf,year,dry_spell_frequency,,7
03455_Friesland,-1.8369512557983398,DSf,year,dry_spell_frequency,,7
03456_Grafschaft Bentheim,-2.4356441497802734,DSf,year,dry_spell_frequency,,7
03457_Leer,-1.7425127029418945,DSf,year,dry_spell_frequency,,7
03458_Oldenburg,-1.982635498046875,DSf,year,dry_spell_frequency,,7
03459_Osnabrück,-2.4465441703796387,DSf,year,dry_spell_frequency,,7
03460_Vechta,-1.8457403182983398,DSf,year,dry_spell_frequency,,7
03461_Wesermarsch,-2.2411489486694336,DSf,year,dry_spell_frequency,,7
03462_Wittmund,-1.6524734497070312,DSf,year,dry_spell_frequency,,7
04011_Bremen,-2.0122690200805664,DSf,year,dry_spell_frequency,,7
04012_Bremerhaven,-2.4490408897399902,DSf,year,dry_spell_frequency,,7
05111_Düsseldorf,-2.645101547241211,DSf,year,dry_spell_frequency,,7
05112_Duisburg,-2.2134599685668945,DSf,year,dry_spell_frequency,,7
05113_Essen,-2.3785653114318848,DSf,year,dry_spell_frequency,,7
05114_Krefeld,-2.5113792419433594,DSf,year,dry_spell_frequency,,7
05116_Mönchengladbach,-2.39194917678833,DSf,year,dry_spell_frequency,,7
05117_Mülheim an der Ruhr,-2.3010177612304688,DSf,year,dry_spell_frequency,,7
05119_Oberhausen,-1.9995179176330566,DSf,year,dry_spell_frequency,,7
05120_Remscheid,-2.7586350440979004,DSf,year,dry_spell_frequency,,7
05122_Solingen,-2.8217363357543945,DSf,year,dry_spell_frequency,,7
05124_Wuppertal,-2.6548376083374023,DSf,year,dry_spell_frequency,,7
05154_Kleve,-2.247666835784912,DSf,year,dry_spell_frequency,,7
05158_Mettmann,-2.6306376457214355,DSf,year,dry_spell_frequency,,7
05162_Rhein-Kreis Neuss,-2.790729522705078,DSf,year,dry_spell_frequency,,7
05166_Viersen,-2.3452115058898926,DSf,year,dry_spell_frequency,,7
05170_Wesel,-2.438422203063965,DSf,year,dry_spell_frequency,,7
05314_Bonn,-2.768892288208008,DSf,year,dry_spell_frequency,,7
05315_Köln,-2.893026828765869,DSf,year,dry_spell_frequency,,7
05316_Leverkusen,-2.333083152770996,DSf,year,dry_spell_frequency,,7
05334_Städteregion Aachen,-2.177767276763916,DSf,year,dry_spell_frequency,,7
05358_Düren,-2.350747585296631,DSf,year,dry_spell_frequency,,7
05362_Rhein-Erft-Kreis,-2.8687076568603516,DSf,year,dry_spell_frequency,,7
05366_Euskirchen,-2.218353271484375,DSf,year,dry_spell_frequency,,7
05370_Heinsberg,-2.1972622871398926,DSf,year,dry_spell_frequency,,7
05374_Oberbergischer Kreis,-2.281249523162842,DSf,year,dry_spell_frequency,,7
05378_Rheinisch-Bergischer Kreis,-2.5340518951416016,DSf,year,dry_spell_frequency,,7
05382_Rhein-Sieg-Kreis,-2.591586112976074,DSf,year,dry_spell_frequency,,7
05512_Bottrop,-2.234510898590088,DSf,year,dry_spell_frequency,,7
05513_Gelsenkirchen,-2.320986270904541,DSf,year,dry_spell_frequency,,7
05515_Münster,-2.6005568504333496,DSf,year,dry_spell_frequency,,7
05554_Borken,-2.4547643661499023,DSf,year,dry_spell_frequency,,7
05558_Coesfeld,-2.5714492797851562,DSf,year,dry_spell_frequency,,7
05562_Recklinghausen,-2.1819067001342773,DSf,year,dry_spell_frequency,,7
05566_Steinfurt,-2.4732909202575684,DSf,year,dry_spell_frequency,,7
05570_Warendorf,-2.6900405883789062,DSf,year,dry_spell_frequency,,7
05711_Bielefeld,-2.8083677291870117,DSf,year,dry_spell_frequency,,7
05754_Gütersloh,-2.6898465156555176,DSf,year,dry_spell_frequency,,7
05758_Herford,-2.4621634483337402,DSf,year,dry_spell_frequency,,7
05762_Höxter,-2.0581164360046387,DSf,year,dry_spell_frequency,,7
05766_Lippe,-2.2133116722106934,DSf,year,dry_spell_frequency,,7
05770_Minden-Lübbecke,-2.1198511123657227,DSf,year,dry_spell_frequency,,7
05774_Paderborn,-2.596737861633301,DSf,year,dry_spell_frequency,,7
05911_Bochum,-2.52532958984375,DSf,year,dry_spell_frequency,,7
05913_Dortmund,-2.51804256439209,DSf,year,dry_spell_frequency,,7
05914_Hagen,-2.421344757080078,DSf,year,dry_spell_frequency,,7
05915_Hamm,-2.850615978240967,DSf,year,dry_spell_frequency,,7
05916_Herne,-2.7186155319213867,DSf,year,dry_spell_frequency,,7
05954_Ennepe-Ruhr-Kreis,-2.4434452056884766,DSf,year,dry_spell_frequency,,7
05958_Hochsauerlandkreis,-2.103506088256836,DSf,year,dry_spell_frequency,,7
05962_Märkischer Kreis,-2.6344618797302246,DSf,year,dry_spell_frequency,,7
05966_Olpe,-2.2837038040161133,DSf,year,dry_spell_frequency,,7
05970_Siegen-Wittgenstein,-1.8543891906738281,DSf,year,dry_spell_frequency,,7
05974_Soest,-2.644585132598877,DSf,year,dry_spell_frequency,,7
05978_Unna,-2.645623207092285,DSf,year,dry_spell_frequency,,7
06411_Darmstadt,-2.268359661102295,DSf,year,dry_spell_frequency,,7
06412_Frankfurt am Main,-2.2132649421691895,DSf,year,dry_spell_frequency,,7
06413_Offenbach am Main,-2.573007106781006,DSf,year,dry_spell_frequency,,7
06414_Wiesbaden,-2.4793877601623535,DSf,year,dry_spell_frequency,,7
06431_Bergstraße,-1.7935447692871094,DSf,year,dry_spell_frequency,,7
06432_Darmstadt-Dieburg,-2.18344783782959,DSf,year,dry_spell_frequency,,7
06433_Groß-Gerau,-2.656078815460205,DSf,year,dry_spell_frequency,,7
06434_Hochtaunuskreis,-1.8306598663330078,DSf,year,dry_spell_frequency,,7
06435_Main-Kinzig-Kreis,-2.3960514068603516,DSf,year,dry_spell_frequency,,7
06436_Main-Taunus-Kreis,-2.1211628913879395,DSf,year,dry_spell_frequency,,7
06437_Odenwaldkreis,-1.8149447441101074,DSf,year,dry_spell_frequency,,7
06438_Offenbach,-2.579068660736084,DSf,year,dry_spell_frequency,,7
06439_Rheingau-Taunus-Kreis,-2.1722750663757324,DSf,year,dry_spell_frequency,,7
06440_Wetteraukreis,-2.174973487854004,DSf,year,dry_spell_frequency,,7
06531_Gießen,-2.3488330841064453,DSf,year,dry_spell_frequency,,7
