region,DSx5_year_1.5C_rcp85_time-mean_ensemble-diff-max,ci_name,ci_frequency,standard_name,units,mid_month
01001_01059_Region_um_Flensburg,3.917604446411133,DSx5,year,dry_spell_duration,days,7
01001_Flensburg,4.936195373535156,DSx5,year,dry_spell_duration,days,7
01002_01057_01058_Region_um_Kiel,3.5101795196533203,DSx5,year,dry_spell_duration,days,7
01002_Kiel,3.021495819091797,DSx5,year,dry_spell_duration,days,7
01003_13074_01055_01053_01062_Region_um_Lübeck,3.7512035369873047,DSx5,year,dry_spell_duration,days,7
01003_Lübeck,2.9837722778320312,DSx5,year,dry_spell_duration,days,7
01004_01058_01060_01057_01002_Region_um_Neumünster,3.3250865936279297,DSx5,year,dry_spell_duration,days,7
01004_Neumünster,2.4131107330322266,DSx5,year,dry_spell_duration,days,7
01051_Dithmarschen,3.370828628540039,DSx5,year,dry_spell_duration,days,7
01053_Herzogtum Lauenburg,3.4892044067382812,DSx5,year,dry_spell_duration,days,7
01054_Nordfriesland,3.5945491790771484,DSx5,year,dry_spell_duration,days,7
01055_Ostholstein,3.6755008697509766,DSx5,year,dry_spell_duration,days,7
01056_Pinneberg,4.389240264892578,DSx5,year,dry_spell_duration,days,7
01057_Plön,3.7420578002929688,DSx5,year,dry_spell_duration,days,7
01058_Rendsburg-Eckernförde,3.4220104217529297,DSx5,year,dry_spell_duration,days,7
01059_Schleswig-Flensburg,3.890890121459961,DSx5,year,dry_spell_duration,days,7
01060_Segeberg,3.006877899169922,DSx5,year,dry_spell_duration,days,7
01061_Steinburg,3.5983848571777344,DSx5,year,dry_spell_duration,days,7
01062_Stormarn,4.815635681152344,DSx5,year,dry_spell_duration,days,7
02000_Hamburg,4.8786163330078125,DSx5,year,dry_spell_duration,days,7
03101_03157_03154_03151_03102_03158_03103_Region_um_Braunschweig,5.176422119140625,DSx5,year,dry_spell_duration,days,7
03101_Braunschweig,4.574028015136719,DSx5,year,dry_spell_duration,days,7
03102_03254_03157_03158_03153_03101_Region_um_Salzgitter,4.365394592285156,DSx5,year,dry_spell_duration,days,7
03102_Salzgitter,4.779996871948242,DSx5,year,dry_spell_duration,days,7
