region,DSx5_year_1.5C_rcp85_time-mean_ensemble-diff-mean,ci_name,ci_frequency,standard_name,units,mid_month
01001_01059_Region_um_Flensburg,0.0032366368,DSx5,year,dry_spell_duration,days,7
01001_Flensburg,-0.05011557,DSx5,year,dry_spell_duration,days,7
01002_01057_01058_Region_um_Kiel,-0.033182614,DSx5,year,dry_spell_duration,days,7
01002_Kiel,-0.05549255,DSx5,year,dry_spell_duration,days,7
01003_13074_01055_01053_01062_Region_um_Lübeck,-0.08757164,DSx5,year,dry_spell_duration,days,7
01003_Lübeck,-0.029652344,DSx5,year,dry_spell_duration,days,7
01004_01058_01060_01057_01002_Region_um_Neumünster,-0.0059230705,DSx5,year,dry_spell_duration,days,7
01004_Neumünster,-0.03841631,DSx5,year,dry_spell_duration,days,7
01051_Dithmarschen,0.07114427,DSx5,year,dry_spell_duration,days,7
01053_Herzogtum Lauenburg,-0.007143121,DSx5,year,dry_spell_duration,days,7
01054_Nordfriesland,-0.05953536,DSx5,year,dry_spell_duration,days,7
01055_Ostholstein,-0.17112546,DSx5,year,dry_spell_duration,days,7
01056_Pinneberg,0.11800346,DSx5,year,dry_spell_duration,days,7
01057_Plön,-0.14350978,DSx5,year,dry_spell_duration,days,7
01058_Rendsburg-Eckernförde,0.023017231,DSx5,year,dry_spell_duration,days,7
01059_Schleswig-Flensburg,0.004635995,DSx5,year,dry_spell_duration,days,7
01060_Segeberg,0.064858384,DSx5,year,dry_spell_duration,days,7
01061_Steinburg,0.1425002,DSx5,year,dry_spell_duration,days,7
01062_Stormarn,0.07347554,DSx5,year,dry_spell_duration,days,7
02000_Hamburg,0.043776814,DSx5,year,dry_spell_duration,days,7
03101_03157_03154_03151_03102_03158_03103_Region_um_Braunschweig,0.17659593,DSx5,year,dry_spell_duration,days,7
03101_Braunschweig,0.09976837,DSx5,year,dry_spell_duration,days,7
03102_03254_03157_03158_03153_03101_Region_um_Salzgitter,0.18016444,DSx5,year,dry_spell_duration,days,7
03102_Salzgitter,0.19622977,DSx5,year,dry_spell_duration,days,7
03103_03154_03151_Region_um_Wolfsburg,0.17389989,DSx5,year,dry_spell_duration,days,7
03103_Wolfsburg,0.26789927,DSx5,year,dry_spell_duration,days,7
03151_Gifhorn,0.17291915,DSx5,year,dry_spell_duration,days,7
03153_Goslar,0.21077232,DSx5,year,dry_spell_duration,days,7
03154_Helmstedt,0.14713329,DSx5,year,dry_spell_duration,days,7
03155_Northeim,0.082958624,DSx5,year,dry_spell_duration,days,7
03157_Peine,0.16919117,DSx5,year,dry_spell_duration,days,7
03158_Wolfenbüttel,0.20581377,DSx5,year,dry_spell_duration,days,7
03159_Göttingen,0.13401686,DSx5,year,dry_spell_duration,days,7
03241_Region Hannover,0.1407331,DSx5,year,dry_spell_duration,days,7
03251_Diepholz,0.093517154,DSx5,year,dry_spell_duration,days,7
03252_Hameln-Pyrmont,0.16736114,DSx5,year,dry_spell_duration,days,7
03254_Hildesheim,0.15524536,DSx5,year,dry_spell_duration,days,7
03255_Holzminden,0.1251121,DSx5,year,dry_spell_duration,days,7
03256_Nienburg (Weser),0.21539792,DSx5,year,dry_spell_duration,days,7
03257_Schaumburg,0.13010597,DSx5,year,dry_spell_duration,days,7
03351_Celle,0.11762557,DSx5,year,dry_spell_duration,days,7
03352_Cuxhaven,0.10372804,DSx5,year,dry_spell_duration,days,7
03353_Harburg,0.06984747,DSx5,year,dry_spell_duration,days,7
03354_Lüchow-Dannenberg,-0.0018818169,DSx5,year,dry_spell_duration,days,7
03355_Lüneburg,0.009737065,DSx5,year,dry_spell_duration,days,7
03356_Osterholz,0.12765324,DSx5,year,dry_spell_duration,days,7
03357_Rotenburg (Wümme),0.098923266,DSx5,year,dry_spell_duration,days,7
03358_Heidekreis,0.07871174,DSx5,year,dry_spell_duration,days,7
03359_Stade,0.13446073,DSx5,year,dry_spell_duration,days,7
03360_Uelzen,0.076493114,DSx5,year,dry_spell_duration,days,7
03361_Verden,0.009975467,DSx5,year,dry_spell_duration,days,7
03401_03458_04011_03251_03461_Region_um_Delmenhorst,0.08758828,DSx5,year,dry_spell_duration,days,7
