region,DSx5_year_1.5C_rcp85_time-mean_ensemble-diff-median,ci_name,ci_frequency,standard_name,units,mid_month
01001_01059_Region_um_Flensburg,-0.011331558227539062,DSx5,year,dry_spell_duration,days,7
01001_Flensburg,-0.04923248291015625,DSx5,year,dry_spell_duration,days,7
01002_01057_01058_Region_um_Kiel,-0.060797691345214844,DSx5,year,dry_spell_duration,days,7
01002_Kiel,-0.058544158935546875,DSx5,year,dry_spell_duration,days,7
01003_13074_01055_01053_01062_Region_um_Lübeck,-0.2541770935058594,DSx5,year,dry_spell_duration,days,7
01003_Lübeck,-0.029804229736328125,DSx5,year,dry_spell_duration,days,7
01004_01058_01060_01057_01002_Region_um_Neumünster,-0.00046825408935546875,DSx5,year,dry_spell_duration,days,7
01004_Neumünster,0.010708808898925781,DSx5,year,dry_spell_duration,days,7
01051_Dithmarschen,0.1154632568359375,DSx5,year,dry_spell_duration,days,7
01053_Herzogtum Lauenburg,-0.19096946716308594,DSx5,year,dry_spell_duration,days,7
01054_Nordfriesland,-0.10844039916992188,DSx5,year,dry_spell_duration,days,7
01055_Ostholstein,-0.31366443634033203,DSx5,year,dry_spell_duration,days,7
01056_Pinneberg,0.0015687942504882812,DSx5,year,dry_spell_duration,days,7
01057_Plön,-0.10027027130126953,DSx5,year,dry_spell_duration,days,7
01058_Rendsburg-Eckernförde,0.03816986083984375,DSx5,year,dry_spell_duration,days,7
01059_Schleswig-Flensburg,-0.003017425537109375,DSx5,year,dry_spell_duration,days,7
01060_Segeberg,-0.07491779327392578,DSx5,year,dry_spell_duration,days,7
01061_Steinburg,0.04700279235839844,DSx5,year,dry_spell_duration,days,7
01062_Stormarn,-0.12522125244140625,DSx5,year,dry_spell_duration,days,7
02000_Hamburg,-0.19351673126220703,DSx5,year,dry_spell_duration,days,7
03101_03157_03154_03151_03102_03158_03103_Region_um_Braunschweig,0.13584613800048828,DSx5,year,dry_spell_duration,days,7
03101_Braunschweig,-0.06753158569335938,DSx5,year,dry_spell_duration,days,7
03102_03254_03157_03158_03153_03101_Region_um_Salzgitter,0.08228015899658203,DSx5,year,dry_spell_duration,days,7
03102_Salzgitter,0.06732559204101562,DSx5,year,dry_spell_duration,days,7
03103_03154_03151_Region_um_Wolfsburg,0.16132545471191406,DSx5,year,dry_spell_duration,days,7
03103_Wolfsburg,0.2834482192993164,DSx5,year,dry_spell_duration,days,7
03151_Gifhorn,0.23122596740722656,DSx5,year,dry_spell_duration,days,7
03153_Goslar,0.09919548034667969,DSx5,year,dry_spell_duration,days,7
03154_Helmstedt,0.052573204040527344,DSx5,year,dry_spell_duration,days,7
03155_Northeim,-0.06721115112304688,DSx5,year,dry_spell_duration,days,7
03157_Peine,0.04603099822998047,DSx5,year,dry_spell_duration,days,7
03158_Wolfenbüttel,0.006836891174316406,DSx5,year,dry_spell_duration,days,7
03159_Göttingen,-0.054024696350097656,DSx5,year,dry_spell_duration,days,7
03241_Region Hannover,-0.09653186798095703,DSx5,year,dry_spell_duration,days,7
03251_Diepholz,-0.05339527130126953,DSx5,year,dry_spell_duration,days,7
03252_Hameln-Pyrmont,0.010196685791015625,DSx5,year,dry_spell_duration,days,7
03254_Hildesheim,0.08250999450683594,DSx5,year,dry_spell_duration,days,7
03255_Holzminden,-0.003749847412109375,DSx5,year,dry_spell_duration,days,7
03256_Nienburg (Weser),0.0068912506103515625,DSx5,year,dry_spell_duration,days,7
03257_Schaumburg,-0.019616127014160156,DSx5,year,dry_spell_duration,days,7
03351_Celle,0.023105621337890625,DSx5,year,dry_spell_duration,days,7
03352_Cuxhaven,-0.04935741424560547,DSx5,year,dry_spell_duration,days,7
03353_Harburg,-0.08112716674804688,DSx5,year,dry_spell_duration,days,7
03354_Lüchow-Dannenberg,-0.10744667053222656,DSx5,year,dry_spell_duration,days,7
03355_Lüneburg,-0.18877601623535156,DSx5,year,dry_spell_duration,days,7
03356_Osterholz,-0.03827476501464844,DSx5,year,dry_spell_duration,days,7
03357_Rotenburg (Wümme),0.0016613006591796875,DSx5,year,dry_spell_duration,days,7
03358_Heidekreis,0.0049839019775390625,DSx5,year,dry_spell_duration,days,7
03359_Stade,-0.1661672592163086,DSx5,year,dry_spell_duration,days,7
03360_Uelzen,-0.027980804443359375,DSx5,year,dry_spell_duration,days,7
03361_Verden,-0.15855979919433594,DSx5,year,dry_spell_duration,days,7
03401_03458_04011_03251_03461_Region_um_Delmenhorst,-0.17811012268066406,DSx5,year,dry_spell_duration,days,7
03401_Delmenhorst,-0.032299041748046875,DSx5,year,dry_spell_duration,days,7
03402_03452_03457_Region_um_Emden,0.05389213562011719,DSx5,year,dry_spell_duration,days,7
03402_Emden,-0.024082183837890625,DSx5,year,dry_spell_duration,days,7
03403_03458_03451_03461_Region_um_Oldenburg_(Oldenburg),-0.0908041000366211,DSx5,year,dry_spell_duration,days,7
03403_Oldenburg (Oldb),0.17455673217773438,DSx5,year,dry_spell_duration,days,7
03404_03459_05566_Region_um_Osnabrück,-0.2843513488769531,DSx5,year,dry_spell_duration,days,7
03404_Osnabrück,-0.08484458923339844,DSx5,year,dry_spell_duration,days,7
03405_03455_Region_um_Wilhelmshaven,-0.031597137451171875,DSx5,year,dry_spell_duration,days,7
03405_Wilhelmshaven,-0.18159866333007812,DSx5,year,dry_spell_duration,days,7
03451_Ammerland,0.022909164428710938,DSx5,year,dry_spell_duration,days,7
03452_Aurich,0.15346717834472656,DSx5,year,dry_spell_duration,days,7
03453_Cloppenburg,0.03508186340332031,DSx5,year,dry_spell_duration,days,7
03454_Emsland,0.08007335662841797,DSx5,year,dry_spell_duration,days,7
03455_Friesland,0.04187583923339844,DSx5,year,dry_spell_duration,days,7
03456_Grafschaft Bentheim,-0.12519550323486328,DSx5,year,dry_spell_duration,days,7
03457_Leer,0.102569580078125,DSx5,year,dry_spell_duration,days,7
03458_Oldenburg,0.033420562744140625,DSx5,year,dry_spell_duration,days,7
03459_Osnabrück,-0.23891544342041016,DSx5,year,dry_spell_duration,days,7
03460_Vechta,-0.2560558319091797,DSx5,year,dry_spell_duration,days,7
03461_Wesermarsch,-0.1498889923095703,DSx5,year,dry_spell_duration,days,7
03462_Wittmund,-0.01696491241455078,DSx5,year,dry_spell_duration,days,7
04011_03361_03251_03401_03461_03356_03352_04012_Region_um_Bremen,-0.20892333984375,DSx5,year,dry_spell_duration,days,7
04011_Bremen,-0.08361244201660156,DSx5,year,dry_spell_duration,days,7
04012_03352_03461_Region_um_Bremerhaven,-0.02355194091796875,DSx5,year,dry_spell_duration,days,7
04012_Bremerhaven,0.048308372497558594,DSx5,year,dry_spell_duration,days,7
05111_05162_05158_05112_Region_um_Düsseldorf,0.02562713623046875,DSx5,year,dry_spell_duration,days,7
05111_Düsseldorf,0.0064678192138671875,DSx5,year,dry_spell_duration,days,7
05112_05114_05119_05117_05170_05158_05111_Region_um_Duisburg,0.003997802734375,DSx5,year,dry_spell_duration,days,7
05112_Duisburg,-0.08364582061767578,DSx5,year,dry_spell_duration,days,7
05113_05119_05117_05513_05512_05158_05911_05954_05562_05513_05916_Region_um_Essen,0.04463386535644531,DSx5,year,dry_spell_duration,days,7
05113_Essen,0.08551502227783203,DSx5,year,dry_spell_duration,days,7
05114_05112_05162_05166_05170_Region_um_Krefeld,0.0030498504638671875,DSx5,year,dry_spell_duration,days,7
