region,DSx5_year_1.5C_rcp85_time-mean_ensemble-diff-min,ci_name,ci_frequency,standard_name,units,mid_month
01001_01059_Region_um_Flensburg,-2.4037561416625977,DSx5,year,dry_spell_duration,days,7
01001_Flensburg,-2.9546852111816406,DSx5,year,dry_spell_duration,days,7
01002_01057_01058_Region_um_Kiel,-2.7326622009277344,DSx5,year,dry_spell_duration,days,7
01002_Kiel,-2.8214073181152344,DSx5,year,dry_spell_duration,days,7
01003_13074_01055_01053_01062_Region_um_Lübeck,-2.763185501098633,DSx5,year,dry_spell_duration,days,7
01003_Lübeck,-2.6778039932250977,DSx5,year,dry_spell_duration,days,7
01004_01058_01060_01057_01002_Region_um_Neumünster,-2.421628952026367,DSx5,year,dry_spell_duration,days,7
01004_Neumünster,-2.7685651779174805,DSx5,year,dry_spell_duration,days,7
01051_Dithmarschen,-2.9850006103515625,DSx5,year,dry_spell_duration,days,7
01053_Herzogtum Lauenburg,-2.610459327697754,DSx5,year,dry_spell_duration,days,7
01054_Nordfriesland,-2.367642402648926,DSx5,year,dry_spell_duration,days,7
01055_Ostholstein,-2.7658491134643555,DSx5,year,dry_spell_duration,days,7
01056_Pinneberg,-2.5614242553710938,DSx5,year,dry_spell_duration,days,7
01057_Plön,-2.6605358123779297,DSx5,year,dry_spell_duration,days,7
01058_Rendsburg-Eckernförde,-2.7867050170898438,DSx5,year,dry_spell_duration,days,7
01059_Schleswig-Flensburg,-2.4099578857421875,DSx5,year,dry_spell_duration,days,7
01060_Segeberg,-1.9360971450805664,DSx5,year,dry_spell_duration,days,7
01061_Steinburg,-2.5597057342529297,DSx5,year,dry_spell_duration,days,7
01062_Stormarn,-2.1146068572998047,DSx5,year,dry_spell_duration,days,7
02000_Hamburg,-2.8674793243408203,DSx5,year,dry_spell_duration,days,7
03101_03157_03154_03151_03102_03158_03103_Region_um_Braunschweig,-2.458611488342285,DSx5,year,dry_spell_duration,days,7
03101_Braunschweig,-2.3618249893188477,DSx5,year,dry_spell_duration,days,7
03102_03254_03157_03158_03153_03101_Region_um_Salzgitter,-2.209075927734375,DSx5,year,dry_spell_duration,days,7
03102_Salzgitter,-2.347625732421875,DSx5,year,dry_spell_duration,days,7
03103_03154_03151_Region_um_Wolfsburg,-2.562422752380371,DSx5,year,dry_spell_duration,days,7
03103_Wolfsburg,-2.8915481567382812,DSx5,year,dry_spell_duration,days,7
03151_Gifhorn,-2.5722455978393555,DSx5,year,dry_spell_duration,days,7
03153_Goslar,-1.7564001083374023,DSx5,year,dry_spell_duration,days,7
03154_Helmstedt,-2.437753677368164,DSx5,year,dry_spell_duration,days,7
03155_Northeim,-1.837508201599121,DSx5,year,dry_spell_duration,days,7
03157_Peine,-2.699051856994629,DSx5,year,dry_spell_duration,days,7
03158_Wolfenbüttel,-2.3002185821533203,DSx5,year,dry_spell_duration,days,7
03159_Göttingen,-1.6115760803222656,DSx5,year,dry_spell_duration,days,7
03241_Region Hannover,-1.800490379333496,DSx5,year,dry_spell_duration,days,7
03251_Diepholz,-2.056521415710449,DSx5,year,dry_spell_duration,days,7
03252_Hameln-Pyrmont,-1.9379768371582031,DSx5,year,dry_spell_duration,days,7
03254_Hildesheim,-2.507802963256836,DSx5,year,dry_spell_duration,days,7
03255_Holzminden,-2.0412511825561523,DSx5,year,dry_spell_duration,days,7
03256_Nienburg (Weser),-1.8259162902832031,DSx5,year,dry_spell_duration,days,7
03257_Schaumburg,-1.8023624420166016,DSx5,year,dry_spell_duration,days,7
03351_Celle,-2.4738998413085938,DSx5,year,dry_spell_duration,days,7
03352_Cuxhaven,-2.0116043090820312,DSx5,year,dry_spell_duration,days,7
03353_Harburg,-2.3962793350219727,DSx5,year,dry_spell_duration,days,7
03354_Lüchow-Dannenberg,-3.1790618896484375,DSx5,year,dry_spell_duration,days,7
03355_Lüneburg,-2.571682929992676,DSx5,year,dry_spell_duration,days,7
03356_Osterholz,-2.3141279220581055,DSx5,year,dry_spell_duration,days,7
03357_Rotenburg (Wümme),-2.1319046020507812,DSx5,year,dry_spell_duration,days,7
