region,ci_name,ci_frequency,standard_name,units,mid_month,DSx5_year_2C_rcp85_ensemble-robustness
01001_01059_Region_um_Flensburg,DSx5,year,dry_spell_duration,days,7,
01001_Flensburg,DSx5,year,dry_spell_duration,days,7,
01002_01057_01058_Region_um_Kiel,DSx5,year,dry_spell_duration,days,7,
01002_Kiel,DSx5,year,dry_spell_duration,days,7,
01003_13074_01055_01053_01062_Region_um_Lübeck,DSx5,year,dry_spell_duration,days,7,
01003_Lübeck,DSx5,year,dry_spell_duration,days,7,
01004_01058_01060_01057_01002_Region_um_Neumünster,DSx5,year,dry_spell_duration,days,7,
01004_Neumünster,DSx5,year,dry_spell_duration,days,7,
01051_Dithmarschen,DSx5,year,dry_spell_duration,days,7,
01053_Herzogtum Lauenburg,DSx5,year,dry_spell_duration,days,7,
01054_Nordfriesland,DSx5,year,dry_spell_duration,days,7,
01055_Ostholstein,DSx5,year,dry_spell_duration,days,7,
01056_Pinneberg,DSx5,year,dry_spell_duration,days,7,
01057_Plön,DSx5,year,dry_spell_duration,days,7,
01058_Rendsburg-Eckernförde,DSx5,year,dry_spell_duration,days,7,
01059_Schleswig-Flensburg,DSx5,year,dry_spell_duration,days,7,
01060_Segeberg,DSx5,year,dry_spell_duration,days,7,
01061_Steinburg,DSx5,year,dry_spell_duration,days,7,
01062_Stormarn,DSx5,year,dry_spell_duration,days,7,
02000_Hamburg,DSx5,year,dry_spell_duration,days,7,
03101_03157_03154_03151_03102_03158_03103_Region_um_Braunschweig,DSx5,year,dry_spell_duration,days,7,
03101_Braunschweig,DSx5,year,dry_spell_duration,days,7,
03102_03254_03157_03158_03153_03101_Region_um_Salzgitter,DSx5,year,dry_spell_duration,days,7,
03102_Salzgitter,DSx5,year,dry_spell_duration,days,7,
03103_03154_03151_Region_um_Wolfsburg,DSx5,year,dry_spell_duration,days,7,
03103_Wolfsburg,DSx5,year,dry_spell_duration,days,7,
03151_Gifhorn,DSx5,year,dry_spell_duration,days,7,
03153_Goslar,DSx5,year,dry_spell_duration,days,7,
03154_Helmstedt,DSx5,year,dry_spell_duration,days,7,
03155_Northeim,DSx5,year,dry_spell_duration,days,7,
03157_Peine,DSx5,year,dry_spell_duration,days,7,
03158_Wolfenbüttel,DSx5,year,dry_spell_duration,days,7,
03159_Göttingen,DSx5,year,dry_spell_duration,days,7,
03241_Region Hannover,DSx5,year,dry_spell_duration,days,7,
03251_Diepholz,DSx5,year,dry_spell_duration,days,7,
