region,DSx5_year_2C_rcp85_time-mean_ensemble-diff-mean,ci_name,ci_frequency,standard_name,units,mid_month
01001_01059_Region_um_Flensburg,0.032863732,DSx5,year,dry_spell_duration,days,7
01001_Flensburg,0.008733682,DSx5,year,dry_spell_duration,days,7
01002_01057_01058_Region_um_Kiel,0.023343822,DSx5,year,dry_spell_duration,days,7
01002_Kiel,-0.009292887,DSx5,year,dry_spell_duration,days,7
01003_13074_01055_01053_01062_Region_um_Lübeck,-0.05872012,DSx5,year,dry_spell_duration,days,7
01003_Lübeck,0.027819835,DSx5,year,dry_spell_duration,days,7
01004_01058_01060_01057_01002_Region_um_Neumünster,0.054073166,DSx5,year,dry_spell_duration,days,7
01004_Neumünster,-0.035186686,DSx5,year,dry_spell_duration,days,7
01051_Dithmarschen,0.0910565,DSx5,year,dry_spell_duration,days,7
01053_Herzogtum Lauenburg,0.009673503,DSx5,year,dry_spell_duration,days,7
01054_Nordfriesland,-0.07009555,DSx5,year,dry_spell_duration,days,7
01055_Ostholstein,-0.12179704,DSx5,year,dry_spell_duration,days,7
01056_Pinneberg,0.19166964,DSx5,year,dry_spell_duration,days,7
01057_Plön,-0.054604832,DSx5,year,dry_spell_duration,days,7
01058_Rendsburg-Eckernförde,0.06399384,DSx5,year,dry_spell_duration,days,7
01059_Schleswig-Flensburg,0.033496756,DSx5,year,dry_spell_duration,days,7
01060_Segeberg,0.13704084,DSx5,year,dry_spell_duration,days,7
01061_Steinburg,0.15230706,DSx5,year,dry_spell_duration,days,7
01062_Stormarn,0.08473133,DSx5,year,dry_spell_duration,days,7
02000_Hamburg,0.09718621,DSx5,year,dry_spell_duration,days,7
03101_03157_03154_03151_03102_03158_03103_Region_um_Braunschweig,0.117150456,DSx5,year,dry_spell_duration,days,7
03101_Braunschweig,0.0748811,DSx5,year,dry_spell_duration,days,7
03102_03254_03157_03158_03153_03101_Region_um_Salzgitter,0.18049818,DSx5,year,dry_spell_duration,days,7
