region,DSx5_year_3C_rcp85_time-mean_ensemble-diff-max,ci_name,ci_frequency,standard_name,units,mid_month
01001_01059_Region_um_Flensburg,5.31724739074707,DSx5,year,dry_spell_duration,days,7
01001_Flensburg,6.037786483764648,DSx5,year,dry_spell_duration,days,7
01002_01057_01058_Region_um_Kiel,5.579441070556641,DSx5,year,dry_spell_duration,days,7
01002_Kiel,6.836601257324219,DSx5,year,dry_spell_duration,days,7
01003_13074_01055_01053_01062_Region_um_Lübeck,6.524242401123047,DSx5,year,dry_spell_duration,days,7
01003_Lübeck,6.301689147949219,DSx5,year,dry_spell_duration,days,7
01004_01058_01060_01057_01002_Region_um_Neumünster,5.860004425048828,DSx5,year,dry_spell_duration,days,7
01004_Neumünster,6.528619766235352,DSx5,year,dry_spell_duration,days,7
01051_Dithmarschen,4.937402725219727,DSx5,year,dry_spell_duration,days,7
01053_Herzogtum Lauenburg,7.78570556640625,DSx5,year,dry_spell_duration,days,7
01054_Nordfriesland,4.097320556640625,DSx5,year,dry_spell_duration,days,7
01055_Ostholstein,5.599231719970703,DSx5,year,dry_spell_duration,days,7
01056_Pinneberg,8.058610916137695,DSx5,year,dry_spell_duration,days,7
01057_Plön,6.008770942687988,DSx5,year,dry_spell_duration,days,7
01058_Rendsburg-Eckernförde,5.769079208374023,DSx5,year,dry_spell_duration,days,7
01059_Schleswig-Flensburg,5.29835319519043,DSx5,year,dry_spell_duration,days,7
01060_Segeberg,6.527965545654297,DSx5,year,dry_spell_duration,days,7
01061_Steinburg,6.769786834716797,DSx5,year,dry_spell_duration,days,7
01062_Stormarn,7.450717926025391,DSx5,year,dry_spell_duration,days,7
02000_Hamburg,9.238086700439453,DSx5,year,dry_spell_duration,days,7
03101_03157_03154_03151_03102_03158_03103_Region_um_Braunschweig,8.315435409545898,DSx5,year,dry_spell_duration,days,7
03101_Braunschweig,8.267322540283203,DSx5,year,dry_spell_duration,days,7
03102_03254_03157_03158_03153_03101_Region_um_Salzgitter,8.428216934204102,DSx5,year,dry_spell_duration,days,7
03102_Salzgitter,7.734292984008789,DSx5,year,dry_spell_duration,days,7
03103_03154_03151_Region_um_Wolfsburg,8.504816055297852,DSx5,year,dry_spell_duration,days,7
03103_Wolfsburg,9.942169189453125,DSx5,year,dry_spell_duration,days,7
03151_Gifhorn,7.738613128662109,DSx5,year,dry_spell_duration,days,7
03153_Goslar,9.663068771362305,DSx5,year,dry_spell_duration,days,7
03154_Helmstedt,9.848779678344727,DSx5,year,dry_spell_duration,days,7
03155_Northeim,7.461421966552734,DSx5,year,dry_spell_duration,days,7
03157_Peine,8.42617416381836,DSx5,year,dry_spell_duration,days,7
03158_Wolfenbüttel,8.299087524414062,DSx5,year,dry_spell_duration,days,7
03159_Göttingen,8.192413330078125,DSx5,year,dry_spell_duration,days,7
03241_Region Hannover,8.916999816894531,DSx5,year,dry_spell_duration,days,7
03251_Diepholz,10.861139297485352,DSx5,year,dry_spell_duration,days,7
03252_Hameln-Pyrmont,7.100107192993164,DSx5,year,dry_spell_duration,days,7
03254_Hildesheim,8.054880142211914,DSx5,year,dry_spell_duration,days,7
03255_Holzminden,7.31974983215332,DSx5,year,dry_spell_duration,days,7
03256_Nienburg (Weser),10.513690948486328,DSx5,year,dry_spell_duration,days,7
03257_Schaumburg,9.159049987792969,DSx5,year,dry_spell_duration,days,7
03351_Celle,9.1094970703125,DSx5,year,dry_spell_duration,days,7
03352_Cuxhaven,5.748868942260742,DSx5,year,dry_spell_duration,days,7
03353_Harburg,7.684604644775391,DSx5,year,dry_spell_duration,days,7
03354_Lüchow-Dannenberg,8.384592056274414,DSx5,year,dry_spell_duration,days,7
03355_Lüneburg,9.304620742797852,DSx5,year,dry_spell_duration,days,7
03356_Osterholz,6.883087158203125,DSx5,year,dry_spell_duration,days,7
03357_Rotenburg (Wümme),6.720949172973633,DSx5,year,dry_spell_duration,days,7
03358_Heidekreis,10.07044792175293,DSx5,year,dry_spell_duration,days,7
03359_Stade,6.901365280151367,DSx5,year,dry_spell_duration,days,7
03360_Uelzen,10.408159255981445,DSx5,year,dry_spell_duration,days,7
03361_Verden,10.059738159179688,DSx5,year,dry_spell_duration,days,7
03401_03458_04011_03251_03461_Region_um_Delmenhorst,9.59946060180664,DSx5,year,dry_spell_duration,days,7
