region,DSx5_year_4C_rcp85_time-mean_ensemble-diff-median,ci_name,ci_frequency,standard_name,units,mid_month
01001_01059_Region_um_Flensburg,1.281576156616211,DSx5,year,dry_spell_duration,days,7
01001_Flensburg,1.4214634895324707,DSx5,year,dry_spell_duration,days,7
01002_01057_01058_Region_um_Kiel,1.3828535079956055,DSx5,year,dry_spell_duration,days,7
01002_Kiel,1.7093744277954102,DSx5,year,dry_spell_duration,days,7
01003_13074_01055_01053_01062_Region_um_Lübeck,0.8826169967651367,DSx5,year,dry_spell_duration,days,7
01003_Lübeck,1.082341194152832,DSx5,year,dry_spell_duration,days,7
01004_01058_01060_01057_01002_Region_um_Neumünster,1.4612998962402344,DSx5,year,dry_spell_duration,days,7
01004_Neumünster,1.5128350257873535,DSx5,year,dry_spell_duration,days,7
01051_Dithmarschen,1.0614423751831055,DSx5,year,dry_spell_duration,days,7
01053_Herzogtum Lauenburg,0.995150089263916,DSx5,year,dry_spell_duration,days,7
01054_Nordfriesland,1.0871319770812988,DSx5,year,dry_spell_duration,days,7
01055_Ostholstein,1.015822410583496,DSx5,year,dry_spell_duration,days,7
01056_Pinneberg,0.9435625076293945,DSx5,year,dry_spell_duration,days,7
01057_Plön,1.2460412979125977,DSx5,year,dry_spell_duration,days,7
01058_Rendsburg-Eckernförde,1.5473451614379883,DSx5,year,dry_spell_duration,days,7
01059_Schleswig-Flensburg,1.2600936889648438,DSx5,year,dry_spell_duration,days,7
01060_Segeberg,1.4207267761230469,DSx5,year,dry_spell_duration,days,7
01061_Steinburg,1.033942699432373,DSx5,year,dry_spell_duration,days,7
01062_Stormarn,1.3134946823120117,DSx5,year,dry_spell_duration,days,7
02000_Hamburg,1.3369388580322266,DSx5,year,dry_spell_duration,days,7
03101_03157_03154_03151_03102_03158_03103_Region_um_Braunschweig,1.0471243858337402,DSx5,year,dry_spell_duration,days,7
03101_Braunschweig,1.0758066177368164,DSx5,year,dry_spell_duration,days,7
03102_03254_03157_03158_03153_03101_Region_um_Salzgitter,1.247978687286377,DSx5,year,dry_spell_duration,days,7
03102_Salzgitter,1.1995019912719727,DSx5,year,dry_spell_duration,days,7
03103_03154_03151_Region_um_Wolfsburg,1.0784893035888672,DSx5,year,dry_spell_duration,days,7
03103_Wolfsburg,0.9363412857055664,DSx5,year,dry_spell_duration,days,7
03151_Gifhorn,1.1363673210144043,DSx5,year,dry_spell_duration,days,7
03153_Goslar,1.575472354888916,DSx5,year,dry_spell_duration,days,7
03154_Helmstedt,0.7922797203063965,DSx5,year,dry_spell_duration,days,7
03155_Northeim,1.6742620468139648,DSx5,year,dry_spell_duration,days,7
03157_Peine,0.9674921035766602,DSx5,year,dry_spell_duration,days,7
03158_Wolfenbüttel,0.9121150970458984,DSx5,year,dry_spell_duration,days,7
