region,DSx5_year_4C_rcp85_time-mean_ensemble-diff-min,ci_name,ci_frequency,standard_name,units,mid_month
01001_01059_Region_um_Flensburg,-1.0440101623535156,DSx5,year,dry_spell_duration,days,7
01001_Flensburg,-1.5066776275634766,DSx5,year,dry_spell_duration,days,7
01002_01057_01058_Region_um_Kiel,-1.1519279479980469,DSx5,year,dry_spell_duration,days,7
01002_Kiel,-1.355245590209961,DSx5,year,dry_spell_duration,days,7
01003_13074_01055_01053_01062_Region_um_Lübeck,-1.5089588165283203,DSx5,year,dry_spell_duration,days,7
01003_Lübeck,-1.574666976928711,DSx5,year,dry_spell_duration,days,7
01004_01058_01060_01057_01002_Region_um_Neumünster,-0.9598941802978516,DSx5,year,dry_spell_duration,days,7
01004_Neumünster,-1.21319580078125,DSx5,year,dry_spell_duration,days,7
01051_Dithmarschen,-2.836864471435547,DSx5,year,dry_spell_duration,days,7
01053_Herzogtum Lauenburg,-1.7050533294677734,DSx5,year,dry_spell_duration,days,7
01054_Nordfriesland,-1.1439380645751953,DSx5,year,dry_spell_duration,days,7
01055_Ostholstein,-2.1138916015625,DSx5,year,dry_spell_duration,days,7
01056_Pinneberg,-1.3937911987304688,DSx5,year,dry_spell_duration,days,7
01057_Plön,-1.6064834594726562,DSx5,year,dry_spell_duration,days,7
01058_Rendsburg-Eckernförde,-0.9141559600830078,DSx5,year,dry_spell_duration,days,7
01059_Schleswig-Flensburg,-1.0318775177001953,DSx5,year,dry_spell_duration,days,7
01060_Segeberg,-1.0604114532470703,DSx5,year,dry_spell_duration,days,7
01061_Steinburg,-1.0722179412841797,DSx5,year,dry_spell_duration,days,7
01062_Stormarn,-1.4636383056640625,DSx5,year,dry_spell_duration,days,7
02000_Hamburg,-1.6988677978515625,DSx5,year,dry_spell_duration,days,7
03101_03157_03154_03151_03102_03158_03103_Region_um_Braunschweig,-1.1052789688110352,DSx5,year,dry_spell_duration,days,7
03101_Braunschweig,-1.0966711044311523,DSx5,year,dry_spell_duration,days,7
03102_03254_03157_03158_03153_03101_Region_um_Salzgitter,-1.1320552825927734,DSx5,year,dry_spell_duration,days,7
03102_Salzgitter,-1.4921150207519531,DSx5,year,dry_spell_duration,days,7
03103_03154_03151_Region_um_Wolfsburg,-1.1227750778198242,DSx5,year,dry_spell_duration,days,7
03103_Wolfsburg,-1.57672119140625,DSx5,year,dry_spell_duration,days,7
03151_Gifhorn,-1.140425682067871,DSx5,year,dry_spell_duration,days,7
03153_Goslar,-1.5589914321899414,DSx5,year,dry_spell_duration,days,7
03154_Helmstedt,-1.5318803787231445,DSx5,year,dry_spell_duration,days,7
03155_Northeim,-1.6834230422973633,DSx5,year,dry_spell_duration,days,7
03157_Peine,-1.473733901977539,DSx5,year,dry_spell_duration,days,7
03158_Wolfenbüttel,-1.2443151473999023,DSx5,year,dry_spell_duration,days,7
03159_Göttingen,-1.182647705078125,DSx5,year,dry_spell_duration,days,7
03241_Region Hannover,-1.198690414428711,DSx5,year,dry_spell_duration,days,7
03251_Diepholz,-1.2250642776489258,DSx5,year,dry_spell_duration,days,7
03252_Hameln-Pyrmont,-1.5949392318725586,DSx5,year,dry_spell_duration,days,7
03254_Hildesheim,-1.6487083435058594,DSx5,year,dry_spell_duration,days,7
03255_Holzminden,-2.082315444946289,DSx5,year,dry_spell_duration,days,7
03256_Nienburg (Weser),-1.166090965270996,DSx5,year,dry_spell_duration,days,7
03257_Schaumburg,-0.8076353073120117,DSx5,year,dry_spell_duration,days,7
03351_Celle,-0.9156055450439453,DSx5,year,dry_spell_duration,days,7
03352_Cuxhaven,-1.4418144226074219,DSx5,year,dry_spell_duration,days,7
03353_Harburg,-1.6050777435302734,DSx5,year,dry_spell_duration,days,7
03354_Lüchow-Dannenberg,-1.2328033447265625,DSx5,year,dry_spell_duration,days,7
03355_Lüneburg,-1.05316162109375,DSx5,year,dry_spell_duration,days,7
03356_Osterholz,-1.729207992553711,DSx5,year,dry_spell_duration,days,7
03357_Rotenburg (Wümme),-1.6159896850585938,DSx5,year,dry_spell_duration,days,7
03358_Heidekreis,-1.256608009338379,DSx5,year,dry_spell_duration,days,7
03359_Stade,-1.4583406448364258,DSx5,year,dry_spell_duration,days,7
03360_Uelzen,-1.073744773864746,DSx5,year,dry_spell_duration,days,7
03361_Verden,-1.8454513549804688,DSx5,year,dry_spell_duration,days,7
03401_03458_04011_03251_03461_Region_um_Delmenhorst,-1.3829383850097656,DSx5,year,dry_spell_duration,days,7
03401_Delmenhorst,-2.0141525268554688,DSx5,year,dry_spell_duration,days,7
03402_03452_03457_Region_um_Emden,-2.5903148651123047,DSx5,year,dry_spell_duration,days,7
03402_Emden,-2.6314659118652344,DSx5,year,dry_spell_duration,days,7
03403_03458_03451_03461_Region_um_Oldenburg_(Oldenburg),-1.7372589111328125,DSx5,year,dry_spell_duration,days,7
03403_Oldenburg (Oldb),-1.9052600860595703,DSx5,year,dry_spell_duration,days,7
03404_03459_05566_Region_um_Osnabrück,-1.8703746795654297,DSx5,year,dry_spell_duration,days,7
03404_Osnabrück,-2.4934682846069336,DSx5,year,dry_spell_duration,days,7
03405_03455_Region_um_Wilhelmshaven,-2.4865646362304688,DSx5,year,dry_spell_duration,days,7
03405_Wilhelmshaven,-2.532451629638672,DSx5,year,dry_spell_duration,days,7
03451_Ammerland,-2.105283737182617,DSx5,year,dry_spell_duration,days,7
03452_Aurich,-2.6951351165771484,DSx5,year,dry_spell_duration,days,7
03453_Cloppenburg,-1.5852775573730469,DSx5,year,dry_spell_duration,days,7
03454_Emsland,-1.0384607315063477,DSx5,year,dry_spell_duration,days,7
03455_Friesland,-2.4784812927246094,DSx5,year,dry_spell_duration,days,7
03456_Grafschaft Bentheim,-2.0480737686157227,DSx5,year,dry_spell_duration,days,7
03457_Leer,-2.4575576782226562,DSx5,year,dry_spell_duration,days,7
03458_Oldenburg,-2.1030473709106445,DSx5,year,dry_spell_duration,days,7
03459_Osnabrück,-1.744039535522461,DSx5,year,dry_spell_duration,days,7
03460_Vechta,-2.02178955078125,DSx5,year,dry_spell_duration,days,7
03461_Wesermarsch,-2.1540164947509766,DSx5,year,dry_spell_duration,days,7
03462_Wittmund,-2.71366024017334,DSx5,year,dry_spell_duration,days,7
04011_03361_03251_03401_03461_03356_03352_04012_Region_um_Bremen,-1.0958805084228516,DSx5,year,dry_spell_duration,days,7
04011_Bremen,-1.9024686813354492,DSx5,year,dry_spell_duration,days,7
04012_03352_03461_Region_um_Bremerhaven,-1.3858299255371094,DSx5,year,dry_spell_duration,days,7
04012_Bremerhaven,-1.6220836639404297,DSx5,year,dry_spell_duration,days,7
05111_05162_05158_05112_Region_um_Düsseldorf,-2.399372100830078,DSx5,year,dry_spell_duration,days,7
05111_Düsseldorf,-2.8329734802246094,DSx5,year,dry_spell_duration,days,7
