region,FD_year_1.5C_rcp85_time-mean_ensemble-diff-max,ci_name,ci_frequency,standard_name,units,mid_month
01001_Flensburg,-1.037567138671875,FD,year,days_with_air_temperature_below_threshold,days,7
01002_Kiel,0.6835060119628906,FD,year,days_with_air_temperature_below_threshold,days,7
01003_Lübeck,-0.382659912109375,FD,year,days_with_air_temperature_below_threshold,days,7
01004_Neumünster,-0.1021881103515625,FD,year,days_with_air_temperature_below_threshold,days,7
01051_Dithmarschen,1.3902244567871094,FD,year,days_with_air_temperature_below_threshold,days,7
01053_Herzogtum Lauenburg,-0.9389610290527344,FD,year,days_with_air_temperature_below_threshold,days,7
01054_Nordfriesland,1.3734245300292969,FD,year,days_with_air_temperature_below_threshold,days,7
01055_Ostholstein,-0.11798095703125,FD,year,days_with_air_temperature_below_threshold,days,7
01057_Plön,-0.15695571899414062,FD,year,days_with_air_temperature_below_threshold,days,7
01058_Rendsburg-Eckernförde,0.11341094970703125,FD,year,days_with_air_temperature_below_threshold,days,7
01059_Schleswig-Flensburg,-0.08552169799804688,FD,year,days_with_air_temperature_below_threshold,days,7
01060_Segeberg,-0.34578704833984375,FD,year,days_with_air_temperature_below_threshold,days,7
01061_Steinburg,0.35608673095703125,FD,year,days_with_air_temperature_below_threshold,days,7
01062_Stormarn,-0.42179107666015625,FD,year,days_with_air_temperature_below_threshold,days,7
02000_Hamburg,1.2512626647949219,FD,year,days_with_air_temperature_below_threshold,days,7
03101_Braunschweig,-0.5015487670898438,FD,year,days_with_air_temperature_below_threshold,days,7
03102_Salzgitter,-0.3392791748046875,FD,year,days_with_air_temperature_below_threshold,days,7
03103_Wolfsburg,-0.055408477783203125,FD,year,days_with_air_temperature_below_threshold,days,7
03151_Gifhorn,-0.8747673034667969,FD,year,days_with_air_temperature_below_threshold,days,7
03159_Göttingen,-2.8612289428710938,FD,year,days_with_air_temperature_below_threshold,days,7
03153_Goslar,-4.227775573730469,FD,year,days_with_air_temperature_below_threshold,days,7
03154_Helmstedt,-1.0481491088867188,FD,year,days_with_air_temperature_below_threshold,days,7
03155_Northeim,-2.4204025268554688,FD,year,days_with_air_temperature_below_threshold,days,7
03157_Peine,-0.4399833679199219,FD,year,days_with_air_temperature_below_threshold,days,7
03158_Wolfenbüttel,-1.0324668884277344,FD,year,days_with_air_temperature_below_threshold,days,7
03241_Region Hannover,0.02043914794921875,FD,year,days_with_air_temperature_below_threshold,days,7
03251_Diepholz,0.2263946533203125,FD,year,days_with_air_temperature_below_threshold,days,7
03252_Hameln-Pyrmont,-1.3302459716796875,FD,year,days_with_air_temperature_below_threshold,days,7
03254_Hildesheim,-0.6409835815429688,FD,year,days_with_air_temperature_below_threshold,days,7
03255_Holzminden,-2.0417442321777344,FD,year,days_with_air_temperature_below_threshold,days,7
01056_Pinneberg,0.8240814208984375,FD,year,days_with_air_temperature_below_threshold,days,7
03256_Nienburg (Weser),0.21639251708984375,FD,year,days_with_air_temperature_below_threshold,days,7
03257_Schaumburg,-0.3826446533203125,FD,year,days_with_air_temperature_below_threshold,days,7
03351_Celle,-0.9146270751953125,FD,year,days_with_air_temperature_below_threshold,days,7
03352_Cuxhaven,1.4495582580566406,FD,year,days_with_air_temperature_below_threshold,days,7
03353_Harburg,-0.31175994873046875,FD,year,days_with_air_temperature_below_threshold,days,7
03354_Lüchow-Dannenberg,-1.4775810241699219,FD,year,days_with_air_temperature_below_threshold,days,7
03355_Lüneburg,-1.0448989868164062,FD,year,days_with_air_temperature_below_threshold,days,7
03356_Osterholz,1.0869216918945312,FD,year,days_with_air_temperature_below_threshold,days,7
03357_Rotenburg (Wümme),0.3828926086425781,FD,year,days_with_air_temperature_below_threshold,days,7
03358_Heidekreis,-0.7954216003417969,FD,year,days_with_air_temperature_below_threshold,days,7
03359_Stade,1.0677528381347656,FD,year,days_with_air_temperature_below_threshold,days,7
03360_Uelzen,-1.7231330871582031,FD,year,days_with_air_temperature_below_threshold,days,7
03361_Verden,0.34209442138671875,FD,year,days_with_air_temperature_below_threshold,days,7
03401_Delmenhorst,-0.08975982666015625,FD,year,days_with_air_temperature_below_threshold,days,7
03402_Emden,2.6496658325195312,FD,year,days_with_air_temperature_below_threshold,days,7
03403_Oldenburg (Oldb),0.8439445495605469,FD,year,days_with_air_temperature_below_threshold,days,7
03404_Osnabrück,0.450775146484375,FD,year,days_with_air_temperature_below_threshold,days,7
03405_Wilhelmshaven,2.566478729248047,FD,year,days_with_air_temperature_below_threshold,days,7
03451_Ammerland,1.0859222412109375,FD,year,days_with_air_temperature_below_threshold,days,7
03452_Aurich,2.0804519653320312,FD,year,days_with_air_temperature_below_threshold,days,7
03453_Cloppenburg,0.8569297790527344,FD,year,days_with_air_temperature_below_threshold,days,7
03454_Emsland,1.2380828857421875,FD,year,days_with_air_temperature_below_threshold,days,7
03455_Friesland,1.4667587280273438,FD,year,days_with_air_temperature_below_threshold,days,7
03456_Grafschaft Bentheim,0.4019927978515625,FD,year,days_with_air_temperature_below_threshold,days,7
03457_Leer,1.6335906982421875,FD,year,days_with_air_temperature_below_threshold,days,7
03458_Oldenburg,0.4472236633300781,FD,year,days_with_air_temperature_below_threshold,days,7
03459_Osnabrück,0.5818939208984375,FD,year,days_with_air_temperature_below_threshold,days,7
03460_Vechta,0.09667205810546875,FD,year,days_with_air_temperature_below_threshold,days,7
03461_Wesermarsch,1.2595977783203125,FD,year,days_with_air_temperature_below_threshold,days,7
03462_Wittmund,1.3875732421875,FD,year,days_with_air_temperature_below_threshold,days,7
04011_Bremen,1.0905113220214844,FD,year,days_with_air_temperature_below_threshold,days,7
04012_Bremerhaven,1.1462326049804688,FD,year,days_with_air_temperature_below_threshold,days,7
05111_Düsseldorf,-0.1652812957763672,FD,year,days_with_air_temperature_below_threshold,days,7
05112_Duisburg,0.501129150390625,FD,year,days_with_air_temperature_below_threshold,days,7
05113_Essen,0.5924491882324219,FD,year,days_with_air_temperature_below_threshold,days,7
05114_Krefeld,-0.020933151245117188,FD,year,days_with_air_temperature_below_threshold,days,7
05116_Mönchengladbach,0.08164024353027344,FD,year,days_with_air_temperature_below_threshold,days,7
05117_Mülheim an der Ruhr,0.06688308715820312,FD,year,days_with_air_temperature_below_threshold,days,7
