region,FD_year_1.5C_rcp85_time-mean_ensemble-diff-mean,ci_name,ci_frequency,standard_name,units,mid_month
01001_Flensburg,-16.249542,FD,year,days_with_air_temperature_below_threshold,days,7
01002_Kiel,-16.473854,FD,year,days_with_air_temperature_below_threshold,days,7
01003_Lübeck,-16.285444,FD,year,days_with_air_temperature_below_threshold,days,7
01004_Neumünster,-16.280539,FD,year,days_with_air_temperature_below_threshold,days,7
01051_Dithmarschen,-13.606736,FD,year,days_with_air_temperature_below_threshold,days,7
01053_Herzogtum Lauenburg,-16.345657,FD,year,days_with_air_temperature_below_threshold,days,7
01054_Nordfriesland,-12.640751,FD,year,days_with_air_temperature_below_threshold,days,7
01055_Ostholstein,-15.908067,FD,year,days_with_air_temperature_below_threshold,days,7
01057_Plön,-16.696798,FD,year,days_with_air_temperature_below_threshold,days,7
01058_Rendsburg-Eckernförde,-16.115696,FD,year,days_with_air_temperature_below_threshold,days,7
01059_Schleswig-Flensburg,-15.818248,FD,year,days_with_air_temperature_below_threshold,days,7
01060_Segeberg,-16.372736,FD,year,days_with_air_temperature_below_threshold,days,7
01061_Steinburg,-15.287538,FD,year,days_with_air_temperature_below_threshold,days,7
01062_Stormarn,-16.275963,FD,year,days_with_air_temperature_below_threshold,days,7
02000_Hamburg,-15.15504,FD,year,days_with_air_temperature_below_threshold,days,7
03101_Braunschweig,-15.087748,FD,year,days_with_air_temperature_below_threshold,days,7
03102_Salzgitter,-15.148552,FD,year,days_with_air_temperature_below_threshold,days,7
03103_Wolfsburg,-15.550755,FD,year,days_with_air_temperature_below_threshold,days,7
03151_Gifhorn,-15.7710285,FD,year,days_with_air_temperature_below_threshold,days,7
03159_Göttingen,-17.870424,FD,year,days_with_air_temperature_below_threshold,days,7
03153_Goslar,-18.634151,FD,year,days_with_air_temperature_below_threshold,days,7
03154_Helmstedt,-15.846218,FD,year,days_with_air_temperature_below_threshold,days,7
03155_Northeim,-17.23595,FD,year,days_with_air_temperature_below_threshold,days,7
03157_Peine,-15.019663,FD,year,days_with_air_temperature_below_threshold,days,7
03158_Wolfenbüttel,-15.451555,FD,year,days_with_air_temperature_below_threshold,days,7
03241_Region Hannover,-15.052019,FD,year,days_with_air_temperature_below_threshold,days,7
03251_Diepholz,-14.820982,FD,year,days_with_air_temperature_below_threshold,days,7
03252_Hameln-Pyrmont,-16.29231,FD,year,days_with_air_temperature_below_threshold,days,7
03254_Hildesheim,-16.042604,FD,year,days_with_air_temperature_below_threshold,days,7
03255_Holzminden,-17.201221,FD,year,days_with_air_temperature_below_threshold,days,7
01056_Pinneberg,-15.360977,FD,year,days_with_air_temperature_below_threshold,days,7
03256_Nienburg (Weser),-14.8163185,FD,year,days_with_air_temperature_below_threshold,days,7
03257_Schaumburg,-15.470852,FD,year,days_with_air_temperature_below_threshold,days,7
03351_Celle,-15.837057,FD,year,days_with_air_temperature_below_threshold,days,7
03352_Cuxhaven,-14.4724,FD,year,days_with_air_temperature_below_threshold,days,7
03353_Harburg,-15.841521,FD,year,days_with_air_temperature_below_threshold,days,7
03354_Lüchow-Dannenberg,-16.029652,FD,year,days_with_air_temperature_below_threshold,days,7
03355_Lüneburg,-15.938547,FD,year,days_with_air_temperature_below_threshold,days,7
03356_Osterholz,-15.0377035,FD,year,days_with_air_temperature_below_threshold,days,7
03357_Rotenburg (Wümme),-15.456225,FD,year,days_with_air_temperature_below_threshold,days,7
03358_Heidekreis,-15.871098,FD,year,days_with_air_temperature_below_threshold,days,7
03359_Stade,-15.2884035,FD,year,days_with_air_temperature_below_threshold,days,7
03360_Uelzen,-16.169476,FD,year,days_with_air_temperature_below_threshold,days,7
03361_Verden,-15.109378,FD,year,days_with_air_temperature_below_threshold,days,7
03401_Delmenhorst,-14.64488,FD,year,days_with_air_temperature_below_threshold,days,7
03402_Emden,-12.232689,FD,year,days_with_air_temperature_below_threshold,days,7
03403_Oldenburg (Oldb),-14.689915,FD,year,days_with_air_temperature_below_threshold,days,7
03404_Osnabrück,-14.916092,FD,year,days_with_air_temperature_below_threshold,days,7
03405_Wilhelmshaven,-12.903664,FD,year,days_with_air_temperature_below_threshold,days,7
03451_Ammerland,-14.721364,FD,year,days_with_air_temperature_below_threshold,days,7
03452_Aurich,-12.706402,FD,year,days_with_air_temperature_below_threshold,days,7
03453_Cloppenburg,-14.652608,FD,year,days_with_air_temperature_below_threshold,days,7
03454_Emsland,-14.15053,FD,year,days_with_air_temperature_below_threshold,days,7
03455_Friesland,-14.35872,FD,year,days_with_air_temperature_below_threshold,days,7
03456_Grafschaft Bentheim,-13.985724,FD,year,days_with_air_temperature_below_threshold,days,7
03457_Leer,-13.997457,FD,year,days_with_air_temperature_below_threshold,days,7
03458_Oldenburg,-14.870529,FD,year,days_with_air_temperature_below_threshold,days,7
03459_Osnabrück,-14.838363,FD,year,days_with_air_temperature_below_threshold,days,7
03460_Vechta,-14.648768,FD,year,days_with_air_temperature_below_threshold,days,7
03461_Wesermarsch,-14.349819,FD,year,days_with_air_temperature_below_threshold,days,7
03462_Wittmund,-13.7087555,FD,year,days_with_air_temperature_below_threshold,days,7
04011_Bremen,-14.359343,FD,year,days_with_air_temperature_below_threshold,days,7
04012_Bremerhaven,-14.111294,FD,year,days_with_air_temperature_below_threshold,days,7
05111_Düsseldorf,-12.905003,FD,year,days_with_air_temperature_below_threshold,days,7
05112_Duisburg,-12.657681,FD,year,days_with_air_temperature_below_threshold,days,7
05113_Essen,-13.299819,FD,year,days_with_air_temperature_below_threshold,days,7
05114_Krefeld,-12.785769,FD,year,days_with_air_temperature_below_threshold,days,7
05116_Mönchengladbach,-12.950419,FD,year,days_with_air_temperature_below_threshold,days,7
05117_Mülheim an der Ruhr,-13.283111,FD,year,days_with_air_temperature_below_threshold,days,7
05119_Oberhausen,-12.728127,FD,year,days_with_air_temperature_below_threshold,days,7
05120_Remscheid,-16.249714,FD,year,days_with_air_temperature_below_threshold,days,7
05122_Solingen,-14.808857,FD,year,days_with_air_temperature_below_threshold,days,7
05124_Wuppertal,-15.555054,FD,year,days_with_air_temperature_below_threshold,days,7
05154_Kleve,-13.024555,FD,year,days_with_air_temperature_below_threshold,days,7
05158_Mettmann,-13.946175,FD,year,days_with_air_temperature_below_threshold,days,7
05162_Rhein-Kreis Neuss,-12.800183,FD,year,days_with_air_temperature_below_threshold,days,7
05166_Viersen,-12.944687,FD,year,days_with_air_temperature_below_threshold,days,7
05170_Wesel,-13.1503,FD,year,days_with_air_temperature_below_threshold,days,7
05314_Bonn,-14.071062,FD,year,days_with_air_temperature_below_threshold,days,7
05315_Köln,-12.988535,FD,year,days_with_air_temperature_below_threshold,days,7
05316_Leverkusen,-13.727938,FD,year,days_with_air_temperature_below_threshold,days,7
05334_Städteregion Aachen,-15.573124,FD,year,days_with_air_temperature_below_threshold,days,7
05358_Düren,-13.9150505,FD,year,days_with_air_temperature_below_threshold,days,7
05362_Rhein-Erft-Kreis,-12.909225,FD,year,days_with_air_temperature_below_threshold,days,7
05366_Euskirchen,-17.091328,FD,year,days_with_air_temperature_below_threshold,days,7
05370_Heinsberg,-12.634101,FD,year,days_with_air_temperature_below_threshold,days,7
05374_Oberbergischer Kreis,-17.167028,FD,year,days_with_air_temperature_below_threshold,days,7
05378_Rheinisch-Bergischer Kreis,-15.19283,FD,year,days_with_air_temperature_below_threshold,days,7
05382_Rhein-Sieg-Kreis,-15.08143,FD,year,days_with_air_temperature_below_threshold,days,7
05512_Bottrop,-12.836494,FD,year,days_with_air_temperature_below_threshold,days,7
05513_Gelsenkirchen,-12.635043,FD,year,days_with_air_temperature_below_threshold,days,7
05515_Münster,-14.028411,FD,year,days_with_air_temperature_below_threshold,days,7
05554_Borken,-13.985334,FD,year,days_with_air_temperature_below_threshold,days,7
05558_Coesfeld,-14.025617,FD,year,days_with_air_temperature_below_threshold,days,7
05562_Recklinghausen,-13.344752,FD,year,days_with_air_temperature_below_threshold,days,7
05566_Steinfurt,-14.379252,FD,year,days_with_air_temperature_below_threshold,days,7
05570_Warendorf,-14.069967,FD,year,days_with_air_temperature_below_threshold,days,7
05711_Bielefeld,-15.127955,FD,year,days_with_air_temperature_below_threshold,days,7
05754_Gütersloh,-14.659199,FD,year,days_with_air_temperature_below_threshold,days,7
05758_Herford,-15.109808,FD,year,days_with_air_temperature_below_threshold,days,7
05762_Höxter,-17.133953,FD,year,days_with_air_temperature_below_threshold,days,7
05766_Lippe,-16.289967,FD,year,days_with_air_temperature_below_threshold,days,7
05770_Minden-Lübbecke,-14.872039,FD,year,days_with_air_temperature_below_threshold,days,7
05774_Paderborn,-16.412333,FD,year,days_with_air_temperature_below_threshold,days,7
05911_Bochum,-13.389799,FD,year,days_with_air_temperature_below_threshold,days,7
05913_Dortmund,-13.372549,FD,year,days_with_air_temperature_below_threshold,days,7
05914_Hagen,-16.009459,FD,year,days_with_air_temperature_below_threshold,days,7
05915_Hamm,-13.613829,FD,year,days_with_air_temperature_below_threshold,days,7
05916_Herne,-12.728604,FD,year,days_with_air_temperature_below_threshold,days,7
05954_Ennepe-Ruhr-Kreis,-15.513009,FD,year,days_with_air_temperature_below_threshold,days,7
05958_Hochsauerlandkreis,-18.77078,FD,year,days_with_air_temperature_below_threshold,days,7
05962_Märkischer Kreis,-17.52856,FD,year,days_with_air_temperature_below_threshold,days,7
05966_Olpe,-18.730522,FD,year,days_with_air_temperature_below_threshold,days,7
05970_Siegen-Wittgenstein,-18.906078,FD,year,days_with_air_temperature_below_threshold,days,7
05974_Soest,-15.4072695,FD,year,days_with_air_temperature_below_threshold,days,7
05978_Unna,-13.73154,FD,year,days_with_air_temperature_below_threshold,days,7
06411_Darmstadt,-14.385718,FD,year,days_with_air_temperature_below_threshold,days,7
06412_Frankfurt am Main,-14.680356,FD,year,days_with_air_temperature_below_threshold,days,7
06413_Offenbach am Main,-14.402184,FD,year,days_with_air_temperature_below_threshold,days,7
06414_Wiesbaden,-15.54282,FD,year,days_with_air_temperature_below_threshold,days,7
06431_Bergstraße,-15.300965,FD,year,days_with_air_temperature_below_threshold,days,7
06432_Darmstadt-Dieburg,-14.862549,FD,year,days_with_air_temperature_below_threshold,days,7
06433_Groß-Gerau,-14.309996,FD,year,days_with_air_temperature_below_threshold,days,7
06434_Hochtaunuskreis,-16.853142,FD,year,days_with_air_temperature_below_threshold,days,7
06435_Main-Kinzig-Kreis,-16.810457,FD,year,days_with_air_temperature_below_threshold,days,7
06436_Main-Taunus-Kreis,-15.456746,FD,year,days_with_air_temperature_below_threshold,days,7
06437_Odenwaldkreis,-16.589247,FD,year,days_with_air_temperature_below_threshold,days,7
06438_Offenbach,-14.401864,FD,year,days_with_air_temperature_below_threshold,days,7
06439_Rheingau-Taunus-Kreis,-16.650936,FD,year,days_with_air_temperature_below_threshold,days,7
06440_Wetteraukreis,-16.403893,FD,year,days_with_air_temperature_below_threshold,days,7
06531_Gießen,-16.88417,FD,year,days_with_air_temperature_below_threshold,days,7
06532_Lahn-Dill-Kreis,-17.625095,FD,year,days_with_air_temperature_below_threshold,days,7
06533_Limburg-Weilburg,-17.002182,FD,year,days_with_air_temperature_below_threshold,days,7
06534_Marburg-Biedenkopf,-17.590534,FD,year,days_with_air_temperature_below_threshold,days,7
06535_Vogelsbergkreis,-17.886501,FD,year,days_with_air_temperature_below_threshold,days,7
06611_Kassel,-17.505299,FD,year,days_with_air_temperature_below_threshold,days,7
06631_Fulda,-18.20317,FD,year,days_with_air_temperature_below_threshold,days,7
06632_Hersfeld-Rotenburg,-17.64718,FD,year,days_with_air_temperature_below_threshold,days,7
06633_Kassel,-17.556501,FD,year,days_with_air_temperature_below_threshold,days,7
06634_Schwalm-Eder-Kreis,-17.601238,FD,year,days_with_air_temperature_below_threshold,days,7
06635_Waldeck-Frankenberg,-18.359812,FD,year,days_with_air_temperature_below_threshold,days,7
06636_Werra-Meißner-Kreis,-17.902987,FD,year,days_with_air_temperature_below_threshold,days,7
07111_Koblenz,-15.509466,FD,year,days_with_air_temperature_below_threshold,days,7
07131_Ahrweiler,-16.83168,FD,year,days_with_air_temperature_below_threshold,days,7
07132_Altenkirchen (Westerwald),-17.484283,FD,year,days_with_air_temperature_below_threshold,days,7
07133_Bad Kreuznach,-15.980103,FD,year,days_with_air_temperature_below_threshold,days,7
07134_Birkenfeld,-17.039991,FD,year,days_with_air_temperature_below_threshold,days,7
07135_Cochem-Zell,-16.551031,FD,year,days_with_air_temperature_below_threshold,days,7
07137_Mayen-Koblenz,-16.125538,FD,year,days_with_air_temperature_below_threshold,days,7
07138_Neuwied,-16.000458,FD,year,days_with_air_temperature_below_threshold,days,7
07140_Rhein-Hunsrück-Kreis,-16.918585,FD,year,days_with_air_temperature_below_threshold,days,7
07141_Rhein-Lahn-Kreis,-16.701582,FD,year,days_with_air_temperature_below_threshold,days,7
07143_Westerwaldkreis,-17.440702,FD,year,days_with_air_temperature_below_threshold,days,7
07211_Trier,-15.658182,FD,year,days_with_air_temperature_below_threshold,days,7
07231_Bernkastel-Wittlich,-16.429752,FD,year,days_with_air_temperature_below_threshold,days,7
07232_Eifelkreis Bitburg-Prüm,-17.2081,FD,year,days_with_air_temperature_below_threshold,days,7
07233_Vulkaneifel,-17.971241,FD,year,days_with_air_temperature_below_threshold,days,7
07235_Trier-Saarburg,-16.09912,FD,year,days_with_air_temperature_below_threshold,days,7
07311_Frankenthal (Pfalz),-13.873846,FD,year,days_with_air_temperature_below_threshold,days,7
07312_Kaiserslautern,-15.868433,FD,year,days_with_air_temperature_below_threshold,days,7
07313_Landau in der Pfalz,-15.087336,FD,year,days_with_air_temperature_below_threshold,days,7
07314_Ludwigshafen am Rhein,-13.889174,FD,year,days_with_air_temperature_below_threshold,days,7
07315_Mainz,-14.930819,FD,year,days_with_air_temperature_below_threshold,days,7
07316_Neustadt an der Weinstraße,-14.792052,FD,year,days_with_air_temperature_below_threshold,days,7
07317_Pirmasens,-15.839577,FD,year,days_with_air_temperature_below_threshold,days,7
07318_Speyer,-13.998887,FD,year,days_with_air_temperature_below_threshold,days,7
07319_Worms,-14.07835,FD,year,days_with_air_temperature_below_threshold,days,7
07320_Zweibrücken,-15.404264,FD,year,days_with_air_temperature_below_threshold,days,7
07331_Alzey-Worms,-14.610966,FD,year,days_with_air_temperature_below_threshold,days,7
07332_Bad Dürkheim,-15.052622,FD,year,days_with_air_temperature_below_threshold,days,7
07333_Donnersbergkreis,-15.4829645,FD,year,days_with_air_temperature_below_threshold,days,7
07334_Germersheim,-13.751587,FD,year,days_with_air_temperature_below_threshold,days,7
07335_Kaiserslautern,-15.812633,FD,year,days_with_air_temperature_below_threshold,days,7
07336_Kusel,-15.947273,FD,year,days_with_air_temperature_below_threshold,days,7
07337_Südliche Weinstraße,-14.950084,FD,year,days_with_air_temperature_below_threshold,days,7
07338_Rhein-Pfalz-Kreis,-13.964854,FD,year,days_with_air_temperature_below_threshold,days,7
07339_Mainz-Bingen,-15.177109,FD,year,days_with_air_temperature_below_threshold,days,7
07340_Südwestpfalz,-15.809649,FD,year,days_with_air_temperature_below_threshold,days,7
08111_Stuttgart,-15.623477,FD,year,days_with_air_temperature_below_threshold,days,7
08115_Böblingen,-16.76381,FD,year,days_with_air_temperature_below_threshold,days,7
08116_Esslingen,-16.437609,FD,year,days_with_air_temperature_below_threshold,days,7
08117_Göppingen,-17.252691,FD,year,days_with_air_temperature_below_threshold,days,7
08118_Ludwigsburg,-15.546155,FD,year,days_with_air_temperature_below_threshold,days,7
08119_Rems-Murr-Kreis,-16.489996,FD,year,days_with_air_temperature_below_threshold,days,7
