region,FD_year_1.5C_rcp85_time-mean_ensemble-diff-median,ci_name,ci_frequency,standard_name,units,mid_month
01001_Flensburg,-17.854881286621094,FD,year,days_with_air_temperature_below_threshold,days,7
01002_Kiel,-18.020423889160156,FD,year,days_with_air_temperature_below_threshold,days,7
01003_Lübeck,-17.80096435546875,FD,year,days_with_air_temperature_below_threshold,days,7
01004_Neumünster,-17.394916534423828,FD,year,days_with_air_temperature_below_threshold,days,7
01051_Dithmarschen,-14.957870483398438,FD,year,days_with_air_temperature_below_threshold,days,7
01053_Herzogtum Lauenburg,-17.50192642211914,FD,year,days_with_air_temperature_below_threshold,days,7
01054_Nordfriesland,-13.635974884033203,FD,year,days_with_air_temperature_below_threshold,days,7
01055_Ostholstein,-17.077579498291016,FD,year,days_with_air_temperature_below_threshold,days,7
01057_Plön,-18.254009246826172,FD,year,days_with_air_temperature_below_threshold,days,7
01058_Rendsburg-Eckernförde,-17.64264678955078,FD,year,days_with_air_temperature_below_threshold,days,7
01059_Schleswig-Flensburg,-17.21392822265625,FD,year,days_with_air_temperature_below_threshold,days,7
01060_Segeberg,-17.702041625976562,FD,year,days_with_air_temperature_below_threshold,days,7
01061_Steinburg,-16.505474090576172,FD,year,days_with_air_temperature_below_threshold,days,7
01062_Stormarn,-17.541994094848633,FD,year,days_with_air_temperature_below_threshold,days,7
02000_Hamburg,-16.652793884277344,FD,year,days_with_air_temperature_below_threshold,days,7
03101_Braunschweig,-16.317625045776367,FD,year,days_with_air_temperature_below_threshold,days,7
03102_Salzgitter,-16.676013946533203,FD,year,days_with_air_temperature_below_threshold,days,7
03103_Wolfsburg,-16.572715759277344,FD,year,days_with_air_temperature_below_threshold,days,7
03151_Gifhorn,-17.16843032836914,FD,year,days_with_air_temperature_below_threshold,days,7
03159_Göttingen,-18.83407211303711,FD,year,days_with_air_temperature_below_threshold,days,7
03153_Goslar,-19.077980041503906,FD,year,days_with_air_temperature_below_threshold,days,7
03154_Helmstedt,-17.126300811767578,FD,year,days_with_air_temperature_below_threshold,days,7
03155_Northeim,-18.296234130859375,FD,year,days_with_air_temperature_below_threshold,days,7
03157_Peine,-16.271697998046875,FD,year,days_with_air_temperature_below_threshold,days,7
03158_Wolfenbüttel,-16.969009399414062,FD,year,days_with_air_temperature_below_threshold,days,7
03241_Region Hannover,-16.464061737060547,FD,year,days_with_air_temperature_below_threshold,days,7
03251_Diepholz,-16.09545135498047,FD,year,days_with_air_temperature_below_threshold,days,7
03252_Hameln-Pyrmont,-17.724000930786133,FD,year,days_with_air_temperature_below_threshold,days,7
03254_Hildesheim,-16.98568344116211,FD,year,days_with_air_temperature_below_threshold,days,7
03255_Holzminden,-18.502962112426758,FD,year,days_with_air_temperature_below_threshold,days,7
01056_Pinneberg,-16.81194305419922,FD,year,days_with_air_temperature_below_threshold,days,7
03256_Nienburg (Weser),-16.16946792602539,FD,year,days_with_air_temperature_below_threshold,days,7
03257_Schaumburg,-16.532020568847656,FD,year,days_with_air_temperature_below_threshold,days,7
03351_Celle,-17.373390197753906,FD,year,days_with_air_temperature_below_threshold,days,7
03352_Cuxhaven,-15.845085144042969,FD,year,days_with_air_temperature_below_threshold,days,7
03353_Harburg,-16.962535858154297,FD,year,days_with_air_temperature_below_threshold,days,7
03354_Lüchow-Dannenberg,-17.569412231445312,FD,year,days_with_air_temperature_below_threshold,days,7
03355_Lüneburg,-17.249160766601562,FD,year,days_with_air_temperature_below_threshold,days,7
03356_Osterholz,-16.634105682373047,FD,year,days_with_air_temperature_below_threshold,days,7
03357_Rotenburg (Wümme),-16.312744140625,FD,year,days_with_air_temperature_below_threshold,days,7
03358_Heidekreis,-17.082183837890625,FD,year,days_with_air_temperature_below_threshold,days,7
03359_Stade,-16.463401794433594,FD,year,days_with_air_temperature_below_threshold,days,7
03360_Uelzen,-17.583831787109375,FD,year,days_with_air_temperature_below_threshold,days,7
