region,FD_year_1.5C_rcp85_time-mean_ensemble-diff-min,ci_name,ci_frequency,standard_name,units,mid_month
01001_Flensburg,-36.39491271972656,FD,year,days_with_air_temperature_below_threshold,days,7
01002_Kiel,-36.72227096557617,FD,year,days_with_air_temperature_below_threshold,days,7
01003_Lübeck,-34.331085205078125,FD,year,days_with_air_temperature_below_threshold,days,7
01004_Neumünster,-33.39946365356445,FD,year,days_with_air_temperature_below_threshold,days,7
01051_Dithmarschen,-30.53225326538086,FD,year,days_with_air_temperature_below_threshold,days,7
01053_Herzogtum Lauenburg,-31.60303497314453,FD,year,days_with_air_temperature_below_threshold,days,7
01054_Nordfriesland,-29.209529876708984,FD,year,days_with_air_temperature_below_threshold,days,7
01055_Ostholstein,-34.66669845581055,FD,year,days_with_air_temperature_below_threshold,days,7
01057_Plön,-36.64733123779297,FD,year,days_with_air_temperature_below_threshold,days,7
01058_Rendsburg-Eckernförde,-34.767826080322266,FD,year,days_with_air_temperature_below_threshold,days,7
01059_Schleswig-Flensburg,-34.84196090698242,FD,year,days_with_air_temperature_below_threshold,days,7
01060_Segeberg,-32.93657302856445,FD,year,days_with_air_temperature_below_threshold,days,7
01061_Steinburg,-32.10784149169922,FD,year,days_with_air_temperature_below_threshold,days,7
01062_Stormarn,-32.06421661376953,FD,year,days_with_air_temperature_below_threshold,days,7
02000_Hamburg,-31.03107452392578,FD,year,days_with_air_temperature_below_threshold,days,7
03101_Braunschweig,-28.549903869628906,FD,year,days_with_air_temperature_below_threshold,days,7
03102_Salzgitter,-29.07406997680664,FD,year,days_with_air_temperature_below_threshold,days,7
03103_Wolfsburg,-29.487579345703125,FD,year,days_with_air_temperature_below_threshold,days,7
03151_Gifhorn,-29.553306579589844,FD,year,days_with_air_temperature_below_threshold,days,7
03159_Göttingen,-31.419151306152344,FD,year,days_with_air_temperature_below_threshold,days,7
03153_Goslar,-31.055831909179688,FD,year,days_with_air_temperature_below_threshold,days,7
03154_Helmstedt,-29.118942260742188,FD,year,days_with_air_temperature_below_threshold,days,7
03155_Northeim,-31.190811157226562,FD,year,days_with_air_temperature_below_threshold,days,7
03157_Peine,-28.315208435058594,FD,year,days_with_air_temperature_below_threshold,days,7
03158_Wolfenbüttel,-28.967552185058594,FD,year,days_with_air_temperature_below_threshold,days,7
03241_Region Hannover,-29.094833374023438,FD,year,days_with_air_temperature_below_threshold,days,7
03251_Diepholz,-29.410205841064453,FD,year,days_with_air_temperature_below_threshold,days,7
03252_Hameln-Pyrmont,-30.433387756347656,FD,year,days_with_air_temperature_below_threshold,days,7
03254_Hildesheim,-30.47362518310547,FD,year,days_with_air_temperature_below_threshold,days,7
03255_Holzminden,-31.501571655273438,FD,year,days_with_air_temperature_below_threshold,days,7
01056_Pinneberg,-32.05412292480469,FD,year,days_with_air_temperature_below_threshold,days,7
03256_Nienburg (Weser),-29.416309356689453,FD,year,days_with_air_temperature_below_threshold,days,7
03257_Schaumburg,-30.304824829101562,FD,year,days_with_air_temperature_below_threshold,days,7
03351_Celle,-29.567108154296875,FD,year,days_with_air_temperature_below_threshold,days,7
03352_Cuxhaven,-29.537952423095703,FD,year,days_with_air_temperature_below_threshold,days,7
03353_Harburg,-30.5244140625,FD,year,days_with_air_temperature_below_threshold,days,7
03354_Lüchow-Dannenberg,-30.13507843017578,FD,year,days_with_air_temperature_below_threshold,days,7
