region,FD_year_2C_rcp85_time-mean_ensemble-diff-max,ci_name,ci_frequency,standard_name,units,mid_month
01001_Flensburg,-7.072200775146484,FD,year,days_with_air_temperature_below_threshold,days,7
01002_Kiel,-5.26434326171875,FD,year,days_with_air_temperature_below_threshold,days,7
01003_Lübeck,-5.935382843017578,FD,year,days_with_air_temperature_below_threshold,days,7
01004_Neumünster,-5.80023193359375,FD,year,days_with_air_temperature_below_threshold,days,7
01051_Dithmarschen,-4.539989471435547,FD,year,days_with_air_temperature_below_threshold,days,7
01053_Herzogtum Lauenburg,-6.456645965576172,FD,year,days_with_air_temperature_below_threshold,days,7
01054_Nordfriesland,-4.497039794921875,FD,year,days_with_air_temperature_below_threshold,days,7
01055_Ostholstein,-5.676567077636719,FD,year,days_with_air_temperature_below_threshold,days,7
01057_Plön,-6.0071258544921875,FD,year,days_with_air_temperature_below_threshold,days,7
01058_Rendsburg-Eckernförde,-5.883670806884766,FD,year,days_with_air_temperature_below_threshold,days,7
01059_Schleswig-Flensburg,-6.164039611816406,FD,year,days_with_air_temperature_below_threshold,days,7
01060_Segeberg,-5.802722930908203,FD,year,days_with_air_temperature_below_threshold,days,7
01061_Steinburg,-5.347988128662109,FD,year,days_with_air_temperature_below_threshold,days,7
01062_Stormarn,-6.005165100097656,FD,year,days_with_air_temperature_below_threshold,days,7
02000_Hamburg,-4.2055511474609375,FD,year,days_with_air_temperature_below_threshold,days,7
03101_Braunschweig,-4.809749603271484,FD,year,days_with_air_temperature_below_threshold,days,7
03102_Salzgitter,-5.192462921142578,FD,year,days_with_air_temperature_below_threshold,days,7
03103_Wolfsburg,-4.963512420654297,FD,year,days_with_air_temperature_below_threshold,days,7
03151_Gifhorn,-5.675361633300781,FD,year,days_with_air_temperature_below_threshold,days,7
03159_Göttingen,-8.434497833251953,FD,year,days_with_air_temperature_below_threshold,days,7
03153_Goslar,-11.662551879882812,FD,year,days_with_air_temperature_below_threshold,days,7
03154_Helmstedt,-6.095890045166016,FD,year,days_with_air_temperature_below_threshold,days,7
03155_Northeim,-7.287220001220703,FD,year,days_with_air_temperature_below_threshold,days,7
03157_Peine,-5.004676818847656,FD,year,days_with_air_temperature_below_threshold,days,7
03158_Wolfenbüttel,-5.712116241455078,FD,year,days_with_air_temperature_below_threshold,days,7
03241_Region Hannover,-4.767551422119141,FD,year,days_with_air_temperature_below_threshold,days,7
03251_Diepholz,-4.657615661621094,FD,year,days_with_air_temperature_below_threshold,days,7
03252_Hameln-Pyrmont,-5.698986053466797,FD,year,days_with_air_temperature_below_threshold,days,7
03254_Hildesheim,-5.701709747314453,FD,year,days_with_air_temperature_below_threshold,days,7
03255_Holzminden,-6.836330413818359,FD,year,days_with_air_temperature_below_threshold,days,7
01056_Pinneberg,-4.510379791259766,FD,year,days_with_air_temperature_below_threshold,days,7
03256_Nienburg (Weser),-4.589527130126953,FD,year,days_with_air_temperature_below_threshold,days,7
03257_Schaumburg,-4.857189178466797,FD,year,days_with_air_temperature_below_threshold,days,7
03351_Celle,-5.483829498291016,FD,year,days_with_air_temperature_below_threshold,days,7
03352_Cuxhaven,-3.78411865234375,FD,year,days_with_air_temperature_below_threshold,days,7
03353_Harburg,-5.756809234619141,FD,year,days_with_air_temperature_below_threshold,days,7
03354_Lüchow-Dannenberg,-6.331241607666016,FD,year,days_with_air_temperature_below_threshold,days,7
03355_Lüneburg,-6.104724884033203,FD,year,days_with_air_temperature_below_threshold,days,7
03356_Osterholz,-3.8378257751464844,FD,year,days_with_air_temperature_below_threshold,days,7
03357_Rotenburg (Wümme),-4.692180633544922,FD,year,days_with_air_temperature_below_threshold,days,7
03358_Heidekreis,-5.6448822021484375,FD,year,days_with_air_temperature_below_threshold,days,7
03359_Stade,-4.200447082519531,FD,year,days_with_air_temperature_below_threshold,days,7
03360_Uelzen,-6.683979034423828,FD,year,days_with_air_temperature_below_threshold,days,7
03361_Verden,-4.321048736572266,FD,year,days_with_air_temperature_below_threshold,days,7
03401_Delmenhorst,-4.989093780517578,FD,year,days_with_air_temperature_below_threshold,days,7
03402_Emden,-2.1932849884033203,FD,year,days_with_air_temperature_below_threshold,days,7
