region,FD_year_2C_rcp85_time-mean_ensemble-diff-mean,ci_name,ci_frequency,standard_name,units,mid_month
01001_Flensburg,-23.489662,FD,year,days_with_air_temperature_below_threshold,days,7
01002_Kiel,-24.052212,FD,year,days_with_air_temperature_below_threshold,days,7
01003_Lübeck,-24.042696,FD,year,days_with_air_temperature_below_threshold,days,7
01004_Neumünster,-23.902468,FD,year,days_with_air_temperature_below_threshold,days,7
01051_Dithmarschen,-20.348547,FD,year,days_with_air_temperature_below_threshold,days,7
01053_Herzogtum Lauenburg,-24.153807,FD,year,days_with_air_temperature_below_threshold,days,7
01054_Nordfriesland,-18.728361,FD,year,days_with_air_temperature_below_threshold,days,7
01055_Ostholstein,-23.144884,FD,year,days_with_air_temperature_below_threshold,days,7
01057_Plön,-24.357008,FD,year,days_with_air_temperature_below_threshold,days,7
01058_Rendsburg-Eckernförde,-23.523878,FD,year,days_with_air_temperature_below_threshold,days,7
01059_Schleswig-Flensburg,-22.961262,FD,year,days_with_air_temperature_below_threshold,days,7
01060_Segeberg,-24.055883,FD,year,days_with_air_temperature_below_threshold,days,7
01061_Steinburg,-22.59384,FD,year,days_with_air_temperature_below_threshold,days,7
01062_Stormarn,-23.991165,FD,year,days_with_air_temperature_below_threshold,days,7
02000_Hamburg,-22.600279,FD,year,days_with_air_temperature_below_threshold,days,7
03101_Braunschweig,-22.20205,FD,year,days_with_air_temperature_below_threshold,days,7
03102_Salzgitter,-22.141531,FD,year,days_with_air_temperature_below_threshold,days,7
03103_Wolfsburg,-23.013466,FD,year,days_with_air_temperature_below_threshold,days,7
03151_Gifhorn,-23.28667,FD,year,days_with_air_temperature_below_threshold,days,7
03159_Göttingen,-25.960112,FD,year,days_with_air_temperature_below_threshold,days,7
03153_Goslar,-26.473038,FD,year,days_with_air_temperature_below_threshold,days,7
03154_Helmstedt,-23.34833,FD,year,days_with_air_temperature_below_threshold,days,7
03155_Northeim,-25.230875,FD,year,days_with_air_temperature_below_threshold,days,7
03157_Peine,-22.112753,FD,year,days_with_air_temperature_below_threshold,days,7
03158_Wolfenbüttel,-22.63172,FD,year,days_with_air_temperature_below_threshold,days,7
03241_Region Hannover,-22.24264,FD,year,days_with_air_temperature_below_threshold,days,7
03251_Diepholz,-21.911573,FD,year,days_with_air_temperature_below_threshold,days,7
03252_Hameln-Pyrmont,-23.74886,FD,year,days_with_air_temperature_below_threshold,days,7
03254_Hildesheim,-23.40633,FD,year,days_with_air_temperature_below_threshold,days,7
03255_Holzminden,-25.034597,FD,year,days_with_air_temperature_below_threshold,days,7
01056_Pinneberg,-22.709332,FD,year,days_with_air_temperature_below_threshold,days,7
03256_Nienburg (Weser),-21.877302,FD,year,days_with_air_temperature_below_threshold,days,7
03257_Schaumburg,-22.56574,FD,year,days_with_air_temperature_below_threshold,days,7
03351_Celle,-23.287628,FD,year,days_with_air_temperature_below_threshold,days,7
03352_Cuxhaven,-21.600073,FD,year,days_with_air_temperature_below_threshold,days,7
03353_Harburg,-23.481958,FD,year,days_with_air_temperature_below_threshold,days,7
03354_Lüchow-Dannenberg,-23.893675,FD,year,days_with_air_temperature_below_threshold,days,7
03355_Lüneburg,-23.675817,FD,year,days_with_air_temperature_below_threshold,days,7
03356_Osterholz,-22.294369,FD,year,days_with_air_temperature_below_threshold,days,7
03357_Rotenburg (Wümme),-22.824608,FD,year,days_with_air_temperature_below_threshold,days,7
03358_Heidekreis,-23.359962,FD,year,days_with_air_temperature_below_threshold,days,7
03359_Stade,-22.659819,FD,year,days_with_air_temperature_below_threshold,days,7
03360_Uelzen,-23.904598,FD,year,days_with_air_temperature_below_threshold,days,7
03361_Verden,-22.342424,FD,year,days_with_air_temperature_below_threshold,days,7
03401_Delmenhorst,-21.71161,FD,year,days_with_air_temperature_below_threshold,days,7
03402_Emden,-18.330849,FD,year,days_with_air_temperature_below_threshold,days,7
03403_Oldenburg (Oldb),-21.68795,FD,year,days_with_air_temperature_below_threshold,days,7
03404_Osnabrück,-21.844536,FD,year,days_with_air_temperature_below_threshold,days,7
03405_Wilhelmshaven,-19.02851,FD,year,days_with_air_temperature_below_threshold,days,7
03451_Ammerland,-21.778164,FD,year,days_with_air_temperature_below_threshold,days,7
03452_Aurich,-19.050552,FD,year,days_with_air_temperature_below_threshold,days,7
03453_Cloppenburg,-21.57662,FD,year,days_with_air_temperature_below_threshold,days,7
03454_Emsland,-20.835955,FD,year,days_with_air_temperature_below_threshold,days,7
03455_Friesland,-21.203476,FD,year,days_with_air_temperature_below_threshold,days,7
03456_Grafschaft Bentheim,-20.54237,FD,year,days_with_air_temperature_below_threshold,days,7
03457_Leer,-20.729792,FD,year,days_with_air_temperature_below_threshold,days,7
03458_Oldenburg,-21.940975,FD,year,days_with_air_temperature_below_threshold,days,7
03459_Osnabrück,-21.732725,FD,year,days_with_air_temperature_below_threshold,days,7
03460_Vechta,-21.60582,FD,year,days_with_air_temperature_below_threshold,days,7
03461_Wesermarsch,-21.312267,FD,year,days_with_air_temperature_below_threshold,days,7
03462_Wittmund,-20.386852,FD,year,days_with_air_temperature_below_threshold,days,7
04011_Bremen,-21.45917,FD,year,days_with_air_temperature_below_threshold,days,7
04012_Bremerhaven,-21.049284,FD,year,days_with_air_temperature_below_threshold,days,7
05111_Düsseldorf,-18.792305,FD,year,days_with_air_temperature_below_threshold,days,7
05112_Duisburg,-18.534935,FD,year,days_with_air_temperature_below_threshold,days,7
05113_Essen,-19.375952,FD,year,days_with_air_temperature_below_threshold,days,7
05114_Krefeld,-18.677662,FD,year,days_with_air_temperature_below_threshold,days,7
05116_Mönchengladbach,-19.03465,FD,year,days_with_air_temperature_below_threshold,days,7
05117_Mülheim an der Ruhr,-19.369452,FD,year,days_with_air_temperature_below_threshold,days,7
05119_Oberhausen,-18.609535,FD,year,days_with_air_temperature_below_threshold,days,7
05120_Remscheid,-23.209967,FD,year,days_with_air_temperature_below_threshold,days,7
05122_Solingen,-21.204842,FD,year,days_with_air_temperature_below_threshold,days,7
05124_Wuppertal,-22.206972,FD,year,days_with_air_temperature_below_threshold,days,7
05154_Kleve,-19.179989,FD,year,days_with_air_temperature_below_threshold,days,7
05158_Mettmann,-20.120085,FD,year,days_with_air_temperature_below_threshold,days,7
05162_Rhein-Kreis Neuss,-18.828583,FD,year,days_with_air_temperature_below_threshold,days,7
05166_Viersen,-18.93722,FD,year,days_with_air_temperature_below_threshold,days,7
05170_Wesel,-19.312592,FD,year,days_with_air_temperature_below_threshold,days,7
05314_Bonn,-20.636442,FD,year,days_with_air_temperature_below_threshold,days,7
05315_Köln,-19.101141,FD,year,days_with_air_temperature_below_threshold,days,7
05316_Leverkusen,-19.96588,FD,year,days_with_air_temperature_below_threshold,days,7
05334_Städteregion Aachen,-22.144646,FD,year,days_with_air_temperature_below_threshold,days,7
05358_Düren,-20.200027,FD,year,days_with_air_temperature_below_threshold,days,7
05362_Rhein-Erft-Kreis,-19.107393,FD,year,days_with_air_temperature_below_threshold,days,7
05366_Euskirchen,-24.436657,FD,year,days_with_air_temperature_below_threshold,days,7
05370_Heinsberg,-18.52732,FD,year,days_with_air_temperature_below_threshold,days,7
05374_Oberbergischer Kreis,-24.582705,FD,year,days_with_air_temperature_below_threshold,days,7
05378_Rheinisch-Bergischer Kreis,-21.879673,FD,year,days_with_air_temperature_below_threshold,days,7
05382_Rhein-Sieg-Kreis,-21.90358,FD,year,days_with_air_temperature_below_threshold,days,7
05512_Bottrop,-18.799757,FD,year,days_with_air_temperature_below_threshold,days,7
05513_Gelsenkirchen,-18.534935,FD,year,days_with_air_temperature_below_threshold,days,7
05515_Münster,-20.64626,FD,year,days_with_air_temperature_below_threshold,days,7
05554_Borken,-20.413212,FD,year,days_with_air_temperature_below_threshold,days,7
05558_Coesfeld,-20.502905,FD,year,days_with_air_temperature_below_threshold,days,7
05562_Recklinghausen,-19.507708,FD,year,days_with_air_temperature_below_threshold,days,7
05566_Steinfurt,-21.088263,FD,year,days_with_air_temperature_below_threshold,days,7
05570_Warendorf,-20.632763,FD,year,days_with_air_temperature_below_threshold,days,7
05711_Bielefeld,-22.02203,FD,year,days_with_air_temperature_below_threshold,days,7
05754_Gütersloh,-21.388979,FD,year,days_with_air_temperature_below_threshold,days,7
05758_Herford,-22.041765,FD,year,days_with_air_temperature_below_threshold,days,7
