region,FD_year_3C_rcp85_time-mean_ensemble-diff-median,ci_name,ci_frequency,standard_name,units,mid_month
01001_Flensburg,-36.62571334838867,FD,year,days_with_air_temperature_below_threshold,days,7
01002_Kiel,-37.01084899902344,FD,year,days_with_air_temperature_below_threshold,days,7
01003_Lübeck,-37.64226150512695,FD,year,days_with_air_temperature_below_threshold,days,7
01004_Neumünster,-37.774410247802734,FD,year,days_with_air_temperature_below_threshold,days,7
01051_Dithmarschen,-32.11656951904297,FD,year,days_with_air_temperature_below_threshold,days,7
01053_Herzogtum Lauenburg,-38.232547760009766,FD,year,days_with_air_temperature_below_threshold,days,7
01054_Nordfriesland,-28.684871673583984,FD,year,days_with_air_temperature_below_threshold,days,7
01055_Ostholstein,-35.6442756652832,FD,year,days_with_air_temperature_below_threshold,days,7
01057_Plön,-36.648162841796875,FD,year,days_with_air_temperature_below_threshold,days,7
01058_Rendsburg-Eckernförde,-36.32715606689453,FD,year,days_with_air_temperature_below_threshold,days,7
01059_Schleswig-Flensburg,-36.35403060913086,FD,year,days_with_air_temperature_below_threshold,days,7
01060_Segeberg,-37.7453727722168,FD,year,days_with_air_temperature_below_threshold,days,7
01061_Steinburg,-35.49209976196289,FD,year,days_with_air_temperature_below_threshold,days,7
01062_Stormarn,-37.71650695800781,FD,year,days_with_air_temperature_below_threshold,days,7
02000_Hamburg,-35.045379638671875,FD,year,days_with_air_temperature_below_threshold,days,7
03101_Braunschweig,-34.70185470581055,FD,year,days_with_air_temperature_below_threshold,days,7
03102_Salzgitter,-33.69363784790039,FD,year,days_with_air_temperature_below_threshold,days,7
03103_Wolfsburg,-36.78399658203125,FD,year,days_with_air_temperature_below_threshold,days,7
03151_Gifhorn,-37.46255874633789,FD,year,days_with_air_temperature_below_threshold,days,7
03159_Göttingen,-41.79444885253906,FD,year,days_with_air_temperature_below_threshold,days,7
03153_Goslar,-42.85182189941406,FD,year,days_with_air_temperature_below_threshold,days,7
03154_Helmstedt,-37.104896545410156,FD,year,days_with_air_temperature_below_threshold,days,7
03155_Northeim,-39.67413330078125,FD,year,days_with_air_temperature_below_threshold,days,7
03157_Peine,-34.153472900390625,FD,year,days_with_air_temperature_below_threshold,days,7
03158_Wolfenbüttel,-34.56407165527344,FD,year,days_with_air_temperature_below_threshold,days,7
03241_Region Hannover,-33.97719192504883,FD,year,days_with_air_temperature_below_threshold,days,7
03251_Diepholz,-32.980979919433594,FD,year,days_with_air_temperature_below_threshold,days,7
03252_Hameln-Pyrmont,-36.5347900390625,FD,year,days_with_air_temperature_below_threshold,days,7
03254_Hildesheim,-36.189247131347656,FD,year,days_with_air_temperature_below_threshold,days,7
03255_Holzminden,-39.685768127441406,FD,year,days_with_air_temperature_below_threshold,days,7
01056_Pinneberg,-35.2220573425293,FD,year,days_with_air_temperature_below_threshold,days,7
03256_Nienburg (Weser),-32.86582565307617,FD,year,days_with_air_temperature_below_threshold,days,7
03257_Schaumburg,-34.09015655517578,FD,year,days_with_air_temperature_below_threshold,days,7
03351_Celle,-37.168270111083984,FD,year,days_with_air_temperature_below_threshold,days,7
03352_Cuxhaven,-32.341880798339844,FD,year,days_with_air_temperature_below_threshold,days,7
03353_Harburg,-36.53257751464844,FD,year,days_with_air_temperature_below_threshold,days,7
03354_Lüchow-Dannenberg,-38.89686965942383,FD,year,days_with_air_temperature_below_threshold,days,7
03355_Lüneburg,-37.34444046020508,FD,year,days_with_air_temperature_below_threshold,days,7
03356_Osterholz,-34.21817398071289,FD,year,days_with_air_temperature_below_threshold,days,7
03357_Rotenburg (Wümme),-35.463443756103516,FD,year,days_with_air_temperature_below_threshold,days,7
03358_Heidekreis,-36.614532470703125,FD,year,days_with_air_temperature_below_threshold,days,7
03359_Stade,-34.59645080566406,FD,year,days_with_air_temperature_below_threshold,days,7
03360_Uelzen,-38.012054443359375,FD,year,days_with_air_temperature_below_threshold,days,7
03361_Verden,-34.53485107421875,FD,year,days_with_air_temperature_below_threshold,days,7
03401_Delmenhorst,-32.47088623046875,FD,year,days_with_air_temperature_below_threshold,days,7
03402_Emden,-26.918415069580078,FD,year,days_with_air_temperature_below_threshold,days,7
03403_Oldenburg (Oldb),-32.85877990722656,FD,year,days_with_air_temperature_below_threshold,days,7
03404_Osnabrück,-33.15945053100586,FD,year,days_with_air_temperature_below_threshold,days,7
03405_Wilhelmshaven,-28.400043487548828,FD,year,days_with_air_temperature_below_threshold,days,7
03451_Ammerland,-33.45536422729492,FD,year,days_with_air_temperature_below_threshold,days,7
03452_Aurich,-27.73394012451172,FD,year,days_with_air_temperature_below_threshold,days,7
03453_Cloppenburg,-33.570533752441406,FD,year,days_with_air_temperature_below_threshold,days,7
03454_Emsland,-31.813512802124023,FD,year,days_with_air_temperature_below_threshold,days,7
03455_Friesland,-31.049089431762695,FD,year,days_with_air_temperature_below_threshold,days,7
03456_Grafschaft Bentheim,-31.275745391845703,FD,year,days_with_air_temperature_below_threshold,days,7
03457_Leer,-31.930213928222656,FD,year,days_with_air_temperature_below_threshold,days,7
03458_Oldenburg,-33.49382781982422,FD,year,days_with_air_temperature_below_threshold,days,7
03459_Osnabrück,-32.47257995605469,FD,year,days_with_air_temperature_below_threshold,days,7
03460_Vechta,-33.02726745605469,FD,year,days_with_air_temperature_below_threshold,days,7
03461_Wesermarsch,-32.172794342041016,FD,year,days_with_air_temperature_below_threshold,days,7
03462_Wittmund,-30.13507652282715,FD,year,days_with_air_temperature_below_threshold,days,7
04011_Bremen,-32.607906341552734,FD,year,days_with_air_temperature_below_threshold,days,7
04012_Bremerhaven,-31.467239379882812,FD,year,days_with_air_temperature_below_threshold,days,7
05111_Düsseldorf,-27.94835662841797,FD,year,days_with_air_temperature_below_threshold,days,7
05112_Duisburg,-27.72214698791504,FD,year,days_with_air_temperature_below_threshold,days,7
05113_Essen,-28.170162200927734,FD,year,days_with_air_temperature_below_threshold,days,7
05114_Krefeld,-27.24028968811035,FD,year,days_with_air_temperature_below_threshold,days,7
