region,ci_name,ci_frequency,standard_name,units,mid_month,FD_year_4C_rcp85_ensemble-robustness
01001_Flensburg,FD,year,days_with_air_temperature_below_threshold,days,7,-2
01002_Kiel,FD,year,days_with_air_temperature_below_threshold,days,7,-2
01003_Lübeck,FD,year,days_with_air_temperature_below_threshold,days,7,-2
01004_Neumünster,FD,year,days_with_air_temperature_below_threshold,days,7,-2
01051_Dithmarschen,FD,year,days_with_air_temperature_below_threshold,days,7,-2
01053_Herzogtum Lauenburg,FD,year,days_with_air_temperature_below_threshold,days,7,-2
01054_Nordfriesland,FD,year,days_with_air_temperature_below_threshold,days,7,-2
01055_Ostholstein,FD,year,days_with_air_temperature_below_threshold,days,7,-2
01057_Plön,FD,year,days_with_air_temperature_below_threshold,days,7,-2
01058_Rendsburg-Eckernförde,FD,year,days_with_air_temperature_below_threshold,days,7,-2
01059_Schleswig-Flensburg,FD,year,days_with_air_temperature_below_threshold,days,7,-2
01060_Segeberg,FD,year,days_with_air_temperature_below_threshold,days,7,-2
01061_Steinburg,FD,year,days_with_air_temperature_below_threshold,days,7,-2
01062_Stormarn,FD,year,days_with_air_temperature_below_threshold,days,7,-2
02000_Hamburg,FD,year,days_with_air_temperature_below_threshold,days,7,-2
03101_Braunschweig,FD,year,days_with_air_temperature_below_threshold,days,7,-2
03102_Salzgitter,FD,year,days_with_air_temperature_below_threshold,days,7,-2
03103_Wolfsburg,FD,year,days_with_air_temperature_below_threshold,days,7,-2
03151_Gifhorn,FD,year,days_with_air_temperature_below_threshold,days,7,-2
03159_Göttingen,FD,year,days_with_air_temperature_below_threshold,days,7,-2
03153_Goslar,FD,year,days_with_air_temperature_below_threshold,days,7,-2
03154_Helmstedt,FD,year,days_with_air_temperature_below_threshold,days,7,-2
03155_Northeim,FD,year,days_with_air_temperature_below_threshold,days,7,-2
03157_Peine,FD,year,days_with_air_temperature_below_threshold,days,7,-2
03158_Wolfenbüttel,FD,year,days_with_air_temperature_below_threshold,days,7,-2
03241_Region Hannover,FD,year,days_with_air_temperature_below_threshold,days,7,-2
03251_Diepholz,FD,year,days_with_air_temperature_below_threshold,days,7,-2
03252_Hameln-Pyrmont,FD,year,days_with_air_temperature_below_threshold,days,7,-2
03254_Hildesheim,FD,year,days_with_air_temperature_below_threshold,days,7,-2
03255_Holzminden,FD,year,days_with_air_temperature_below_threshold,days,7,-2
