region,FD_year_4C_rcp85_time-mean_ensemble-diff-min,ci_name,ci_frequency,standard_name,units,mid_month
01001_Flensburg,-76.07270812988281,FD,year,days_with_air_temperature_below_threshold,days,7
01002_Kiel,-77.08650207519531,FD,year,days_with_air_temperature_below_threshold,days,7
01003_Lübeck,-73.46671295166016,FD,year,days_with_air_temperature_below_threshold,days,7
01004_Neumünster,-75.75419616699219,FD,year,days_with_air_temperature_below_threshold,days,7
01051_Dithmarschen,-68.73025512695312,FD,year,days_with_air_temperature_below_threshold,days,7
01053_Herzogtum Lauenburg,-73.6003189086914,FD,year,days_with_air_temperature_below_threshold,days,7
01054_Nordfriesland,-63.29133224487305,FD,year,days_with_air_temperature_below_threshold,days,7
01055_Ostholstein,-73.49777221679688,FD,year,days_with_air_temperature_below_threshold,days,7
01057_Plön,-74.44538879394531,FD,year,days_with_air_temperature_below_threshold,days,7
01058_Rendsburg-Eckernförde,-74.13883972167969,FD,year,days_with_air_temperature_below_threshold,days,7
01059_Schleswig-Flensburg,-74.13590240478516,FD,year,days_with_air_temperature_below_threshold,days,7
01060_Segeberg,-74.15726470947266,FD,year,days_with_air_temperature_below_threshold,days,7
01061_Steinburg,-74.2762680053711,FD,year,days_with_air_temperature_below_threshold,days,7
01062_Stormarn,-73.0726089477539,FD,year,days_with_air_temperature_below_threshold,days,7
02000_Hamburg,-72.8163833618164,FD,year,days_with_air_temperature_below_threshold,days,7
03101_Braunschweig,-73.93309020996094,FD,year,days_with_air_temperature_below_threshold,days,7
03102_Salzgitter,-73.31768798828125,FD,year,days_with_air_temperature_below_threshold,days,7
03103_Wolfsburg,-73.19840240478516,FD,year,days_with_air_temperature_below_threshold,days,7
03151_Gifhorn,-73.79096984863281,FD,year,days_with_air_temperature_below_threshold,days,7
03159_Göttingen,-71.67671966552734,FD,year,days_with_air_temperature_below_threshold,days,7
03153_Goslar,-70.24972534179688,FD,year,days_with_air_temperature_below_threshold,days,7
03154_Helmstedt,-72.99089813232422,FD,year,days_with_air_temperature_below_threshold,days,7
03155_Northeim,-71.04818725585938,FD,year,days_with_air_temperature_below_threshold,days,7
03157_Peine,-75.28852844238281,FD,year,days_with_air_temperature_below_threshold,days,7
03158_Wolfenbüttel,-72.94834899902344,FD,year,days_with_air_temperature_below_threshold,days,7
03241_Region Hannover,-75.3062973022461,FD,year,days_with_air_temperature_below_threshold,days,7
03251_Diepholz,-74.33589935302734,FD,year,days_with_air_temperature_below_threshold,days,7
03252_Hameln-Pyrmont,-73.87867736816406,FD,year,days_with_air_temperature_below_threshold,days,7
03254_Hildesheim,-74.12310791015625,FD,year,days_with_air_temperature_below_threshold,days,7
03255_Holzminden,-71.77375030517578,FD,year,days_with_air_temperature_below_threshold,days,7
01056_Pinneberg,-73.25989532470703,FD,year,days_with_air_temperature_below_threshold,days,7
03256_Nienburg (Weser),-75.15802764892578,FD,year,days_with_air_temperature_below_threshold,days,7
03257_Schaumburg,-73.75906372070312,FD,year,days_with_air_temperature_below_threshold,days,7
03351_Celle,-73.07081604003906,FD,year,days_with_air_temperature_below_threshold,days,7
03352_Cuxhaven,-70.66642761230469,FD,year,days_with_air_temperature_below_threshold,days,7
03353_Harburg,-73.1313705444336,FD,year,days_with_air_temperature_below_threshold,days,7
03354_Lüchow-Dannenberg,-75.37696075439453,FD,year,days_with_air_temperature_below_threshold,days,7
03355_Lüneburg,-74.70889282226562,FD,year,days_with_air_temperature_below_threshold,days,7
03356_Osterholz,-74.0379638671875,FD,year,days_with_air_temperature_below_threshold,days,7
03357_Rotenburg (Wümme),-74.01740264892578,FD,year,days_with_air_temperature_below_threshold,days,7
03358_Heidekreis,-72.44613647460938,FD,year,days_with_air_temperature_below_threshold,days,7
03359_Stade,-73.42407989501953,FD,year,days_with_air_temperature_below_threshold,days,7
03360_Uelzen,-74.00403594970703,FD,year,days_with_air_temperature_below_threshold,days,7
03361_Verden,-74.29509735107422,FD,year,days_with_air_temperature_below_threshold,days,7
03401_Delmenhorst,-74.23365783691406,FD,year,days_with_air_temperature_below_threshold,days,7
03402_Emden,-62.972347259521484,FD,year,days_with_air_temperature_below_threshold,days,7
03403_Oldenburg (Oldb),-74.57548522949219,FD,year,days_with_air_temperature_below_threshold,days,7
03404_Osnabrück,-73.42728424072266,FD,year,days_with_air_temperature_below_threshold,days,7
03405_Wilhelmshaven,-60.546142578125,FD,year,days_with_air_temperature_below_threshold,days,7
03451_Ammerland,-75.17469024658203,FD,year,days_with_air_temperature_below_threshold,days,7
03452_Aurich,-70.44007873535156,FD,year,days_with_air_temperature_below_threshold,days,7
03453_Cloppenburg,-75.6686019897461,FD,year,days_with_air_temperature_below_threshold,days,7
03454_Emsland,-76.2525405883789,FD,year,days_with_air_temperature_below_threshold,days,7
03455_Friesland,-75.22734832763672,FD,year,days_with_air_temperature_below_threshold,days,7
03456_Grafschaft Bentheim,-75.159912109375,FD,year,days_with_air_temperature_below_threshold,days,7
03457_Leer,-74.56890106201172,FD,year,days_with_air_temperature_below_threshold,days,7
03458_Oldenburg,-74.74459075927734,FD,year,days_with_air_temperature_below_threshold,days,7
03459_Osnabrück,-74.8468017578125,FD,year,days_with_air_temperature_below_threshold,days,7
03460_Vechta,-75.35204315185547,FD,year,days_with_air_temperature_below_threshold,days,7
03461_Wesermarsch,-72.04473876953125,FD,year,days_with_air_temperature_below_threshold,days,7
03462_Wittmund,-73.49612426757812,FD,year,days_with_air_temperature_below_threshold,days,7
04011_Bremen,-72.86885070800781,FD,year,days_with_air_temperature_below_threshold,days,7
04012_Bremerhaven,-72.12467956542969,FD,year,days_with_air_temperature_below_threshold,days,7
05111_Düsseldorf,-62.59029006958008,FD,year,days_with_air_temperature_below_threshold,days,7
05112_Duisburg,-61.76952362060547,FD,year,days_with_air_temperature_below_threshold,days,7
05113_Essen,-66.06660461425781,FD,year,days_with_air_temperature_below_threshold,days,7
