region,HSf3_year_1.5C_rcp85_time-mean_ensemble-diff-max,ci_name,ci_frequency,standard_name,units,mid_month
01001_01059_Region_um_Flensburg,0.6953180432319641,HSf3,year,hot_spell_frequency,,7
01001_Flensburg,0.6336513161659241,HSf3,year,hot_spell_frequency,,7
01002_01057_01058_Region_um_Kiel,0.8726773262023926,HSf3,year,hot_spell_frequency,,7
01002_Kiel,0.704334020614624,HSf3,year,hot_spell_frequency,,7
01003_13074_01055_01053_01062_Region_um_Lübeck,1.0109224319458008,HSf3,year,hot_spell_frequency,,7
01003_Lübeck,1.0665497779846191,HSf3,year,hot_spell_frequency,,7
01004_01058_01060_01057_01002_Region_um_Neumünster,0.9436991214752197,HSf3,year,hot_spell_frequency,,7
01004_Neumünster,1.0035121440887451,HSf3,year,hot_spell_frequency,,7
01051_Dithmarschen,1.1211929321289062,HSf3,year,hot_spell_frequency,,7
01053_Herzogtum Lauenburg,1.3251442909240723,HSf3,year,hot_spell_frequency,,7
01054_Nordfriesland,0.732577919960022,HSf3,year,hot_spell_frequency,,7
01055_Ostholstein,0.5773265957832336,HSf3,year,hot_spell_frequency,,7
01056_Pinneberg,1.4117698669433594,HSf3,year,hot_spell_frequency,,7
01057_Plön,0.7660664319992065,HSf3,year,hot_spell_frequency,,7
01058_Rendsburg-Eckernförde,0.9351922273635864,HSf3,year,hot_spell_frequency,,7
01059_Schleswig-Flensburg,0.6969352960586548,HSf3,year,hot_spell_frequency,,7
01060_Segeberg,1.1193956136703491,HSf3,year,hot_spell_frequency,,7
01061_Steinburg,1.3202345371246338,HSf3,year,hot_spell_frequency,,7
01062_Stormarn,1.3521692752838135,HSf3,year,hot_spell_frequency,,7
02000_Hamburg,1.43223237991333,HSf3,year,hot_spell_frequency,,7
03101_03157_03154_03151_03102_03158_03103_Region_um_Braunschweig,1.4087936878204346,HSf3,year,hot_spell_frequency,,7
03101_Braunschweig,1.4734625816345215,HSf3,year,hot_spell_frequency,,7
03102_03254_03157_03158_03153_03101_Region_um_Salzgitter,1.2278999090194702,HSf3,year,hot_spell_frequency,,7
03102_Salzgitter,1.4208592176437378,HSf3,year,hot_spell_frequency,,7
03103_03154_03151_Region_um_Wolfsburg,1.4108740091323853,HSf3,year,hot_spell_frequency,,7
03103_Wolfsburg,1.4516754150390625,HSf3,year,hot_spell_frequency,,7
03151_Gifhorn,1.4380333423614502,HSf3,year,hot_spell_frequency,,7
03153_Goslar,0.7997405529022217,HSf3,year,hot_spell_frequency,,7
03154_Helmstedt,1.370725154876709,HSf3,year,hot_spell_frequency,,7
03155_Northeim,1.2893002033233643,HSf3,year,hot_spell_frequency,,7
03157_Peine,1.4380879402160645,HSf3,year,hot_spell_frequency,,7
03158_Wolfenbüttel,1.3744395971298218,HSf3,year,hot_spell_frequency,,7
03159_Göttingen,1.2120027542114258,HSf3,year,hot_spell_frequency,,7
03241_Region Hannover,1.440880537033081,HSf3,year,hot_spell_frequency,,7
03251_Diepholz,1.3869720697402954,HSf3,year,hot_spell_frequency,,7
03252_Hameln-Pyrmont,1.273501992225647,HSf3,year,hot_spell_frequency,,7
03254_Hildesheim,1.3680615425109863,HSf3,year,hot_spell_frequency,,7
03255_Holzminden,1.2003425359725952,HSf3,year,hot_spell_frequency,,7
03256_Nienburg (Weser),1.4343565702438354,HSf3,year,hot_spell_frequency,,7
03257_Schaumburg,1.4251824617385864,HSf3,year,hot_spell_frequency,,7
03351_Celle,1.5411642789840698,HSf3,year,hot_spell_frequency,,7
03352_Cuxhaven,1.3174241781234741,HSf3,year,hot_spell_frequency,,7
03353_Harburg,1.3838207721710205,HSf3,year,hot_spell_frequency,,7
03354_Lüchow-Dannenberg,1.4984484910964966,HSf3,year,hot_spell_frequency,,7
03355_Lüneburg,1.3968063592910767,HSf3,year,hot_spell_frequency,,7
03356_Osterholz,1.3140732049942017,HSf3,year,hot_spell_frequency,,7
03357_Rotenburg (Wümme),1.3587841987609863,HSf3,year,hot_spell_frequency,,7
03358_Heidekreis,1.4375941753387451,HSf3,year,hot_spell_frequency,,7
03359_Stade,1.3662078380584717,HSf3,year,hot_spell_frequency,,7
03360_Uelzen,1.3985613584518433,HSf3,year,hot_spell_frequency,,7
03361_Verden,1.451606273651123,HSf3,year,hot_spell_frequency,,7
03401_03458_04011_03251_03461_Region_um_Delmenhorst,1.342592477798462,HSf3,year,hot_spell_frequency,,7
03401_Delmenhorst,1.378169059753418,HSf3,year,hot_spell_frequency,,7
03402_03452_03457_Region_um_Emden,1.1525099277496338,HSf3,year,hot_spell_frequency,,7
03402_Emden,0.9119786620140076,HSf3,year,hot_spell_frequency,,7
03403_03458_03451_03461_Region_um_Oldenburg_(Oldenburg),1.278716802597046,HSf3,year,hot_spell_frequency,,7
03403_Oldenburg (Oldb),1.274413824081421,HSf3,year,hot_spell_frequency,,7
03404_03459_05566_Region_um_Osnabrück,1.3692493438720703,HSf3,year,hot_spell_frequency,,7
03404_Osnabrück,1.401317834854126,HSf3,year,hot_spell_frequency,,7
03405_03455_Region_um_Wilhelmshaven,1.0175533294677734,HSf3,year,hot_spell_frequency,,7
03405_Wilhelmshaven,0.7447620630264282,HSf3,year,hot_spell_frequency,,7
03451_Ammerland,1.2389938831329346,HSf3,year,hot_spell_frequency,,7
03452_Aurich,1.040248155593872,HSf3,year,hot_spell_frequency,,7
03453_Cloppenburg,1.1992464065551758,HSf3,year,hot_spell_frequency,,7
03454_Emsland,1.2432122230529785,HSf3,year,hot_spell_frequency,,7
03455_Friesland,1.0656092166900635,HSf3,year,hot_spell_frequency,,7
03456_Grafschaft Bentheim,1.2177674770355225,HSf3,year,hot_spell_frequency,,7
03457_Leer,1.3152811527252197,HSf3,year,hot_spell_frequency,,7
03458_Oldenburg,1.3067548274993896,HSf3,year,hot_spell_frequency,,7
03459_Osnabrück,1.3462772369384766,HSf3,year,hot_spell_frequency,,7
03460_Vechta,1.3438661098480225,HSf3,year,hot_spell_frequency,,7
03461_Wesermarsch,1.2787601947784424,HSf3,year,hot_spell_frequency,,7
03462_Wittmund,1.0159679651260376,HSf3,year,hot_spell_frequency,,7
04011_03361_03251_03401_03461_03356_03352_04012_Region_um_Bremen,1.3492119312286377,HSf3,year,hot_spell_frequency,,7
04011_Bremen,1.3404035568237305,HSf3,year,hot_spell_frequency,,7
04012_03352_03461_Region_um_Bremerhaven,1.3047816753387451,HSf3,year,hot_spell_frequency,,7
04012_Bremerhaven,1.2410633563995361,HSf3,year,hot_spell_frequency,,7
05111_05162_05158_05112_Region_um_Düsseldorf,1.641752004623413,HSf3,year,hot_spell_frequency,,7
05111_Düsseldorf,1.8067606687545776,HSf3,year,hot_spell_frequency,,7
05112_05114_05119_05117_05170_05158_05111_Region_um_Duisburg,1.4944965839385986,HSf3,year,hot_spell_frequency,,7
05112_Duisburg,1.572026252746582,HSf3,year,hot_spell_frequency,,7
05113_05119_05117_05513_05512_05158_05911_05954_05562_05513_05916_Region_um_Essen,1.3379629850387573,HSf3,year,hot_spell_frequency,,7
05113_Essen,1.3394274711608887,HSf3,year,hot_spell_frequency,,7
05114_05112_05162_05166_05170_Region_um_Krefeld,1.590619683265686,HSf3,year,hot_spell_frequency,,7
05114_Krefeld,1.7068796157836914,HSf3,year,hot_spell_frequency,,7
05116_05370_05166_05162_Region_um_Mönchengladbach,1.8308069705963135,HSf3,year,hot_spell_frequency,,7
05116_Mönchengladbach,1.8212049007415771,HSf3,year,hot_spell_frequency,,7
05117_05112_05158_05119_05113_Region_um_Mülheim_an_der_Ruhr,1.505031943321228,HSf3,year,hot_spell_frequency,,7
05117_Mülheim an der Ruhr,1.4886188507080078,HSf3,year,hot_spell_frequency,,7
05119_05170_05512_05113_05117_05112_Region_um_Oberhausen,1.4212772846221924,HSf3,year,hot_spell_frequency,,7
05119_Oberhausen,1.603332757949829,HSf3,year,hot_spell_frequency,,7
05120_05124_05122_05378_05374_Region_um_Remscheid,1.3028903007507324,HSf3,year,hot_spell_frequency,,7
05120_Remscheid,1.1831752061843872,HSf3,year,hot_spell_frequency,,7
05122_05158_05124_05378_05120_Region_um_Solingen,1.4653726816177368,HSf3,year,hot_spell_frequency,,7
05122_Solingen,1.580981731414795,HSf3,year,hot_spell_frequency,,7
05124_05122_05120_05158_05954_05374_Region_um_Wuppertal,1.2414782047271729,HSf3,year,hot_spell_frequency,,7
05124_Wuppertal,1.2338510751724243,HSf3,year,hot_spell_frequency,,7
05154_Kleve,1.483065128326416,HSf3,year,hot_spell_frequency,,7
05158_Mettmann,1.5678693056106567,HSf3,year,hot_spell_frequency,,7
05162_Rhein-Kreis Neuss,1.8978872299194336,HSf3,year,hot_spell_frequency,,7
05166_Viersen,1.6842455863952637,HSf3,year,hot_spell_frequency,,7
05170_Wesel,1.4130017757415771,HSf3,year,hot_spell_frequency,,7
05314_05382_Region_um_Bonn,1.4970343112945557,HSf3,year,hot_spell_frequency,,7
05314_Bonn,1.9769659042358398,HSf3,year,hot_spell_frequency,,7
05315_Köln,1.9524344205856323,HSf3,year,hot_spell_frequency,,7
05316_05315_05378_05158_Region_um_Leverkusen,1.6199190616607666,HSf3,year,hot_spell_frequency,,7
05316_Leverkusen,1.7812484502792358,HSf3,year,hot_spell_frequency,,7
05334_Städteregion Aachen,0.9431164860725403,HSf3,year,hot_spell_frequency,,7
05358_Düren,1.629565715789795,HSf3,year,hot_spell_frequency,,7
05362_Rhein-Erft-Kreis,1.9531325101852417,HSf3,year,hot_spell_frequency,,7
05366_Euskirchen,0.849658727645874,HSf3,year,hot_spell_frequency,,7
05370_Heinsberg,1.9026641845703125,HSf3,year,hot_spell_frequency,,7
05374_Oberbergischer Kreis,1.1741341352462769,HSf3,year,hot_spell_frequency,,7
05378_Rheinisch-Bergischer Kreis,1.5578148365020752,HSf3,year,hot_spell_frequency,,7
05382_Rhein-Sieg-Kreis,1.436906099319458,HSf3,year,hot_spell_frequency,,7
05512_05119_05513_05113_05170_05562_Region_um_Bottrop,1.3753052949905396,HSf3,year,hot_spell_frequency,,7
05512_Bottrop,1.5359954833984375,HSf3,year,hot_spell_frequency,,7
05513_05113_05916_05911_05562_05512_Region_um_Gelsenkirchen,1.35366690158844,HSf3,year,hot_spell_frequency,,7
05513_Gelsenkirchen,1.4371583461761475,HSf3,year,hot_spell_frequency,,7
05515_05566_05558_05570_Region_um_Münster,1.4337959289550781,HSf3,year,hot_spell_frequency,,7
05515_Münster,1.4796574115753174,HSf3,year,hot_spell_frequency,,7
05554_Borken,1.307708740234375,HSf3,year,hot_spell_frequency,,7
05558_Coesfeld,1.3676530122756958,HSf3,year,hot_spell_frequency,,7
05562_Recklinghausen,1.367231011390686,HSf3,year,hot_spell_frequency,,7
05566_Steinfurt,1.394081950187683,HSf3,year,hot_spell_frequency,,7
05570_Warendorf,1.532602310180664,HSf3,year,hot_spell_frequency,,7
05711_05754_05758_05766_Region_um_Bielefeld,1.3797041177749634,HSf3,year,hot_spell_frequency,,7
05711_Bielefeld,1.4256935119628906,HSf3,year,hot_spell_frequency,,7
05754_Gütersloh,1.5426360368728638,HSf3,year,hot_spell_frequency,,7
05758_Herford,1.3598082065582275,HSf3,year,hot_spell_frequency,,7
05762_Höxter,1.2527310848236084,HSf3,year,hot_spell_frequency,,7
05766_Lippe,1.2509829998016357,HSf3,year,hot_spell_frequency,,7
05770_Minden-Lübbecke,1.3596234321594238,HSf3,year,hot_spell_frequency,,7
05774_Paderborn,1.0963109731674194,HSf3,year,hot_spell_frequency,,7
05911_05954_05913_05513_05113_05916_05562_Region_um_Bochum,1.2825206518173218,HSf3,year,hot_spell_frequency,,7
05911_Bochum,1.3617136478424072,HSf3,year,hot_spell_frequency,,7
05913_05914_05911_05916_05978_05954_05562_Region_um_Dortmund,1.255399465560913,HSf3,year,hot_spell_frequency,,7
05913_Dortmund,1.3021528720855713,HSf3,year,hot_spell_frequency,,7
05914_05954_05913_05978_05962_Region_um_Hagen,1.0583667755126953,HSf3,year,hot_spell_frequency,,7
05914_Hagen,0.9523362517356873,HSf3,year,hot_spell_frequency,,7
05915_05978_05974_05570_05558_Region_um_Hamm,1.3320248126983643,HSf3,year,hot_spell_frequency,,7
05915_Hamm,1.4160877466201782,HSf3,year,hot_spell_frequency,,7
05916_05513_05562_05911_Region_um_Herne,1.344205379486084,HSf3,year,hot_spell_frequency,,7
05916_Herne,1.4970563650131226,HSf3,year,hot_spell_frequency,,7
05954_Ennepe-Ruhr-Kreis,1.0853385925292969,HSf3,year,hot_spell_frequency,,7
05958_Hochsauerlandkreis,0.6970759630203247,HSf3,year,hot_spell_frequency,,7
05962_Märkischer Kreis,0.8767772912979126,HSf3,year,hot_spell_frequency,,7
05966_Olpe,0.9156093001365662,HSf3,year,hot_spell_frequency,,7
05970_Siegen-Wittgenstein,0.8936854600906372,HSf3,year,hot_spell_frequency,,7
05974_Soest,1.0979634523391724,HSf3,year,hot_spell_frequency,,7
05978_Unna,1.309977412223816,HSf3,year,hot_spell_frequency,,7
06411_06432_06438_Region_um_Darmstadt,2.2609426975250244,HSf3,year,hot_spell_frequency,,7
06411_Darmstadt,2.3083252906799316,HSf3,year,hot_spell_frequency,,7
06412_06413_06436_06434_06440_06435_06438_06433_Region_um_Frankfurt_am_Main,1.8241395950317383,HSf3,year,hot_spell_frequency,,7
06412_Frankfurt am Main,2.274822235107422,HSf3,year,hot_spell_frequency,,7
06413_06438_06435_06412_Region_um_Offenbach_am_Main,1.7427399158477783,HSf3,year,hot_spell_frequency,,7
06413_Offenbach am Main,2.2604706287384033,HSf3,year,hot_spell_frequency,,7
06414_07315_07339_06439_06436_06433_Region_um_Wiesbaden,1.8678960800170898,HSf3,year,hot_spell_frequency,,7
06414_Wiesbaden,1.9279670715332031,HSf3,year,hot_spell_frequency,,7
06431_Bergstraße,2.10638689994812,HSf3,year,hot_spell_frequency,,7
06432_Darmstadt-Dieburg,2.227203845977783,HSf3,year,hot_spell_frequency,,7
06433_Groß-Gerau,2.360785484313965,HSf3,year,hot_spell_frequency,,7
06434_Hochtaunuskreis,1.837505578994751,HSf3,year,hot_spell_frequency,,7
06435_Main-Kinzig-Kreis,1.7219334840774536,HSf3,year,hot_spell_frequency,,7
06436_06412_06414_06433_06439_06434_Region_um_Main-Taunus-Kreis,1.82502019405365,HSf3,year,hot_spell_frequency,,7
06436_Main-Taunus-Kreis,2.0309717655181885,HSf3,year,hot_spell_frequency,,7
