region,HSf3_year_1.5C_rcp85_time-mean_ensemble-diff-mean,ci_name,ci_frequency,standard_name,units,mid_month
01001_01059_Region_um_Flensburg,0.10587408,HSf3,year,hot_spell_frequency,,7
01001_Flensburg,0.09807173,HSf3,year,hot_spell_frequency,,7
01002_01057_01058_Region_um_Kiel,0.14690448,HSf3,year,hot_spell_frequency,,7
01002_Kiel,0.14547664,HSf3,year,hot_spell_frequency,,7
01003_13074_01055_01053_01062_Region_um_Lübeck,0.20106624,HSf3,year,hot_spell_frequency,,7
01003_Lübeck,0.20563066,HSf3,year,hot_spell_frequency,,7
01004_01058_01060_01057_01002_Region_um_Neumünster,0.17023492,HSf3,year,hot_spell_frequency,,7
01004_Neumünster,0.21522681,HSf3,year,hot_spell_frequency,,7
01051_Dithmarschen,0.14750735,HSf3,year,hot_spell_frequency,,7
01053_Herzogtum Lauenburg,0.2667922,HSf3,year,hot_spell_frequency,,7
01054_Nordfriesland,0.09654897,HSf3,year,hot_spell_frequency,,7
01055_Ostholstein,0.109302714,HSf3,year,hot_spell_frequency,,7
01056_Pinneberg,0.25187024,HSf3,year,hot_spell_frequency,,7
01057_Plön,0.12657532,HSf3,year,hot_spell_frequency,,7
01058_Rendsburg-Eckernförde,0.15710998,HSf3,year,hot_spell_frequency,,7
01059_Schleswig-Flensburg,0.106078714,HSf3,year,hot_spell_frequency,,7
01060_Segeberg,0.22642104,HSf3,year,hot_spell_frequency,,7
01061_Steinburg,0.20080306,HSf3,year,hot_spell_frequency,,7
01062_Stormarn,0.24934192,HSf3,year,hot_spell_frequency,,7
02000_Hamburg,0.29742926,HSf3,year,hot_spell_frequency,,7
03101_03157_03154_03151_03102_03158_03103_Region_um_Braunschweig,0.38122037,HSf3,year,hot_spell_frequency,,7
03101_Braunschweig,0.38719368,HSf3,year,hot_spell_frequency,,7
03102_03254_03157_03158_03153_03101_Region_um_Salzgitter,0.3312034,HSf3,year,hot_spell_frequency,,7
03102_Salzgitter,0.3694627,HSf3,year,hot_spell_frequency,,7
03103_03154_03151_Region_um_Wolfsburg,0.3807258,HSf3,year,hot_spell_frequency,,7
03103_Wolfsburg,0.38053292,HSf3,year,hot_spell_frequency,,7
03151_Gifhorn,0.3813149,HSf3,year,hot_spell_frequency,,7
03153_Goslar,0.21688585,HSf3,year,hot_spell_frequency,,7
03154_Helmstedt,0.3794104,HSf3,year,hot_spell_frequency,,7
03155_Northeim,0.34314153,HSf3,year,hot_spell_frequency,,7
03157_Peine,0.3902056,HSf3,year,hot_spell_frequency,,7
03158_Wolfenbüttel,0.37839743,HSf3,year,hot_spell_frequency,,7
03159_Göttingen,0.32373735,HSf3,year,hot_spell_frequency,,7
03241_Region Hannover,0.38348895,HSf3,year,hot_spell_frequency,,7
03251_Diepholz,0.33534575,HSf3,year,hot_spell_frequency,,7
03252_Hameln-Pyrmont,0.32004917,HSf3,year,hot_spell_frequency,,7
03254_Hildesheim,0.35182467,HSf3,year,hot_spell_frequency,,7
03255_Holzminden,0.31121457,HSf3,year,hot_spell_frequency,,7
03256_Nienburg (Weser),0.36668143,HSf3,year,hot_spell_frequency,,7
03257_Schaumburg,0.34244898,HSf3,year,hot_spell_frequency,,7
03351_Celle,0.3629415,HSf3,year,hot_spell_frequency,,7
03352_Cuxhaven,0.20933563,HSf3,year,hot_spell_frequency,,7
03353_Harburg,0.2926085,HSf3,year,hot_spell_frequency,,7
03354_Lüchow-Dannenberg,0.37595367,HSf3,year,hot_spell_frequency,,7
03355_Lüneburg,0.32651874,HSf3,year,hot_spell_frequency,,7
03356_Osterholz,0.28548157,HSf3,year,hot_spell_frequency,,7
03357_Rotenburg (Wümme),0.28003228,HSf3,year,hot_spell_frequency,,7
03358_Heidekreis,0.33499876,HSf3,year,hot_spell_frequency,,7
03359_Stade,0.22745128,HSf3,year,hot_spell_frequency,,7
03360_Uelzen,0.33419293,HSf3,year,hot_spell_frequency,,7
03361_Verden,0.3295479,HSf3,year,hot_spell_frequency,,7
03401_03458_04011_03251_03461_Region_um_Delmenhorst,0.30349296,HSf3,year,hot_spell_frequency,,7
03401_Delmenhorst,0.2987867,HSf3,year,hot_spell_frequency,,7
03402_03452_03457_Region_um_Emden,0.19841254,HSf3,year,hot_spell_frequency,,7
03402_Emden,0.15489404,HSf3,year,hot_spell_frequency,,7
03403_03458_03451_03461_Region_um_Oldenburg_(Oldenburg),0.26863316,HSf3,year,hot_spell_frequency,,7
03403_Oldenburg (Oldb),0.27875155,HSf3,year,hot_spell_frequency,,7
03404_03459_05566_Region_um_Osnabrück,0.3482656,HSf3,year,hot_spell_frequency,,7
03404_Osnabrück,0.32944286,HSf3,year,hot_spell_frequency,,7
03405_03455_Region_um_Wilhelmshaven,0.1615274,HSf3,year,hot_spell_frequency,,7
