region,HSf3_year_1.5C_rcp85_time-mean_ensemble-diff-median,ci_name,ci_frequency,standard_name,units,mid_month
01001_01059_Region_um_Flensburg,0.050356145948171616,HSf3,year,hot_spell_frequency,,7
01001_Flensburg,0.03366617485880852,HSf3,year,hot_spell_frequency,,7
01002_01057_01058_Region_um_Kiel,0.0666646659374237,HSf3,year,hot_spell_frequency,,7
01002_Kiel,0.07581359148025513,HSf3,year,hot_spell_frequency,,7
01003_13074_01055_01053_01062_Region_um_Lübeck,0.08837637305259705,HSf3,year,hot_spell_frequency,,7
01003_Lübeck,0.10103079676628113,HSf3,year,hot_spell_frequency,,7
01004_01058_01060_01057_01002_Region_um_Neumünster,0.07535621523857117,HSf3,year,hot_spell_frequency,,7
01004_Neumünster,0.09948784112930298,HSf3,year,hot_spell_frequency,,7
01051_Dithmarschen,0.0638914704322815,HSf3,year,hot_spell_frequency,,7
01053_Herzogtum Lauenburg,0.15784324705600739,HSf3,year,hot_spell_frequency,,7
01054_Nordfriesland,0.04376527667045593,HSf3,year,hot_spell_frequency,,7
01055_Ostholstein,0.057893455028533936,HSf3,year,hot_spell_frequency,,7
01056_Pinneberg,0.13024687767028809,HSf3,year,hot_spell_frequency,,7
01057_Plön,0.06311812996864319,HSf3,year,hot_spell_frequency,,7
01058_Rendsburg-Eckernförde,0.07710158824920654,HSf3,year,hot_spell_frequency,,7
01059_Schleswig-Flensburg,0.049928370863199234,HSf3,year,hot_spell_frequency,,7
01060_Segeberg,0.09584307670593262,HSf3,year,hot_spell_frequency,,7
01061_Steinburg,0.09065838158130646,HSf3,year,hot_spell_frequency,,7
01062_Stormarn,0.1240178644657135,HSf3,year,hot_spell_frequency,,7
02000_Hamburg,0.20773734152317047,HSf3,year,hot_spell_frequency,,7
03101_03157_03154_03151_03102_03158_03103_Region_um_Braunschweig,0.24108625948429108,HSf3,year,hot_spell_frequency,,7
03101_Braunschweig,0.2730484902858734,HSf3,year,hot_spell_frequency,,7
03102_03254_03157_03158_03153_03101_Region_um_Salzgitter,0.22469192743301392,HSf3,year,hot_spell_frequency,,7
03102_Salzgitter,0.22802992165088654,HSf3,year,hot_spell_frequency,,7
03103_03154_03151_Region_um_Wolfsburg,0.23461061716079712,HSf3,year,hot_spell_frequency,,7
03103_Wolfsburg,0.2188389003276825,HSf3,year,hot_spell_frequency,,7
03151_Gifhorn,0.2425185739994049,HSf3,year,hot_spell_frequency,,7
03153_Goslar,0.13021691143512726,HSf3,year,hot_spell_frequency,,7
03154_Helmstedt,0.21120429039001465,HSf3,year,hot_spell_frequency,,7
03155_Northeim,0.2172662317752838,HSf3,year,hot_spell_frequency,,7
03157_Peine,0.2854280471801758,HSf3,year,hot_spell_frequency,,7
03158_Wolfenbüttel,0.23278483748435974,HSf3,year,hot_spell_frequency,,7
03159_Göttingen,0.18829557299613953,HSf3,year,hot_spell_frequency,,7
03241_Region Hannover,0.24524737894535065,HSf3,year,hot_spell_frequency,,7
03251_Diepholz,0.19482281804084778,HSf3,year,hot_spell_frequency,,7
03252_Hameln-Pyrmont,0.21482595801353455,HSf3,year,hot_spell_frequency,,7
03254_Hildesheim,0.23935291171073914,HSf3,year,hot_spell_frequency,,7
03255_Holzminden,0.20201820135116577,HSf3,year,hot_spell_frequency,,7
03256_Nienburg (Weser),0.24980759620666504,HSf3,year,hot_spell_frequency,,7
03257_Schaumburg,0.21663156151771545,HSf3,year,hot_spell_frequency,,7
03351_Celle,0.26047128438949585,HSf3,year,hot_spell_frequency,,7
03352_Cuxhaven,0.11332890391349792,HSf3,year,hot_spell_frequency,,7
03353_Harburg,0.17846274375915527,HSf3,year,hot_spell_frequency,,7
03354_Lüchow-Dannenberg,0.22990494966506958,HSf3,year,hot_spell_frequency,,7
03355_Lüneburg,0.20025931298732758,HSf3,year,hot_spell_frequency,,7
03356_Osterholz,0.16784074902534485,HSf3,year,hot_spell_frequency,,7
03357_Rotenburg (Wümme),0.17241227626800537,HSf3,year,hot_spell_frequency,,7
03358_Heidekreis,0.20684480667114258,HSf3,year,hot_spell_frequency,,7
03359_Stade,0.1364571899175644,HSf3,year,hot_spell_frequency,,7
03360_Uelzen,0.19769108295440674,HSf3,year,hot_spell_frequency,,7
03361_Verden,0.2204337865114212,HSf3,year,hot_spell_frequency,,7
03401_03458_04011_03251_03461_Region_um_Delmenhorst,0.18081289529800415,HSf3,year,hot_spell_frequency,,7
03401_Delmenhorst,0.1666666716337204,HSf3,year,hot_spell_frequency,,7
03402_03452_03457_Region_um_Emden,0.08275391161441803,HSf3,year,hot_spell_frequency,,7
03402_Emden,0.06666667014360428,HSf3,year,hot_spell_frequency,,7
03403_03458_03451_03461_Region_um_Oldenburg_(Oldenburg),0.15306255221366882,HSf3,year,hot_spell_frequency,,7
03403_Oldenburg (Oldb),0.13870593905448914,HSf3,year,hot_spell_frequency,,7
03404_03459_05566_Region_um_Osnabrück,0.21472930908203125,HSf3,year,hot_spell_frequency,,7
03404_Osnabrück,0.17466570436954498,HSf3,year,hot_spell_frequency,,7
03405_03455_Region_um_Wilhelmshaven,0.06705471128225327,HSf3,year,hot_spell_frequency,,7
03405_Wilhelmshaven,0.03333333507180214,HSf3,year,hot_spell_frequency,,7
03451_Ammerland,0.13988009095191956,HSf3,year,hot_spell_frequency,,7
03452_Aurich,0.06684490293264389,HSf3,year,hot_spell_frequency,,7
03453_Cloppenburg,0.1860128939151764,HSf3,year,hot_spell_frequency,,7
03454_Emsland,0.182165265083313,HSf3,year,hot_spell_frequency,,7
03455_Friesland,0.06712307780981064,HSf3,year,hot_spell_frequency,,7
03456_Grafschaft Bentheim,0.2279982566833496,HSf3,year,hot_spell_frequency,,7
03457_Leer,0.10361362993717194,HSf3,year,hot_spell_frequency,,7
03458_Oldenburg,0.16638249158859253,HSf3,year,hot_spell_frequency,,7
03459_Osnabrück,0.1928858757019043,HSf3,year,hot_spell_frequency,,7
03460_Vechta,0.20535516738891602,HSf3,year,hot_spell_frequency,,7
03461_Wesermarsch,0.1427578628063202,HSf3,year,hot_spell_frequency,,7
03462_Wittmund,0.05278053879737854,HSf3,year,hot_spell_frequency,,7
04011_03361_03251_03401_03461_03356_03352_04012_Region_um_Bremen,0.17054516077041626,HSf3,year,hot_spell_frequency,,7
04011_Bremen,0.1856982409954071,HSf3,year,hot_spell_frequency,,7
04012_03352_03461_Region_um_Bremerhaven,0.11433745920658112,HSf3,year,hot_spell_frequency,,7
