region,HSf3_year_1.5C_rcp85_time-mean_ensemble-diff-min,ci_name,ci_frequency,standard_name,units,mid_month
01001_01059_Region_um_Flensburg,-0.05444720387458801,HSf3,year,hot_spell_frequency,,7
01001_Flensburg,-0.066984623670578,HSf3,year,hot_spell_frequency,,7
01002_01057_01058_Region_um_Kiel,-0.04181087389588356,HSf3,year,hot_spell_frequency,,7
01002_Kiel,-0.04955948144197464,HSf3,year,hot_spell_frequency,,7
01003_13074_01055_01053_01062_Region_um_Lübeck,-0.057380590587854385,HSf3,year,hot_spell_frequency,,7
01003_Lübeck,-0.057249847799539566,HSf3,year,hot_spell_frequency,,7
01004_01058_01060_01057_01002_Region_um_Neumünster,-0.04058554023504257,HSf3,year,hot_spell_frequency,,7
01004_Neumünster,-0.09996771812438965,HSf3,year,hot_spell_frequency,,7
01051_Dithmarschen,-0.05171455442905426,HSf3,year,hot_spell_frequency,,7
01053_Herzogtum Lauenburg,-0.10366559028625488,HSf3,year,hot_spell_frequency,,7
01054_Nordfriesland,-0.06485998630523682,HSf3,year,hot_spell_frequency,,7
01055_Ostholstein,-0.020804287865757942,HSf3,year,hot_spell_frequency,,7
01056_Pinneberg,-0.07965737581253052,HSf3,year,hot_spell_frequency,,7
01057_Plön,-0.044192343950271606,HSf3,year,hot_spell_frequency,,7
01058_Rendsburg-Eckernförde,-0.05526774376630783,HSf3,year,hot_spell_frequency,,7
01059_Schleswig-Flensburg,-0.05411839485168457,HSf3,year,hot_spell_frequency,,7
01060_Segeberg,-0.038245201110839844,HSf3,year,hot_spell_frequency,,7
01061_Steinburg,-0.07777652144432068,HSf3,year,hot_spell_frequency,,7
01062_Stormarn,-0.05948691815137863,HSf3,year,hot_spell_frequency,,7
02000_Hamburg,-0.04408669471740723,HSf3,year,hot_spell_frequency,,7
03101_03157_03154_03151_03102_03158_03103_Region_um_Braunschweig,-0.1427207887172699,HSf3,year,hot_spell_frequency,,7
03101_Braunschweig,-0.12524403631687164,HSf3,year,hot_spell_frequency,,7
03102_03254_03157_03158_03153_03101_Region_um_Salzgitter,-0.0723867118358612,HSf3,year,hot_spell_frequency,,7
03102_Salzgitter,-0.13557058572769165,HSf3,year,hot_spell_frequency,,7
03103_03154_03151_Region_um_Wolfsburg,-0.16287517547607422,HSf3,year,hot_spell_frequency,,7
03103_Wolfsburg,-0.16320660710334778,HSf3,year,hot_spell_frequency,,7
03151_Gifhorn,-0.17549526691436768,HSf3,year,hot_spell_frequency,,7
03153_Goslar,-0.0258319228887558,HSf3,year,hot_spell_frequency,,7
03154_Helmstedt,-0.13331803679466248,HSf3,year,hot_spell_frequency,,7
03155_Northeim,-0.02402469515800476,HSf3,year,hot_spell_frequency,,7
03157_Peine,-0.09311965852975845,HSf3,year,hot_spell_frequency,,7
03158_Wolfenbüttel,-0.12368515133857727,HSf3,year,hot_spell_frequency,,7
03159_Göttingen,-0.014565318822860718,HSf3,year,hot_spell_frequency,,7
03241_Region Hannover,-0.09309953451156616,HSf3,year,hot_spell_frequency,,7
03251_Diepholz,-0.05263417959213257,HSf3,year,hot_spell_frequency,,7
03252_Hameln-Pyrmont,-0.06771564483642578,HSf3,year,hot_spell_frequency,,7
03254_Hildesheim,-0.10582667589187622,HSf3,year,hot_spell_frequency,,7
03255_Holzminden,-0.03378469496965408,HSf3,year,hot_spell_frequency,,7
03256_Nienburg (Weser),-0.1111057698726654,HSf3,year,hot_spell_frequency,,7
03257_Schaumburg,-0.13347017765045166,HSf3,year,hot_spell_frequency,,7
03351_Celle,-0.12278461456298828,HSf3,year,hot_spell_frequency,,7
03352_Cuxhaven,-0.11347096413373947,HSf3,year,hot_spell_frequency,,7
03353_Harburg,-0.04250052571296692,HSf3,year,hot_spell_frequency,,7
03354_Lüchow-Dannenberg,-0.3730306327342987,HSf3,year,hot_spell_frequency,,7
03355_Lüneburg,-0.14098648726940155,HSf3,year,hot_spell_frequency,,7
03356_Osterholz,-0.17768238484859467,HSf3,year,hot_spell_frequency,,7
03357_Rotenburg (Wümme),-0.11731833219528198,HSf3,year,hot_spell_frequency,,7
03358_Heidekreis,-0.04035371541976929,HSf3,year,hot_spell_frequency,,7
03359_Stade,-0.12094607949256897,HSf3,year,hot_spell_frequency,,7
03360_Uelzen,-0.11949238181114197,HSf3,year,hot_spell_frequency,,7
03361_Verden,-0.09680613875389099,HSf3,year,hot_spell_frequency,,7
03401_03458_04011_03251_03461_Region_um_Delmenhorst,-0.05402092635631561,HSf3,year,hot_spell_frequency,,7
03401_Delmenhorst,-0.12211649119853973,HSf3,year,hot_spell_frequency,,7
03402_03452_03457_Region_um_Emden,-0.10602487623691559,HSf3,year,hot_spell_frequency,,7
03402_Emden,-0.07657276839017868,HSf3,year,hot_spell_frequency,,7
03403_03458_03451_03461_Region_um_Oldenburg_(Oldenburg),-0.07466988265514374,HSf3,year,hot_spell_frequency,,7
03403_Oldenburg (Oldb),-0.0893082469701767,HSf3,year,hot_spell_frequency,,7
03404_03459_05566_Region_um_Osnabrück,-0.056377410888671875,HSf3,year,hot_spell_frequency,,7
03404_Osnabrück,-0.07085038721561432,HSf3,year,hot_spell_frequency,,7
03405_03455_Region_um_Wilhelmshaven,-0.06798729300498962,HSf3,year,hot_spell_frequency,,7
03405_Wilhelmshaven,-0.04432019591331482,HSf3,year,hot_spell_frequency,,7
03451_Ammerland,-0.09433040022850037,HSf3,year,hot_spell_frequency,,7
03452_Aurich,-0.11318066716194153,HSf3,year,hot_spell_frequency,,7
03453_Cloppenburg,-0.032302126288414,HSf3,year,hot_spell_frequency,,7
03454_Emsland,-0.050245583057403564,HSf3,year,hot_spell_frequency,,7
03455_Friesland,-0.07712061703205109,HSf3,year,hot_spell_frequency,,7
03456_Grafschaft Bentheim,-0.05618453025817871,HSf3,year,hot_spell_frequency,,7
03457_Leer,-0.10034321248531342,HSf3,year,hot_spell_frequency,,7
03458_Oldenburg,-0.04489728808403015,HSf3,year,hot_spell_frequency,,7
03459_Osnabrück,-0.06363144516944885,HSf3,year,hot_spell_frequency,,7
03460_Vechta,-0.07338064908981323,HSf3,year,hot_spell_frequency,,7
03461_Wesermarsch,-0.0930066853761673,HSf3,year,hot_spell_frequency,,7
03462_Wittmund,-0.10720469802618027,HSf3,year,hot_spell_frequency,,7
04011_03361_03251_03401_03461_03356_03352_04012_Region_um_Bremen,-0.06751778721809387,HSf3,year,hot_spell_frequency,,7
04011_Bremen,-0.04118702560663223,HSf3,year,hot_spell_frequency,,7
04012_03352_03461_Region_um_Bremerhaven,-0.08702985942363739,HSf3,year,hot_spell_frequency,,7
04012_Bremerhaven,-0.09956744313240051,HSf3,year,hot_spell_frequency,,7
05111_05162_05158_05112_Region_um_Düsseldorf,-0.048348113894462585,HSf3,year,hot_spell_frequency,,7
05111_Düsseldorf,-0.0509953498840332,HSf3,year,hot_spell_frequency,,7
05112_05114_05119_05117_05170_05158_05111_Region_um_Duisburg,-0.033757284283638,HSf3,year,hot_spell_frequency,,7
05112_Duisburg,-0.06943020224571228,HSf3,year,hot_spell_frequency,,7
05113_05119_05117_05513_05512_05158_05911_05954_05562_05513_05916_Region_um_Essen,-0.020413458347320557,HSf3,year,hot_spell_frequency,,7
05113_Essen,-0.07414031028747559,HSf3,year,hot_spell_frequency,,7
05114_05112_05162_05166_05170_Region_um_Krefeld,-0.02984730899333954,HSf3,year,hot_spell_frequency,,7
05114_Krefeld,-0.04611128568649292,HSf3,year,hot_spell_frequency,,7
05116_05370_05166_05162_Region_um_Mönchengladbach,-0.030589818954467773,HSf3,year,hot_spell_frequency,,7
05116_Mönchengladbach,-0.06375136971473694,HSf3,year,hot_spell_frequency,,7
05117_05112_05158_05119_05113_Region_um_Mülheim_an_der_Ruhr,-0.06384614109992981,HSf3,year,hot_spell_frequency,,7
05117_Mülheim an der Ruhr,-0.09815123677253723,HSf3,year,hot_spell_frequency,,7
05119_05170_05512_05113_05117_05112_Region_um_Oberhausen,-0.021770134568214417,HSf3,year,hot_spell_frequency,,7
05119_Oberhausen,-0.10594788193702698,HSf3,year,hot_spell_frequency,,7
05120_05124_05122_05378_05374_Region_um_Remscheid,-0.006993308663368225,HSf3,year,hot_spell_frequency,,7
05120_Remscheid,-0.006394699215888977,HSf3,year,hot_spell_frequency,,7
05122_05158_05124_05378_05120_Region_um_Solingen,-0.03353293985128403,HSf3,year,hot_spell_frequency,,7
05122_Solingen,-0.03152924031019211,HSf3,year,hot_spell_frequency,,7
05124_05122_05120_05158_05954_05374_Region_um_Wuppertal,-0.001787036657333374,HSf3,year,hot_spell_frequency,,7
05124_Wuppertal,-0.007717259228229523,HSf3,year,hot_spell_frequency,,7
05154_Kleve,-0.08518427610397339,HSf3,year,hot_spell_frequency,,7
05158_Mettmann,-0.05163063853979111,HSf3,year,hot_spell_frequency,,7
05162_Rhein-Kreis Neuss,-0.05237647891044617,HSf3,year,hot_spell_frequency,,7
05166_Viersen,-0.018905267119407654,HSf3,year,hot_spell_frequency,,7
05170_Wesel,-0.0388769656419754,HSf3,year,hot_spell_frequency,,7
05314_05382_Region_um_Bonn,-0.015704333782196045,HSf3,year,hot_spell_frequency,,7
05314_Bonn,-0.029799818992614746,HSf3,year,hot_spell_frequency,,7
05315_Köln,-0.08310158550739288,HSf3,year,hot_spell_frequency,,7
05316_05315_05378_05158_Region_um_Leverkusen,-0.05364222824573517,HSf3,year,hot_spell_frequency,,7
05316_Leverkusen,-0.060356736183166504,HSf3,year,hot_spell_frequency,,7
05334_Städteregion Aachen,-0.002075567841529846,HSf3,year,hot_spell_frequency,,7
05358_Düren,-0.03406326472759247,HSf3,year,hot_spell_frequency,,7
05362_Rhein-Erft-Kreis,-0.056223511695861816,HSf3,year,hot_spell_frequency,,7
05366_Euskirchen,-0.014026211574673653,HSf3,year,hot_spell_frequency,,7
05370_Heinsberg,-0.09579356014728546,HSf3,year,hot_spell_frequency,,7
05374_Oberbergischer Kreis,-0.015356019139289856,HSf3,year,hot_spell_frequency,,7
05378_Rheinisch-Bergischer Kreis,-0.03156045079231262,HSf3,year,hot_spell_frequency,,7
05382_Rhein-Sieg-Kreis,-0.013938412070274353,HSf3,year,hot_spell_frequency,,7
05512_05119_05513_05113_05170_05562_Region_um_Bottrop,-0.022383950650691986,HSf3,year,hot_spell_frequency,,7
05512_Bottrop,-0.055362433195114136,HSf3,year,hot_spell_frequency,,7
05513_05113_05916_05911_05562_05512_Region_um_Gelsenkirchen,-0.035127222537994385,HSf3,year,hot_spell_frequency,,7
05513_Gelsenkirchen,-0.1103513240814209,HSf3,year,hot_spell_frequency,,7
05515_05566_05558_05570_Region_um_Münster,-0.04588623344898224,HSf3,year,hot_spell_frequency,,7
05515_Münster,-0.08192485570907593,HSf3,year,hot_spell_frequency,,7
05554_Borken,-0.05738835036754608,HSf3,year,hot_spell_frequency,,7
05558_Coesfeld,-0.048532284796237946,HSf3,year,hot_spell_frequency,,7
05562_Recklinghausen,-0.016187667846679688,HSf3,year,hot_spell_frequency,,7
05566_Steinfurt,-0.05574008822441101,HSf3,year,hot_spell_frequency,,7
05570_Warendorf,-0.06566125899553299,HSf3,year,hot_spell_frequency,,7
05711_05754_05758_05766_Region_um_Bielefeld,-0.07850024104118347,HSf3,year,hot_spell_frequency,,7
05711_Bielefeld,-0.16739755868911743,HSf3,year,hot_spell_frequency,,7
05754_Gütersloh,-0.03535539284348488,HSf3,year,hot_spell_frequency,,7
05758_Herford,-0.1853402853012085,HSf3,year,hot_spell_frequency,,7
05762_Höxter,-0.029674340039491653,HSf3,year,hot_spell_frequency,,7
05766_Lippe,-0.07669699192047119,HSf3,year,hot_spell_frequency,,7
05770_Minden-Lübbecke,-0.12377303838729858,HSf3,year,hot_spell_frequency,,7
05774_Paderborn,-0.030410505831241608,HSf3,year,hot_spell_frequency,,7
05911_05954_05913_05513_05113_05916_05562_Region_um_Bochum,-0.017563268542289734,HSf3,year,hot_spell_frequency,,7
05911_Bochum,-0.030792921781539917,HSf3,year,hot_spell_frequency,,7
05913_05914_05911_05916_05978_05954_05562_Region_um_Dortmund,-0.028531193733215332,HSf3,year,hot_spell_frequency,,7
05913_Dortmund,-0.05397728830575943,HSf3,year,hot_spell_frequency,,7
05914_05954_05913_05978_05962_Region_um_Hagen,-0.011877603828907013,HSf3,year,hot_spell_frequency,,7
05914_Hagen,-0.015459977090358734,HSf3,year,hot_spell_frequency,,7
05915_05978_05974_05570_05558_Region_um_Hamm,-0.057511791586875916,HSf3,year,hot_spell_frequency,,7
05915_Hamm,-0.10542751103639603,HSf3,year,hot_spell_frequency,,7
05916_05513_05562_05911_Region_um_Herne,-0.029286444187164307,HSf3,year,hot_spell_frequency,,7
05916_Herne,-0.15784499049186707,HSf3,year,hot_spell_frequency,,7
05954_Ennepe-Ruhr-Kreis,-0.0182097926735878,HSf3,year,hot_spell_frequency,,7
05958_Hochsauerlandkreis,-0.0321502648293972,HSf3,year,hot_spell_frequency,,7
05962_Märkischer Kreis,-0.0350160226225853,HSf3,year,hot_spell_frequency,,7
05966_Olpe,-0.044443707913160324,HSf3,year,hot_spell_frequency,,7
05970_Siegen-Wittgenstein,-0.04439488425850868,HSf3,year,hot_spell_frequency,,7
05974_Soest,-0.04649028927087784,HSf3,year,hot_spell_frequency,,7
05978_Unna,-0.06234091520309448,HSf3,year,hot_spell_frequency,,7
