region,ci_name,ci_frequency,standard_name,units,mid_month,HSf3_year_2C_rcp85_ensemble-robustness
01001_01059_Region_um_Flensburg,HSf3,year,hot_spell_frequency,,7,1
01001_Flensburg,HSf3,year,hot_spell_frequency,,7,1
01002_01057_01058_Region_um_Kiel,HSf3,year,hot_spell_frequency,,7,1
01002_Kiel,HSf3,year,hot_spell_frequency,,7,1
01003_13074_01055_01053_01062_Region_um_Lübeck,HSf3,year,hot_spell_frequency,,7,1
01003_Lübeck,HSf3,year,hot_spell_frequency,,7,1
01004_01058_01060_01057_01002_Region_um_Neumünster,HSf3,year,hot_spell_frequency,,7,1
01004_Neumünster,HSf3,year,hot_spell_frequency,,7,1
01051_Dithmarschen,HSf3,year,hot_spell_frequency,,7,1
01053_Herzogtum Lauenburg,HSf3,year,hot_spell_frequency,,7,1
01054_Nordfriesland,HSf3,year,hot_spell_frequency,,7,1
01055_Ostholstein,HSf3,year,hot_spell_frequency,,7,1
01056_Pinneberg,HSf3,year,hot_spell_frequency,,7,1
01057_Plön,HSf3,year,hot_spell_frequency,,7,1
01058_Rendsburg-Eckernförde,HSf3,year,hot_spell_frequency,,7,1
01059_Schleswig-Flensburg,HSf3,year,hot_spell_frequency,,7,1
01060_Segeberg,HSf3,year,hot_spell_frequency,,7,1
01061_Steinburg,HSf3,year,hot_spell_frequency,,7,1
01062_Stormarn,HSf3,year,hot_spell_frequency,,7,1
02000_Hamburg,HSf3,year,hot_spell_frequency,,7,1
03101_03157_03154_03151_03102_03158_03103_Region_um_Braunschweig,HSf3,year,hot_spell_frequency,,7,1
03101_Braunschweig,HSf3,year,hot_spell_frequency,,7,1
03102_03254_03157_03158_03153_03101_Region_um_Salzgitter,HSf3,year,hot_spell_frequency,,7,2
03102_Salzgitter,HSf3,year,hot_spell_frequency,,7,1
03103_03154_03151_Region_um_Wolfsburg,HSf3,year,hot_spell_frequency,,7,2
03103_Wolfsburg,HSf3,year,hot_spell_frequency,,7,2
03151_Gifhorn,HSf3,year,hot_spell_frequency,,7,1
03153_Goslar,HSf3,year,hot_spell_frequency,,7,1
03154_Helmstedt,HSf3,year,hot_spell_frequency,,7,1
03155_Northeim,HSf3,year,hot_spell_frequency,,7,1
03157_Peine,HSf3,year,hot_spell_frequency,,7,1
03158_Wolfenbüttel,HSf3,year,hot_spell_frequency,,7,1
03159_Göttingen,HSf3,year,hot_spell_frequency,,7,1
03241_Region Hannover,HSf3,year,hot_spell_frequency,,7,1
03251_Diepholz,HSf3,year,hot_spell_frequency,,7,1
03252_Hameln-Pyrmont,HSf3,year,hot_spell_frequency,,7,1
03254_Hildesheim,HSf3,year,hot_spell_frequency,,7,1
03255_Holzminden,HSf3,year,hot_spell_frequency,,7,1
03256_Nienburg (Weser),HSf3,year,hot_spell_frequency,,7,1
03257_Schaumburg,HSf3,year,hot_spell_frequency,,7,2
03351_Celle,HSf3,year,hot_spell_frequency,,7,1
03352_Cuxhaven,HSf3,year,hot_spell_frequency,,7,1
03353_Harburg,HSf3,year,hot_spell_frequency,,7,1
03354_Lüchow-Dannenberg,HSf3,year,hot_spell_frequency,,7,1
03355_Lüneburg,HSf3,year,hot_spell_frequency,,7,1
03356_Osterholz,HSf3,year,hot_spell_frequency,,7,1
03357_Rotenburg (Wümme),HSf3,year,hot_spell_frequency,,7,1
03358_Heidekreis,HSf3,year,hot_spell_frequency,,7,1
03359_Stade,HSf3,year,hot_spell_frequency,,7,1
03360_Uelzen,HSf3,year,hot_spell_frequency,,7,1
03361_Verden,HSf3,year,hot_spell_frequency,,7,1
03401_03458_04011_03251_03461_Region_um_Delmenhorst,HSf3,year,hot_spell_frequency,,7,1
03401_Delmenhorst,HSf3,year,hot_spell_frequency,,7,1
03402_03452_03457_Region_um_Emden,HSf3,year,hot_spell_frequency,,7,1
03402_Emden,HSf3,year,hot_spell_frequency,,7,1
03403_03458_03451_03461_Region_um_Oldenburg_(Oldenburg),HSf3,year,hot_spell_frequency,,7,1
03403_Oldenburg (Oldb),HSf3,year,hot_spell_frequency,,7,1
03404_03459_05566_Region_um_Osnabrück,HSf3,year,hot_spell_frequency,,7,1
03404_Osnabrück,HSf3,year,hot_spell_frequency,,7,1
03405_03455_Region_um_Wilhelmshaven,HSf3,year,hot_spell_frequency,,7,1
03405_Wilhelmshaven,HSf3,year,hot_spell_frequency,,7,1
03451_Ammerland,HSf3,year,hot_spell_frequency,,7,1
03452_Aurich,HSf3,year,hot_spell_frequency,,7,1
03453_Cloppenburg,HSf3,year,hot_spell_frequency,,7,1
03454_Emsland,HSf3,year,hot_spell_frequency,,7,1
03455_Friesland,HSf3,year,hot_spell_frequency,,7,1
03456_Grafschaft Bentheim,HSf3,year,hot_spell_frequency,,7,1
03457_Leer,HSf3,year,hot_spell_frequency,,7,1
03458_Oldenburg,HSf3,year,hot_spell_frequency,,7,1
03459_Osnabrück,HSf3,year,hot_spell_frequency,,7,1
03460_Vechta,HSf3,year,hot_spell_frequency,,7,1
03461_Wesermarsch,HSf3,year,hot_spell_frequency,,7,1
03462_Wittmund,HSf3,year,hot_spell_frequency,,7,1
04011_03361_03251_03401_03461_03356_03352_04012_Region_um_Bremen,HSf3,year,hot_spell_frequency,,7,1
04011_Bremen,HSf3,year,hot_spell_frequency,,7,1
04012_03352_03461_Region_um_Bremerhaven,HSf3,year,hot_spell_frequency,,7,1
04012_Bremerhaven,HSf3,year,hot_spell_frequency,,7,1
05111_05162_05158_05112_Region_um_Düsseldorf,HSf3,year,hot_spell_frequency,,7,1
05111_Düsseldorf,HSf3,year,hot_spell_frequency,,7,1
05112_05114_05119_05117_05170_05158_05111_Region_um_Duisburg,HSf3,year,hot_spell_frequency,,7,2
05112_Duisburg,HSf3,year,hot_spell_frequency,,7,2
05113_05119_05117_05513_05512_05158_05911_05954_05562_05513_05916_Region_um_Essen,HSf3,year,hot_spell_frequency,,7,2
05113_Essen,HSf3,year,hot_spell_frequency,,7,2
05114_05112_05162_05166_05170_Region_um_Krefeld,HSf3,year,hot_spell_frequency,,7,2
05114_Krefeld,HSf3,year,hot_spell_frequency,,7,1
05116_05370_05166_05162_Region_um_Mönchengladbach,HSf3,year,hot_spell_frequency,,7,2
05116_Mönchengladbach,HSf3,year,hot_spell_frequency,,7,2
05117_05112_05158_05119_05113_Region_um_Mülheim_an_der_Ruhr,HSf3,year,hot_spell_frequency,,7,2
05117_Mülheim an der Ruhr,HSf3,year,hot_spell_frequency,,7,1
05119_05170_05512_05113_05117_05112_Region_um_Oberhausen,HSf3,year,hot_spell_frequency,,7,2
05119_Oberhausen,HSf3,year,hot_spell_frequency,,7,2
05120_05124_05122_05378_05374_Region_um_Remscheid,HSf3,year,hot_spell_frequency,,7,2
05120_Remscheid,HSf3,year,hot_spell_frequency,,7,1
05122_05158_05124_05378_05120_Region_um_Solingen,HSf3,year,hot_spell_frequency,,7,2
05122_Solingen,HSf3,year,hot_spell_frequency,,7,2
05124_05122_05120_05158_05954_05374_Region_um_Wuppertal,HSf3,year,hot_spell_frequency,,7,2
05124_Wuppertal,HSf3,year,hot_spell_frequency,,7,1
05154_Kleve,HSf3,year,hot_spell_frequency,,7,2
05158_Mettmann,HSf3,year,hot_spell_frequency,,7,2
05162_Rhein-Kreis Neuss,HSf3,year,hot_spell_frequency,,7,1
05166_Viersen,HSf3,year,hot_spell_frequency,,7,2
05170_Wesel,HSf3,year,hot_spell_frequency,,7,2
05314_05382_Region_um_Bonn,HSf3,year,hot_spell_frequency,,7,2
05314_Bonn,HSf3,year,hot_spell_frequency,,7,1
05315_Köln,HSf3,year,hot_spell_frequency,,7,2
05316_05315_05378_05158_Region_um_Leverkusen,HSf3,year,hot_spell_frequency,,7,2
05316_Leverkusen,HSf3,year,hot_spell_frequency,,7,2
