region,HSf3_year_2C_rcp85_time-mean_ensemble-diff-max,ci_name,ci_frequency,standard_name,units,mid_month
01001_01059_Region_um_Flensburg,0.8104594349861145,HSf3,year,hot_spell_frequency,,7
01001_Flensburg,0.7993499040603638,HSf3,year,hot_spell_frequency,,7
01002_01057_01058_Region_um_Kiel,0.978320837020874,HSf3,year,hot_spell_frequency,,7
01002_Kiel,0.794263482093811,HSf3,year,hot_spell_frequency,,7
01003_13074_01055_01053_01062_Region_um_Lübeck,1.1012704372406006,HSf3,year,hot_spell_frequency,,7
01003_Lübeck,1.1092371940612793,HSf3,year,hot_spell_frequency,,7
01004_01058_01060_01057_01002_Region_um_Neumünster,1.069312334060669,HSf3,year,hot_spell_frequency,,7
01004_Neumünster,1.1625834703445435,HSf3,year,hot_spell_frequency,,7
01051_Dithmarschen,1.1739840507507324,HSf3,year,hot_spell_frequency,,7
01053_Herzogtum Lauenburg,1.3976733684539795,HSf3,year,hot_spell_frequency,,7
01054_Nordfriesland,0.7530925273895264,HSf3,year,hot_spell_frequency,,7
01055_Ostholstein,0.7728562951087952,HSf3,year,hot_spell_frequency,,7
01056_Pinneberg,1.568825125694275,HSf3,year,hot_spell_frequency,,7
01057_Plön,0.8183465003967285,HSf3,year,hot_spell_frequency,,7
01058_Rendsburg-Eckernförde,1.0682939291000366,HSf3,year,hot_spell_frequency,,7
01059_Schleswig-Flensburg,0.8115912675857544,HSf3,year,hot_spell_frequency,,7
01060_Segeberg,1.2934068441390991,HSf3,year,hot_spell_frequency,,7
01061_Steinburg,1.4496002197265625,HSf3,year,hot_spell_frequency,,7
01062_Stormarn,1.387132167816162,HSf3,year,hot_spell_frequency,,7
02000_Hamburg,1.6080670356750488,HSf3,year,hot_spell_frequency,,7
03101_03157_03154_03151_03102_03158_03103_Region_um_Braunschweig,1.6650629043579102,HSf3,year,hot_spell_frequency,,7
03101_Braunschweig,1.7040278911590576,HSf3,year,hot_spell_frequency,,7
03102_03254_03157_03158_03153_03101_Region_um_Salzgitter,1.5525354146957397,HSf3,year,hot_spell_frequency,,7
03102_Salzgitter,1.8645298480987549,HSf3,year,hot_spell_frequency,,7
03103_03154_03151_Region_um_Wolfsburg,1.6808526515960693,HSf3,year,hot_spell_frequency,,7
03103_Wolfsburg,1.8079676628112793,HSf3,year,hot_spell_frequency,,7
03151_Gifhorn,1.6548871994018555,HSf3,year,hot_spell_frequency,,7
03153_Goslar,1.1001152992248535,HSf3,year,hot_spell_frequency,,7
03154_Helmstedt,1.7021604776382446,HSf3,year,hot_spell_frequency,,7
03155_Northeim,1.5983926057815552,HSf3,year,hot_spell_frequency,,7
03157_Peine,1.787270426750183,HSf3,year,hot_spell_frequency,,7
03158_Wolfenbüttel,1.7701338529586792,HSf3,year,hot_spell_frequency,,7
03159_Göttingen,1.5749609470367432,HSf3,year,hot_spell_frequency,,7
03241_Region Hannover,1.6606378555297852,HSf3,year,hot_spell_frequency,,7
03251_Diepholz,1.5919030904769897,HSf3,year,hot_spell_frequency,,7
03252_Hameln-Pyrmont,1.496964693069458,HSf3,year,hot_spell_frequency,,7
03254_Hildesheim,1.6339261531829834,HSf3,year,hot_spell_frequency,,7
03255_Holzminden,1.3916069269180298,HSf3,year,hot_spell_frequency,,7
03256_Nienburg (Weser),1.6515986919403076,HSf3,year,hot_spell_frequency,,7
03257_Schaumburg,1.5078247785568237,HSf3,year,hot_spell_frequency,,7
03351_Celle,1.665688157081604,HSf3,year,hot_spell_frequency,,7
03352_Cuxhaven,1.3958629369735718,HSf3,year,hot_spell_frequency,,7
03353_Harburg,1.6415562629699707,HSf3,year,hot_spell_frequency,,7
03354_Lüchow-Dannenberg,1.802341103553772,HSf3,year,hot_spell_frequency,,7
03355_Lüneburg,1.504382848739624,HSf3,year,hot_spell_frequency,,7
03356_Osterholz,1.6380133628845215,HSf3,year,hot_spell_frequency,,7
03357_Rotenburg (Wümme),1.6476399898529053,HSf3,year,hot_spell_frequency,,7
03358_Heidekreis,1.7092597484588623,HSf3,year,hot_spell_frequency,,7
03359_Stade,1.5465385913848877,HSf3,year,hot_spell_frequency,,7
03360_Uelzen,1.5375065803527832,HSf3,year,hot_spell_frequency,,7
03361_Verden,1.749161720275879,HSf3,year,hot_spell_frequency,,7
03401_03458_04011_03251_03461_Region_um_Delmenhorst,1.5818521976470947,HSf3,year,hot_spell_frequency,,7
03401_Delmenhorst,1.7221176624298096,HSf3,year,hot_spell_frequency,,7
03402_03452_03457_Region_um_Emden,1.238165020942688,HSf3,year,hot_spell_frequency,,7
03402_Emden,0.9473987221717834,HSf3,year,hot_spell_frequency,,7
03403_03458_03451_03461_Region_um_Oldenburg_(Oldenburg),1.5524818897247314,HSf3,year,hot_spell_frequency,,7
03403_Oldenburg (Oldb),1.6784261465072632,HSf3,year,hot_spell_frequency,,7
03404_03459_05566_Region_um_Osnabrück,1.5388777256011963,HSf3,year,hot_spell_frequency,,7
03404_Osnabrück,1.5522665977478027,HSf3,year,hot_spell_frequency,,7
03405_03455_Region_um_Wilhelmshaven,1.0669546127319336,HSf3,year,hot_spell_frequency,,7
03405_Wilhelmshaven,0.8088201284408569,HSf3,year,hot_spell_frequency,,7
03451_Ammerland,1.6531044244766235,HSf3,year,hot_spell_frequency,,7
03452_Aurich,1.011775016784668,HSf3,year,hot_spell_frequency,,7
03453_Cloppenburg,1.6022825241088867,HSf3,year,hot_spell_frequency,,7
03454_Emsland,1.6575071811676025,HSf3,year,hot_spell_frequency,,7
03455_Friesland,1.1188899278640747,HSf3,year,hot_spell_frequency,,7
03456_Grafschaft Bentheim,1.6183507442474365,HSf3,year,hot_spell_frequency,,7
03457_Leer,1.546049952507019,HSf3,year,hot_spell_frequency,,7
03458_Oldenburg,1.5888595581054688,HSf3,year,hot_spell_frequency,,7
03459_Osnabrück,1.4988375902175903,HSf3,year,hot_spell_frequency,,7
03460_Vechta,1.5656816959381104,HSf3,year,hot_spell_frequency,,7
03461_Wesermarsch,1.5054364204406738,HSf3,year,hot_spell_frequency,,7
03462_Wittmund,1.0373347997665405,HSf3,year,hot_spell_frequency,,7
04011_03361_03251_03401_03461_03356_03352_04012_Region_um_Bremen,1.542863368988037,HSf3,year,hot_spell_frequency,,7
04011_Bremen,1.6598076820373535,HSf3,year,hot_spell_frequency,,7
04012_03352_03461_Region_um_Bremerhaven,1.4243278503417969,HSf3,year,hot_spell_frequency,,7
04012_Bremerhaven,1.3060002326965332,HSf3,year,hot_spell_frequency,,7
05111_05162_05158_05112_Region_um_Düsseldorf,2.189077615737915,HSf3,year,hot_spell_frequency,,7
05111_Düsseldorf,2.217576026916504,HSf3,year,hot_spell_frequency,,7
05112_05114_05119_05117_05170_05158_05111_Region_um_Duisburg,1.9697171449661255,HSf3,year,hot_spell_frequency,,7
05112_Duisburg,2.151383638381958,HSf3,year,hot_spell_frequency,,7
05113_05119_05117_05513_05512_05158_05911_05954_05562_05513_05916_Region_um_Essen,1.6868908405303955,HSf3,year,hot_spell_frequency,,7
05113_Essen,1.7098734378814697,HSf3,year,hot_spell_frequency,,7
05114_05112_05162_05166_05170_Region_um_Krefeld,2.166961193084717,HSf3,year,hot_spell_frequency,,7
05114_Krefeld,2.2933340072631836,HSf3,year,hot_spell_frequency,,7
05116_05370_05166_05162_Region_um_Mönchengladbach,2.366373062133789,HSf3,year,hot_spell_frequency,,7
05116_Mönchengladbach,2.339022636413574,HSf3,year,hot_spell_frequency,,7
05117_05112_05158_05119_05113_Region_um_Mülheim_an_der_Ruhr,1.8645001649856567,HSf3,year,hot_spell_frequency,,7
05117_Mülheim an der Ruhr,1.821042537689209,HSf3,year,hot_spell_frequency,,7
