region,HSf3_year_2C_rcp85_time-mean_ensemble-diff-min,ci_name,ci_frequency,standard_name,units,mid_month
01001_01059_Region_um_Flensburg,-0.05937643349170685,HSf3,year,hot_spell_frequency,,7
01001_Flensburg,-0.0669846385717392,HSf3,year,hot_spell_frequency,,7
01002_01057_01058_Region_um_Kiel,-0.04825012385845184,HSf3,year,hot_spell_frequency,,7
01002_Kiel,-0.03529244288802147,HSf3,year,hot_spell_frequency,,7
01003_13074_01055_01053_01062_Region_um_Lübeck,-0.04485131800174713,HSf3,year,hot_spell_frequency,,7
01003_Lübeck,-0.04448043927550316,HSf3,year,hot_spell_frequency,,7
01004_01058_01060_01057_01002_Region_um_Neumünster,-0.06253336369991302,HSf3,year,hot_spell_frequency,,7
01004_Neumünster,-0.09945773333311081,HSf3,year,hot_spell_frequency,,7
01051_Dithmarschen,-0.10815291851758957,HSf3,year,hot_spell_frequency,,7
01053_Herzogtum Lauenburg,-0.08243855834007263,HSf3,year,hot_spell_frequency,,7
01054_Nordfriesland,-0.08134664595127106,HSf3,year,hot_spell_frequency,,7
01055_Ostholstein,-0.023435961455106735,HSf3,year,hot_spell_frequency,,7
01056_Pinneberg,-0.12225513160228729,HSf3,year,hot_spell_frequency,,7
01057_Plön,-0.026974186301231384,HSf3,year,hot_spell_frequency,,7
01058_Rendsburg-Eckernförde,-0.06086791306734085,HSf3,year,hot_spell_frequency,,7
01059_Schleswig-Flensburg,-0.05918523669242859,HSf3,year,hot_spell_frequency,,7
01060_Segeberg,-0.09837755560874939,HSf3,year,hot_spell_frequency,,7
01061_Steinburg,-0.11810681223869324,HSf3,year,hot_spell_frequency,,7
01062_Stormarn,-0.08096596598625183,HSf3,year,hot_spell_frequency,,7
02000_Hamburg,-0.0895041823387146,HSf3,year,hot_spell_frequency,,7
03101_03157_03154_03151_03102_03158_03103_Region_um_Braunschweig,-0.0814967155456543,HSf3,year,hot_spell_frequency,,7
03101_Braunschweig,-0.06064426898956299,HSf3,year,hot_spell_frequency,,7
03102_03254_03157_03158_03153_03101_Region_um_Salzgitter,-0.04870876669883728,HSf3,year,hot_spell_frequency,,7
03102_Salzgitter,-0.07241928577423096,HSf3,year,hot_spell_frequency,,7
03103_03154_03151_Region_um_Wolfsburg,-0.09681820869445801,HSf3,year,hot_spell_frequency,,7
03103_Wolfsburg,-0.1791071891784668,HSf3,year,hot_spell_frequency,,7
03151_Gifhorn,-0.07351124286651611,HSf3,year,hot_spell_frequency,,7
03153_Goslar,-0.08768295496702194,HSf3,year,hot_spell_frequency,,7
03154_Helmstedt,-0.1257781982421875,HSf3,year,hot_spell_frequency,,7
03155_Northeim,-0.09033441543579102,HSf3,year,hot_spell_frequency,,7
03157_Peine,-0.06732487678527832,HSf3,year,hot_spell_frequency,,7
03158_Wolfenbüttel,-0.04880499839782715,HSf3,year,hot_spell_frequency,,7
03159_Göttingen,-0.06515209376811981,HSf3,year,hot_spell_frequency,,7
03241_Region Hannover,-0.06521165370941162,HSf3,year,hot_spell_frequency,,7
03251_Diepholz,-0.10180380940437317,HSf3,year,hot_spell_frequency,,7
03252_Hameln-Pyrmont,-0.06788334250450134,HSf3,year,hot_spell_frequency,,7
03254_Hildesheim,-0.033294737339019775,HSf3,year,hot_spell_frequency,,7
03255_Holzminden,-0.07258576154708862,HSf3,year,hot_spell_frequency,,7
03256_Nienburg (Weser),-0.07905325293540955,HSf3,year,hot_spell_frequency,,7
03257_Schaumburg,-0.03980672359466553,HSf3,year,hot_spell_frequency,,7
03351_Celle,-0.1029670238494873,HSf3,year,hot_spell_frequency,,7
03352_Cuxhaven,-0.12728029489517212,HSf3,year,hot_spell_frequency,,7
03353_Harburg,-0.1306515485048294,HSf3,year,hot_spell_frequency,,7
03354_Lüchow-Dannenberg,-0.21266666054725647,HSf3,year,hot_spell_frequency,,7
03355_Lüneburg,-0.0704663097858429,HSf3,year,hot_spell_frequency,,7
03356_Osterholz,-0.1267021894454956,HSf3,year,hot_spell_frequency,,7
03357_Rotenburg (Wümme),-0.13961920142173767,HSf3,year,hot_spell_frequency,,7
03358_Heidekreis,-0.12155506014823914,HSf3,year,hot_spell_frequency,,7
03359_Stade,-0.14671996235847473,HSf3,year,hot_spell_frequency,,7
03360_Uelzen,-0.07154130935668945,HSf3,year,hot_spell_frequency,,7
03361_Verden,-0.1307355910539627,HSf3,year,hot_spell_frequency,,7
03401_03458_04011_03251_03461_Region_um_Delmenhorst,-0.10276307165622711,HSf3,year,hot_spell_frequency,,7
03401_Delmenhorst,-0.1221189945936203,HSf3,year,hot_spell_frequency,,7
03402_03452_03457_Region_um_Emden,-0.1659916341304779,HSf3,year,hot_spell_frequency,,7
03402_Emden,-0.11683309078216553,HSf3,year,hot_spell_frequency,,7
03403_03458_03451_03461_Region_um_Oldenburg_(Oldenburg),-0.13682645559310913,HSf3,year,hot_spell_frequency,,7
03403_Oldenburg (Oldb),-0.12789228558540344,HSf3,year,hot_spell_frequency,,7
03404_03459_05566_Region_um_Osnabrück,-0.10931649804115295,HSf3,year,hot_spell_frequency,,7
03404_Osnabrück,-0.11048418283462524,HSf3,year,hot_spell_frequency,,7
03405_03455_Region_um_Wilhelmshaven,-0.14850926399230957,HSf3,year,hot_spell_frequency,,7
03405_Wilhelmshaven,-0.06456577032804489,HSf3,year,hot_spell_frequency,,7
03451_Ammerland,-0.18375088274478912,HSf3,year,hot_spell_frequency,,7
03452_Aurich,-0.1611054390668869,HSf3,year,hot_spell_frequency,,7
03453_Cloppenburg,-0.1186077892780304,HSf3,year,hot_spell_frequency,,7
03454_Emsland,-0.11057896912097931,HSf3,year,hot_spell_frequency,,7
03455_Friesland,-0.16329702734947205,HSf3,year,hot_spell_frequency,,7
03456_Grafschaft Bentheim,-0.11187741160392761,HSf3,year,hot_spell_frequency,,7
03457_Leer,-0.17713122069835663,HSf3,year,hot_spell_frequency,,7
03458_Oldenburg,-0.0834096223115921,HSf3,year,hot_spell_frequency,,7
03459_Osnabrück,-0.10833784937858582,HSf3,year,hot_spell_frequency,,7
03460_Vechta,-0.12704765796661377,HSf3,year,hot_spell_frequency,,7
03461_Wesermarsch,-0.16406773030757904,HSf3,year,hot_spell_frequency,,7
03462_Wittmund,-0.17094245553016663,HSf3,year,hot_spell_frequency,,7
04011_03361_03251_03401_03461_03356_03352_04012_Region_um_Bremen,-0.1196541041135788,HSf3,year,hot_spell_frequency,,7
04011_Bremen,-0.08692465722560883,HSf3,year,hot_spell_frequency,,7
04012_03352_03461_Region_um_Bremerhaven,-0.13917705416679382,HSf3,year,hot_spell_frequency,,7
04012_Bremerhaven,-0.19443152844905853,HSf3,year,hot_spell_frequency,,7
05111_05162_05158_05112_Region_um_Düsseldorf,-0.12305910885334015,HSf3,year,hot_spell_frequency,,7
05111_Düsseldorf,-0.12379337847232819,HSf3,year,hot_spell_frequency,,7
05112_05114_05119_05117_05170_05158_05111_Region_um_Duisburg,-0.060908183455467224,HSf3,year,hot_spell_frequency,,7
05112_Duisburg,-0.08615770936012268,HSf3,year,hot_spell_frequency,,7
05113_05119_05117_05513_05512_05158_05911_05954_05562_05513_05916_Region_um_Essen,-0.02909903973340988,HSf3,year,hot_spell_frequency,,7
05113_Essen,-0.02687421441078186,HSf3,year,hot_spell_frequency,,7
05114_05112_05162_05166_05170_Region_um_Krefeld,-0.11651790142059326,HSf3,year,hot_spell_frequency,,7
05114_Krefeld,-0.15015557408332825,HSf3,year,hot_spell_frequency,,7
05116_05370_05166_05162_Region_um_Mönchengladbach,-0.18469442427158356,HSf3,year,hot_spell_frequency,,7
05116_Mönchengladbach,-0.19001653790473938,HSf3,year,hot_spell_frequency,,7
05117_05112_05158_05119_05113_Region_um_Mülheim_an_der_Ruhr,-0.040069520473480225,HSf3,year,hot_spell_frequency,,7
05117_Mülheim an der Ruhr,-0.1038743108510971,HSf3,year,hot_spell_frequency,,7
05119_05170_05512_05113_05117_05112_Region_um_Oberhausen,-0.06680405139923096,HSf3,year,hot_spell_frequency,,7
05119_Oberhausen,-0.13657495379447937,HSf3,year,hot_spell_frequency,,7
05120_05124_05122_05378_05374_Region_um_Remscheid,-0.03149331361055374,HSf3,year,hot_spell_frequency,,7
05120_Remscheid,-0.0411067008972168,HSf3,year,hot_spell_frequency,,7
05122_05158_05124_05378_05120_Region_um_Solingen,-0.012488313019275665,HSf3,year,hot_spell_frequency,,7
05122_Solingen,-0.02753150463104248,HSf3,year,hot_spell_frequency,,7
05124_05122_05120_05158_05954_05374_Region_um_Wuppertal,-0.02523598074913025,HSf3,year,hot_spell_frequency,,7
05124_Wuppertal,-0.038408756256103516,HSf3,year,hot_spell_frequency,,7
05154_Kleve,-0.11504721641540527,HSf3,year,hot_spell_frequency,,7
05158_Mettmann,-0.03282332420349121,HSf3,year,hot_spell_frequency,,7
05162_Rhein-Kreis Neuss,-0.2168625295162201,HSf3,year,hot_spell_frequency,,7
05166_Viersen,-0.14421315491199493,HSf3,year,hot_spell_frequency,,7
05170_Wesel,-0.12260937690734863,HSf3,year,hot_spell_frequency,,7
05314_05382_Region_um_Bonn,0.0025064200162887573,HSf3,year,hot_spell_frequency,,7
05314_Bonn,-0.0311223566532135,HSf3,year,hot_spell_frequency,,7
05315_Köln,-0.15022391080856323,HSf3,year,hot_spell_frequency,,7
05316_05315_05378_05158_Region_um_Leverkusen,-0.044245123863220215,HSf3,year,hot_spell_frequency,,7
05316_Leverkusen,-0.10828503966331482,HSf3,year,hot_spell_frequency,,7
05334_Städteregion Aachen,-0.0339915007352829,HSf3,year,hot_spell_frequency,,7
05358_Düren,-0.09763118624687195,HSf3,year,hot_spell_frequency,,7
05362_Rhein-Erft-Kreis,-0.2036948800086975,HSf3,year,hot_spell_frequency,,7
05366_Euskirchen,-0.02301902323961258,HSf3,year,hot_spell_frequency,,7
05370_Heinsberg,-0.19006218016147614,HSf3,year,hot_spell_frequency,,7
05374_Oberbergischer Kreis,-0.06867821514606476,HSf3,year,hot_spell_frequency,,7
05378_Rheinisch-Bergischer Kreis,-0.02219468355178833,HSf3,year,hot_spell_frequency,,7
05382_Rhein-Sieg-Kreis,0.006719574332237244,HSf3,year,hot_spell_frequency,,7
05512_05119_05513_05113_05170_05562_Region_um_Bottrop,-0.04257442057132721,HSf3,year,hot_spell_frequency,,7
05512_Bottrop,-0.055561259388923645,HSf3,year,hot_spell_frequency,,7
05513_05113_05916_05911_05562_05512_Region_um_Gelsenkirchen,-0.02502863109111786,HSf3,year,hot_spell_frequency,,7
05513_Gelsenkirchen,-0.02464105188846588,HSf3,year,hot_spell_frequency,,7
